@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_3 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_10 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_11 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_15 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_20 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_17 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_9 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_13 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_14 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_15 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_21 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_15 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_18 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_21 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_4 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_6 numeric
@attribute Std_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_3 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_7 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_16 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_5 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_8 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_4 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_7 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_15 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Average numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Minimum numeric
@attribute Std_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_11 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_19 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_20 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_11 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_4 numeric
@attribute BeatHisto_MidBPM numeric
@attribute BeatHisto_MeanACR numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_Flatness numeric
@attribute output {angry,notangry}

@data

0.185186,0.129898,0.361171,0.568355,0.215844,1.763758,0.558592,0.492499,0.507784,0.366692,2.55134,0.47051,0.885361,1.237511,1.217147,1.484302,3.410831,0.126246,0.101951,0.067269,0.025832,0.036814,0.033788,0.00949,0.275794,0.177299,0.131666,0.239652,0.366625,0.466354,0.573699,0.095512,0.092567,0.088519,0.081136,0.127115,0.256184,0.058681,0.142681,0.653686,0.15657,0.20866,0.596776,0.465411,0.028619,0.043215,0.053941,133.5,0.589693,1.004573,0.001563,angry
0.117268,0.090559,0.185623,-0.214092,0.057943,1.754384,0.462367,0.429913,0.440534,0.383286,2.557291,0.448972,0.992751,1.726828,1.471047,1.73403,3.233072,0.127157,0.116048,0.085615,0.034398,0.041092,0.046484,0.010398,0.418435,0.25969,0.168316,0.224211,0.475891,0.536377,0.898871,0.09539,0.099756,0.133399,0.074124,0.11975,0.259562,0.071156,0.216986,2.044784,0.116595,0.301542,0.82256,1.564489,0.028829,0.034704,0.040184,134.25,0.570424,1.003177,0.001589,angry
0.091108,0.079983,0.140229,0.782532,0.022441,1.933367,0.553728,0.502169,0.478991,0.411525,2.499273,0.695514,0.881673,1.272093,1.7459,1.52085,4.128877,0.132661,0.116863,0.184789,0.053089,0.065443,0.067118,0.016151,0.773362,0.238279,0.380805,0.275864,0.355224,0.472678,0.877947,0.106859,0.127593,0.099947,0.077239,0.119521,0.251263,0.104323,0.262322,5.141205,0.147493,0.391576,0.644883,0.717526,0.030311,0.039654,0.043691,104.5,0.536461,1.007043,0.001432,angry
0.117268,0.090559,0.185623,-0.214092,0.057943,1.754384,0.462367,0.429913,0.440534,0.383286,2.557291,0.448972,0.992751,1.726828,1.471047,1.73403,3.233072,0.127157,0.116048,0.085615,0.034398,0.041092,0.046484,0.010398,0.418435,0.25969,0.168316,0.224211,0.475891,0.536377,0.898871,0.09539,0.099756,0.133399,0.074124,0.11975,0.259562,0.071156,0.216986,2.044784,0.116595,0.301542,0.82256,1.564489,0.028829,0.034704,0.040184,134.25,0.570424,1.003177,0.001589,angry
0.03103,0.021179,0.055774,0.730287,0.361401,1.70227,0.484789,0.484104,0.454035,0.450976,2.527795,0.459139,0.951031,1.389734,1.686457,1.755741,2.758366,0.130818,0.12265,0.184353,0.028784,0.040297,0.044385,0.010764,0.279382,0.237459,0.270845,0.292772,0.400646,0.494516,1.054044,0.106324,0.120532,0.094459,0.065737,0.120857,0.253248,0.113314,0.309029,2.147439,0.120473,0.292292,0.881964,1.782166,0.02853,0.0265,0.044501,97.5,0.504183,1.008522,0.001431,angry
0.095966,0.071562,0.159702,0.21132,0.050163,1.983121,0.406868,0.434303,0.410371,0.42914,2.565702,0.530239,0.838509,1.4957,1.643157,2.287468,3.399411,0.152484,0.130447,0.130355,0.02942,0.051802,0.069039,0.010444,0.326177,0.303583,0.341871,0.321287,0.444993,0.538276,1.079292,0.099192,0.124005,0.112815,0.078045,0.126293,0.255157,0.109828,0.153752,1.124307,0.132185,0.394979,0.597032,0.655463,0.034632,0.038095,0.051279,102.5,0.556334,1.003153,0.001564,angry
0.14896,0.103597,0.267064,0.378433,-0.019414,1.77583,0.548469,0.542976,0.537038,0.45911,2.576589,0.462093,0.969772,1.141661,1.284591,1.252377,3.21777,0.114677,0.10342,0.076807,0.037513,0.036458,0.041229,0.010288,0.221944,0.215874,0.246612,0.215789,0.625182,0.9836,0.628503,0.133173,0.111112,0.129593,0.079514,0.128116,0.260904,0.065552,0.152676,1.384051,0.111402,0.281271,0.398568,0.552237,0.027983,0.031987,0.04734,107,0.571818,1.003421,0.001586,angry
0.066038,0.053642,0.088978,0.582833,-0.048852,2.234714,0.403454,0.393851,0.434827,0.297168,2.520026,0.679654,1.056808,1.614596,2.27146,2.032239,3.782892,0.17399,0.141791,0.186871,0.041416,0.055156,0.064328,0.012228,0.269251,0.232165,0.20069,0.269777,0.437687,0.534058,1.206626,0.097855,0.114381,0.092324,0.066184,0.117902,0.250936,0.107938,0.198378,5.656508,0.133895,0.268713,0.524369,1.259487,0.030512,0.028629,0.039569,128.5,0.596932,1.002694,0.001568,angry
0.153637,0.109135,0.272249,0.229512,0.12613,1.811138,0.509462,0.506861,0.499452,0.435249,2.560106,0.48356,0.836539,1.268759,1.483535,1.51906,3.391053,0.120927,0.101785,0.069318,0.035294,0.035328,0.044956,0.009354,0.173764,0.197391,0.163611,0.227791,0.414889,0.396745,0.751776,0.085007,0.096238,0.07594,0.077046,0.124244,0.255917,0.088023,0.143573,1.011746,0.11781,0.300554,0.690379,0.345568,0.028154,0.037799,0.051037,104.5,0.574714,1.00349,0.001586,angry
