@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast_arff_file/psysound.arff-weka.filters.unsupervised.attribute.Remove-Rlast_wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_3 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_10 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_11 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_15 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_20 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_17 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_9 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_13 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_14 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_15 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_21 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_15 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_18 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_21 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_4 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_6 numeric
@attribute Std_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_3 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_7 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_16 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_5 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_8 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_4 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_7 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_15 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Average numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Minimum numeric
@attribute Std_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_11 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_19 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_20 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_11 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_4 numeric
@attribute BeatHisto_MidBPM numeric
@attribute BeatHisto_MeanACR numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_Flatness numeric
@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute pcm_RMSenergy_sma_skewness numeric
@attribute mfcc_sma[3]_linregc2 numeric
@attribute mfcc_sma[4]_kurtosis numeric
@attribute mfcc_sma[7]_min numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[7]_linregc2 numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[8]_maxPos numeric
@attribute mfcc_sma[9]_linregc2 numeric
@attribute mfcc_sma[9]_linregerrQ numeric
@attribute mfcc_sma[11]_min numeric
@attribute mfcc_sma[11]_maxPos numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute mfcc_sma[12]_max numeric
@attribute mfcc_sma[12]_linregerrQ numeric
@attribute pcm_zcr_sma_min numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_linregc2 numeric
@attribute pcm_zcr_sma_skewness numeric
@attribute voiceProb_sma_linregc2 numeric
@attribute F0_sma_max numeric
@attribute mfcc_sma_de[1]_minPos numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[2]_amean numeric
@attribute mfcc_sma_de[3]_skewness numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_skewness numeric
@attribute mfcc_sma_de[8]_linregc2 numeric
@attribute mfcc_sma_de[9]_max numeric
@attribute mfcc_sma_de[12]_range numeric
@attribute mfcc_sma_de[12]_skewness numeric
@attribute voiceProb_sma_de_max numeric
@attribute voiceProb_sma_de_linregc2 numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute F0_sma_de_linregerrQ numeric
@attribute F0_sma_de_skewness numeric
@attribute output {angry,notangry}

@data
0.185186,0.129898,0.361171,0.568355,0.215844,1.763758,0.558592,0.492499,0.507784,0.366692,2.55134,0.47051,0.885361,1.237511,1.217147,1.484302,3.410831,0.126246,0.101951,0.067269,0.025832,0.036814,0.033788,0.00949,0.275794,0.177299,0.131666,0.239652,0.366625,0.466354,0.573699,0.095512,0.092567,0.088519,0.081136,0.127115,0.256184,0.058681,0.142681,0.653686,0.15657,0.20866,0.596776,0.465411,0.028619,0.043215,0.053941,133.5,0.589693,1.004573,0.001563,106.2267,7.699327,1.720575,0.497559,1.406046,0.889262,0.119928,42.32321,4.74327,123.5564,0.165056,0.004312,0.001855,0.142053,0.000086,0.01903,3170.194,0.233526,0,0.932091,0.119597,0,0.06334,0.004087,1378.355,131372.3,0.598553,10.37874,2.836244,-9.634397,1.635335,3.051033,2.854098,1455,0.395554,14.95828,-14.75034,2609,-0.913297,9.499515,10.99122,0.079855,0.183003,0.199714,0.373299,0.229708,319.4203,2187,-0.034603,0.000761,-0.918144,-0.09177,0.218563,0.006074,4.17623,7.2527,-0.217968,0.088333,0.000033,0.000333,53.27839,0.691816,angry
0.117268,0.090559,0.185623,-0.214092,0.057943,1.754384,0.462367,0.429913,0.440534,0.383286,2.557291,0.448972,0.992751,1.726828,1.471047,1.73403,3.233072,0.127157,0.116048,0.085615,0.034398,0.041092,0.046484,0.010398,0.418435,0.25969,0.168316,0.224211,0.475891,0.536377,0.898871,0.09539,0.099756,0.133399,0.074124,0.11975,0.259562,0.071156,0.216986,2.044784,0.116595,0.301542,0.82256,1.564489,0.028829,0.034704,0.040184,134.25,0.570424,1.003177,0.001589,91.87521,5.630643,1.442875,0.587063,1.129233,0.8932,0.11403,36.58862,5.563958,41.46593,0.237293,0.005468,0.015631,0.097929,0.000123,0.014986,1546.164,0.138261,0,0.903462,0.11233,0,0.087276,0.004174,984.6649,85558.95,1.760743,-1.692168,3.200748,-13.03425,1.031452,2.056425,2.89173,2738,-4.813496,16.5427,-10.79194,2432,0.628908,7.350847,11.08853,0.045372,0.115649,0.122588,2.081161,0.488644,406.9953,2215,-0.118739,0.001904,-0.147873,0.237118,0.038036,0.002,5.162071,8.596449,0.138661,0.13384,-0.000122,0.001104,832.9813,0.02137,angry
0.091108,0.079983,0.140229,0.782532,0.022441,1.933367,0.553728,0.502169,0.478991,0.411525,2.499273,0.695514,0.881673,1.272093,1.7459,1.52085,4.128877,0.132661,0.116863,0.184789,0.053089,0.065443,0.067118,0.016151,0.773362,0.238279,0.380805,0.275864,0.355224,0.472678,0.877947,0.106859,0.127593,0.099947,0.077239,0.119521,0.251263,0.104323,0.262322,5.141205,0.147493,0.391576,0.644883,0.717526,0.030311,0.039654,0.043691,104.5,0.536461,1.007043,0.001432,82.92876,5.160676,1.412433,0.870274,1.054713,0.889808,0.076803,16.88264,5.423,622.1739,1.203461,0.035021,0.145366,0.193759,0.000208,0.012269,810.6726,1.563406,0,0.557923,0.094387,0,0.246809,0.007536,890.4293,621092.8,0.829489,-5.497724,1.98014,-24.96442,-3.963877,-8.547989,3.761064,2813,-9.891084,54.12863,-19.37623,140,-2.824339,23.08028,18.87049,0.014519,0.090141,0.120383,3.661805,0.403643,442.9648,733,-0.259192,0.000846,-0.294868,-0.644955,-0.540628,-0.001126,5.260463,10.94226,-0.150243,0.134664,0.000019,0.001414,616.2816,-0.019187,angry
0.117268,0.090559,0.185623,-0.214092,0.057943,1.754384,0.462367,0.429913,0.440534,0.383286,2.557291,0.448972,0.992751,1.726828,1.471047,1.73403,3.233072,0.127157,0.116048,0.085615,0.034398,0.041092,0.046484,0.010398,0.418435,0.25969,0.168316,0.224211,0.475891,0.536377,0.898871,0.09539,0.099756,0.133399,0.074124,0.11975,0.259562,0.071156,0.216986,2.044784,0.116595,0.301542,0.82256,1.564489,0.028829,0.034704,0.040184,134.25,0.570424,1.003177,0.001589,91.87521,5.630643,1.442875,0.587063,1.129233,0.8932,0.11403,36.58862,5.563958,41.46593,0.237293,0.005468,0.015631,0.097929,0.000123,0.014986,1546.164,0.138261,0,0.903462,0.11233,0,0.087276,0.004174,984.6649,85558.95,1.760743,-1.692168,3.200748,-13.03425,1.031452,2.056425,2.89173,2738,-4.813496,16.5427,-10.79194,2432,0.628908,7.350847,11.08853,0.045372,0.115649,0.122588,2.081161,0.488644,406.9953,2215,-0.118739,0.001904,-0.147873,0.237118,0.038036,0.002,5.162071,8.596449,0.138661,0.13384,-0.000122,0.001104,832.9813,0.02137,angry
0.03103,0.021179,0.055774,0.730287,0.361401,1.70227,0.484789,0.484104,0.454035,0.450976,2.527795,0.459139,0.951031,1.389734,1.686457,1.755741,2.758366,0.130818,0.12265,0.184353,0.028784,0.040297,0.044385,0.010764,0.279382,0.237459,0.270845,0.292772,0.400646,0.494516,1.054044,0.106324,0.120532,0.094459,0.065737,0.120857,0.253248,0.113314,0.309029,2.147439,0.120473,0.292292,0.881964,1.782166,0.02853,0.0265,0.044501,97.5,0.504183,1.008522,0.001431,48.46327,3.2193,1.120191,1.443512,0.897592,0.883678,0.101826,80.40698,6.487825,64.89623,0.130931,0.009016,0.411759,0.451083,0.000207,0.005127,2599.604,2.01864,0,0.996671,0.158982,0,0.00332,0.001846,230.1995,17115.16,1.179705,3.866289,3.496958,-16.87251,-0.826869,2.123908,2.764318,534,1.971133,17.38025,-15.20616,114,-2.881205,18.4778,14.33476,0.00484,0.031485,0.029672,1.897955,0.400875,476.9814,1682,0.29458,0.004641,0.537716,0.49879,0.231281,-0.004232,4.234347,6.382984,-0.027343,0.098179,-0.000061,0.000457,250.1607,0.054238,angry
0.095966,0.071562,0.159702,0.21132,0.050163,1.983121,0.406868,0.434303,0.410371,0.42914,2.565702,0.530239,0.838509,1.4957,1.643157,2.287468,3.399411,0.152484,0.130447,0.130355,0.02942,0.051802,0.069039,0.010444,0.326177,0.303583,0.341871,0.321287,0.444993,0.538276,1.079292,0.099192,0.124005,0.112815,0.078045,0.126293,0.255157,0.109828,0.153752,1.124307,0.132185,0.394979,0.597032,0.655463,0.034632,0.038095,0.051279,102.5,0.556334,1.003153,0.001564,78.03573,5.018311,1.388116,0.569433,0.762928,0.894418,0.157054,169.367,5.5322,185.2959,1.512506,0.034372,0.026037,0.118133,0.000188,0.014046,29988.74,0.591794,0,0.879494,0.116104,0,0.106055,0.003497,793.5198,186159.3,1.208303,-2.303595,3.001049,-16.44449,-1.263555,-1.060661,2.786242,1729,-5.997735,36.42324,-20.62319,1414,3.371152,14.51003,20.54064,0.014519,0.096597,0.113595,1.61101,0.323365,457.6049,1590,-1.324419,-0.000763,0.039588,0.431777,-0.098623,-0.008252,4.889075,7.46033,0.093239,0.128682,0.000332,0.000822,553.2106,0.020738,angry
0.14896,0.103597,0.267064,0.378433,-0.019414,1.77583,0.548469,0.542976,0.537038,0.45911,2.576589,0.462093,0.969772,1.141661,1.284591,1.252377,3.21777,0.114677,0.10342,0.076807,0.037513,0.036458,0.041229,0.010288,0.221944,0.215874,0.246612,0.215789,0.625182,0.9836,0.628503,0.133173,0.111112,0.129593,0.079514,0.128116,0.260904,0.065552,0.152676,1.384051,0.111402,0.281271,0.398568,0.552237,0.027983,0.031987,0.04734,107,0.571818,1.003421,0.001586,101.3857,7.025901,1.635329,0.554549,1.360689,0.896098,0.124333,42.75184,4.920627,131.2289,0.547531,0.00848,0.002843,0.113781,0.00006,0.021344,2452.666,0.158618,0,0.945406,0.150127,0,0.051648,0.003483,1101.655,244170.5,0.063263,2.766709,4.493307,-13.43904,2.69161,0.964523,3.698013,212,-3.89153,15.598,-18.62735,895,-1.304737,11.44426,11.88991,0.00484,0.14951,0.136663,1.056946,0.24105,319.4203,26,-1.141485,-0.000269,-0.135526,0.036697,-0.100932,-0.008908,5.133676,7.371804,0.033889,0.108039,-0.000033,0.000298,58.65192,-0.108984,angry
0.066038,0.053642,0.088978,0.582833,-0.048852,2.234714,0.403454,0.393851,0.434827,0.297168,2.520026,0.679654,1.056808,1.614596,2.27146,2.032239,3.782892,0.17399,0.141791,0.186871,0.041416,0.055156,0.064328,0.012228,0.269251,0.232165,0.20069,0.269777,0.437687,0.534058,1.206626,0.097855,0.114381,0.092324,0.066184,0.117902,0.250936,0.107938,0.198378,5.656508,0.133895,0.268713,0.524369,1.259487,0.030512,0.028629,0.039569,128.5,0.596932,1.002694,0.001568,71.43073,4.558126,1.330457,0.817076,0.666199,0.884673,0.024189,5.038738,5.514094,466.2477,1.272653,0.021818,0.161616,0.048162,0.000188,0.005697,104.6973,0.429245,0,0.753662,0.125768,0,0.185779,0.005747,607.5722,121657.1,0.87334,-2.026183,3.686731,-25.45348,-8.24401,-8.049202,3.448385,1335,-4.702186,36.21583,-15.1492,2754,-0.852815,3.972739,23.55695,0.017544,0.06577,0.06147,1.124911,0.517921,449.7959,140,0.022513,0.000775,-0.116438,-0.029998,0.227272,-0.000914,7.49157,9.889446,-0.040306,0.144631,0.000427,0.002024,1072.703,0.021837,angry
0.153637,0.109135,0.272249,0.229512,0.12613,1.811138,0.509462,0.506861,0.499452,0.435249,2.560106,0.48356,0.836539,1.268759,1.483535,1.51906,3.391053,0.120927,0.101785,0.069318,0.035294,0.035328,0.044956,0.009354,0.173764,0.197391,0.163611,0.227791,0.414889,0.396745,0.751776,0.085007,0.096238,0.07594,0.077046,0.124244,0.255917,0.088023,0.143573,1.011746,0.11781,0.300554,0.690379,0.345568,0.028154,0.037799,0.051037,104.5,0.574714,1.00349,0.001586,96.41057,6.720378,1.60876,0.563305,1.153246,0.895509,0.119202,34.62342,4.841096,133.5317,0.554588,0.006752,0.003106,0.077467,0.000068,0.019999,1492.687,0.091548,0,0.85486,0.108578,0,0.124157,0.004808,1205.091,170462.3,0.202199,2.325637,3.579146,-12.30942,1.800201,0.803742,3.134077,2823,0.415974,15.84423,-16.8985,2605,-1.526704,12.33322,14.02046,0.042347,0.154533,0.165469,-0.075769,0.229649,326.5598,1282,-0.493795,0.001482,0.093573,0.167325,0.037298,-0.006245,4.421245,7.706924,-0.124715,0.11789,0.000145,0.000444,92.85435,-0.140705,angry
0.077218,0.053024,0.129081,0.533886,-0.175722,1.956498,0.354138,0.384769,0.462281,0.465173,2.538323,0.454031,0.848995,1.546403,2.360356,1.770279,3.044626,0.121047,0.109179,0.179688,0.025827,0.031456,0.058539,0.010572,0.178668,0.190698,0.197094,0.366249,0.440587,0.544606,1.228397,0.10537,0.085968,0.125056,0.067078,0.11745,0.259021,0.065907,0.10015,0.678232,0.129219,0.246325,0.572315,0.706206,0.019011,0.031402,0.03931,109.5,0.578176,1.003838,0.001546,83.81009,4.713961,1.293426,0.642786,1.183742,0.899079,0.149358,109.2106,6.30981,66.37022,0.455424,0.010876,0.025477,0.156178,0.000066,0.011574,6401.365,0.341738,0,0.978695,0.127616,0,0.020865,0.002761,573.3811,35274.34,1.912455,4.130775,3.398216,-17.49347,-1.869247,-0.396095,2.691954,1305,-6.262035,19.41325,-15.51429,298,-0.334707,11.7715,14.82379,0.019359,0.077044,0.070631,1.98706,0.429874,423.7004,1648,-0.719363,-0.000741,0.026234,0.161725,0.32424,0.002867,4.685334,6.376881,0.070186,0.089264,0.000085,0.000612,375.0618,-0.017667,angry
