@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_skewness numeric
@attribute mfcc_sma[3]_linregc2 numeric
@attribute mfcc_sma[4]_kurtosis numeric
@attribute mfcc_sma[7]_min numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[7]_linregc2 numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[8]_maxPos numeric
@attribute mfcc_sma[9]_linregc2 numeric
@attribute mfcc_sma[9]_linregerrQ numeric
@attribute mfcc_sma[11]_min numeric
@attribute mfcc_sma[11]_maxPos numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute mfcc_sma[12]_max numeric
@attribute mfcc_sma[12]_linregerrQ numeric
@attribute pcm_zcr_sma_min numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_linregc2 numeric
@attribute pcm_zcr_sma_skewness numeric
@attribute voiceProb_sma_linregc2 numeric
@attribute F0_sma_max numeric
@attribute mfcc_sma_de[1]_minPos numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[2]_amean numeric
@attribute mfcc_sma_de[3]_skewness numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_skewness numeric
@attribute mfcc_sma_de[8]_linregc2 numeric
@attribute mfcc_sma_de[9]_max numeric
@attribute mfcc_sma_de[12]_range numeric
@attribute mfcc_sma_de[12]_skewness numeric
@attribute voiceProb_sma_de_max numeric
@attribute voiceProb_sma_de_linregc2 numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute F0_sma_de_linregerrQ numeric
@attribute F0_sma_de_skewness numeric
@attribute output {angry,notangry}

@data

0.598553,10.37874,2.836244,-9.634397,1.635335,3.051033,2.854098,1455,0.395554,14.95828,-14.75034,2609,-0.913297,9.499515,10.99122,0.079855,0.183003,0.199714,0.373299,0.229708,319.4203,2187,-0.034603,0.000761,-0.918144,-0.09177,0.218563,0.006074,4.17623,7.2527,-0.217968,0.088333,0.000033,0.000333,53.27839,0.691816,angry
1.760743,-1.692168,3.200748,-13.03425,1.031452,2.056425,2.89173,2738,-4.813496,16.5427,-10.79194,2432,0.628908,7.350847,11.08853,0.045372,0.115649,0.122588,2.081161,0.488644,406.9953,2215,-0.118739,0.001904,-0.147873,0.237118,0.038036,0.002,5.162071,8.596449,0.138661,0.13384,-0.000122,0.001104,832.9813,0.02137,angry
0.829489,-5.497724,1.98014,-24.96442,-3.963877,-8.547989,3.761064,2813,-9.891084,54.12863,-19.37623,140,-2.824339,23.08028,18.87049,0.014519,0.090141,0.120383,3.661805,0.403643,442.9648,733,-0.259192,0.000846,-0.294868,-0.644955,-0.540628,-0.001126,5.260463,10.94226,-0.150243,0.134664,0.000019,0.001414,616.2816,-0.019187,angry
1.760743,-1.692168,3.200748,-13.03425,1.031452,2.056425,2.89173,2738,-4.813496,16.5427,-10.79194,2432,0.628908,7.350847,11.08853,0.045372,0.115649,0.122588,2.081161,0.488644,406.9953,2215,-0.118739,0.001904,-0.147873,0.237118,0.038036,0.002,5.162071,8.596449,0.138661,0.13384,-0.000122,0.001104,832.9813,0.02137,angry
1.179705,3.866289,3.496958,-16.87251,-0.826869,2.123908,2.764318,534,1.971133,17.38025,-15.20616,114,-2.881205,18.4778,14.33476,0.00484,0.031485,0.029672,1.897955,0.400875,476.9814,1682,0.29458,0.004641,0.537716,0.49879,0.231281,-0.004232,4.234347,6.382984,-0.027343,0.098179,-0.000061,0.000457,250.1607,0.054238,angry
1.208303,-2.303595,3.001049,-16.44449,-1.263555,-1.060661,2.786242,1729,-5.997735,36.42324,-20.62319,1414,3.371152,14.51003,20.54064,0.014519,0.096597,0.113595,1.61101,0.323365,457.6049,1590,-1.324419,-0.000763,0.039588,0.431777,-0.098623,-0.008252,4.889075,7.46033,0.093239,0.128682,0.000332,0.000822,553.2106,0.020738,angry
0.063263,2.766709,4.493307,-13.43904,2.69161,0.964523,3.698013,212,-3.89153,15.598,-18.62735,895,-1.304737,11.44426,11.88991,0.00484,0.14951,0.136663,1.056946,0.24105,319.4203,26,-1.141485,-0.000269,-0.135526,0.036697,-0.100932,-0.008908,5.133676,7.371804,0.033889,0.108039,-0.000033,0.000298,58.65192,-0.108984,angry
0.87334,-2.026183,3.686731,-25.45348,-8.24401,-8.049202,3.448385,1335,-4.702186,36.21583,-15.1492,2754,-0.852815,3.972739,23.55695,0.017544,0.06577,0.06147,1.124911,0.517921,449.7959,140,0.022513,0.000775,-0.116438,-0.029998,0.227272,-0.000914,7.49157,9.889446,-0.040306,0.144631,0.000427,0.002024,1072.703,0.021837,angry
0.202199,2.325637,3.579146,-12.30942,1.800201,0.803742,3.134077,2823,0.415974,15.84423,-16.8985,2605,-1.526704,12.33322,14.02046,0.042347,0.154533,0.165469,-0.075769,0.229649,326.5598,1282,-0.493795,0.001482,0.093573,0.167325,0.037298,-0.006245,4.421245,7.706924,-0.124715,0.11789,0.000145,0.000444,92.85435,-0.140705,angry
