% Created by psymatrix_2_arff.pl
@relation arff_file/psysound.arff
@attribute mean_Loudness real
@attribute std_Loudness real
@attribute mean_SharpnessA real
@attribute std_SharpnessA real
@attribute mean_SharpnessZ real
@attribute std_SharpnessZ real
@attribute mean_Spectral_Dissonance(HK) real
@attribute std_Spectral_Dissonance(HK) real
@attribute mean_Spectral_Dissonance(S) real
@attribute std_Spectral_Dissonance(S) real
@attribute mean_Timbral_Width real
@attribute std_Timbral_Width real
@attribute mean_Tonal_Dissonance(HK) real
@attribute std_Tonal_Dissonance(HK) real
@attribute mean_Tonal_Dissonance(S) real
@attribute std_Tonal_Dissonance(S) real
@attribute mean_Volume real
@attribute std_Volume real
@attribute mean_Pure_Tonal real
@attribute std_Pure_Tonal real
@attribute mean_Complex_Tonal real
@attribute std_Complex_Tonal real
@attribute mean_Multiplicity real
@attribute std_Multiplicity real
@attribute mean_SpectralCentroid real
@attribute std_SpectralCentroid real
@attribute output {angry,notangry}


@data
1.062267e+02,7.699327e+00,1.720575e+00,4.975585e-01,1.406046e+00,8.892624e-01,1.199278e-01,4.232321e+01,4.743270e+00,1.235564e+02,1.650562e-01,4.311784e-03,1.854790e-03,1.420530e-01,8.565336e-05,1.902968e-02,3.170194e+03,2.335258e-01,0.000000e+00,9.320905e-01,1.195966e-01,0.000000e+00,6.333993e-02,4.086727e-03,1.378355e+03,1.313723e+05,angry
9.187521e+01,5.630643e+00,1.442875e+00,5.870633e-01,1.129233e+00,8.931995e-01,1.140296e-01,3.658862e+01,5.563958e+00,4.146593e+01,2.372927e-01,5.468305e-03,1.563093e-02,9.792856e-02,1.234519e-04,1.498571e-02,1.546164e+03,1.382614e-01,0.000000e+00,9.034621e-01,1.123303e-01,0.000000e+00,8.727648e-02,4.173747e-03,9.846649e+02,8.555895e+04,angry
8.292876e+01,5.160676e+00,1.412433e+00,8.702738e-01,1.054713e+00,8.898084e-01,7.680312e-02,1.688264e+01,5.423000e+00,6.221739e+02,1.203461e+00,3.502071e-02,1.453655e-01,1.937587e-01,2.083256e-04,1.226910e-02,8.106726e+02,1.563406e+00,0.000000e+00,5.579228e-01,9.438682e-02,0.000000e+00,2.468093e-01,7.535583e-03,8.904293e+02,6.210928e+05,angry
9.187521e+01,5.630643e+00,1.442875e+00,5.870633e-01,1.129233e+00,8.931995e-01,1.140296e-01,3.658862e+01,5.563958e+00,4.146593e+01,2.372927e-01,5.468305e-03,1.563093e-02,9.792856e-02,1.234519e-04,1.498571e-02,1.546164e+03,1.382614e-01,0.000000e+00,9.034621e-01,1.123303e-01,0.000000e+00,8.727648e-02,4.173747e-03,9.846649e+02,8.555895e+04,angry
4.846327e+01,3.219300e+00,1.120191e+00,1.443512e+00,8.975920e-01,8.836780e-01,1.018261e-01,8.040698e+01,6.487825e+00,6.489623e+01,1.309312e-01,9.015580e-03,4.117590e-01,4.510827e-01,2.065422e-04,5.127044e-03,2.599604e+03,2.018640e+00,0.000000e+00,9.966711e-01,1.589820e-01,0.000000e+00,3.320024e-03,1.846049e-03,2.301995e+02,1.711516e+04,angry
7.803573e+01,5.018311e+00,1.388116e+00,5.694334e-01,7.629282e-01,8.944179e-01,1.570536e-01,1.693670e+02,5.532200e+00,1.852959e+02,1.512506e+00,3.437199e-02,2.603704e-02,1.181332e-01,1.875070e-04,1.404626e-02,2.998874e+04,5.917940e-01,0.000000e+00,8.794940e-01,1.161041e-01,0.000000e+00,1.060549e-01,3.497049e-03,7.935198e+02,1.861593e+05,angry
1.013857e+02,7.025901e+00,1.635329e+00,5.545492e-01,1.360689e+00,8.960979e-01,1.243331e-01,4.275184e+01,4.920627e+00,1.312289e+02,5.475308e-01,8.480115e-03,2.843261e-03,1.137806e-01,6.020052e-05,2.134405e-02,2.452666e+03,1.586178e-01,0.000000e+00,9.454061e-01,1.501268e-01,0.000000e+00,5.164777e-02,3.483412e-03,1.101655e+03,2.441705e+05,angry
7.143073e+01,4.558126e+00,1.330457e+00,8.170758e-01,6.661990e-01,8.846729e-01,2.418900e-02,5.038738e+00,5.514094e+00,4.662477e+02,1.272653e+00,2.181754e-02,1.616162e-01,4.816229e-02,1.882867e-04,5.696660e-03,1.046973e+02,4.292447e-01,0.000000e+00,7.536618e-01,1.257679e-01,0.000000e+00,1.857794e-01,5.746616e-03,6.075722e+02,1.216571e+05,angry
9.641057e+01,6.720378e+00,1.608760e+00,5.633045e-01,1.153246e+00,8.955090e-01,1.192015e-01,3.462342e+01,4.841096e+00,1.335317e+02,5.545879e-01,6.751891e-03,3.105582e-03,7.746745e-02,6.757277e-05,1.999903e-02,1.492687e+03,9.154760e-02,0.000000e+00,8.548602e-01,1.085777e-01,0.000000e+00,1.241569e-01,4.808356e-03,1.205091e+03,1.704623e+05,angry
8.381009e+01,4.713961e+00,1.293426e+00,6.427861e-01,1.183742e+00,8.990791e-01,1.493576e-01,1.092106e+02,6.309810e+00,6.637022e+01,4.554236e-01,1.087573e-02,2.547652e-02,1.561780e-01,6.597673e-05,1.157400e-02,6.401365e+03,3.417376e-01,0.000000e+00,9.786951e-01,1.276157e-01,0.000000e+00,2.086492e-02,2.760654e-03,5.733811e+02,3.527434e+04,angry
