@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_21 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_10 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_12 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_20 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_3 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_16 numeric
@attribute Mean_Acc1000_Std_Mem40_PeakRatio_Minimum numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_12 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_14 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_15 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_20 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_21 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_17 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_21 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_4 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_6 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_8 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_5 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_7 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_14 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_5 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_6 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_8 numeric
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Average numeric
@attribute Std_Acc1000_Std_Mem40_SCF_19 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_20 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_11 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_4 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_7 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_MidBPM numeric
@attribute BeatHisto_MeanACR numeric
@attribute BeatHisto_MaxHPS numeric
@attribute output {angry,notangry}

@data

0.141542,0.620109,0.139391,-0.062843,9.636553,0.650926,0.545765,0.542725,0.413438,0.570844,2.370495,1.030768,0.522456,1.019787,1.200475,1.443533,2.371322,3.83732,0.10344,0.067386,0.03439,0.027822,0.033063,0.042332,0.46849,0.138062,0.191319,0.116874,0.223877,0.335785,0.413562,0.511271,0.109185,0.098844,0.097478,0.020582,0.003616,0.1295,0.474784,0.590532,0.028241,0.043791,0.052489,0.082147,0.211422,108.25,0.567177,1.002683,angry
0.073785,0.150856,0.463922,0.291237,8.241153,0.516231,0.374809,0.378153,0.417283,0.461762,2.404757,13.186721,0.776577,1.692618,2.148362,2.450843,2.715535,3.154716,0.140216,0.114455,0.050399,0.073223,0.079169,0.08116,0.701045,0.274859,0.141822,0.219597,0.288074,0.304246,0.468021,0.775379,0.078738,0.074657,0.069698,0.055001,0.004824,0.161241,0.585883,0.676958,0.022064,0.031928,0.041568,0.07585,0.211079,117,0.611096,1.003941,angry
0.094909,0.545361,0.30012,0.031233,8.609186,0.653902,0.496569,0.522582,0.408032,0.521995,2.378058,1.44416,0.530058,1.298613,1.266078,1.575794,2.383135,3.045696,0.105197,0.064725,0.033735,0.037036,0.041709,0.047994,0.453883,0.424719,0.384186,0.45376,0.214007,0.333158,0.550703,0.659902,0.120348,0.124529,0.129384,0.026196,0.005879,0.222643,0.41592,0.657528,0.031178,0.037358,0.050161,0.085769,0.213681,149,0.554156,1.0041,angry
0.045047,0.334696,-0.069224,0.338797,8.690834,0.568923,0.504621,0.521266,0.326474,0.463043,2.388486,1.642829,0.4972,1.13416,1.395172,1.682316,3.071358,3.18488,0.110534,0.104435,0.029587,0.052159,0.062356,0.076158,0.726423,0.202105,0.170764,0.144466,0.245943,0.363108,0.364887,0.605664,0.112996,0.081335,0.086615,0.057226,0.004676,0.167884,0.414369,0.613409,0.027739,0.030895,0.047939,0.080744,0.214623,89.25,0.576647,1.003833,angry
0.035082,0.357585,0.16867,0.324059,7.563005,0.59652,0.473978,0.425316,0.376093,0.515533,2.433488,0.82339,0.554053,1.398488,1.821323,2.011653,2.601414,2.920744,0.144726,0.159781,0.029624,0.072954,0.079695,0.089946,0.826954,0.283521,0.202252,0.167696,0.241526,0.375801,0.746015,0.969205,0.129527,0.11634,0.095356,0.09439,0.011687,0.115871,0.77818,0.592056,0.031031,0.039601,0.045406,0.073459,0.214452,102.75,0.602655,1.010862,angry
0.084579,0.290367,0.348563,0.190756,12.360381,0.624414,0.51538,0.464737,0.301686,0.463962,2.369171,4.489636,0.51501,1.417565,1.746994,2.076282,3.189567,4.531284,0.112947,0.091271,0.022705,0.040782,0.045487,0.050744,1.273401,0.470694,0.310197,0.247552,0.259518,0.2899,0.432678,0.912231,0.088533,0.092225,0.089409,0.018449,0.004258,0.314389,1.177394,1.07916,0.029727,0.033799,0.039577,0.07642,0.214299,83,0.563866,1.002558,angry
0.091135,0.398212,0.269625,-0.014786,9.186109,0.575439,0.587749,0.551853,0.381491,0.552717,2.383202,0.812792,0.544916,1.06043,1.15962,1.133517,2.167591,3.467962,0.102675,0.083492,0.03451,0.035902,0.044435,0.058647,1.097755,0.176915,0.11603,0.15105,0.239558,0.283306,0.375682,0.49357,0.092129,0.089594,0.078523,0.026375,0.004982,0.143343,0.394778,0.420982,0.027986,0.041229,0.052083,0.084128,0.213205,116.75,0.588159,1.003819,angry
0.057224,1.175701,-0.029499,0.394961,10.40163,0.472524,0.325587,0.284611,0.365466,0.423452,2.388113,4.955768,0.581,1.699858,2.064354,2.224418,4.671801,5.889874,0.117448,0.227514,0.030721,0.052133,0.058343,0.074203,0.998837,0.708693,0.446821,0.537535,0.337694,0.360036,0.563527,1.403516,0.126553,0.126862,0.135663,0.052669,0.006057,0.209983,1.231901,1.710719,0.031225,0.03378,0.044676,0.079702,0.214159,120.5,0.555111,1.003351,angry
0.084415,-0.017345,0.061366,0.342382,9.402732,0.506864,0.429012,0.453849,0.399403,0.515476,2.401353,2.037593,0.66161,1.56658,1.773064,1.965424,2.588,3.959594,0.143813,0.087026,0.043046,0.047008,0.058506,0.086357,0.695613,0.244562,0.206058,0.190701,0.246645,0.286511,0.479423,0.691575,0.087896,0.071101,0.073907,0.043078,0.00695,0.164648,0.575949,0.759482,0.021113,0.035923,0.044166,0.072727,0.21187,116.25,0.558634,1.004091,angry
0.082225,-0.257463,0.793756,0.129294,8.24613,0.675635,0.480681,0.524545,0.433391,0.508952,2.434784,0.703668,0.488286,1.081321,1.245861,1.593482,2.196261,2.820536,0.103097,0.080025,0.042155,0.038906,0.056171,0.059756,0.452661,0.20741,0.193297,0.121515,0.203374,0.250096,0.331995,0.52637,0.087759,0.101182,0.074963,0.041596,0.004557,0.099052,0.49101,0.541855,0.026524,0.037197,0.048144,0.085215,0.219416,104,0.590859,1.002654,angry
0.052499,0.630143,0.186471,-0.224462,8.480143,0.52682,0.303957,0.330813,0.386775,0.389253,2.423277,7.538134,0.516982,1.869207,2.238175,2.910295,3.027708,3.630384,0.167351,0.156599,0.030125,0.060557,0.104168,0.093871,1.232972,0.32925,0.467483,0.295723,0.288645,0.347601,0.508728,0.976857,0.128586,0.109943,0.096426,0.035103,0.004394,0.363867,1.359939,1.486238,0.026129,0.024432,0.035892,0.06896,0.21571,104,0.577794,1.003076,angry
0.093876,0.261383,0.021685,0.494768,8.709705,0.623166,0.407233,0.451562,0.388944,0.525319,2.403032,1.128587,0.565527,1.455731,1.538892,1.519747,2.249441,3.079907,0.109397,0.079694,0.038766,0.046791,0.050892,0.052286,0.379012,0.353717,0.221433,0.152253,0.225632,0.279403,0.329042,0.889356,0.098795,0.091606,0.081376,0.037806,0.005477,0.257648,0.41664,0.428527,0.020786,0.034673,0.049265,0.084787,0.216796,88,0.567162,1.003856,angry
