@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_skewness numeric
@attribute pcm_RMSenergy_sma_kurtosis numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[3]_maxPos numeric
@attribute mfcc_sma[3]_linregc2 numeric
@attribute mfcc_sma[4]_skewness numeric
@attribute mfcc_sma[4]_kurtosis numeric
@attribute mfcc_sma[7]_min numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[7]_linregc2 numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[8]_maxPos numeric
@attribute mfcc_sma[9]_linregerrQ numeric
@attribute mfcc_sma[9]_kurtosis numeric
@attribute mfcc_sma[10]_linregc1 numeric
@attribute mfcc_sma[10]_kurtosis numeric
@attribute mfcc_sma[11]_maxPos numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute mfcc_sma[12]_max numeric
@attribute mfcc_sma[12]_linregerrQ numeric
@attribute pcm_zcr_sma_min numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_skewness numeric
@attribute voiceProb_sma_min numeric
@attribute voiceProb_sma_linregc2 numeric
@attribute voiceProb_sma_linregerrQ numeric
@attribute voiceProb_sma_skewness numeric
@attribute mfcc_sma_de[1]_minPos numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[2]_amean numeric
@attribute mfcc_sma_de[3]_skewness numeric
@attribute mfcc_sma_de[5]_amean numeric
@attribute mfcc_sma_de[6]_skewness numeric
@attribute mfcc_sma_de[8]_linregc2 numeric
@attribute mfcc_sma_de[9]_linregc2 numeric
@attribute mfcc_sma_de[12]_range numeric
@attribute mfcc_sma_de[12]_skewness numeric
@attribute voiceProb_sma_de_max numeric
@attribute voiceProb_sma_de_linregc2 numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute F0_sma_de_max numeric
@attribute F0_sma_de_linregc1 numeric
@attribute F0_sma_de_linregc2 numeric
@attribute output {angry,notangry}

@data

-0.171292,2.801514,-15.51715,93,6.300583,-0.478458,2.9884,-10.46236,-0.656663,-1.002738,3.059463,900,11.88157,3.50107,-0.000186,3.412629,525,-0.282391,7.416747,8.657239,0.062311,0.180277,-0.477037,0.144932,0.239719,0.001576,1.070641,334,-0.134817,-0.002222,-0.054803,-0.001246,0.13832,-0.001058,0.002613,8.121702,0.082903,0.042926,0.000014,0.000162,0,0,0,angry
2.290855,12.83548,-9.724323,290,-2.816417,-0.582073,3.937304,-19.2168,-1.226976,-1.157897,2.58377,469,36.89363,2.821313,-0.000228,3.145524,2330,-5.19719,8.571561,24.44991,0.012704,0.099236,2.58774,0.144193,0.401328,0.031113,0.381355,2923,0.157082,-0.001585,-0.036299,0.005042,-0.004914,-0.002078,-0.008638,10.31312,-0.12111,0.159656,-0.000308,0.002152,106.4687,0.000063,-0.008076,angry
-0.220291,2.700222,-15.24059,2647,0.510768,-0.549223,3.231701,-10.30423,1.905909,1.676137,3.069276,1357,17.64007,2.806275,-0.000275,2.962586,1041,-0.424261,13.68056,16.45218,0.037508,0.150338,0.288195,0.135504,0.245966,0.004913,1.53312,1424,0.321799,0.002922,0.174686,-0.003774,0.187043,-0.007854,-0.005121,6.106689,-0.02358,0.074017,-0.00006,0.000276,69.76949,0,0.000469,angry
2.317647,12.62191,-8.563317,2856,-2.057058,0.078763,4.544754,-11.13569,1.542922,1.768345,2.974084,2795,15.91643,2.970739,-0.000675,2.910395,784,4.093614,11.86517,9.898847,0.008469,0.074938,4.035182,0.152277,0.299346,0.008308,1.704806,1371,0.344015,-0.000208,-0.227583,0.001211,-0.194966,0.00425,-0.002277,6.433689,0.015602,0.077372,-0.000127,0.000365,96.35714,-0.000007,0.010877,angry
1.364354,4.921375,-8.510078,1538,8.049868,-0.666604,3.836518,-14.70822,2.994132,3.303884,3.404742,2402,24.86842,3.039871,0.000041,3.096235,1077,0.246985,19.45868,17.14107,0.004235,0.056191,2.930015,0.127164,0.341951,0.027452,1.175265,2005,-1.575777,0.002497,-0.231551,-0.00301,-0.215708,0.003808,-0.003824,10.03652,-0.048351,0.137075,0.000221,0.001058,120.7268,-0.000065,0.096763,angry
2.761663,15.21541,-9.904752,1260,-4.95448,-1.043498,5.492696,-18.21013,1.94389,3.111856,3.173031,409,21.60965,2.927665,-0.000492,2.987774,1269,-1.338501,10.48563,16.59752,0.031458,0.121403,0.945286,0.155581,0.456347,0.014668,1.070114,294,-0.058582,0.00008,-0.172533,-0.000709,-0.064199,-0.004039,0.00685,8.206209,-0.098119,0.121257,-0.00023,0.00059,117.9039,-0.000049,0.072497,angry
1.191287,4.59157,-13.17163,2842,5.536591,-0.276991,2.333061,-11.13703,1.207364,1.630276,3.34144,2712,20.59817,2.670707,-0.000729,2.956629,1582,-0.658613,10.15202,11.94644,0.026013,0.127662,0.662168,0.132278,0.203517,0.001184,0.778689,1548,-1.047695,0.001742,-1.20496,0.001609,0.150889,-0.004107,-0.009142,6.098136,-0.135684,0.039732,0.000073,0.000132,0,0,0,angry
5.938581,43.91979,-3.570071,2229,2.538747,-0.042213,3.208689,-22.77789,-7.781094,-8.592763,2.784022,1275,41.39169,2.546126,0.000973,3.219068,2873,-3.653218,11.21046,34.01905,0.016939,0.076325,4.778609,0.173761,0.546346,0.024076,0.001877,25,-1.07385,-0.004753,0.55622,0.007009,0.143307,0.002967,0.004813,6.610535,0.068018,0.130754,0.000098,0.000714,119.7321,0.00001,0.087722,angry
0.413601,2.931024,-13.9248,1442,2.720165,-0.269591,3.049331,-22.36483,2.145192,3.636832,4.051883,933,31.51313,4.068756,-0.000034,4.275512,2600,1.783082,13.26161,17.05609,0.012099,0.13563,0.481622,0.132673,0.363462,0.021315,1.113391,1962,-0.269994,0.002926,-0.06206,0.007144,0.205484,-0.004573,-0.006424,8.193985,-0.079954,0.120038,-0.000194,0.001095,117.8877,-0.000045,0.067529,angry
