@relation arff_file/psysound.arff

@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {angry,notangry}

@data

103.5343,7.332755,1.681423,0.528781,1.377579,0.885759,0.172409,46.80362,4.684371,19.51164,0.102995,0.003275,0.001135,0.11687,0.000029,0.030199,2602.021,0.098145,0,0.879494,0.136406,0,0.106055,0.004147,1516.131,165280.4,angry
75.10204,5.276873,1.47029,0.72699,0.955348,0.889962,0.069303,24.49098,5.203474,188.0797,0.865524,0.030357,0.173404,0.402779,0.000178,0.01177,765.903,1.103766,0,0.754328,0.095655,0,0.185441,0.005068,818.7043,566814.8,angry
97.50742,7.064604,1.664934,0.535144,1.220374,0.896437,0.107189,29.19262,4.758765,69.81208,0.187114,0.003669,0.002812,0.074411,0.000049,0.014393,1096.979,0.11301,0,0.764314,0.100575,0,0.180258,0.005599,1046.951,162519.6,angry
76.03898,5.032376,1.390689,0.752879,1.134524,0.904691,0.132438,60.55991,5.68915,154.2065,0.592763,0.01925,0.036629,0.172474,0.000148,0.013615,4043.026,0.65941,0,0.973369,0.127207,0,0.025939,0.003077,483.1463,220165.1,angry
73.54925,5.244412,1.433432,0.747278,1.012044,0.894927,0.080685,51.01553,5.488026,315.7673,1.639783,0.040615,0.195753,0.464298,0.000215,0.01208,7851.133,1.196249,0,0.948069,0.096073,0,0.049267,0.002843,384.6033,184109.4,angry
86.06317,5.634809,1.482543,0.626363,0.81434,0.890124,0.127244,37.30728,5.150251,162.0618,0.783607,0.018821,0.012809,0.044598,0.000162,0.018361,1284.489,0.563516,0,0.934088,0.095412,0,0.061609,0.002544,1080.631,218728.7,angry
83.37642,6.086128,1.565045,0.584295,0.979573,0.896088,0.153651,47.59404,4.729082,76.63508,0.585242,0.012972,0.00424,0.097758,0.00006,0.020605,2489.949,0.196352,0,0.879494,0.115645,0,0.106055,0.003612,913.0926,238851.4,angry
53.5742,3.861532,1.30831,0.485255,0.336482,0.878018,0.134412,173.7205,4.765493,292.2392,1.098791,0.02541,0.026089,0.074092,0.000283,0.008031,15123.79,1.401191,0,0.941412,0.120114,0,0.055193,0.002395,641.0833,309914.2,angry
91.03397,6.438794,1.596899,0.538399,1.064046,0.892439,0.095909,37.24991,4.830725,255.8786,0.910025,0.014475,0.009387,0.170854,0.00013,0.01317,1993.332,0.440816,0,0.852197,0.118003,0,0.126041,0.004792,1027.358,293491.4,angry
