@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute std_Volume numeric
@attribute mean_Complex_Tonal numeric
@attribute mean_SpectralCentroid numeric
@attribute output {angry,notangry}

@data

103.5343,7.332755,1.681423,1.377579,0.885759,0.172409,46.80362,0.003275,0.001135,0.000029,0.030199,0.098145,0.136406,1516.131,angry
75.10204,5.276873,1.47029,0.955348,0.889962,0.069303,24.49098,0.030357,0.173404,0.000178,0.01177,1.103766,0.095655,818.7043,angry
97.50742,7.064604,1.664934,1.220374,0.896437,0.107189,29.19262,0.003669,0.002812,0.000049,0.014393,0.11301,0.100575,1046.951,angry
76.03898,5.032376,1.390689,1.134524,0.904691,0.132438,60.55991,0.01925,0.036629,0.000148,0.013615,0.65941,0.127207,483.1463,angry
73.54925,5.244412,1.433432,1.012044,0.894927,0.080685,51.01553,0.040615,0.195753,0.000215,0.01208,1.196249,0.096073,384.6033,angry
86.06317,5.634809,1.482543,0.81434,0.890124,0.127244,37.30728,0.018821,0.012809,0.000162,0.018361,0.563516,0.095412,1080.631,angry
83.37642,6.086128,1.565045,0.979573,0.896088,0.153651,47.59404,0.012972,0.00424,0.00006,0.020605,0.196352,0.115645,913.0926,angry
53.5742,3.861532,1.30831,0.336482,0.878018,0.134412,173.7205,0.02541,0.026089,0.000283,0.008031,1.401191,0.120114,641.0833,angry
91.03397,6.438794,1.596899,1.064046,0.892439,0.095909,37.24991,0.014475,0.009387,0.00013,0.01317,0.440816,0.118003,1027.358,angry
86.4544,6.132177,1.56572,1.190414,0.905461,0.112829,33.6596,0.007971,0.004947,0.000066,0.016916,0.146565,0.11847,851.9993,angry
80.57826,4.300582,1.236469,0.751653,0.877376,0.173029,194.3668,0.032956,0.059404,0.000232,0.021373,1.25334,0.088041,555.1334,angry
96.02681,6.433006,1.556811,1.45302,0.899237,0.191701,61.52003,0.007816,0.012559,0.000122,0.022676,0.271162,0.084911,996.1456,angry
94.01692,6.156437,1.519267,1.354229,0.903291,0.095655,18.13233,0.006982,0.007457,0.000046,0.017212,0.175264,0.149637,869.0416,angry
48.46327,3.2193,1.120191,0.897592,0.883678,0.101826,80.40698,0.009016,0.411759,0.000207,0.005127,2.01864,0.158982,230.1995,angry
70.49868,4.837061,1.400879,0.883893,0.893543,0.059785,27.96735,0.025412,0.050547,0.000258,0.010452,1.121655,0.097714,577.5746,angry
100.9648,7.016046,1.64858,1.203563,0.896237,0.101686,17.89791,0.00917,0.010921,0.000107,0.019083,0.269668,0.100089,1490.738,angry
89.08034,6.032828,1.523559,1.290552,0.907169,0.119401,30.18031,0.003481,0.005648,0.000034,0.013549,0.255126,0.125192,824.6691,angry
64.00801,3.857808,1.195728,0.617784,0.875613,0.059991,60.68501,0.056406,0.086469,0.000251,0.003281,2.144403,0.114719,440.3622,angry
71.32299,5.546197,1.538453,0.928778,0.89596,0.145005,81.34132,0.015309,0.038405,0.000177,0.030423,0.650438,0.137349,831.8309,angry
95.60287,6.393878,1.562987,1.133836,0.89882,0.113539,33.78972,0.001969,0.003571,0.000052,0.013232,0.071396,0.098648,1060,angry
77.84941,5.072684,1.393402,1.284144,0.894773,0.054345,28.42986,0.024766,0.130562,0.000242,0.007301,0.990205,0.125852,465.9434,angry
94.76545,6.644848,1.599109,1.461475,0.896422,0.131684,34.18342,0.004717,0.01078,0.000042,0.016603,0.159204,0.150983,1087.201,angry
101.3857,7.025901,1.635329,1.360689,0.896098,0.124333,42.75184,0.00848,0.002843,0.00006,0.021344,0.158618,0.150127,1101.655,angry
93.21576,6.447084,1.580261,1.100722,0.895028,0.138467,63.85381,0.009158,0.005943,0.000086,0.021526,0.205026,0.093603,1005.481,angry
91.12647,6.043072,1.513221,1.273769,0.902089,0.118093,45.42118,0.009536,0.007641,0.000071,0.013151,0.166813,0.126415,802.8574,angry
87.08043,6.31897,1.596672,1.266773,0.888527,0.110895,38.10057,0.008137,0.015947,0.00015,0.021377,0.385665,0.093708,937.958,angry
82.67114,5.327145,1.423967,0.996317,0.895791,0.075175,43.24366,0.015981,0.051116,0.000211,0.007772,0.453015,0.1113,706.9624,angry
96.58901,6.603782,1.586841,1.354471,0.903837,0.112543,43.10716,0.006555,0.00597,0.000049,0.009204,0.169552,0.120046,1017.929,angry
61.02744,4.418912,1.360392,0.727121,0.89445,0.038152,7.023078,0.014908,0.075436,0.000206,0.007618,0.479805,0.045072,263.5534,angry
100.4725,7.403705,1.709892,1.239733,0.894157,0.176913,65.71824,0.002857,0.001391,0.000039,0.024534,0.086855,0.120487,1492.291,angry
56.26848,3.897902,1.270869,0.712427,0.86801,0.035222,32.09511,0.027351,0.354415,0.000495,0.004089,1.223249,0.102108,393.7291,angry
74.74166,4.821299,1.378963,0.717648,0.885025,0.061277,49.23537,0.035899,0.060556,0.000298,0.006654,0.872437,0.06045,651.545,angry
96.00164,7.054755,1.67001,1.187443,0.878479,0.097182,40.49661,0.033712,0.027751,0.000127,0.017466,0.328754,0.14575,1373.538,angry
89.21239,6.044104,1.526123,1.096421,0.896696,0.067577,27.09521,0.022103,0.02204,0.000147,0.006697,0.401231,0.098525,949.6947,angry
74.16926,4.935532,1.381619,1.125655,0.894298,0.053068,20.55331,0.048301,0.119109,0.000265,0.006011,1.370819,0.129481,613.491,angry
93.89555,6.802896,1.652419,1.095499,0.893724,0.10974,33.79449,0.016372,0.011372,0.000201,0.017962,0.478259,0.10324,1417.351,angry
102.8535,7.151671,1.659686,1.292967,0.890552,0.110805,22.57162,0.005633,0.001644,0.000053,0.023159,0.186699,0.148293,1576.071,angry
111.414,7.913383,1.737628,1.269097,0.892571,0.146606,60.77981,0.005595,0.004844,0.000064,0.015535,0.076977,0.110952,1790.783,angry
93.52667,6.034723,1.50264,1.472482,0.900303,0.156871,34.0975,0.01915,0.025764,0.000178,0.026218,0.716712,0.169392,1043.473,angry
78.77559,5.683062,1.5003,1.280592,0.903394,0.100001,28.34632,0.013009,0.053301,0.000114,0.011709,0.250161,0.141169,560.9942,angry
95.2597,5.558927,1.39128,1.225794,0.904106,0.266791,263.3871,0.008086,0.010025,0.000048,0.0334,0.420807,0.123963,704.7128,angry
97.37951,6.869071,1.62904,1.261331,0.890257,0.129586,33.19081,0.003451,0.00301,0.000045,0.024657,0.096444,0.103485,1053.175,angry
77.48919,4.968302,1.374537,0.919291,0.901585,0.111793,72.56817,0.020187,0.013541,0.000097,0.007515,0.402859,0.120482,498.4319,angry
109.8734,7.049139,1.609718,1.313022,0.883013,0.064694,55.48463,0.020281,0.029437,0.000383,0.011684,1.388189,0.127948,1009.605,angry
83.39942,5.227949,1.380636,1.1774,0.904672,0.170041,95.74939,0.013492,0.020874,0.000085,0.014543,0.24239,0.123816,429.3749,angry
97.51266,6.434427,1.547454,1.21235,0.89449,0.209912,75.96813,0.004603,0.006078,0.000087,0.040995,0.124051,0.105064,923.0846,angry
85.49151,6.139164,1.563887,1.086538,0.890993,0.082538,29.9581,0.009846,0.012996,0.000129,0.013273,0.266784,0.097841,898.894,angry
40.29089,3.320593,1.22475,0.350838,0.878581,0.125222,99.0209,0.049137,0.219082,0.000387,0.013245,1.871163,0.099387,377.1198,angry
98.4587,5.586654,1.369092,1.500776,0.899442,0.103876,66.94953,0.024686,0.022962,0.000237,0.008027,0.617236,0.10136,536.0794,angry
83.81009,4.713961,1.293426,1.183742,0.899079,0.149358,109.2106,0.010876,0.025477,0.000066,0.011574,0.341738,0.127616,573.3811,angry
101.4342,6.524152,1.549462,1.299318,0.898036,0.132155,36.06784,0.003624,0.003096,0.00004,0.023139,0.102021,0.123265,1103.728,angry
73.12407,5.285973,1.468278,0.878023,0.890101,0.026638,6.89651,0.02538,0.086996,0.000214,0.009775,0.832963,0.088109,659.7815,angry
73.65476,5.024616,1.400844,1.104825,0.903291,0.105415,49.26458,0.012356,0.053826,0.000108,0.011569,0.339628,0.124604,416.894,angry
98.66378,6.968339,1.657787,0.981884,0.886455,0.12968,34.08581,0.012082,0.004934,0.000101,0.026335,0.361918,0.112453,1576.365,angry
91.87521,5.630643,1.442875,1.129233,0.8932,0.11403,36.58862,0.005468,0.015631,0.000123,0.014986,0.138261,0.11233,984.6649,angry
97.69702,5.709871,1.443452,1.056162,0.893532,0.095734,52.04172,0.002285,0.009411,0.000063,0.007374,0.184383,0.090299,1015.042,angry
89.43772,5.94267,1.501382,1.255532,0.900632,0.154596,69.89184,0.011856,0.015148,0.000127,0.016285,0.55747,0.085164,815.2785,angry
95.51334,6.167849,1.521822,1.243041,0.895229,0.140318,33.79829,0.00212,0.003583,0.000073,0.018588,0.066181,0.09565,1105.909,angry
91.19264,6.279317,1.562253,1.186885,0.889511,0.074553,27.87779,0.017081,0.04636,0.000416,0.011279,0.681856,0.100186,986.9553,angry
152.5245,9.174748,1.716793,2.508464,0.881776,0.115595,54.16325,0.033661,0.021374,0.000405,0.018956,3.982684,0.112685,1125.405,angry
85.63054,6.144676,1.567982,1.012465,0.897807,0.114744,46.50729,0.010418,0.009596,0.000122,0.013751,0.309187,0.10158,889.7131,angry
101.7339,6.798819,1.595466,1.434183,0.904538,0.111836,30.53366,0.002333,0.001867,0.000027,0.01319,0.075366,0.125258,1216.949,angry
71.97451,4.167478,1.258987,0.714456,0.885409,0.169479,113.4691,0.013125,0.0206,0.000205,0.014102,0.621063,0.097822,684.6867,angry
89.77885,6.390958,1.578502,1.269161,0.903463,0.130505,38.43837,0.009339,0.007248,0.000047,0.021562,0.191862,0.123067,803.093,angry
99.78564,6.185108,1.470762,1.658798,0.899577,0.081825,33.40218,0.048303,0.017559,0.000348,0.006781,0.69409,0.132079,834.5318,angry
79.23838,5.811141,1.546021,1.000958,0.905972,0.208962,112.6087,0.016158,0.013303,0.000069,0.022505,0.53472,0.105288,852.4411,angry
95.81634,6.855349,1.648468,1.079157,0.890217,0.100423,29.17506,0.007387,0.008539,0.000133,0.014019,0.316777,0.111275,1359.547,angry
92.28918,6.208423,1.53162,1.288198,0.903811,0.110764,46.88896,0.017884,0.010966,0.000167,0.014212,0.79647,0.112782,723.8244,angry
99.23354,6.590897,1.577621,1.283061,0.900898,0.180739,71.30582,0.012651,0.006874,0.00014,0.022299,0.245489,0.135955,1276.715,angry
109.9098,6.686627,1.528495,1.446196,0.889615,0.14036,92.34677,0.036142,0.012757,0.000227,0.017787,0.582344,0.142654,1074.801,angry
67.09225,4.205319,1.27256,1.081186,0.90019,0.133845,59.69096,0.008201,0.067451,0.000215,0.017506,1.144355,0.117972,358.6754,angry
81.95091,5.63548,1.47646,0.965712,0.902846,0.165154,97.8757,0.032915,0.012989,0.000098,0.024188,0.579135,0.091203,575.5948,angry
74.03092,5.064497,1.411719,0.927977,0.89854,0.12546,96.5997,0.023633,0.023066,0.000098,0.013275,0.468634,0.12119,523.3468,angry
94.11393,6.349195,1.546391,1.194685,0.899691,0.102844,37.84615,0.006046,0.003387,0.000029,0.010683,0.130934,0.109861,830.6947,angry
67.26678,4.141918,1.238753,0.824172,0.903563,0.392561,496.0357,0.038995,0.020613,0.000204,0.059316,0.798071,0.021244,205.7654,angry
106.2267,7.699327,1.720575,1.406046,0.889262,0.119928,42.32321,0.004312,0.001855,0.000086,0.01903,0.233526,0.119597,1378.355,angry
91.76367,6.127281,1.50665,1.55762,0.902449,0.107416,54.7814,0.015563,0.03807,0.000098,0.015233,0.575362,0.106555,516.2302,angry
90.85223,6.523019,1.593331,1.416117,0.886593,0.10985,42.22068,0.014249,0.018419,0.000128,0.021539,0.181316,0.150976,931.3433,angry
97.02205,6.712877,1.601,1.306458,0.895162,0.12792,58.20171,0.006939,0.003689,0.000047,0.016746,0.123251,0.152689,949.829,angry
