@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_PeakRatio_Chroma_A# numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_2 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_17 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_8 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_4 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_5 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_18 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_17 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_4 numeric
@attribute Std_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_4 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_19 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Std_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_1 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_2 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_8 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_2 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_4 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_9 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_PeriodicCentroid1 numeric

@data

0.089671,0.073419,0.113702,-0.5675,0.586833,-0.839985,-0.835271,0.000011,1.627663,1.97397,10.478623,0.348015,0.180315,0.512359,0.794518,2.717591,0.356269,0.064302,0.024552,0.041759,0.017857,0.407971,0.249316,0.474365,3.259056,0.119814,0.146132,0.02837,0.00593,4.132869,0.379759,0.101642,0.145271,0.263436,0.413555,0.281472,0.034113,0.014019,0.015284,0.037634,0.100256,0.218465,7.603054,0.499288
0.054765,0.041903,0.06454,0.721979,1.478901,-0.362955,0.128559,0.000055,1.46928,1.847071,8.260653,0.453657,0.145931,0.568106,0.739158,2.687406,0.447741,0.141307,0.022749,0.052082,0.007112,0.250965,0.274817,0.388003,1.913543,0.122612,0.126461,0.02056,0.012856,3.835006,0.466496,0.087303,0.128903,0.15888,0.189958,0.221797,0.032773,0.00902,0.014091,0.041526,0.09872,0.212668,15.375594,0.492335
0.038423,0.032117,0.049432,0.763947,2.163058,0.926909,0.815112,0.000096,1.638745,2.008768,8.015653,0.390818,0.098305,0.520366,0.70533,2.726627,0.37161,0.184452,0.024791,0.060846,0.019642,0.284664,0.335659,0.363413,1.314145,0.133175,0.137492,0.025221,0.032756,4.356427,0.794322,0.113621,0.120857,0.183736,0.219669,0.272542,0.046693,0.016871,0.022222,0.034241,0.096292,0.207744,7.920908,0.456468
0.054388,0.044391,0.077169,-0.71542,1.055393,-0.424052,-0.531198,0.000027,1.57662,1.942312,6.106444,0.415573,0.147684,0.494115,0.649967,2.808918,0.410282,0.148387,0.024161,0.049072,0.017579,0.537428,0.323193,0.347735,2.875223,0.139928,0.087775,0.029287,0.028977,4.391292,0.695991,0.106239,0.115326,0.162941,0.305945,0.223861,0.044914,0.011997,0.01928,0.031764,0.091576,0.220096,10.968856,0.478159
0.085121,0.068949,0.142487,0.127513,1.141299,-0.404411,-0.023649,0.000177,1.546073,1.932315,8.554466,0.36308,0.170681,0.554849,0.765846,2.697229,0.46007,0.150875,0.043922,0.059197,0.026762,0.426374,0.29664,0.372489,2.233875,0.139422,0.12347,0.042542,0.012247,4.142381,0.472606,0.087095,0.111519,0.14819,0.254985,0.210994,0.043316,0.016696,0.014025,0.038981,0.103701,0.212309,11.01271,0.546372
0.054018,0.04017,0.073824,0.578153,1.767247,0.015974,-0.157038,0.00013,1.519021,1.873573,6.822415,0.422175,0.137835,0.549786,0.725666,2.713866,0.411151,0.142248,0.023226,0.052806,0.016795,0.479426,0.276864,0.357867,1.530237,0.128656,0.122062,0.039943,0.015971,4.211146,0.630875,0.074959,0.121529,0.141007,0.272951,0.275827,0.040472,0.011097,0.014991,0.034303,0.099716,0.220685,19.309155,0.47122
0.033193,0.023904,0.04138,1.14459,1.995803,0.303698,0.44629,0.000039,1.534489,1.79897,7.009127,0.417764,0.091363,0.49845,0.689023,2.792343,0.401679,0.219322,0.022688,0.080255,0.013072,0.385152,0.276392,0.381519,2.49228,0.121622,0.126273,0.017122,0.025179,4.344907,0.620659,0.10197,0.106511,0.147064,0.216347,0.214961,0.035359,0.008058,0.016576,0.039418,0.090577,0.211826,8.96365,0.503423
0.058325,0.040037,0.075754,1.40498,2.013712,0.830887,0.450562,0.000204,1.578763,2.132006,6.146521,0.447803,0.103149,0.606928,0.773496,2.693199,0.427736,0.124465,0.022342,0.064702,0.023288,0.227184,0.360362,0.451307,1.120433,0.15277,0.115297,0.01596,0.04683,4.011501,0.583443,0.109096,0.177329,0.190351,0.253717,0.21215,0.050203,0.007724,0.02776,0.051048,0.115012,0.214281,26.758754,0.501932
0.052343,0.033045,0.058034,0.825589,1.557591,0.535245,-0.448911,0.000397,1.530092,2.066538,6.132359,0.495138,0.130518,0.577584,0.737469,2.712327,0.421203,0.1461,0.026228,0.053337,0.010533,0.277221,0.313865,0.427088,1.536877,0.106944,0.099043,0.025245,0.007833,3.793911,0.42943,0.106014,0.128139,0.16922,0.187283,0.172625,0.050255,0.009784,0.01993,0.048422,0.102801,0.212042,24.529036,0.505421
