@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_max numeric
@attribute pcm_RMSenergy_sma_amean numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[2]_max numeric
@attribute mfcc_sma[2]_linregc2 numeric
@attribute mfcc_sma[7]_linregc2 numeric
@attribute mfcc_sma[9]_amean numeric
@attribute mfcc_sma[11]_amean numeric
@attribute pcm_zcr_sma_range numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_linregc1 numeric
@attribute pcm_zcr_sma_linregc2 numeric
@attribute pcm_zcr_sma_linregerrQ numeric
@attribute pcm_zcr_sma_skewness numeric
@attribute voiceProb_sma_linregc2 numeric
@attribute voiceProb_sma_skewness numeric
@attribute voiceProb_sma_kurtosis numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[4]_minPos numeric
@attribute mfcc_sma_de[4]_linregerrQ numeric
@attribute mfcc_sma_de[5]_kurtosis numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[8]_amean numeric
@attribute mfcc_sma_de[11]_linregc1 numeric
@attribute mfcc_sma_de[11]_kurtosis numeric
@attribute mfcc_sma_de[12]_linregerrQ numeric
@attribute pcm_zcr_sma_de_linregc2 numeric
@attribute F0_sma_de_maxPos numeric
@attribute output {calm,notcalm}

@data

0.024769,0.006976,-6.19521,-0.34368,-0.587231,-11.55161,-17.66055,-2.36061,-4.282132,0.142166,0.08339,-0.000016,0.107043,0.000438,0.26553,0.717702,0.201521,2.112073,10.92288,0.038506,953,0.513365,3.146176,3.046261,-0.001681,-0.000004,2.873422,1.009808,0.000039,1481,calm
0.03421,0.007392,-3.265954,-0.61797,14.23154,-2.453928,-6.858328,-5.965207,-3.64653,0.326679,0.055856,0.000004,0.050593,0.000492,3.973821,0.504193,0.040793,2.906044,20.78711,-0.248038,142,0.594342,4.259584,3.721194,-0.000603,0.000003,3.70611,0.956067,-0.000004,1749,calm
0.064482,0.008013,-1.081338,-0.912486,17.8826,1.112604,-8.165167,-7.233751,-4.816131,0.527526,0.040321,0.00001,0.025996,0.002703,5.879241,0.608353,-0.214866,2.051924,29.60422,-0.363429,2870,0.900404,4.90323,4.205572,0.000655,-0.000001,4.182413,1.089907,0.000032,2528,calm
0.02878,0.005234,3.360721,-0.471732,10.26136,-11.80936,-6.431929,-7.345612,-4.51144,0.543255,0.048973,-0.000013,0.068407,0.001374,6.388778,0.502144,0.388724,2.560221,23.92462,-0.994994,1009,0.894719,3.569402,3.892027,0.004137,-0.000004,3.68349,0.979292,-0.000003,1593,calm
0.094548,0.024521,-7.020234,0.107587,11.35076,-3.436095,-12.66339,-3.070072,0.702758,0.317604,0.082632,-0.000004,0.088668,0.002022,0.829351,0.632037,-0.137054,1.919268,9.235991,-0.241488,1087,0.985155,4.736539,4.034079,0.003283,-0.000008,3.787968,1.310448,0.000099,1117,calm
0.092999,0.012664,-0.932942,-0.046381,18.20141,0.369608,-3.821752,-2.235969,-4.967757,0.316999,0.046536,0,0.045804,0.001154,2.271138,0.520819,0.005056,1.885071,36.74812,-1.059784,1804,0.585984,3.973034,3.567484,0.004869,-0.000007,3.602139,0.805851,-0.000009,778,calm
0.022639,0.003497,5.034483,-0.498712,19.52147,2.119025,-5.764789,-4.699158,-2.348091,0.374471,0.030879,-0.000005,0.038676,0.001126,6.39894,0.424265,0.291834,2.584085,16.0259,-1.005387,2851,0.92065,4.244759,6.064636,0.004697,-0.000007,5.002816,1.472723,-0.000034,1208,calm
0.126377,0.014254,-5.728661,-1.417851,21.97675,5.552321,-0.500793,-7.491177,-3.645787,0.501512,0.0536,-0.000011,0.070167,0.004778,3.878698,0.387259,0.598052,2.630041,24.25825,-0.656223,1987,0.600158,6.62143,3.875931,-0.000463,0.000005,3.580932,0.804873,-0.000466,675,calm
0.064991,0.020889,-4.400516,0.065313,12.32889,-0.882144,6.879642,-0.163087,-1.319303,0.218996,0.052143,0,0.05204,0.0007,1.122284,0.390251,0.717795,2.836549,9.833617,-1.069211,2972,0.919327,3.73601,5.610999,0.005091,-0.000004,3.848037,0.965693,-0.000011,104,calm
