@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_PeakRatio_Chroma_A numeric
@attribute Mean_Acc1000_Mean_Mem40_PeakRatio_Chroma_C numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_6 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_20 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_21 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_8 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_20 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_4 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_5 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_9 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_16 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_16 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_17 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_3 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_4 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_PeakRatio_Minimum numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_3 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_4 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_19 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Std_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_1 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_2 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_8 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_2 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_4 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_9 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_HighPeakAmp numeric

@data

0.116273,0.087268,0.388361,-47.246414,2.642444,-0.093889,1.15685,-0.006488,0.245834,0.000547,0.000556,1.469378,2.802448,7.720869,13.309783,0.482909,0.560399,0.272579,0.159115,0.642668,0.783439,1.383681,0.460879,2.454802,0.161044,0.176665,0.058086,0.073088,0.059155,0.471,3.062197,0.260282,0.223712,0.322967,0.911893,0.087073,0.087767,0.027544,0.022951,0.263103,0.097274,0.092963,0.100163,0.131349,0.142881,0.035711,0.021262,0.033299,0.04778,0.100834,0.194267,62.545342
0.048872,0.035801,0.063208,-53.045955,6.638666,1.17871,1.87156,0.627915,0.035297,0.000172,0.0002,1.492806,2.84159,6.365057,8.494243,0.424606,0.430645,0.400289,0.118109,0.571462,0.737126,1.372978,0.46533,2.35491,0.138274,0.137773,0.020887,0.054364,0.065301,0.727829,1.314585,0.326427,0.311466,0.40408,1.438499,0.139271,0.118975,0.024688,0.028563,0.808144,0.151767,0.084245,0.106963,0.176117,0.291674,0.042147,0.020986,0.033745,0.037176,0.103347,0.218523,18.998475
0.088205,0.066036,0.134572,-45.686326,4.9212,-0.679078,0.809388,-1.04244,0.15971,0.000419,0.000413,1.491143,2.68795,8.001289,9.442753,0.414606,0.397785,0.353226,0.190287,0.596579,0.7557,1.335133,0.420622,2.441859,0.138653,0.144262,0.029702,0.044922,0.050025,0.549498,11.303691,0.306978,0.299044,0.403339,1.524081,0.124714,0.125007,0.030589,0.013287,0.43541,0.10726,0.093134,0.122808,0.170109,0.311769,0.043101,0.017819,0.030777,0.042365,0.097458,0.214528,65.532919
0.044358,0.024365,0.221761,-49.778302,2.653208,0.205924,0.225158,-0.627017,-0.18849,0.000689,0.000695,1.499303,2.764547,11.16929,12.981683,0.443531,0.460877,0.185238,0.134969,0.622708,0.763858,1.327125,0.44223,2.57179,0.117433,0.110435,0.038228,0.043152,0.048894,0.584637,0.594032,0.214956,0.332481,0.388133,1.911521,0.110142,0.142539,0.031446,0.021736,0.312466,0.135412,0.075067,0.121961,0.156103,0.178676,0.03997,0.022883,0.035024,0.048997,0.099523,0.215778,64.81348
0.050957,0.038833,0.068192,-55.917466,6.228422,1.210615,1.30219,0.370838,0.790627,0.000059,0.000058,1.434756,2.597401,9.363429,10.409973,0.484639,0.351658,0.317553,0.113008,0.581952,0.734278,1.379508,0.421863,2.847937,0.159058,0.150827,0.037695,0.08034,0.088911,0.686536,1.492021,0.356728,0.282245,0.299714,2.256726,0.118324,0.111536,0.019549,0.031124,0.69698,0.146402,0.089548,0.140178,0.188037,0.287152,0.0377,0.02125,0.028205,0.037742,0.100049,0.214428,9.396578
0.056061,0.038958,0.071004,-51.366585,6.907984,0.633099,1.642096,0.582813,-0.154843,0.000173,0.000181,1.535175,2.80364,5.826472,7.25549,0.431052,0.434845,0.428248,0.130461,0.552993,0.713949,1.332176,0.402936,2.459302,0.13764,0.126242,0.019703,0.044305,0.055903,0.910067,0.929161,0.31523,0.242944,0.336322,1.192557,0.12389,0.102616,0.021251,0.036355,0.787929,0.170917,0.083593,0.111746,0.13526,0.238203,0.035134,0.01533,0.030995,0.038708,0.102183,0.215848,21.863449
0.077699,0.054357,0.11185,-51.576757,5.080247,0.874468,1.396282,0.244681,0.497302,0.000103,0.000132,1.598471,2.909288,6.418225,8.233609,0.415706,0.491209,0.394428,0.143863,0.602381,0.776138,1.385677,0.456949,2.195882,0.133366,0.136648,0.031279,0.064205,0.063374,0.662322,2.683952,0.318436,0.289947,0.312684,1.046693,0.127006,0.116731,0.025085,0.02699,0.578629,0.090109,0.091177,0.127397,0.22105,0.182582,0.036305,0.022895,0.031618,0.039783,0.102373,0.21808,37.055287
0.11598,0.081408,0.192617,-51.584769,4.237648,1.152103,1.782474,-0.506831,-0.431925,0.000031,0.000044,1.511158,2.694504,7.918805,11.631741,0.429303,0.373546,0.289231,0.161293,0.630677,0.800366,1.355482,0.440962,2.556166,0.123826,0.128913,0.024021,0.058287,0.053738,0.723854,3.736133,0.301458,0.26457,0.345765,2.315277,0.110117,0.109006,0.022546,0.038563,0.422164,0.110553,0.107309,0.090313,0.128836,0.241852,0.032292,0.020652,0.037654,0.049908,0.110506,0.21307,14.665977
0.037315,0.023802,0.056341,-50.184781,6.281334,0.514013,1.836395,0.45766,0.273305,0.000508,0.000473,1.47052,2.607893,6.242885,8.342529,0.500171,0.470265,0.446885,0.105029,0.57584,0.723398,1.329416,0.4406,2.007069,0.135376,0.144739,0.025946,0.055102,0.059896,0.507592,0.688108,0.280732,0.303881,0.382239,1.656794,0.109371,0.116571,0.024603,0.015116,0.575056,0.127668,0.080943,0.109408,0.123134,0.195205,0.037817,0.018642,0.0237,0.044039,0.100728,0.21169,27.146194
