@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_max numeric
@attribute pcm_RMSenergy_sma_amean numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[2]_max numeric
@attribute mfcc_sma[2]_linregc2 numeric
@attribute mfcc_sma[7]_linregc2 numeric
@attribute mfcc_sma[8]_linregc2 numeric
@attribute mfcc_sma[11]_amean numeric
@attribute pcm_zcr_sma_min numeric
@attribute pcm_zcr_sma_range numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_linregc2 numeric
@attribute pcm_zcr_sma_stddev numeric
@attribute voiceProb_sma_amean numeric
@attribute voiceProb_sma_linregc2 numeric
@attribute voiceProb_sma_skewness numeric
@attribute voiceProb_sma_kurtosis numeric
@attribute F0_sma_minPos numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[4]_minPos numeric
@attribute mfcc_sma_de[4]_linregerrQ numeric
@attribute mfcc_sma_de[5]_kurtosis numeric
@attribute mfcc_sma_de[8]_amean numeric
@attribute mfcc_sma_de[11]_linregc1 numeric
@attribute mfcc_sma_de[11]_kurtosis numeric
@attribute output {calm,notcalm}

@data

0.098806,0.039421,-13.41426,-0.10393,12.21085,-4.254815,-1.64771,0.922787,3.114819,0.00363,0.53297,0.115179,0.113662,0.087713,0.34523,0.354688,1.214271,4.293369,0,3.75504,-0.091576,1424,2.140372,3.02522,-0.002858,-0.00001,3.139599,calm
0.097813,0.013244,-2.750329,-0.993778,19.8715,2.47143,-5.190762,-0.800718,-4.219118,0.006655,0.3902,0.048245,0.042379,0.045892,0.452447,0.430414,0.610583,2.574206,30,20.05997,-1.152414,900,0.51131,4.658816,-0.000385,0.000003,3.232095,calm
0.087169,0.038057,-8.150884,-0.123377,5.406803,-9.433257,-0.140759,1.352498,-3.008618,0.00726,0.30127,0.087487,0.090331,0.032406,0.448876,0.431884,0.605594,2.822778,0,7.891667,-1.174546,1112,0.712648,4.736773,-0.000379,0.000001,3.235924,calm
0.101488,0.018843,-9.690033,0.563639,21.5215,0.711871,19.88632,7.167974,5.941088,0.003025,0.424682,0.043072,0.038626,0.036694,0.448693,0.503406,0.71255,3.228325,0,31.1365,-0.107284,2896,0.623852,6.913466,-0.001859,-0.000003,4.446075,calm
0.091543,0.008219,-3.274284,-1.033795,20.0977,1.341098,-2.196591,-6.619001,-3.624933,0.009074,0.410163,0.050265,0.052513,0.053177,0.495354,0.431316,-0.089518,2.253857,45,32.80436,-0.589402,344,0.935273,5.991913,0.001925,-0.000006,4.230289,calm
0.144979,0.01605,-1.742025,-1.196012,14.63786,-0.359149,-4.787153,-2.128047,-0.572687,0.011494,0.442831,0.056738,0.050903,0.057292,0.44004,0.429672,0.345422,2.441334,0,39.08403,-1.329002,1158,0.526414,3.903435,-0.000797,0.000007,4.156416,calm
0.057785,0.014276,-6.887051,-0.457273,15.38551,-3.032924,-5.153009,-7.763026,-1.527717,0.010889,0.406534,0.072556,0.1009,0.056285,0.357816,0.349939,0.808773,3.128,0,10.79904,-0.730412,628,0.696057,4.726003,0.005738,0.000005,3.804521,calm
0.074278,0.013726,-9.153666,-0.353116,19.70448,0.516721,-5.039713,1.224218,-3.784471,0.021779,0.54628,0.109531,0.130473,0.065951,0.447819,0.488001,0.369533,2.482515,0,20.1482,-0.732583,2839,0.694659,4.783211,-0.000491,-0.000001,3.410022,calm
0.08272,0.01772,-2.680227,-1.047868,15.81594,-0.154572,-1.307848,-0.491833,-1.233944,0.00484,0.291591,0.038936,0.02932,0.033042,0.379722,0.421366,0.541083,2.573294,0,19.31015,-0.59413,2225,0.665347,3.375355,-0.000643,0.000006,3.461344,calm
0.014448,0.002392,-2.00071,-0.396852,21.77963,-1.964461,-5.479274,-14.11023,-6.237141,0,0.573503,0.053209,0.031641,0.056542,0.595075,0.649944,-0.418287,2.158473,42,22.56355,0.654315,2942,0.622996,4.814737,0.001911,-0.000004,3.800041,calm
0.029667,0.012289,-3.906639,0.862712,15.54996,0.567211,-6.220032,-5.549074,-6.791949,0.016334,0.227465,0.059619,0.031947,0.026292,0.47459,0.413532,0.13506,2.558548,0,18.84301,-2.336826,510,0.49515,3.206254,0.000581,0.000007,3.362373,calm
0.024769,0.006976,-6.19521,-0.34368,-0.587231,-11.55161,-17.66055,-0.164734,-4.282132,0.029038,0.142166,0.08339,0.107043,0.024982,0.579185,0.717702,0.201521,2.112073,17,10.92288,0.038506,953,0.513365,3.146176,-0.001681,-0.000004,2.873422,calm
0.095589,0.041118,-5.502356,1.398471,10.37576,-4.548401,1.485764,-0.61033,0.748122,0.015729,0.186933,0.070958,0.088116,0.026474,0.408877,0.418084,0.230972,2.362599,0,10.82877,-0.955609,375,0.492251,3.802189,-0.002237,0.000006,3.296277,calm
0.099813,0.018382,-4.974921,-0.846067,18.08923,1.92791,-8.289369,-6.902616,-4.486028,0.014519,0.414398,0.060321,0.041518,0.045282,0.534913,0.501023,-0.003656,2.145854,8,25.6876,-1.263878,2727,0.499916,6.77729,0.003122,0,3.481305,calm
0.063552,0.009043,1.193576,-1.082426,14.02136,-1.587645,-2.833621,-6.86699,-7.924771,0.009074,0.45735,0.035088,0.04477,0.030983,0.576696,0.5312,0.090185,2.456804,0,15.6746,-0.082682,1016,0.913924,4.115559,0.002541,0,4.753998,calm
