@relation arff_file/psysound.arff

@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {calm,notcalm}

@data

73.40812,5.666848,1.570503,0.520347,0.612548,0.889146,0.048578,8.272713,4.403173,278.9791,0.728671,0.017757,0.013098,0.111567,0.000226,0.011022,187.8024,0.543909,0,0.618509,0.071966,0,0.236113,0.005001,890.4044,689457.2,calm
70.37555,4.315806,1.260717,0.673288,0.690287,0.881807,0.077847,110.1934,6.526379,469.5704,2.215804,0.049533,0.050173,0.156925,0.000289,0.004953,6399.864,1.505704,0,0.984687,0.116532,0,0.015088,0.002156,394.3199,150290.6,calm
90.72628,5.392921,1.401872,0.522346,1.180484,0.887544,0.091726,65.30265,5.868863,324.2888,0.76386,0.014715,0.045631,0.409651,0.000236,0.007028,4092.78,0.849348,0,0.869507,0.111586,0,0.11354,0.004285,723.5243,116817,calm
55.94416,4.293598,1.35979,0.64595,0.497118,0.885362,0.096853,69.75589,4.935166,172.3646,0.647183,0.019074,0.133237,0.215778,0.00032,0.008368,4420.037,0.84875,0,0.85486,0.094231,0,0.124157,0.00332,269.3071,124748.6,calm
60.57558,3.984983,1.252092,0.845142,0.632431,0.879925,0.041603,65.77167,6.161642,334.1771,1.548082,0.051898,0.173882,0.136879,0.000355,0.001682,3195.144,1.970208,0,0.892144,0.12513,0,0.096287,0.002987,425.5361,217981.3,calm
64.51136,3.947673,1.215549,0.688228,0.508321,0.878421,0.094017,74.00348,6.621455,196.8071,1.764248,0.049676,0.026446,0.052144,0.000405,0.006986,4874.64,1.46248,0,0.878828,0.066215,0,0.10656,0.001293,458.5906,279080.1,calm
82.28466,5.18946,1.389119,0.70804,1.233267,0.893477,0.068564,55.34703,6.057271,387.632,1.447379,0.032565,0.054378,0.680945,0.00028,0.006884,2398.989,1.760211,0,0.94008,0.110169,0,0.056367,0.003298,550.433,234305,calm
84.87394,5.802714,1.502224,0.506544,0.729249,0.888801,0.111145,87.06844,5.266693,271.5581,1.581717,0.033485,0.019271,0.0644,0.000214,0.006142,2774.417,0.474426,0,0.94008,0.079627,0,0.056367,0.001963,843.2312,431191.3,calm
65.42101,4.008297,1.21717,0.992723,0.979757,0.893655,0.081175,75.52494,6.662362,190.4952,0.919125,0.030941,0.152336,0.226487,0.000242,0.005257,3916.076,1.294845,0,0.882823,0.107014,0,0.103516,0.004042,280.4825,51821.44,calm
45.6795,3.260438,1.219633,0.778705,0.331796,0.859042,0.050629,31.90779,5.345578,295.2212,0.97367,0.047244,0.166194,0.094147,0.00043,0.007841,2827.203,3.220275,0,0.558589,0.078021,0,0.246732,0.006102,458.9841,248839.9,calm
75.54743,4.35816,1.258108,0.707784,0.82937,0.892257,0.12193,144.2679,6.380889,223.3396,0.591296,0.011471,0.074714,0.09964,0.000133,0.006552,9612.667,0.551002,0,0.986019,0.148941,0,0.013795,0.001545,483.9496,40153.04,calm
60.05356,4.328969,1.392138,0.41677,0.323991,0.871571,0.062892,77.79342,4.5351,225.1449,0.460314,0.005876,0.014505,0.022611,0.000387,0.003,1820.578,0.310977,0,0.729694,0.063795,0,0.197372,0.002481,763.1545,50961.72,calm
81.59268,4.865209,1.320118,0.656159,1.057986,0.895455,0.119307,75.71048,6.273969,250.002,1.071255,0.024591,0.021944,0.142304,0.000217,0.013108,7912.824,0.801627,0,0.991345,0.114751,0,0.008586,0.002742,509.2509,29472.67,calm
72.97027,4.525944,1.308106,0.572563,0.625712,0.885988,0.086727,93.43761,6.002078,397.774,1.207182,0.027857,0.110602,0.129027,0.00029,0.006405,4705.527,0.901778,0,0.938748,0.13136,0,0.057538,0.002232,522.3855,162328.8,calm
58.55384,3.295771,1.096905,0.992851,0.651296,0.861712,0.068462,99.10476,7.388608,337.6833,1.074956,0.031534,0.195385,0.12369,0.000659,0.005071,6436.223,1.979596,0,0.85486,0.116965,0,0.124157,0.003203,316.3953,52584.38,calm
51.38081,3.261086,1.109579,1.273571,0.665339,0.867491,0.061006,83.58888,7.073717,99.87014,0.629337,0.024419,0.199877,0.147569,0.000425,0.003514,4230.204,1.682858,0,0.988016,0.117262,0,0.011848,0.001913,214.1276,15174.79,calm
57.80767,4.097144,1.284184,0.86963,0.687168,0.896251,0.105519,88.09513,5.810778,146.5392,0.835309,0.025123,0.159175,0.258211,0.000192,0.011299,7286.231,0.901754,0,0.98735,0.109489,0,0.012498,0.002256,271.8633,55840.23,calm
65.13678,4.399398,1.370066,0.672685,0.692908,0.888524,0.054469,38.36734,5.355447,271.8475,0.514056,0.028659,0.048949,0.284962,0.000247,0.004388,1737.558,1.667654,0,0.637816,0.08361,0,0.231161,0.005341,641.4935,332603,calm
137.8057,6.342532,1.337502,0.669078,2.208442,0.878032,0.081053,136.8995,8.674833,1889.189,3.171486,0.031148,0.100773,1.269075,0.000691,0.00498,11240.94,4.115389,0,0.961385,0.163518,0,0.037149,0.001794,454.5574,181616.7,calm
90.89728,5.553565,1.417753,0.602778,1.001145,0.895944,0.12549,82.1973,5.856798,65.50688,1.346244,0.036351,0.015049,0.05511,0.000149,0.007856,3791.495,0.720433,0,0.976032,0.118066,0,0.023409,0.00235,802.8844,307928,calm
58.26624,3.611462,1.178889,0.710286,0.350165,0.860067,0.048899,124.2569,6.747261,123.5318,0.319225,0.011364,0.092319,0.071493,0.000456,0.001976,5924.651,1.101047,0,0.91012,0.085331,0,0.081856,0.001689,297.0701,37966.44,calm
66.30875,3.872789,1.218314,0.648665,0.575568,0.882177,0.107356,99.35356,6.282824,265.4485,0.990011,0.026257,0.023427,0.080174,0.000225,0.006993,4769.435,0.941828,0,0.9747,0.122015,0,0.024676,0.001304,535.8604,49446.01,calm
60.66603,3.632864,1.185667,0.831894,0.573441,0.873185,0.051677,51.6213,6.406146,382.076,0.737754,0.02137,0.167423,0.112747,0.00031,0.004497,4704.016,1.639681,0,0.890812,0.115301,0,0.097331,0.002797,402.5571,85407.43,calm
90.15851,5.530278,1.400553,0.738257,1.538526,0.890988,0.075479,80.02051,6.553777,232.828,1.586277,0.038782,0.070815,0.216634,0.000242,0.004231,4521.797,1.176347,0,0.969374,0.128478,0,0.029708,0.002532,521.4154,251281.6,calm
61.40929,4.452947,1.359669,0.733252,0.622534,0.895271,0.114497,104.8425,5.336399,339.6697,1.465998,0.029881,0.093664,0.244348,0.000178,0.006583,8022.2,0.701093,0,0.710386,0.071211,0,0.205875,0.00389,385.9735,177971.6,calm
67.85436,4.63882,1.378182,0.654859,0.802491,0.891886,0.152499,144.4648,5.441212,183.8457,0.508767,0.023739,0.054335,0.268221,0.000237,0.016401,17125.28,1.329276,0,0.866844,0.109907,0,0.115502,0.003973,547.2239,217440.5,calm
54.93839,3.616712,1.200022,0.737871,0.484149,0.878827,0.057049,96.62639,6.189131,409.1068,1.599866,0.047494,0.099176,0.209869,0.000387,0.002546,5425.858,2.136222,0,0.954061,0.102246,0,0.043858,0.001606,390.8505,234415.3,calm
47.26779,2.512197,1.020952,0.716237,0.426658,0.837623,0.05407,44.97219,6.767256,257.038,0.252352,0.005551,0.02648,0.130011,0.000808,0.00444,2077.827,1.556772,0,0.958056,0.15435,0,0.040212,0.002171,449.5688,10552.13,calm
59.5527,3.349912,1.111825,0.720684,0.695533,0.885843,0.122317,98.24827,6.935206,87.16301,0.360236,0.011807,0.051325,0.065387,0.000233,0.005506,2460.107,0.581387,0,0.840879,0.09339,0,0.133891,0.002899,223.1218,10706.03,calm
80.86813,5.184128,1.38298,0.702461,1.097969,0.896508,0.105542,72.29525,5.872381,532.0832,2.024636,0.037435,0.062226,0.391999,0.000181,0.013565,5644.828,0.952178,0,0.988682,0.105131,0,0.011198,0.002512,529.349,154706,calm
58.68635,3.833611,1.25431,0.533345,0.443439,0.881935,0.124541,122.3629,5.571587,187.4829,0.342478,0.009045,0.056924,0.078063,0.0002,0.007305,6781.02,0.948839,0,0.938748,0.125887,0,0.057538,0.002443,477.8652,25607.11,calm
72.84509,5.781724,1.639037,0.505814,0.453296,0.875409,0.028048,5.615953,4.044072,1234.626,2.999555,0.057465,0.045853,0.080194,0.000362,0.006635,95.73032,2.19819,0,0.123169,0.019681,0,0.10807,0.002865,1042.109,1654919,calm
68.94804,3.947284,1.116138,0.82965,0.920467,0.839763,0.103303,68.4449,7.595104,2771.444,7.742378,0.110413,0.069645,1.162801,0.002242,0.010278,2981.626,4.942109,0,0.873502,0.107823,0,0.11057,0.004025,375.4302,69983.49,calm
48.08931,3.004376,1.04402,1.01942,0.504867,0.864487,0.079567,83.8228,7.73961,328.4626,1.45682,0.054376,0.26966,0.238103,0.001247,0.004614,3640.401,4.067782,0,0.9747,0.103027,0,0.024676,0.001779,231.8527,40194.52,calm
93.89609,4.701589,1.222898,0.777636,1.718069,0.894889,0.152636,128.345,7.67935,322.529,0.75643,0.009841,0.0397,0.465705,0.00028,0.013056,13025.61,0.880676,0,0.901465,0.12659,0,0.088885,0.003134,356.7068,24942.03,calm
83.11059,4.798925,1.305206,0.718443,1.244334,0.899329,0.074502,48.23072,6.59429,328.4405,1.329889,0.029115,0.040448,0.627123,0.000139,0.004649,1570.731,1.354931,0,0.978029,0.094164,0,0.021502,0.002538,487.8511,252358.2,calm
62.41,3.639594,1.195455,0.519386,0.386035,0.858843,0.066771,89.23163,6.264652,434.9218,0.989651,0.022767,0.072257,0.04389,0.00051,0.004638,6023.694,0.851279,0,0.580559,0.051287,0,0.243672,0.003298,537.0785,44873.16,calm
50.34539,3.734515,1.270934,0.629472,0.237071,0.86724,0.058937,70.57309,5.269555,635.5444,1.990413,0.061238,0.113937,0.06156,0.000629,0.005159,5030.83,2.291442,0,0.872836,0.072366,0,0.111067,0.001708,436.3165,391648.7,calm
55.70835,2.765145,0.994143,0.765112,0.525051,0.860885,0.133119,226.5392,8.016327,303.4694,1.076992,0.026518,0.065836,0.348769,0.000643,0.007282,18476.36,2.03941,0,0.983356,0.126872,0,0.016378,0.001548,291.5116,3898.911,calm
57.15649,3.451362,1.165047,0.674661,0.444736,0.868625,0.041851,56.7977,6.369935,301.2455,0.929811,0.029551,0.121307,0.099253,0.000483,0.003383,2305.901,1.694854,0,0.770306,0.09764,0,0.177052,0.003733,395.4416,54880.74,calm
75.62349,5.05796,1.394729,0.484563,0.490087,0.879733,0.049661,65.4271,5.462127,704.9821,3.28956,0.068474,0.080481,0.077928,0.000224,0.002599,2658.516,1.228005,0,0.934754,0.123655,0,0.06103,0.001812,672.1582,219604.2,calm
64.3941,4.347868,1.321718,0.725463,0.644584,0.897875,0.102001,85.68793,5.464528,143.6221,0.990763,0.028765,0.021611,0.071961,0.000164,0.006203,5913.457,0.632424,0,0.609188,0.085139,0,0.238237,0.005352,483.76,206591.7,calm
44.76764,3.220544,1.22479,0.576181,0.187433,0.866191,0.091304,112.4753,5.040266,318.1562,0.596373,0.019112,0.060451,0.020431,0.000308,0.006594,5819.903,1.28944,0,0.83289,0.110146,0,0.139277,0.003656,545.344,104044,calm
55.94445,4.540718,1.479334,0.362077,0.255074,0.877953,0.109413,142.7003,3.864113,212.2036,0.556735,0.010983,0.017711,0.025943,0.000276,0.0063,7947.14,0.395244,0,0.816245,0.139821,0,0.150089,0.005256,518.8988,87997.52,calm
56.08538,3.47513,1.210506,0.5659,0.367196,0.868229,0.094322,98.0902,5.634784,314.717,0.727495,0.017308,0.053374,0.050848,0.000388,0.009169,7294.352,0.857523,0,0.895473,0.122589,0,0.093664,0.003524,409.3525,25857.6,calm
65.42767,3.948198,1.212065,0.863131,0.808651,0.888372,0.077581,61.73427,6.596119,413.1627,1.409626,0.038313,0.136115,0.245477,0.00032,0.007924,5268.749,1.381672,0,0.800266,0.099612,0,0.159947,0.004351,384.862,223235.4,calm
64.37542,4.059293,1.24492,0.868148,0.686875,0.879473,0.110748,144.4677,6.478146,384.058,1.967935,0.060795,0.14231,0.116824,0.000307,0.006584,14350.21,1.531603,0,0.798269,0.097408,0,0.161143,0.003761,527.8306,532222.3,calm
91.74857,6.071576,1.515382,0.533423,1.001678,0.90242,0.096107,73.38306,5.440968,205.2193,1.097318,0.024306,0.014305,0.106578,0.000076,0.006329,3158.217,0.446693,0,0.994674,0.138088,0,0.005301,0.001902,908.7643,354540,calm
62.83511,3.823166,1.198827,0.725996,0.774982,0.888146,0.134682,159.6687,6.36113,103.3717,0.449667,0.012525,0.046639,0.215283,0.000178,0.007637,9864.508,0.548588,0,0.935419,0.117992,0,0.06045,0.003115,326.081,18188.43,calm
