@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute std_Volume numeric
@attribute mean_SpectralCentroid numeric
@attribute output {calm,notcalm}

@data

73.40812,5.666848,0.889146,8.272713,4.403173,0.011022,0.543909,890.4044,calm
70.37555,4.315806,0.881807,110.1934,6.526379,0.004953,1.505704,394.3199,calm
90.72628,5.392921,0.887544,65.30265,5.868863,0.007028,0.849348,723.5243,calm
55.94416,4.293598,0.885362,69.75589,4.935166,0.008368,0.84875,269.3071,calm
60.57558,3.984983,0.879925,65.77167,6.161642,0.001682,1.970208,425.5361,calm
64.51136,3.947673,0.878421,74.00348,6.621455,0.006986,1.46248,458.5906,calm
82.28466,5.18946,0.893477,55.34703,6.057271,0.006884,1.760211,550.433,calm
84.87394,5.802714,0.888801,87.06844,5.266693,0.006142,0.474426,843.2312,calm
65.42101,4.008297,0.893655,75.52494,6.662362,0.005257,1.294845,280.4825,calm
45.6795,3.260438,0.859042,31.90779,5.345578,0.007841,3.220275,458.9841,calm
75.54743,4.35816,0.892257,144.2679,6.380889,0.006552,0.551002,483.9496,calm
60.05356,4.328969,0.871571,77.79342,4.5351,0.003,0.310977,763.1545,calm
81.59268,4.865209,0.895455,75.71048,6.273969,0.013108,0.801627,509.2509,calm
72.97027,4.525944,0.885988,93.43761,6.002078,0.006405,0.901778,522.3855,calm
58.55384,3.295771,0.861712,99.10476,7.388608,0.005071,1.979596,316.3953,calm
51.38081,3.261086,0.867491,83.58888,7.073717,0.003514,1.682858,214.1276,calm
57.80767,4.097144,0.896251,88.09513,5.810778,0.011299,0.901754,271.8633,calm
65.13678,4.399398,0.888524,38.36734,5.355447,0.004388,1.667654,641.4935,calm
137.8057,6.342532,0.878032,136.8995,8.674833,0.00498,4.115389,454.5574,calm
90.89728,5.553565,0.895944,82.1973,5.856798,0.007856,0.720433,802.8844,calm
58.26624,3.611462,0.860067,124.2569,6.747261,0.001976,1.101047,297.0701,calm
