% Created by psymatrix_2_arff.pl
@relation arff_file/psysound.arff
@attribute mean_Loudness real
@attribute std_Loudness real
@attribute mean_SharpnessA real
@attribute std_SharpnessA real
@attribute mean_SharpnessZ real
@attribute std_SharpnessZ real
@attribute mean_Spectral_Dissonance(HK) real
@attribute std_Spectral_Dissonance(HK) real
@attribute mean_Spectral_Dissonance(S) real
@attribute std_Spectral_Dissonance(S) real
@attribute mean_Timbral_Width real
@attribute std_Timbral_Width real
@attribute mean_Tonal_Dissonance(HK) real
@attribute std_Tonal_Dissonance(HK) real
@attribute mean_Tonal_Dissonance(S) real
@attribute std_Tonal_Dissonance(S) real
@attribute mean_Volume real
@attribute std_Volume real
@attribute mean_Pure_Tonal real
@attribute std_Pure_Tonal real
@attribute mean_Complex_Tonal real
@attribute std_Complex_Tonal real
@attribute mean_Multiplicity real
@attribute std_Multiplicity real
@attribute mean_SpectralCentroid real
@attribute std_SpectralCentroid real
@attribute output {calm,notcalm}


@data
7.340812e+01,5.666848e+00,1.570503e+00,5.203470e-01,6.125480e-01,8.891457e-01,4.857768e-02,8.272713e+00,4.403173e+00,2.789791e+02,7.286712e-01,1.775703e-02,1.309787e-02,1.115665e-01,2.256276e-04,1.102198e-02,1.878024e+02,5.439086e-01,0.000000e+00,6.185087e-01,7.196558e-02,0.000000e+00,2.361129e-01,5.001423e-03,8.904044e+02,6.894572e+05,calm
7.037555e+01,4.315806e+00,1.260717e+00,6.732879e-01,6.902869e-01,8.818065e-01,7.784735e-02,1.101934e+02,6.526379e+00,4.695704e+02,2.215804e+00,4.953265e-02,5.017315e-02,1.569245e-01,2.885910e-04,4.953121e-03,6.399864e+03,1.505704e+00,0.000000e+00,9.846871e-01,1.165316e-01,0.000000e+00,1.508848e-02,2.155892e-03,3.943199e+02,1.502906e+05,calm
9.072628e+01,5.392921e+00,1.401872e+00,5.223461e-01,1.180484e+00,8.875442e-01,9.172558e-02,6.530265e+01,5.868863e+00,3.242888e+02,7.638603e-01,1.471508e-02,4.563103e-02,4.096508e-01,2.363478e-04,7.028245e-03,4.092780e+03,8.493481e-01,0.000000e+00,8.695073e-01,1.115855e-01,0.000000e+00,1.135399e-01,4.284686e-03,7.235243e+02,1.168170e+05,calm
5.594416e+01,4.293598e+00,1.359790e+00,6.459497e-01,4.971182e-01,8.853620e-01,9.685250e-02,6.975589e+01,4.935166e+00,1.723646e+02,6.471831e-01,1.907377e-02,1.332370e-01,2.157777e-01,3.195363e-04,8.367958e-03,4.420037e+03,8.487496e-01,0.000000e+00,8.548602e-01,9.423053e-02,0.000000e+00,1.241569e-01,3.319754e-03,2.693071e+02,1.247486e+05,calm
6.057558e+01,3.984983e+00,1.252092e+00,8.451418e-01,6.324306e-01,8.799252e-01,4.160321e-02,6.577167e+01,6.161642e+00,3.341771e+02,1.548082e+00,5.189761e-02,1.738819e-01,1.368793e-01,3.554409e-04,1.682252e-03,3.195144e+03,1.970208e+00,0.000000e+00,8.921438e-01,1.251296e-01,0.000000e+00,9.628734e-02,2.987443e-03,4.255361e+02,2.179813e+05,calm
6.451136e+01,3.947673e+00,1.215549e+00,6.882281e-01,5.083212e-01,8.784214e-01,9.401683e-02,7.400348e+01,6.621455e+00,1.968071e+02,1.764248e+00,4.967610e-02,2.644629e-02,5.214397e-02,4.049343e-04,6.986441e-03,4.874640e+03,1.462480e+00,0.000000e+00,8.788282e-01,6.621519e-02,0.000000e+00,1.065601e-01,1.292889e-03,4.585906e+02,2.790801e+05,calm
8.228466e+01,5.189460e+00,1.389119e+00,7.080398e-01,1.233267e+00,8.934770e-01,6.856410e-02,5.534703e+01,6.057271e+00,3.876320e+02,1.447379e+00,3.256473e-02,5.437824e-02,6.809447e-01,2.798100e-04,6.884389e-03,2.398989e+03,1.760211e+00,0.000000e+00,9.400799e-01,1.101692e-01,0.000000e+00,5.636722e-02,3.298448e-03,5.504330e+02,2.343050e+05,calm
8.487394e+01,5.802714e+00,1.502224e+00,5.065441e-01,7.292490e-01,8.888010e-01,1.111454e-01,8.706844e+01,5.266693e+00,2.715581e+02,1.581717e+00,3.348508e-02,1.927135e-02,6.440038e-02,2.144634e-04,6.141929e-03,2.774417e+03,4.744258e-01,0.000000e+00,9.400799e-01,7.962737e-02,0.000000e+00,5.636722e-02,1.962555e-03,8.432312e+02,4.311913e+05,calm
6.542101e+01,4.008297e+00,1.217170e+00,9.927229e-01,9.797569e-01,8.936548e-01,8.117506e-02,7.552494e+01,6.662362e+00,1.904952e+02,9.191252e-01,3.094066e-02,1.523363e-01,2.264873e-01,2.418048e-04,5.257162e-03,3.916076e+03,1.294845e+00,0.000000e+00,8.828229e-01,1.070143e-01,0.000000e+00,1.035155e-01,4.042251e-03,2.804825e+02,5.182144e+04,calm
4.567950e+01,3.260438e+00,1.219633e+00,7.787048e-01,3.317958e-01,8.590418e-01,5.062898e-02,3.190779e+01,5.345578e+00,2.952212e+02,9.736701e-01,4.724437e-02,1.661940e-01,9.414687e-02,4.299104e-04,7.841369e-03,2.827203e+03,3.220275e+00,0.000000e+00,5.585885e-01,7.802124e-02,0.000000e+00,2.467317e-01,6.102205e-03,4.589841e+02,2.488399e+05,calm
