@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast_arff_file/psysound.arff-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_2 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_10 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_14 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_20 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_5 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_10 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_16 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_18 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_20 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_21 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_2 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_3 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_17 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_1 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_13 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_18 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_19 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_20 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_8 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_5 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_6 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_14 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_PeakRatio_Chroma_D# numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_4 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_5 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_4 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_7 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_14 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_14 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_21 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_9 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_4 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_7 numeric
@attribute BeatHisto_Sum numeric
@attribute BeatHisto_LowPeakAmp numeric
@attribute BeatHisto_MidPeakAmp numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_MaxHPS numeric
@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.037827,0.146881,4.096486,1.034873,0.313009,-0.194678,-0.117615,0.078013,-0.092601,1.723784,3.154569,4.658599,6.772594,0.536947,0.566845,0.487615,0.428333,0.39993,0.401858,0.268429,0.126753,0.2967,0.475678,2.575275,0.293148,1.482943,2.408339,2.139187,3.000185,0.202759,0.219475,0.19638,0.066588,0.076064,0.071517,5.530138,0.727774,0.42661,0.307412,0.237749,0.196571,0.00027,0.171188,0.327556,0.104791,0.106501,0.026133,0.074788,0.127096,0.244512,0.605575,0.096922,0.414379,1.168742,0.026899,0.035229,0.048892,0.082378,14758.778365,111.947334,69.184035,135.633563,1.009631,74.66455,5.268289,1.445959,0.691776,0.948368,0.901035,0.097642,58.48421,5.338953,269.9569,0.955671,0.021607,0.051041,0.372039,0.000252,0.010175,3694.582,0.469879,0,0.874168,0.093172,0,0.110072,0.002943,405.956,91930.07
0.066723,0.160741,2.983653,0.008962,0.455076,0.519566,0.075827,0.433495,0.311124,1.89042,3.304858,4.646356,7.241899,0.585356,0.562657,0.489752,0.457203,0.49673,0.370651,0.152998,0.171671,0.34572,0.493762,2.544008,0.283524,1.602846,1.731467,2.114103,2.967149,0.219816,0.233431,0.207041,0.051904,0.044033,0.054231,4.93479,0.516851,0.525397,0.444817,0.290204,0.191051,0.000177,0.173361,0.297524,0.096977,0.103471,0.026503,0.074492,0.123509,0.240572,0.211678,0.071754,0.444551,0.84613,0.023155,0.033552,0.045576,0.079306,20950.462204,62.22252,39.7071,86.17533,1.004301,89.24773,5.988419,1.507359,0.646648,1.366558,0.897745,0.081004,35.98466,5.349907,131.1557,0.422646,0.008306,0.024626,0.144231,0.000055,0.010952,2698.061,0.256515,0,0.994674,0.119474,0,0.005301,0.002712,709.4472,114403.2
0.033609,0.06322,6.187228,0.118509,0.086278,-0.10631,-0.210649,0.131708,0.190146,1.891408,3.368246,5.517028,7.800786,0.574241,0.586606,0.474351,0.353989,0.37132,0.35551,0.252597,0.146494,0.264294,0.427263,2.581406,0.286858,1.508119,2.379551,3.651129,3.80045,0.212315,0.192563,0.178878,0.0561,0.057199,0.070215,5.628296,0.858298,0.446146,0.316751,0.222441,0.273585,0.000105,0.168482,0.289652,0.096395,0.111271,0.02176,0.068738,0.120629,0.244133,0.460694,0.05911,0.457206,1.89738,0.029247,0.028409,0.039422,0.075689,9704.30227,37.715991,21.43997,42.043971,1.004532,82.6866,4.773974,1.295503,0.71972,1.098331,0.899945,0.169786,204.832,6.631096,190.1053,0.840977,0.015282,0.032213,0.248766,0.00017,0.009482,19125.3,0.452915,0,0.820906,0.105898,0,0.147118,0.00376,393.182,50648.14
0.070677,0.183472,3.106759,-0.118158,0.39308,0.126895,0.426148,0.103506,0.172228,1.95447,3.025803,3.842861,5.699671,0.615687,0.601298,0.545729,0.512002,0.486575,0.477799,0.293385,0.168224,0.358947,0.512771,2.580092,0.287919,1.103734,2.006037,2.310491,2.121522,0.221233,0.204074,0.200282,0.049745,0.066754,0.074883,4.950484,0.583322,0.350689,0.177794,0.256334,0.149171,0.000238,0.175675,0.256185,0.105212,0.09098,0.025665,0.076261,0.125683,0.244889,0.173572,0.070885,0.302037,0.658545,0.027341,0.035502,0.046775,0.079522,21690.957721,54.332811,81.718183,73.514607,1.004049,87.63715,5.947103,1.508461,0.674651,1.262068,0.905132,0.135931,68.49511,5.293146,94.53225,0.695824,0.016705,0.016439,0.10347,0.000047,0.013074,4643.668,0.311943,0,0.816245,0.120818,0,0.150089,0.00427,779.5727,231754.8
0.101192,0.235399,3.119771,-0.934852,-0.16818,-0.110681,0.135155,0.703194,0.973186,1.818783,3.558129,4.783253,6.392936,0.560946,0.57053,0.42184,0.460255,0.469595,0.417733,0.25191,0.215938,0.329282,0.51975,2.565588,0.292577,1.362515,2.083056,2.178577,2.580723,0.2144,0.195288,0.188257,0.052023,0.060175,0.071122,4.825341,0.546476,0.31799,0.357115,0.184174,0.295268,0.000176,0.187817,0.387521,0.103406,0.090847,0.031469,0.073025,0.125643,0.23988,0.232188,0.081691,0.364819,0.755623,0.018271,0.034732,0.044413,0.076598,19834.627802,68.640008,53.619648,44.068653,1.004153,104.0495,6.527952,1.539404,0.551916,1.189201,0.897485,0.159251,59.40848,5.437068,75.38217,0.439239,0.009502,0.008101,0.047702,0.000079,0.020246,2033.284,0.216547,0,0.706392,0.098212,0,0.207541,0.005212,1142.865,131933.2
0.027657,0.102097,5.165808,-0.466777,0.483786,0.330903,0.080618,0.265524,0.36848,1.908353,3.626761,5.374807,6.203705,0.522023,0.557161,0.457937,0.422138,0.451952,0.409421,0.341546,0.131883,0.306067,0.446114,2.570524,0.285862,1.612337,2.11761,2.000747,2.410875,0.221735,0.201639,0.208378,0.079566,0.082183,0.075339,5.766667,1.023113,0.295708,0.286408,0.304024,0.243588,0.000168,0.175898,0.386961,0.103686,0.090384,0.029793,0.068291,0.122511,0.242314,0.431532,0.059199,1.072863,1.481811,0.027939,0.031311,0.04154,0.069145,14109.836253,68.19349,50.723397,110.159808,1.008169,68.04236,4.481741,1.315153,0.825521,1.063325,0.899341,0.089496,43.85755,5.868628,147.0883,1.003039,0.024996,0.087371,0.305832,0.000201,0.012476,2048.563,0.492516,0,0.935419,0.116887,0,0.06045,0.003152,324.4202,32055.16
0.074477,0.182737,3.726567,-0.303716,-0.431298,-0.049282,0.078268,0.019994,0.102747,1.760726,3.581007,4.049643,5.9521,0.625766,0.622919,0.455843,0.512782,0.480076,0.44125,0.285753,0.200333,0.323395,0.477568,2.575845,0.285663,1.308438,1.599646,1.98658,2.270327,0.213102,0.201286,0.196749,0.046828,0.057858,0.070688,5.676427,0.763604,0.429488,0.317476,0.198939,0.172393,0.000014,0.185533,0.327129,0.097564,0.085482,0.026722,0.078278,0.127149,0.244356,0.280631,0.08954,0.373139,0.674088,0.030635,0.03087,0.04088,0.07999,8931.511514,32.403288,25.638822,20.321371,1.005204,91.34583,5.941724,1.493781,0.623693,1.16472,0.903929,0.120039,43.70292,5.412746,127.2796,0.613153,0.011404,0.009787,0.087382,0.000083,0.014368,2111.557,0.209655,0,0.960053,0.119071,0,0.038377,0.003044,854.9031,197018.3
0.111826,0.255451,1.743032,0.123815,0.380131,0.141992,0.148376,0.180388,-0.148606,1.908779,3.501259,4.73624,6.781923,0.567299,0.576356,0.460219,0.416253,0.416504,0.421222,0.231889,0.19298,0.370833,0.526736,2.568298,0.2839,1.551224,2.471151,2.353272,2.804956,0.224,0.207087,0.202286,0.057132,0.065006,0.072,9.580691,1.333459,0.79081,0.56498,0.378554,0.312385,0.000109,0.196443,0.319513,0.102311,0.120016,0.035895,0.082446,0.138023,0.246665,0.570834,0.109446,0.315834,1.012315,0.021399,0.035097,0.049429,0.084303,8942.605934,9.413294,16.888766,18.355861,1.00301,95.27518,6.946262,1.703366,0.495807,1.02643,0.896781,0.123222,38.29503,4.588288,1504.192,2.203981,0.028073,0.007619,0.401301,0.000181,0.018885,1279.653,2.354506,0,0.743675,0.060585,0,0.190749,0.002821,1247.362,1610206
0.080269,0.211513,2.775551,0.601771,0.119738,-0.172382,0.254255,0.041156,0.014421,1.845006,3.274875,4.23309,5.995377,0.597159,0.589107,0.50072,0.48276,0.470572,0.452799,0.293548,0.177246,0.339095,0.522111,2.584589,0.280598,1.396004,1.977353,2.255478,2.278188,0.215372,0.216779,0.202382,0.053058,0.058744,0.063652,5.324709,0.579309,0.835039,0.29492,0.321331,0.286777,0.0001,0.174433,0.348762,0.103641,0.104264,0.028636,0.080571,0.129283,0.242813,0.35141,0.081348,0.568353,0.779239,0.027832,0.034273,0.0461,0.085083,12814.420129,56.895326,53.993716,88.569349,1.007242,85.63054,6.144676,1.567982,0.565449,1.012465,0.897807,0.114744,46.50729,4.851101,147.2279,0.542141,0.010418,0.009596,0.299055,0.000122,0.013751,2113.63,0.309187,0,0.851531,0.10158,0,0.12651,0.004511,889.7131,221840.8
0.089051,0.218678,2.976047,-0.495524,-0.480641,0.278803,0.48548,0.375638,-0.025324,1.758368,3.013195,4.029893,7.159805,0.633609,0.62434,0.524806,0.524659,0.503396,0.345177,0.254034,0.211967,0.330972,0.504794,2.560264,0.290833,1.145733,1.600368,1.843972,2.784343,0.211141,0.208926,0.190163,0.039158,0.04902,0.066733,4.863174,0.517887,0.261282,0.234433,0.187054,0.230177,0.000312,0.187312,0.26776,0.094695,0.080539,0.028605,0.075225,0.123127,0.245382,0.249042,0.123939,0.223544,0.881864,0.031568,0.032479,0.046411,0.082106,22741.808117,55.739391,52.692423,49.756096,1.003241,93.86888,6.116222,1.513105,0.630471,1.220576,0.901991,0.135504,47.04994,5.314126,159.9492,0.261062,0.003793,0.008641,0.161897,0.000077,0.015199,3076.536,0.337195,0,0.942077,0.110317,0,0.054604,0.003029,941.6269,122733
0.096638,0.222537,2.982563,-0.90879,0.586313,0.14948,0.448814,0.148022,0.1841,1.813532,3.501657,4.284082,6.344015,0.626717,0.602151,0.490315,0.446815,0.498307,0.441501,0.297332,0.209422,0.371097,0.498067,2.580673,0.298237,1.214877,1.60065,1.987157,2.292848,0.220641,0.205363,0.188001,0.039738,0.057292,0.06506,5.242353,0.49911,0.332882,0.397462,0.203028,0.139923,0.000047,0.173002,0.282165,0.097283,0.102795,0.027559,0.073152,0.122664,0.242984,0.179181,0.087154,0.346751,0.649395,0.025107,0.036931,0.049897,0.075314,15385.609331,41.12176,43.914881,53.472159,1.003718,95.19699,6.240503,1.535129,0.598501,1.311702,0.897778,0.175357,54.77978,5.224042,103.3747,0.281861,0.005388,0.006671,0.138919,0.000085,0.027953,3765.863,0.192156,0,0.920107,0.128317,0,0.073559,0.003647,1017.656,132528.1
