@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_amean numeric
@attribute pcm_RMSenergy_sma_linregc1 numeric
@attribute pcm_RMSenergy_sma_linregc2 numeric
@attribute pcm_RMSenergy_sma_skewness numeric
@attribute pcm_RMSenergy_sma_kurtosis numeric
@attribute mfcc_sma[1]_max numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[2]_amean numeric
@attribute mfcc_sma[3]_min numeric
@attribute mfcc_sma[4]_kurtosis numeric
@attribute mfcc_sma[6]_amean numeric
@attribute mfcc_sma[7]_min numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[8]_amean numeric
@attribute mfcc_sma[9]_min numeric
@attribute mfcc_sma[9]_linregerrQ numeric
@attribute mfcc_sma[11]_amean numeric
@attribute mfcc_sma[12]_max numeric
@attribute mfcc_sma[12]_linregerrQ numeric
@attribute pcm_zcr_sma_min numeric
@attribute pcm_zcr_sma_amean numeric
@attribute voiceProb_sma_min numeric
@attribute voiceProb_sma_amean numeric
@attribute voiceProb_sma_skewness numeric
@attribute F0_sma_kurtosis numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[2]_amean numeric
@attribute mfcc_sma_de[3]_kurtosis numeric
@attribute mfcc_sma_de[5]_linregerrQ numeric
@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute mfcc_sma_de[7]_minPos numeric
@attribute mfcc_sma_de[8]_linregc2 numeric
@attribute mfcc_sma_de[10]_skewness numeric
@attribute mfcc_sma_de[10]_kurtosis numeric
@attribute mfcc_sma_de[12]_amean numeric
@attribute mfcc_sma_de[12]_linregc1 numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute output {energetic,notenergetic}

@data

0.040382,0.000004,0.033755,0.368389,2.521251,8.785038,-8.899626,-8.905639,2.0619,-11.70439,3.737275,-0.505117,-32.65133,-2.447503,2.061931,-12.79271,21.46104,2.73077,14.91741,16.32389,0.00484,0.064612,0.12281,0.311146,0.633309,46.3376,5.862009,-0.916858,-0.001127,4.403446,1.248115,1.148744,2920,0.000347,0.195747,4.437861,0.000589,-0.000002,8.891958,energetic
0.063206,0,0.063015,0.664944,2.960302,-5.565116,-11.8086,-11.88236,-1.714967,-10.71477,2.47747,0.533883,-17.44007,-3.439858,0.73167,-13.61597,17.56929,-0.685241,11.10978,16.42313,0.016939,0.102257,0.138468,0.301877,1.431425,22.8391,6.082644,0.303991,-0.002255,3.909687,0.947703,1.01626,1693,0.005376,0.045373,3.272298,-0.003383,0,5.424561,energetic
0.015914,0.000005,0.008813,3.383278,20.16478,3.429476,-4.313413,-2.242432,-1.969754,-16.91789,2.505101,-1.799626,-16.64003,-1.562922,-0.694513,-12.25399,14.84914,2.844599,12.43448,14.20759,0.009679,0.053708,0.136963,0.348437,1.158708,11.74036,32.34764,-1.135006,0.003269,4.497364,0.590986,0.605429,2851,0.006811,0.007573,3.053948,0.003734,0.000001,30.8246,energetic
0.068511,0.000002,0.065236,0.765081,3.207464,-5.542301,-11.94267,-11.34972,-2.948554,-11.78567,2.937413,-0.242708,-10.91678,-0.389258,-2.121805,-17.46904,14.54916,-4.826458,8.634776,11.96569,0.013914,0.109592,0.134546,0.246316,1.666083,183.7052,4.838207,-0.688853,0.000979,3.473856,0.81571,1.011511,1455,-0.005077,-0.081054,3.220645,0.001695,0,4.56409,energetic
0.070067,0.000004,0.06428,0.21672,3.530714,-5.150232,-12.6941,-12.60555,-7.843205,-10.31477,3.444329,1.28846,-10.36362,4.174316,-0.488355,-18.23115,17.12419,-2.312891,11.91938,18.59841,0.016939,0.137393,0.144868,0.335008,0.907174,19.87513,5.027129,-0.89128,-0.001631,4.022973,0.673472,0.926164,1641,0.000101,-0.001351,3.544105,0.002693,0.000005,6.19466,energetic
0.025431,0.000005,0.01758,0.456199,2.091421,3.795217,-6.207495,-3.927558,-2.407443,-9.692392,3.404838,5.304641,-12.53169,0.909227,0.2549,-18.53557,25.34383,1.423818,9.282318,10.666,0.005445,0.05102,0.136325,0.371511,0.490426,6.700487,8.827384,-1.130815,0.005488,3.103971,0.802197,1.027893,687,-0.006513,0.031323,3.457564,-0.000044,-0.000005,5.561328,energetic
0.018308,0.000002,0.015873,1.85577,10.79421,-3.197385,-11.13517,-9.357878,-4.5427,-12.5756,2.885364,1.728141,-16.10578,2.507113,2.777085,-12.39473,14.67934,0.058341,12.61283,15.01586,0.020569,0.11329,0.127227,0.297255,1.265699,9.485226,9.297842,-1.188979,0.000626,4.914562,0.788403,0.827685,2709,0.001096,-0.035018,3.339951,0.000589,0.000002,8.252502,energetic
0.027928,0.000003,0.023304,-0.668934,2.239542,-7.573495,-15.57642,-16.93703,-1.056772,-23.70091,3.134761,1.219419,-32.78219,0.33824,3.188715,-23.69516,33.92395,0.010945,11.41234,26.69023,0.027223,0.159653,0.139139,0.285595,1.183957,144.1318,16.35885,-0.60676,0.000971,6.6923,1.080087,1.037709,337,0.001463,0.010686,3.028171,-0.003524,0.000007,12.39633,energetic
0.038357,0.000001,0.036943,0.804371,4.222123,-5.940222,-13.05013,-12.81827,-1.523492,-27.49471,3.764678,-3.629723,-21.02278,1.467445,0.956568,-17.67203,21.30195,-1.24139,10.82845,15.69215,0.022989,0.125639,0.138452,0.279702,1.473096,25.65619,5.94904,-0.622955,-0.000549,4.049566,0.88331,1.068915,1344,-0.004503,-0.199361,3.935413,-0.00043,-0.000001,6.383998,energetic
