@relation arff_file/psysound.arff

@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {energetic,notenergetic}

@data

74.66455,5.268289,1.445959,0.691776,0.948368,0.901035,0.097642,58.48421,5.338953,269.9569,0.955671,0.021607,0.051041,0.372039,0.000252,0.010175,3694.582,0.469879,0,0.874168,0.093172,0,0.110072,0.002943,405.956,91930.07,energetic
89.24773,5.988419,1.507359,0.646648,1.366558,0.897745,0.081004,35.98466,5.349907,131.1557,0.422646,0.008306,0.024626,0.144231,0.000055,0.010952,2698.061,0.256515,0,0.994674,0.119474,0,0.005301,0.002712,709.4472,114403.2,energetic
82.6866,4.773974,1.295503,0.71972,1.098331,0.899945,0.169786,204.832,6.631096,190.1053,0.840977,0.015282,0.032213,0.248766,0.00017,0.009482,19125.3,0.452915,0,0.820906,0.105898,0,0.147118,0.00376,393.182,50648.14,energetic
87.63715,5.947103,1.508461,0.674651,1.262068,0.905132,0.135931,68.49511,5.293146,94.53225,0.695824,0.016705,0.016439,0.10347,0.000047,0.013074,4643.668,0.311943,0,0.816245,0.120818,0,0.150089,0.00427,779.5727,231754.8,energetic
104.0495,6.527952,1.539404,0.551916,1.189201,0.897485,0.159251,59.40848,5.437068,75.38217,0.439239,0.009502,0.008101,0.047702,0.000079,0.020246,2033.284,0.216547,0,0.706392,0.098212,0,0.207541,0.005212,1142.865,131933.2,energetic
68.04236,4.481741,1.315153,0.825521,1.063325,0.899341,0.089496,43.85755,5.868628,147.0883,1.003039,0.024996,0.087371,0.305832,0.000201,0.012476,2048.563,0.492516,0,0.935419,0.116887,0,0.06045,0.003152,324.4202,32055.16,energetic
91.34583,5.941724,1.493781,0.623693,1.16472,0.903929,0.120039,43.70292,5.412746,127.2796,0.613153,0.011404,0.009787,0.087382,0.000083,0.014368,2111.557,0.209655,0,0.960053,0.119071,0,0.038377,0.003044,854.9031,197018.3,energetic
95.27518,6.946262,1.703366,0.495807,1.02643,0.896781,0.123222,38.29503,4.588288,1504.192,2.203981,0.028073,0.007619,0.401301,0.000181,0.018885,1279.653,2.354506,0,0.743675,0.060585,0,0.190749,0.002821,1247.362,1610206,energetic
85.63054,6.144676,1.567982,0.565449,1.012465,0.897807,0.114744,46.50729,4.851101,147.2279,0.542141,0.010418,0.009596,0.299055,0.000122,0.013751,2113.63,0.309187,0,0.851531,0.10158,0,0.12651,0.004511,889.7131,221840.8,energetic
