% Created by psymatrix_2_arff.pl
@relation arff_file/psysound.arff
@attribute mean_Loudness real
@attribute std_Loudness real
@attribute mean_SharpnessA real
@attribute std_SharpnessA real
@attribute mean_SharpnessZ real
@attribute std_SharpnessZ real
@attribute mean_Spectral_Dissonance(HK) real
@attribute std_Spectral_Dissonance(HK) real
@attribute mean_Spectral_Dissonance(S) real
@attribute std_Spectral_Dissonance(S) real
@attribute mean_Timbral_Width real
@attribute std_Timbral_Width real
@attribute mean_Tonal_Dissonance(HK) real
@attribute std_Tonal_Dissonance(HK) real
@attribute mean_Tonal_Dissonance(S) real
@attribute std_Tonal_Dissonance(S) real
@attribute mean_Volume real
@attribute std_Volume real
@attribute mean_Pure_Tonal real
@attribute std_Pure_Tonal real
@attribute mean_Complex_Tonal real
@attribute std_Complex_Tonal real
@attribute mean_Multiplicity real
@attribute std_Multiplicity real
@attribute mean_SpectralCentroid real
@attribute std_SpectralCentroid real
@attribute output {energetic,notenergetic}


@data
7.466455e+01,5.268289e+00,1.445959e+00,6.917759e-01,9.483683e-01,9.010352e-01,9.764211e-02,5.848421e+01,5.338953e+00,2.699569e+02,9.556705e-01,2.160654e-02,5.104077e-02,3.720387e-01,2.523939e-04,1.017547e-02,3.694582e+03,4.698793e-01,0.000000e+00,8.741678e-01,9.317242e-02,0.000000e+00,1.100718e-01,2.942705e-03,4.059560e+02,9.193007e+04,energetic
8.924773e+01,5.988419e+00,1.507359e+00,6.466478e-01,1.366558e+00,8.977446e-01,8.100437e-02,3.598466e+01,5.349907e+00,1.311557e+02,4.226456e-01,8.305750e-03,2.462570e-02,1.442308e-01,5.537750e-05,1.095174e-02,2.698061e+03,2.565148e-01,0.000000e+00,9.946738e-01,1.194740e-01,0.000000e+00,5.301393e-03,2.711792e-03,7.094472e+02,1.144032e+05,energetic
8.268660e+01,4.773974e+00,1.295503e+00,7.197200e-01,1.098331e+00,8.999450e-01,1.697859e-01,2.048320e+02,6.631096e+00,1.901053e+02,8.409772e-01,1.528222e-02,3.221301e-02,2.487660e-01,1.695737e-04,9.482334e-03,1.912530e+04,4.529150e-01,0.000000e+00,8.209055e-01,1.058983e-01,0.000000e+00,1.471176e-01,3.759988e-03,3.931820e+02,5.064814e+04,energetic
8.763715e+01,5.947103e+00,1.508461e+00,6.746513e-01,1.262068e+00,9.051315e-01,1.359310e-01,6.849511e+01,5.293146e+00,9.453225e+01,6.958238e-01,1.670545e-02,1.643920e-02,1.034701e-01,4.698153e-05,1.307390e-02,4.643668e+03,3.119434e-01,0.000000e+00,8.162450e-01,1.208176e-01,0.000000e+00,1.500890e-01,4.269750e-03,7.795727e+02,2.317548e+05,energetic
1.040495e+02,6.527952e+00,1.539404e+00,5.519159e-01,1.189201e+00,8.974850e-01,1.592508e-01,5.940848e+01,5.437068e+00,7.538217e+01,4.392386e-01,9.502296e-03,8.100521e-03,4.770209e-02,7.940262e-05,2.024563e-02,2.033284e+03,2.165466e-01,0.000000e+00,7.063915e-01,9.821175e-02,0.000000e+00,2.075407e-01,5.211529e-03,1.142865e+03,1.319332e+05,energetic
6.804236e+01,4.481741e+00,1.315153e+00,8.255205e-01,1.063325e+00,8.993409e-01,8.949552e-02,4.385755e+01,5.868628e+00,1.470883e+02,1.003039e+00,2.499588e-02,8.737116e-02,3.058317e-01,2.007280e-04,1.247561e-02,2.048563e+03,4.925162e-01,0.000000e+00,9.354194e-01,1.168865e-01,0.000000e+00,6.045016e-02,3.151607e-03,3.244202e+02,3.205516e+04,energetic
9.134583e+01,5.941724e+00,1.493781e+00,6.236925e-01,1.164720e+00,9.039288e-01,1.200386e-01,4.370292e+01,5.412746e+00,1.272796e+02,6.131531e-01,1.140384e-02,9.786625e-03,8.738152e-02,8.326138e-05,1.436835e-02,2.111557e+03,2.096549e-01,0.000000e+00,9.600533e-01,1.190714e-01,0.000000e+00,3.837655e-02,3.044430e-03,8.549031e+02,1.970183e+05,energetic
9.527518e+01,6.946262e+00,1.703366e+00,4.958066e-01,1.026430e+00,8.967809e-01,1.232222e-01,3.829503e+01,4.588288e+00,1.504192e+03,2.203981e+00,2.807261e-02,7.618778e-03,4.013012e-01,1.805827e-04,1.888504e-02,1.279653e+03,2.354506e+00,0.000000e+00,7.436751e-01,6.058478e-02,0.000000e+00,1.907494e-01,2.821096e-03,1.247362e+03,1.610206e+06,energetic
8.563054e+01,6.144676e+00,1.567982e+00,5.654489e-01,1.012465e+00,8.978072e-01,1.147439e-01,4.650729e+01,4.851101e+00,1.472279e+02,5.421405e-01,1.041809e-02,9.596251e-03,2.990550e-01,1.216455e-04,1.375106e-02,2.113630e+03,3.091874e-01,0.000000e+00,8.515313e-01,1.015800e-01,0.000000e+00,1.265100e-01,4.510517e-03,8.897131e+02,2.218408e+05,energetic
9.386888e+01,6.116222e+00,1.513105e+00,6.304705e-01,1.220576e+00,9.019909e-01,1.355035e-01,4.704994e+01,5.314126e+00,1.599492e+02,2.610622e-01,3.793038e-03,8.641386e-03,1.618968e-01,7.671593e-05,1.519871e-02,3.076536e+03,3.371952e-01,0.000000e+00,9.420772e-01,1.103166e-01,0.000000e+00,5.460408e-02,3.028755e-03,9.416269e+02,1.227330e+05,energetic
9.519699e+01,6.240503e+00,1.535129e+00,5.985013e-01,1.311702e+00,8.977783e-01,1.753569e-01,5.477978e+01,5.224042e+00,1.033747e+02,2.818614e-01,5.387833e-03,6.670716e-03,1.389193e-01,8.517704e-05,2.795349e-02,3.765863e+03,1.921555e-01,0.000000e+00,9.201065e-01,1.283171e-01,0.000000e+00,7.355948e-02,3.646534e-03,1.017656e+03,1.325281e+05,energetic
8.835123e+01,5.586832e+00,1.430040e+00,7.107170e-01,1.382648e+00,9.037002e-01,1.518748e-01,9.979873e+01,5.809138e+00,1.847717e+02,8.562541e-01,1.743595e-02,3.447064e-02,2.119759e-01,1.330350e-04,1.241839e-02,8.395410e+03,4.003605e-01,0.000000e+00,9.753662e-01,1.292678e-01,0.000000e+00,2.404300e-02,2.596349e-03,6.388676e+02,1.648999e+05,energetic
9.604983e+01,6.070026e+00,1.486951e+00,6.160494e-01,1.282288e+00,9.066667e-01,1.349875e-01,8.324131e+01,5.640201e+00,8.848954e+01,1.926848e-01,5.312522e-03,7.037860e-03,9.548123e-02,3.697305e-05,8.951496e-03,4.917584e+03,2.785336e-01,0.000000e+00,7.250333e-01,9.273883e-02,0.000000e+00,1.994928e-01,5.266766e-03,7.715876e+02,8.326219e+04,energetic
9.596789e+01,6.355222e+00,1.521852e+00,6.210555e-01,1.461705e+00,8.966421e-01,1.005723e-01,5.491830e+01,5.572732e+00,4.896187e+02,2.438197e+00,3.876477e-02,1.922240e-02,4.291661e-01,1.848398e-04,1.337016e-02,7.749863e+03,5.978086e-01,0.000000e+00,9.340879e-01,1.065132e-01,0.000000e+00,6.160873e-02,3.327057e-03,7.387858e+02,3.605097e+05,energetic
9.235490e+01,6.440014e+00,1.578483e+00,6.131062e-01,1.351764e+00,8.987774e-01,1.030291e-01,3.678674e+01,5.049259e+00,1.293699e+02,4.349780e-01,7.499885e-03,1.489317e-02,1.479171e-01,1.236990e-04,1.154229e-02,1.709965e+03,1.475379e-01,0.000000e+00,8.608522e-01,1.302751e-01,0.000000e+00,1.198655e-01,4.280585e-03,9.130863e+02,1.852407e+05,energetic
8.747880e+01,5.308830e+00,1.380851e+00,7.253098e-01,1.317398e+00,9.069960e-01,1.144600e-01,4.249436e+01,5.945807e+00,4.826501e+01,2.557044e-01,6.725078e-03,7.357809e-03,9.292540e-02,5.160848e-05,1.076774e-02,1.676753e+03,2.155123e-01,0.000000e+00,9.167776e-01,1.139940e-01,0.000000e+00,7.634724e-02,3.412305e-03,5.629939e+02,4.037581e+04,energetic
9.839461e+01,6.481921e+00,1.559371e+00,5.937315e-01,1.353467e+00,8.981488e-01,1.762886e-01,6.794584e+01,5.190199e+00,1.929459e+02,9.291433e-01,1.627497e-02,7.555940e-03,3.272807e-01,9.581686e-05,2.386013e-02,5.879163e+03,3.468555e-01,0.000000e+00,9.254328e-01,1.361851e-01,0.000000e+00,6.905294e-02,3.538314e-03,1.134092e+03,3.331540e+05,energetic
9.776276e+01,6.300829e+00,1.532404e+00,5.900605e-01,1.252042e+00,9.007656e-01,1.182889e-01,4.166052e+01,5.307361e+00,1.178385e+02,6.068906e-01,1.298309e-02,6.761084e-03,2.885106e-01,9.393478e-05,1.879382e-02,5.722494e+03,3.063452e-01,0.000000e+00,8.774967e-01,1.040014e-01,0.000000e+00,1.075679e-01,4.207099e-03,1.135951e+03,3.363502e+05,energetic
7.638021e+01,4.595041e+00,1.307181e+00,9.463792e-01,1.385120e+00,8.981878e-01,8.539638e-02,5.508501e+01,6.357600e+00,3.905856e+02,5.857467e-01,1.628701e-02,1.140375e-01,5.046448e-01,2.162939e-04,8.639011e-03,4.160777e+03,1.450868e+00,0.000000e+00,9.480692e-01,1.263179e-01,0.000000e+00,4.926676e-02,2.696507e-03,4.380660e+02,2.304263e+05,energetic
6.637059e+01,4.961772e+00,1.465231e+00,6.364583e-01,7.756628e-01,8.932232e-01,6.156191e-02,1.984325e+01,4.629151e+00,5.513278e+02,1.022994e+00,1.910114e-02,8.452037e-02,4.171034e-01,2.098156e-04,1.095103e-02,9.749097e+02,9.441488e-01,0.000000e+00,7.523302e-01,9.503363e-02,0.000000e+00,1.864536e-01,4.840944e-03,8.197746e+02,4.797805e+05,energetic
9.237813e+01,5.728730e+00,1.439459e+00,6.049585e-01,1.108629e+00,8.980884e-01,1.045190e-01,6.292273e+01,5.790703e+00,3.440527e+02,1.508727e+00,3.367775e-02,3.581786e-02,2.237404e-01,1.426971e-04,1.108979e-02,4.494583e+03,9.611545e-01,0.000000e+00,9.327563e-01,1.000914e-01,0.000000e+00,6.276375e-02,3.032279e-03,7.498167e+02,1.761716e+05,energetic
8.992271e+01,5.910111e+00,1.497470e+00,6.356004e-01,1.211769e+00,8.998104e-01,1.044348e-01,3.843682e+01,5.432393e+00,2.069065e+02,8.072530e-01,2.179964e-02,2.779761e-02,3.064210e-01,1.623518e-04,1.348742e-02,1.940177e+03,6.970089e-01,0.000000e+00,8.801598e-01,1.215823e-01,0.000000e+00,1.055488e-01,4.000839e-03,8.929016e+02,3.679547e+05,energetic
9.387875e+01,6.541983e+00,1.586232e+00,5.571108e-01,1.148608e+00,8.923577e-01,9.310742e-02,4.707930e+01,4.945224e+00,4.177404e+02,1.639218e+00,2.342387e-02,1.810806e-02,2.897245e-01,1.163664e-04,1.307082e-02,2.962648e+03,4.124832e-01,0.000000e+00,8.741678e-01,1.052759e-01,0.000000e+00,1.100718e-01,3.395599e-03,1.073411e+03,3.374258e+05,energetic
