@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast_arff_file/psysound.arff'

@attribute Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_PeakRatio_Chroma_A# numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_2 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_11 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_18 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_20 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_5 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_9 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_10 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_16 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_18 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_21 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_2 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_3 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_17 numeric
@attribute Mean_Acc1000_Mean_Mem40_LPCC_1 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_1 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_13 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_20 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_8 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_11 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_5 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_6 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_PeakRatio_Chroma_A numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_4 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_8 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_9 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_2 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_4 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_15 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_1 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_18 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_21 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_2 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_4 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_13 numeric
@attribute BeatHisto_Sum numeric
@attribute BeatHisto_MidPeakAmp numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_MaxHPS numeric
@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {energetic,notenergetic}

@data
0.107793,0.167636,-0.284513,0.449347,0.345639,0.594886,-0.257421,0.000286,1.796747,4.038061,4.687128,6.830716,0.621823,0.575751,0.496764,0.404585,0.472506,0.512271,0.245966,0.182663,0.346631,0.477974,2.541745,-1.315515,0.298651,1.39294,2.674414,0.193364,0.157253,0.057933,0.065604,5.349677,1.072958,0.493283,0.412241,0.291106,0.000133,0.188409,0.310756,0.101225,0.102492,0.099171,0.03642,0.049787,0.080351,0.255521,0.067015,0.071202,0.576906,0.622715,0.019549,0.041876,0.150399,15836.367047,33.588702,29.460912,1.003925,84.98435,5.471813,1.439058,0.619983,1.068066,0.898353,0.15106,69.03829,5.512222,158.5644,0.682228,0.01792,0.017753,0.131603,0.000103,0.024523,6090.875,0.571823,0,0.902131,0.119169,0,0.08835,0.00351,801.6331,219848.4,energetic
0.092932,0.147617,0.236368,0.199,-0.197882,0.116649,0.233056,0.000863,1.930022,4.209236,6.600548,8.257516,0.527721,0.523902,0.450227,0.349697,0.38273,0.391262,0.28857,0.181757,0.27999,0.44267,2.540761,-1.449528,0.285555,2.028143,3.636086,0.214669,0.183601,0.072849,0.075961,4.87769,1.094336,0.587784,0.422651,0.265389,0.000321,0.18567,0.361494,0.111668,0.117012,0.115348,0.030554,0.041684,0.081517,0.259781,0.114708,0.079196,0.856762,1.04367,0.014877,0.036567,0.148998,20130.200149,40.810712,38.116258,1.003948,79.98813,5.13924,1.409377,0.684721,0.905864,0.888063,0.116705,52.8291,5.572346,171.5408,1.055275,0.024781,0.052892,0.10924,0.000348,0.014345,4401.848,0.578778,0,0.603862,0.082388,0,0.239372,0.006398,723.5172,228399.6,energetic
0.060137,0.098229,0.225571,0.145753,0.159368,0.218412,0.097796,0.000346,1.849232,4.249938,5.626209,7.571093,0.52592,0.579196,0.406712,0.386579,0.435983,0.396662,0.206741,0.151784,0.292346,0.453927,2.54202,-1.348878,0.293523,1.557221,3.28086,0.212763,0.184311,0.058729,0.063687,6.106774,0.938346,0.571747,0.473942,0.300946,0.000096,0.200654,0.380407,0.113949,0.127518,0.101902,0.034424,0.040909,0.071251,0.257176,0.081071,0.073542,0.655124,0.755862,0.024409,0.046694,0.150216,11601.11322,46.722809,51.563729,1.004658,74.39791,4.888025,1.371583,0.711758,1.03888,0.894432,0.049581,16.80199,5.618665,191.5091,0.793762,0.017087,0.073688,0.104874,0.000234,0.006125,419.3013,0.346117,0,0.971372,0.127996,0,0.027827,0.003163,466.2646,78703.25,energetic
0.059848,0.086434,-0.738105,0.075854,0.178163,0.333925,0.127931,0.00012,1.944436,4.240113,7.829715,7.313796,0.594998,0.646091,0.471675,0.381451,0.372395,0.341154,0.397178,0.157183,0.268729,0.386655,2.563297,-1.882641,0.284575,1.554248,3.03887,0.176176,0.137708,0.051918,0.062885,6.168693,1.806316,0.711205,0.238007,0.453753,0.000097,0.179339,0.441518,0.110204,0.101186,0.106228,0.022039,0.038192,0.078213,0.257333,0.123497,0.078345,1.050814,1.27653,0.023048,0.037365,0.152514,8106.993003,29.734719,16.86215,1.003824,108.4528,5.205933,1.252573,0.808843,2.093986,0.892492,0.197949,188.8949,7.995256,744.9113,2.491041,0.028436,0.045244,1.103479,0.000258,0.020917,19128.76,0.956962,0,0.951398,0.147399,0,0.046271,0.002567,469.2135,89369.22,energetic
0.109191,0.180326,0.066205,0.222316,0.183412,0.189787,0.31547,0.000652,1.750692,3.817073,5.066353,6.519504,0.635333,0.611202,0.542289,0.516111,0.436811,0.482304,0.253417,0.171185,0.346281,0.525563,2.574224,-1.04477,0.283088,1.394147,2.671247,0.198329,0.186276,0.052352,0.050573,4.878792,0.659619,0.413961,0.253972,0.283178,0.000132,0.198272,0.267645,0.109545,0.081587,0.079891,0.030121,0.047525,0.074517,0.259332,0.090568,0.073617,0.401176,0.887868,0.022007,0.047566,0.151698,18990.509505,52.795496,55.685165,1.004058,94.73553,6.217858,1.515463,0.60743,1.397278,0.900542,0.133439,71.97093,5.437536,144.426,0.624878,0.009727,0.014084,0.148949,0.000077,0.013899,4713.752,0.156208,0,0.701065,0.094368,0,0.209712,0.005675,783.8221,121943.9,energetic
0.091108,0.140229,-1.39595,0.072488,0.234479,0.313143,0.022441,0.000012,1.916045,3.500224,5.615344,5.933322,0.552576,0.582903,0.562373,0.553728,0.481875,0.435096,0.297647,0.168515,0.30831,0.448087,2.499273,-1.81351,0.308947,1.272093,2.040325,0.194028,0.166368,0.064445,0.067118,7.613109,1.422194,0.888048,0.773362,0.801655,0.000007,0.191081,0.356556,0.089214,0.099947,0.100067,0.049786,0.039306,0.077239,0.251263,0.104323,0.079652,0.411466,1.149733,0.02126,0.043691,0.152686,5002.815392,17.690293,33.60645,1.007043,82.92876,5.160676,1.412433,0.870274,1.054713,0.889808,0.076803,16.88264,5.423,622.1739,1.203461,0.035021,0.145366,0.193759,0.000208,0.012269,810.6726,1.563406,0,0.557923,0.094387,0,0.246809,0.007536,890.4293,621092.8,energetic
0.087513,0.282189,0.126574,0.281396,-0.015185,0.060893,0.055588,0.000387,1.758698,3.727488,4.911667,5.139878,0.611152,0.591685,0.497429,0.491024,0.465676,0.512756,0.360147,0.157509,0.303235,0.446067,2.593478,-0.701101,0.273513,1.677596,1.773633,0.218395,0.181573,0.070077,0.081714,5.723733,1.98161,0.371523,0.275725,0.230179,0.000207,0.177696,0.258901,0.089344,0.069194,0.072289,0.02348,0.039147,0.088071,0.262849,0.106626,0.076446,0.920693,0.527623,0.021549,0.043753,0.160995,12123.234737,60.390619,128.897632,1.011148,65.85969,4.966694,1.466715,0.690144,0.676858,0.894784,0.066803,16.53086,4.776794,454.6655,1.809427,0.03612,0.131613,0.374641,0.000226,0.010332,781.9377,0.892829,0,0.814248,0.093922,0,0.151349,0.003921,724.3812,249875.3,energetic
0.109821,0.182225,0.422024,0.050332,0.263295,0.245696,-0.002245,0.000341,1.849852,3.55923,5.095123,6.685407,0.629655,0.657473,0.511693,0.495779,0.466623,0.467723,0.267972,0.16904,0.343167,0.517735,2.575439,-0.934793,0.293424,1.522982,2.800064,0.220425,0.177737,0.055436,0.059141,5.244864,0.787423,0.464439,0.229467,0.240166,0.000082,0.175715,0.294875,0.098195,0.090377,0.073666,0.036138,0.050257,0.078756,0.261641,0.117724,0.074083,0.442449,1.113601,0.01929,0.047261,0.150857,15231.859732,71.729143,44.701312,1.004929,91.45737,6.365776,1.562708,0.610107,1.458616,0.898072,0.127149,35.70379,5.12247,221.4223,0.906041,0.015354,0.016841,0.135877,0.000078,0.018105,2102.579,0.206454,0,0.932756,0.145312,0,0.062764,0.003467,780.2141,218047.3,energetic
0.0547,0.066681,1.097762,0.462231,0.129081,0.359435,0.063394,0.000376,1.989629,4.048107,5.550206,6.495534,0.564647,0.588454,0.460259,0.440068,0.442206,0.460049,0.305946,0.133406,0.251524,0.42289,2.547597,-1.26889,0.242682,1.679291,2.639231,0.221993,0.182913,0.060363,0.073526,5.896761,1.041941,0.58006,0.466708,0.215281,0.000109,0.177644,0.337738,0.110927,0.112419,0.131611,0.027371,0.037653,0.070757,0.259616,0.09045,0.071969,1.052369,1.267908,0.017344,0.038468,0.15143,10732.404174,74.121386,42.57569,1.007269,69.77964,4.341747,1.273104,0.89933,1.05741,0.891481,0.06511,46.98074,6.338253,296.1923,1.082854,0.024951,0.111511,0.390908,0.000329,0.003977,2229.679,0.91642,0,0.908123,0.113997,0,0.083492,0.0033,399.2111,74442,energetic
0.131805,0.226098,0.098675,-0.147246,0.260137,0.286711,0.10107,0.000665,1.84562,3.338905,5.328583,5.682802,0.627355,0.627821,0.536456,0.531138,0.403823,0.467411,0.20693,0.183215,0.366301,0.550348,2.541011,-0.868347,0.285466,1.505899,2.048829,0.218559,0.186753,0.050673,0.046754,5.121685,0.510119,0.383052,0.265089,0.344642,0.000121,0.168983,0.301085,0.096429,0.086697,0.095206,0.025635,0.048186,0.08051,0.259501,0.101934,0.073229,0.74944,0.571089,0.02336,0.047244,0.158349,18427.354376,74.601544,66.078053,1.00543,87.08043,6.31897,1.596672,0.574137,1.266773,0.888527,0.110895,38.10057,4.765681,187.3398,0.448916,0.008137,0.015947,0.328451,0.00015,0.021377,5981.984,0.385665,0,0.667776,0.093708,0,0.221999,0.005979,937.958,349491.9,energetic
