@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_min numeric
@attribute pcm_RMSenergy_sma_amean numeric
@attribute pcm_RMSenergy_sma_linregc1 numeric
@attribute pcm_RMSenergy_sma_linregc2 numeric
@attribute pcm_RMSenergy_sma_skewness numeric
@attribute pcm_RMSenergy_sma_kurtosis numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[1]_stddev numeric
@attribute mfcc_sma[2]_amean numeric
@attribute mfcc_sma[3]_min numeric
@attribute mfcc_sma[4]_kurtosis numeric
@attribute mfcc_sma[6]_amean numeric
@attribute mfcc_sma[6]_linregc2 numeric
@attribute mfcc_sma[7]_min numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[8]_amean numeric
@attribute mfcc_sma[8]_linregerrQ numeric
@attribute mfcc_sma[9]_min numeric
@attribute mfcc_sma[12]_max numeric
@attribute mfcc_sma[12]_stddev numeric
@attribute pcm_zcr_sma_amean numeric
@attribute voiceProb_sma_min numeric
@attribute voiceProb_sma_amean numeric
@attribute voiceProb_sma_skewness numeric
@attribute voiceProb_sma_kurtosis numeric
@attribute pcm_RMSenergy_sma_de_linregc2 numeric
@attribute pcm_RMSenergy_sma_de_skewness numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[8]_linregc2 numeric
@attribute mfcc_sma_de[12]_amean numeric
@attribute pcm_zcr_sma_de_stddev numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute F0_sma_de_max numeric
@attribute F0_sma_de_amean numeric
@attribute F0_sma_de_linregc1 numeric
@attribute output {energetic,notenergetic}

@data

0.007551,0.041404,0.000004,0.03569,1.433292,6.920361,-10.20434,-9.455791,3.363472,-4.27263,-13.07096,2.936109,-0.610401,-2.793633,-11.85349,0.059168,-2.235519,20.48671,-14.13734,8.975419,4.143623,0.103827,0.140952,0.330922,1.098831,3.493037,-0.00004,-0.089352,7.222817,0.92752,0.886939,0.011587,-0.00365,0.009156,8.814105,111.5382,0.075267,0.000114,energetic
0.009572,0.062848,-0.000006,0.07153,1.439008,8.290837,-7.758011,-8.117135,4.298371,-3.106103,-29.24215,3.493494,-5.477734,-4.633236,-17.13458,0.92771,-0.290145,23.79124,-20.78627,16.45638,5.175405,0.088059,0.13415,0.456095,0.403805,1.884477,0.00006,1.483364,16.30302,1.238001,1.065571,-0.008903,-0.00268,0.010955,22.80192,117.5467,-0.031388,-0.000075,energetic
0.004061,0.027625,0.000005,0.020658,1.089707,5.051068,-7.861344,-7.263562,3.502498,-1.766125,-12.22763,2.795071,1.85922,1.092482,-12.94401,3.001136,0.030121,24.80063,-15.72984,15.7174,4.146544,0.066027,0.150037,0.392009,0.914796,2.874904,-0.000094,0.187832,7.797707,1.125976,1.253819,0.00556,-0.001331,0.008261,8.166444,124.0459,0,-0.000094,energetic
0.003519,0.012686,0.000005,0.005949,2.424654,11.94386,-1.288948,4.018549,4.73015,-6.165415,-19.1076,1.984922,-2.773965,-7.510398,-15.73765,-3.634334,-2.78537,22.28634,-24.54639,11.78921,4.790614,0.056627,0.132386,0.390046,1.42826,4.3459,0.000013,1.166915,19.14545,0.963235,0.786747,-0.009728,0.000141,0.007131,44.05387,94.47106,0,-0.000052,energetic
0.016351,0.061995,0.000013,0.042977,0.420114,2.906287,-11.84396,-9.575265,2.576779,-2.599889,-11.51706,2.946082,0.79107,-1.689805,-11.269,2.752941,-0.7121,16.92986,-15.32055,8.357385,3.892085,0.114278,0.132423,0.313405,0.915135,2.763366,0.000045,0.545389,6.591073,1.213105,1.036559,0.0048,0.000242,0.008554,6.168761,112.263,0,-0.000035,energetic
0.000249,0.007659,0.000001,0.005918,0.829489,4.777068,-9.459623,-14.64745,5.918699,-11.15218,-24.63479,1.98014,-4.79622,-1.072601,-24.96442,-3.963877,-3.727955,30.96268,-26.14508,23.08028,5.207099,0.090141,0.146772,0.354478,0.949283,3.053913,-0.000003,0.72323,5.263076,1.900646,1.704587,-0.001126,-0.007732,0.012512,19.49923,118.6211,0,-0.000044,energetic
0.002657,0.03027,0.000005,0.022444,1.305377,3.607342,-8.250475,-12.04804,5.623071,-2.425556,-19.01138,3.391239,1.803998,5.038722,-22.46276,-1.41014,-1.299252,21.68717,-19.25592,17.98166,4.702891,0.091657,0.126534,0.356588,1.203575,3.789043,0.000032,0.735385,4.901828,2.059406,1.446495,-0.002238,-0.002381,0.01536,5.572193,123.4546,0.073762,0.000079,energetic
0.006106,0.045033,0.000007,0.035213,0.338295,2.554397,-12.74585,-10.90793,3.299138,-0.664497,-9.651389,2.880632,2.979395,2.773263,-14.99349,-0.248894,-1.907483,18.80185,-15.01279,18.65817,4.307181,0.115929,0.133969,0.282728,1.709352,5.894941,0.000017,0.640224,4.165982,1.332215,1.501153,0.006771,0.000569,0.013531,5.589839,119.4868,0,-0.000026,energetic
0.003876,0.02221,0,0.022479,1.251441,5.521241,-4.002367,-5.036555,4.622801,1.718518,-17.95925,3.361783,-2.002759,-1.733602,-16.7316,-0.034803,-4.211615,19.79156,-18.81231,14.98994,4.166937,0.052491,0.131965,0.418965,0.60119,2.208471,-0.000036,1.574256,10.50101,0.877204,0.862873,-0.009652,0.002396,0.006865,21.94445,124.724,-0.055669,0,energetic
