@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute std_Timbral_Width numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute std_Volume numeric
@attribute mean_SpectralCentroid numeric
@attribute output {energetic,notenergetic}

@data

84.98435,5.471813,1.439058,1.068066,0.898353,69.03829,158.5644,0.01792,0.131603,0.024523,0.571823,801.6331,energetic
79.98813,5.13924,1.409377,0.905864,0.888063,52.8291,171.5408,0.024781,0.10924,0.014345,0.578778,723.5172,energetic
74.39791,4.888025,1.371583,1.03888,0.894432,16.80199,191.5091,0.017087,0.104874,0.006125,0.346117,466.2646,energetic
108.4528,5.205933,1.252573,2.093986,0.892492,188.8949,744.9113,0.028436,1.103479,0.020917,0.956962,469.2135,energetic
94.73553,6.217858,1.515463,1.397278,0.900542,71.97093,144.426,0.009727,0.148949,0.013899,0.156208,783.8221,energetic
82.92876,5.160676,1.412433,1.054713,0.889808,16.88264,622.1739,0.035021,0.193759,0.012269,1.563406,890.4293,energetic
65.85969,4.966694,1.466715,0.676858,0.894784,16.53086,454.6655,0.03612,0.374641,0.010332,0.892829,724.3812,energetic
91.45737,6.365776,1.562708,1.458616,0.898072,35.70379,221.4223,0.015354,0.135877,0.018105,0.206454,780.2141,energetic
69.77964,4.341747,1.273104,1.05741,0.891481,46.98074,296.1923,0.024951,0.390908,0.003977,0.91642,399.2111,energetic
87.08043,6.31897,1.596672,1.266773,0.888527,38.10057,187.3398,0.008137,0.328451,0.021377,0.385665,937.958,energetic
81.17464,5.745488,1.506547,0.991505,0.894481,81.93979,253.8475,0.014982,0.226474,0.016996,0.576664,531.7912,energetic
70.1519,5.087909,1.453457,0.8955,0.902487,63.85239,185.8247,0.007373,0.415953,0.012067,0.370866,354.7695,energetic
95.34461,6.192184,1.524457,1.28059,0.895078,44.21087,155.9708,0.013318,0.364549,0.018235,0.466591,1029.519,energetic
93.87875,6.541983,1.586232,1.148608,0.892358,47.0793,417.7404,0.023424,0.289725,0.013071,0.412483,1073.411,energetic
101.7339,6.798819,1.595466,1.434183,0.904538,30.53366,24.84617,0.002333,0.120188,0.01319,0.075366,1216.949,energetic
87.97315,5.695956,1.456792,1.279391,0.902462,38.74941,132.1733,0.009996,0.081973,0.015621,0.261064,657.6465,energetic
