@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast_arff_file/psysound.arff-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_10 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_10 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_20 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_21 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_4 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_5 numeric
@attribute Mean_Acc1000_Std_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_2 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_5 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_5 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_11 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_6 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_10 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_17 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_21 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_8 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_14 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_15 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_20 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_6 numeric
@attribute Std_Acc1000_Mean_Mem40_LPCC_5 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_11 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_15 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_8 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_2 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_5 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute Std_Acc1000_Std_Mem40_LPCC_2 numeric
@attribute BeatHisto_LowPeakAmp numeric
@attribute BeatHistoHighBPM numeric
@attribute BeatHisto_MaxHPS numeric
@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.107081,-0.058379,-0.018719,3.924518,0.371305,0.474205,0.316914,0.616615,0.768765,0.048864,1.090977,1.176683,0.540992,0.487292,0.622715,0.250426,0.250322,0.194915,0.771525,0.465931,0.628711,1.024981,1.034443,0.117216,0.110158,0.06337,0.056024,0.107131,1.14179,0.678144,0.552111,0.036946,0.02711,0.03086,0.055263,0.217892,0.100683,64.991089,137,1.007143,81.68416,5.562762,1.492121,0.555368,1.001254,0.887198,0.030546,8.526993,5.357827,203.9144,0.49918,0.012608,0.045106,0.24437,0.000479,0.005824,215.7202,0.55921,0,0.876165,0.093468,0,0.108572,0.003234,812.8449,223732.9
0.07516,0.462197,0.098835,3.806013,0.400162,0.401861,0.266464,0.588799,0.787043,0.040033,1.016399,0.997281,0.474236,0.436526,0.581717,0.258061,0.237673,0.181837,0.310507,0.345984,0.587486,1.24935,1.311195,0.091682,0.091948,0.084707,0.056927,0.106486,9.911067,0.302462,0.558675,0.034868,0.018996,0.035366,0.054816,0.216007,0.255371,42.132005,146.5,1.008818,71.05031,5.010701,1.442192,0.608304,0.729915,0.889051,0.063093,32.07616,4.983839,291.4068,0.868734,0.017278,0.026939,0.270579,0.000394,0.00713,1546.659,0.63652,0,0.678429,0.076614,0,0.218309,0.004858,575.4143,141310.1
0.08705,0.766085,0.034379,3.199628,0.506053,0.43735,0.299819,0.621378,0.77267,0.046746,1.234265,1.083907,0.446826,0.45962,0.616639,0.203296,0.219685,0.177209,0.329427,0.299963,0.46868,0.767628,1.026069,0.108424,0.074567,0.073742,0.056091,0.109336,5.077479,0.371874,0.38669,0.028419,0.031166,0.035933,0.053146,0.214217,0.214046,66.724506,153.25,1.006064,80.25351,5.355412,1.440423,0.707209,1.117624,0.896539,0.079857,17.49454,5.325952,296.9544,1.006121,0.020287,0.034674,0.242405,0.000256,0.015131,509.7766,0.712011,0,0.695739,0.089884,0,0.211827,0.005031,671.9766,191759.9
0.082155,0.329909,0.334992,3.773734,0.3933,0.214415,0.218021,0.592182,0.735344,0.026307,0.636061,0.654959,0.444846,0.401934,0.51717,0.235806,0.223787,0.166449,0.341155,0.412642,0.53987,1.453131,2.463964,0.092058,0.064206,0.054788,0.055311,0.098805,21.414669,0.350518,0.319862,0.033741,0.021789,0.031876,0.053321,0.210602,0.309168,20.683047,132.5,1.003884,92.90212,5.443299,1.383737,0.623884,1.191731,0.900197,0.1122,60.1676,6.07301,196.1678,0.499967,0.007382,0.015454,0.099633,0.000112,0.011372,2456.705,0.386343,0,0.923435,0.105268,0,0.07075,0.002704,630.0223,59551.34
0.132596,-0.379471,-0.243197,3.172433,0.514045,0.397501,0.225017,0.619964,0.781475,0.061632,0.97454,0.899183,0.4867,0.495137,0.685328,0.248502,0.234524,0.160193,0.437837,0.320233,0.438356,1.013849,1.207679,0.099488,0.07607,0.076735,0.059753,0.104095,4.152075,0.264712,0.432383,0.023504,0.021066,0.031176,0.057755,0.211159,0.215413,51.420605,131.5,1.006308,87.38644,5.918419,1.533245,0.615071,0.95218,0.895856,0.113896,29.46444,5.15115,342.4949,0.991981,0.017957,0.026882,0.176264,0.00018,0.018942,1107.503,0.427914,0,0.83289,0.122313,0,0.139277,0.004906,1092.711,454560.8
0.054882,0.025731,-0.139718,3.850538,0.419717,0.44325,0.322881,0.638114,0.769656,0.033044,1.074366,0.681217,0.413631,0.431652,0.511875,0.206743,0.205466,0.166553,0.190309,0.436042,0.577477,0.853127,1.904694,0.084421,0.071429,0.07233,0.080008,0.108155,26.496228,0.2292,0.602763,0.02378,0.013488,0.033803,0.054467,0.215972,0.622141,62.933588,131.5,1.004274,71.91813,5.073411,1.416707,0.655114,0.78182,0.89984,0.123779,81.21807,5.358236,276.5374,1.354485,0.03126,0.040105,0.185694,0.000122,0.013389,6027.663,0.489333,0,0.981358,0.08271,0,0.018306,0.001678,393.0697,112938.8
0.128698,0.38041,-0.270457,3.544309,0.462864,0.428473,0.297789,0.66128,0.836771,0.100978,1.039132,1.029495,0.669118,0.504629,0.687863,0.245612,0.251244,0.208272,0.284502,0.440249,0.573428,0.881942,1.231293,0.085585,0.055571,0.054296,0.052275,0.112392,4.254525,0.313171,0.413324,0.032995,0.027947,0.038662,0.062229,0.217846,0.229326,86.955854,111.5,1.017126,68.52032,5.491688,1.57542,0.578325,0.805501,0.8868,0.056567,6.555793,4.26919,933.9149,2.216454,0.03627,0.027619,0.691751,0.000525,0.014317,203.0758,1.642091,0,0.71771,0.087385,0,0.202738,0.004817,1144.289,1426030
0.091595,0.420659,0.505556,3.351042,0.475874,0.449964,0.285395,0.669165,0.806214,0.042959,0.660253,0.717634,0.438692,0.443095,0.61544,0.226267,0.232465,0.164923,0.318485,0.341413,0.465208,0.819825,1.126197,0.102416,0.063875,0.064203,0.056559,0.108966,5.319461,0.263882,0.45949,0.029406,0.024154,0.034823,0.059386,0.214622,0.184025,57.492826,143.5,1.005173,81.85405,5.828441,1.51528,0.555855,1.070642,0.897696,0.14861,67.79336,5.094082,114.4277,0.615611,0.013485,0.009592,0.126003,0.000093,0.018591,3765.697,0.219534,0,0.970706,0.107144,0,0.028455,0.002904,535.063,99462.64
0.12298,-0.014973,0.070804,3.740773,0.430873,0.435743,0.284738,0.643652,0.788537,0.068591,1.115618,0.961148,0.561064,0.44037,0.528177,0.210815,0.217541,0.181671,0.499641,0.40782,0.641603,1.112637,1.193632,0.08846,0.061775,0.07044,0.059988,0.106333,7.242745,0.317565,0.658623,0.027946,0.022105,0.030906,0.05995,0.214351,0.248192,29.537462,134.5,1.005295,84.84319,6.062764,1.561374,0.629391,1.052391,0.894349,0.073658,29.14752,4.987429,642.9809,1.941785,0.035908,0.038079,0.457151,0.000248,0.009706,1310.016,1.414631,0,0.817577,0.101144,0,0.149245,0.004317,1079.073,816056.4
0.080767,0.859627,0.481606,3.363416,0.490851,0.456439,0.390392,0.634077,0.765671,0.055688,2.020349,1.532813,0.513614,0.34878,0.599037,0.265198,0.217798,0.179215,0.326551,0.305438,0.587653,1.075488,1.664103,0.094139,0.073337,0.077797,0.063658,0.108164,14.821478,0.488903,0.719899,0.036282,0.031253,0.035259,0.058571,0.212916,0.345871,27.485085,139,1.003996,76.19841,5.345006,1.453848,0.711374,0.965831,0.882735,0.042988,20.15641,5.317236,465.2417,1.809285,0.045713,0.08599,0.388678,0.00043,0.008405,855.3028,0.861923,0,0.980027,0.110462,0,0.019587,0.001028,692.6802,298580.1
0.068172,0.204811,0.268761,3.509281,0.435244,0.418254,0.278648,0.606794,0.757647,0.047814,1.165026,0.993399,0.486867,0.47735,0.606185,0.245581,0.23321,0.190746,0.38261,0.418829,0.532503,1.139036,1.415859,0.089822,0.068691,0.069102,0.060924,0.10468,7.684866,0.267028,0.508379,0.02947,0.023795,0.032898,0.058713,0.216554,0.3,68.04219,106,1.009675,70.58202,4.895341,1.404928,0.726311,0.841447,0.896636,0.05694,18.63991,5.382139,382.7708,1.172279,0.035627,0.0719,0.28995,0.000217,0.008328,972.3716,0.958438,0,0.852863,0.086855,0,0.125571,0.003456,558.7399,554788.1
0.101104,-0.288311,0.853537,3.785964,0.441417,0.231616,0.239036,0.637855,0.751244,0.030438,0.601291,0.659571,0.404453,0.434016,0.557914,0.228696,0.206495,0.150567,0.314693,0.435003,0.753676,1.38373,1.959245,0.072968,0.063202,0.049848,0.059741,0.09597,8.543498,0.214334,0.389326,0.027324,0.021754,0.036117,0.058176,0.212779,0.283187,26.455045,131.5,1.004652,84.86294,5.54055,1.451735,0.54422,1.008415,0.889256,0.149119,77.44156,5.369901,122.5004,0.40992,0.007661,0.0072,0.106692,0.000083,0.014298,4247.781,0.269511,0,0.949401,0.118803,0,0.048071,0.003582,712.7455,59803.9
0.066135,0.427917,-0.244039,3.797208,0.452516,0.43126,0.289365,0.579129,0.73483,0.029069,0.73066,0.722393,0.399044,0.446196,0.538944,0.213549,0.198922,0.156448,0.354303,0.49494,0.855187,1.39144,1.315558,0.079741,0.064868,0.069331,0.065748,0.106795,24.064579,0.190893,0.517648,0.029261,0.0227,0.034742,0.048266,0.214462,0.647934,48.959618,121,1.006011,79.65909,5.033504,1.37054,0.652771,0.95297,0.897256,0.107303,64.89687,5.828468,158.9854,0.86167,0.016782,0.029985,0.173342,0.000113,0.009295,4179.674,0.297502,0,0.958056,0.101081,0,0.040212,0.002246,430.4611,67338.25
0.103155,0.272227,-0.320862,3.826251,0.385621,0.360319,0.270193,0.621854,0.754181,0.042731,0.928837,0.733945,0.416833,0.413112,0.569321,0.200235,0.203335,0.168589,0.222405,0.339207,0.599858,0.797234,1.832588,0.084613,0.064243,0.063303,0.047522,0.10341,21.827812,0.352014,0.396692,0.028939,0.026977,0.036336,0.059495,0.214027,0.581219,38.572653,124.5,1.006941,88.97142,5.662326,1.456578,0.626664,0.951147,0.901333,0.083021,33.63006,5.502689,232.4331,0.826868,0.01485,0.013928,0.133071,0.000093,0.010353,1814.167,0.345354,0,0.913449,0.108667,0,0.079113,0.002546,790.1012,174401.4
0.114333,0.346322,0.063812,3.573055,0.421544,0.38046,0.261226,0.631463,0.784657,0.049391,0.975697,0.840158,0.494409,0.433812,0.592812,0.210843,0.235989,0.180073,0.263204,0.371438,0.475926,1.27342,1.494829,0.114065,0.078948,0.070956,0.064169,0.106791,10.531182,0.340326,0.512443,0.02686,0.021799,0.03348,0.057082,0.214728,0.344498,42.243243,110.5,1.013077,75.31037,5.419966,1.488114,0.65771,0.997753,0.899376,0.083346,36.91928,4.875345,462.4119,1.0495,0.015118,0.061004,0.632168,0.000104,0.006687,1503.334,0.79532,0,0.74767,0.113651,0,0.188785,0.006093,852.0406,300642.4
0.110383,0.571042,0.400146,4.160169,0.354005,0.378209,0.246494,0.627519,0.819403,0.07,1.229279,1.202744,0.578945,0.468678,0.646707,0.23946,0.244146,0.190479,0.460857,0.518185,0.833635,1.59003,1.834382,0.096212,0.094046,0.094493,0.052755,0.108501,6.666561,0.302376,0.652937,0.035459,0.031332,0.044661,0.067969,0.216369,0.236024,75.151423,115,1.010551,80.75183,5.787353,1.536383,0.534238,0.933385,0.890611,0.064214,36.35221,4.90625,616.0265,1.679344,0.032668,0.061238,0.640315,0.000287,0.008443,2458.451,1.063307,0,0.801598,0.09838,0,0.159145,0.004768,900.9368,646672.4
0.081013,0.500517,0.066489,3.615889,0.434979,0.390599,0.29851,0.56181,0.729693,0.019671,0.749899,0.59939,0.406119,0.400027,0.52642,0.237164,0.213536,0.158459,0.273464,0.479819,0.609194,1.300662,1.532485,0.107473,0.070526,0.071566,0.06782,0.101867,25.005453,0.317078,0.377577,0.027493,0.021832,0.032203,0.054024,0.212454,0.450455,35.646362,150,1.00279,88.061,5.09645,1.353532,0.649695,1.122705,0.896722,0.105097,56.6885,6.067569,86.4033,0.338943,0.006878,0.019787,0.124835,0.00012,0.008865,2827.777,0.229136,0,0.637151,0.089164,0,0.231344,0.006305,637.2141,28238.27
0.082361,0.254368,-0.214618,3.956807,0.324243,0.323939,0.258842,0.561869,0.750141,0.030914,0.734675,0.785362,0.4803,0.401494,0.582638,0.199873,0.202835,0.146638,0.244452,0.506708,0.667414,1.871048,2.555757,0.088114,0.059129,0.059897,0.072662,0.104607,9.787776,0.36054,0.648247,0.032111,0.019268,0.034255,0.05732,0.21603,0.189762,20.00246,129.25,1.003226,87.14415,5.331811,1.409237,0.524651,0.84344,0.895392,0.080448,67.80876,5.90332,226.9936,0.543112,0.011978,0.026171,0.1756,0.000193,0.005532,3147.62,0.751693,0,0.758988,0.076136,0,0.183047,0.003047,633.7438,82355.47
0.101839,0.276922,0.237671,3.208033,0.521941,0.453053,0.310979,0.652696,0.801527,0.053836,1.134022,0.973058,0.43105,0.441111,0.565569,0.225353,0.215081,0.172677,0.354571,0.348986,0.444477,0.809313,1.284482,0.089213,0.068332,0.069031,0.073994,0.11764,32.216643,0.338235,0.378527,0.028908,0.019552,0.036043,0.054297,0.216066,0.572184,70.650744,123,1.007038,84.12137,5.993986,1.537444,0.602594,1.018585,0.899807,0.06713,22.1765,5.094021,294.8511,1.246863,0.024422,0.024388,0.189935,0.00014,0.009537,539.1258,0.432737,0,0.806924,0.087711,0,0.155901,0.003495,705.161,176282.9
0.145473,-0.167838,-0.01679,3.4708,0.443028,0.456263,0.280889,0.627967,0.781432,0.070508,1.097532,0.84944,0.4774,0.460181,0.565526,0.237057,0.210634,0.178987,0.399034,0.466685,0.56124,1.604031,1.391795,0.109672,0.08233,0.081048,0.074237,0.108487,5.20212,0.379191,0.500978,0.036734,0.024512,0.038538,0.057055,0.215866,0.247414,76.585005,130,1.006696,90.10412,6.216184,1.575467,0.61179,1.074547,0.898634,0.121135,46.18562,4.918321,253.3243,0.89175,0.025019,0.027177,0.367727,0.000191,0.017906,5077.009,0.883745,0,0.79028,0.098201,0,0.165848,0.004906,1161.706,763945.1
