@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_skewness numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[2]_linregc1 numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[9]_amean numeric
@attribute mfcc_sma[9]_linregc2 numeric
@attribute mfcc_sma[10]_linregc2 numeric
@attribute mfcc_sma[11]_kurtosis numeric
@attribute mfcc_sma[12]_linregerrQ numeric
@attribute pcm_zcr_sma_max numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_linregc2 numeric
@attribute pcm_zcr_sma_linregerrQ numeric
@attribute voiceProb_sma_amean numeric
@attribute F0_sma_amean numeric
@attribute pcm_RMSenergy_sma_de_skewness numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[1]_kurtosis numeric
@attribute mfcc_sma_de[2]_amean numeric
@attribute mfcc_sma_de[3]_kurtosis numeric
@attribute mfcc_sma_de[4]_maxPos numeric
@attribute mfcc_sma_de[4]_linregc1 numeric
@attribute mfcc_sma_de[5]_amean numeric
@attribute mfcc_sma_de[5]_linregerrQ numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_minPos numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute output {funny,notfunny}

@data

0.679788,-10.45754,-10.32874,-0.000739,0.899232,2.695223,-1.185835,-0.928661,-0.438307,3.27833,43.46482,0.494253,0.10891,0.098559,0.003074,0.431448,91.98952,0.833702,4.515639,-0.292897,2.945476,-0.00007,3.698017,2106,-0.00001,-0.004625,2.201758,-0.18421,277,1.754811,8.862823,funny
1.172665,-8.933362,-7.830904,-0.000906,-2.645346,2.995574,0.68062,0.715756,-4.248392,3.53089,20.86934,0.331518,0.077998,0.062951,0.00188,0.416188,83.8828,1.155502,11.4454,-0.961557,6.194459,-0.001428,6.884387,2608,0.000008,0.003378,1.24356,0.285289,2098,1.636529,9.737023,funny
0.546166,-9.864859,-8.552637,-0.000063,-2.681897,3.757903,-0.000614,0.201219,-4.311282,3.088292,27.44055,0.358742,0.087943,0.074965,0.002459,0.304626,17.35252,1.572692,7.880295,-0.348518,6.932871,0.003273,6.373217,1892,0.000005,0.005958,1.282098,0.075712,404,1.733104,8.060266,funny
0.615174,-7.390328,-6.777586,0.00053,1.881827,2.965652,1.519409,2.442421,-2.804098,2.982306,24.40386,0.242589,0.082959,0.079412,0.000809,0.404498,46.28691,0.725598,5.14485,-0.285634,4.760647,-0.001978,3.546838,2094,-0.000005,-0.001178,0.744988,-0.184811,2126,1.098392,5.614086,funny
0.835279,-11.31861,-10.6551,-0.001187,-3.835646,3.306014,2.315299,4.573154,-1.236853,2.927803,21.68975,0.556564,0.135134,0.123961,0.004861,0.28913,8.143061,1.182424,8.847425,-0.441986,5.083601,-0.001559,4.034556,318,0.000005,0.000773,1.424659,0.056992,1829,1.656782,11.13778,funny
1.266324,-8.294321,-5.636916,-0.003906,3.097068,3.381656,-0.334419,-2.352816,3.883739,3.1965,14.58314,0.286751,0.058807,0.027724,0.001692,0.318174,29.87503,0.67923,10.26371,-1.606116,8.870378,-0.001419,4.389627,2173,0.000003,0.000679,0.945177,0.271389,752,0.991554,8.592803,funny
1.533381,-14.77491,-14.47531,-0.001975,-2.885849,3.009006,1.905722,0.080367,2.287164,5.263458,32.27927,0.681791,0.133793,0.130748,0.01256,0.339393,48.58119,1.109061,8.716252,0.198282,6.263013,-0.002244,5.346308,2814,0.000001,-0.006182,1.729756,0.297152,1249,2.252053,7.221708,funny
0.528273,-12.21524,-13.53523,0.001708,3.711435,3.53251,3.744582,3.942388,2.488159,3.319343,12.55981,0.341198,0.085118,0.096341,0.002077,0.321898,32.12347,0.612287,6.58584,-0.311139,6.320899,0.003412,3.781842,2980,-0.000004,-0.003947,0.741025,-0.280014,1389,0.972045,5.060943,funny
1.335986,-12.47321,-12.62981,-0.000032,0.429632,4.004472,2.338698,3.583972,-2.001577,5.105845,35.79254,0.549304,0.12953,0.12218,0.007433,0.33003,28.71775,0.801269,14.64847,-0.551294,5.366018,0.002733,4.082323,1488,-0.000014,-0.005712,1.423013,-0.403298,93,1.42262,9.238955,funny
