@relation arff_file/psysound.arff

@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {funny,notfunny}

@data

81.68416,5.562762,1.492121,0.555368,1.001254,0.887198,0.030546,8.526993,5.357827,203.9144,0.49918,0.012608,0.045106,0.24437,0.000479,0.005824,215.7202,0.55921,0,0.876165,0.093468,0,0.108572,0.003234,812.8449,223732.9,funny
71.05031,5.010701,1.442192,0.608304,0.729915,0.889051,0.063093,32.07616,4.983839,291.4068,0.868734,0.017278,0.026939,0.270579,0.000394,0.00713,1546.659,0.63652,0,0.678429,0.076614,0,0.218309,0.004858,575.4143,141310.1,funny
80.25351,5.355412,1.440423,0.707209,1.117624,0.896539,0.079857,17.49454,5.325952,296.9544,1.006121,0.020287,0.034674,0.242405,0.000256,0.015131,509.7766,0.712011,0,0.695739,0.089884,0,0.211827,0.005031,671.9766,191759.9,funny
92.90212,5.443299,1.383737,0.623884,1.191731,0.900197,0.1122,60.1676,6.07301,196.1678,0.499967,0.007382,0.015454,0.099633,0.000112,0.011372,2456.705,0.386343,0,0.923435,0.105268,0,0.07075,0.002704,630.0223,59551.34,funny
87.38644,5.918419,1.533245,0.615071,0.95218,0.895856,0.113896,29.46444,5.15115,342.4949,0.991981,0.017957,0.026882,0.176264,0.00018,0.018942,1107.503,0.427914,0,0.83289,0.122313,0,0.139277,0.004906,1092.711,454560.8,funny
71.91813,5.073411,1.416707,0.655114,0.78182,0.89984,0.123779,81.21807,5.358236,276.5374,1.354485,0.03126,0.040105,0.185694,0.000122,0.013389,6027.663,0.489333,0,0.981358,0.08271,0,0.018306,0.001678,393.0697,112938.8,funny
68.52032,5.491688,1.57542,0.578325,0.805501,0.8868,0.056567,6.555793,4.26919,933.9149,2.216454,0.03627,0.027619,0.691751,0.000525,0.014317,203.0758,1.642091,0,0.71771,0.087385,0,0.202738,0.004817,1144.289,1426030,funny
81.85405,5.828441,1.51528,0.555855,1.070642,0.897696,0.14861,67.79336,5.094082,114.4277,0.615611,0.013485,0.009592,0.126003,0.000093,0.018591,3765.697,0.219534,0,0.970706,0.107144,0,0.028455,0.002904,535.063,99462.64,funny
84.84319,6.062764,1.561374,0.629391,1.052391,0.894349,0.073658,29.14752,4.987429,642.9809,1.941785,0.035908,0.038079,0.457151,0.000248,0.009706,1310.016,1.414631,0,0.817577,0.101144,0,0.149245,0.004317,1079.073,816056.4,funny
