% Created by psymatrix_2_arff.pl
@relation arff_file/psysound.arff
@attribute mean_Loudness real
@attribute std_Loudness real
@attribute mean_SharpnessA real
@attribute std_SharpnessA real
@attribute mean_SharpnessZ real
@attribute std_SharpnessZ real
@attribute mean_Spectral_Dissonance(HK) real
@attribute std_Spectral_Dissonance(HK) real
@attribute mean_Spectral_Dissonance(S) real
@attribute std_Spectral_Dissonance(S) real
@attribute mean_Timbral_Width real
@attribute std_Timbral_Width real
@attribute mean_Tonal_Dissonance(HK) real
@attribute std_Tonal_Dissonance(HK) real
@attribute mean_Tonal_Dissonance(S) real
@attribute std_Tonal_Dissonance(S) real
@attribute mean_Volume real
@attribute std_Volume real
@attribute mean_Pure_Tonal real
@attribute std_Pure_Tonal real
@attribute mean_Complex_Tonal real
@attribute std_Complex_Tonal real
@attribute mean_Multiplicity real
@attribute std_Multiplicity real
@attribute mean_SpectralCentroid real
@attribute std_SpectralCentroid real
@attribute output {funny,notfunny}


@data
8.168416e+01,5.562762e+00,1.492121e+00,5.553684e-01,1.001254e+00,8.871983e-01,3.054647e-02,8.526993e+00,5.357827e+00,2.039144e+02,4.991798e-01,1.260786e-02,4.510618e-02,2.443702e-01,4.786510e-04,5.823637e-03,2.157202e+02,5.592101e-01,0.000000e+00,8.761651e-01,9.346766e-02,0.000000e+00,1.085721e-01,3.234095e-03,8.128449e+02,2.237329e+05,funny
7.105031e+01,5.010701e+00,1.442192e+00,6.083043e-01,7.299151e-01,8.890508e-01,6.309296e-02,3.207616e+01,4.983839e+00,2.914068e+02,8.687344e-01,1.727826e-02,2.693886e-02,2.705790e-01,3.943681e-04,7.130247e-03,1.546659e+03,6.365202e-01,0.000000e+00,6.784288e-01,7.661384e-02,0.000000e+00,2.183085e-01,4.858024e-03,5.754143e+02,1.413101e+05,funny
8.025351e+01,5.355412e+00,1.440423e+00,7.072088e-01,1.117624e+00,8.965391e-01,7.985685e-02,1.749454e+01,5.325952e+00,2.969544e+02,1.006121e+00,2.028718e-02,3.467380e-02,2.424046e-01,2.560168e-04,1.513104e-02,5.097766e+02,7.120112e-01,0.000000e+00,6.957390e-01,8.988416e-02,0.000000e+00,2.118273e-01,5.030695e-03,6.719766e+02,1.917599e+05,funny
9.290212e+01,5.443299e+00,1.383737e+00,6.238838e-01,1.191731e+00,9.001973e-01,1.121996e-01,6.016760e+01,6.073010e+00,1.961678e+02,4.999673e-01,7.381781e-03,1.545386e-02,9.963267e-02,1.124707e-04,1.137209e-02,2.456705e+03,3.863432e-01,0.000000e+00,9.234354e-01,1.052683e-01,0.000000e+00,7.074955e-02,2.703538e-03,6.300223e+02,5.955134e+04,funny
8.738644e+01,5.918419e+00,1.533245e+00,6.150710e-01,9.521803e-01,8.958559e-01,1.138955e-01,2.946444e+01,5.151150e+00,3.424949e+02,9.919812e-01,1.795669e-02,2.688237e-02,1.762642e-01,1.797488e-04,1.894155e-02,1.107503e+03,4.279139e-01,0.000000e+00,8.328895e-01,1.223133e-01,0.000000e+00,1.392773e-01,4.906240e-03,1.092711e+03,4.545608e+05,funny
7.191813e+01,5.073411e+00,1.416707e+00,6.551138e-01,7.818204e-01,8.998399e-01,1.237785e-01,8.121807e+01,5.358236e+00,2.765374e+02,1.354485e+00,3.126017e-02,4.010511e-02,1.856937e-01,1.215263e-04,1.338949e-02,6.027663e+03,4.893334e-01,0.000000e+00,9.813582e-01,8.271004e-02,0.000000e+00,1.830648e-02,1.678214e-03,3.930697e+02,1.129388e+05,funny
6.852032e+01,5.491688e+00,1.575420e+00,5.783254e-01,8.055013e-01,8.867997e-01,5.656688e-02,6.555793e+00,4.269190e+00,9.339149e+02,2.216454e+00,3.626967e-02,2.761875e-02,6.917509e-01,5.251833e-04,1.431704e-02,2.030758e+02,1.642091e+00,0.000000e+00,7.177097e-01,8.738455e-02,0.000000e+00,2.027375e-01,4.817037e-03,1.144289e+03,1.426030e+06,funny
8.185405e+01,5.828441e+00,1.515280e+00,5.558546e-01,1.070642e+00,8.976962e-01,1.486098e-01,6.779336e+01,5.094082e+00,1.144277e+02,6.156109e-01,1.348498e-02,9.592079e-03,1.260031e-01,9.339859e-05,1.859097e-02,3.765697e+03,2.195335e-01,0.000000e+00,9.707057e-01,1.071437e-01,0.000000e+00,2.845506e-02,2.903692e-03,5.350630e+02,9.946264e+04,funny
8.484319e+01,6.062764e+00,1.561374e+00,6.293910e-01,1.052391e+00,8.943489e-01,7.365786e-02,2.914752e+01,4.987429e+00,6.429809e+02,1.941785e+00,3.590818e-02,3.807852e-02,4.571509e-01,2.475483e-04,9.706243e-03,1.310016e+03,1.414631e+00,0.000000e+00,8.175766e-01,1.011438e-01,0.000000e+00,1.492445e-01,4.317394e-03,1.079073e+03,8.160564e+05,funny
7.619841e+01,5.345006e+00,1.453848e+00,7.113735e-01,9.658309e-01,8.827347e-01,4.298784e-02,2.015641e+01,5.317236e+00,4.652417e+02,1.809285e+00,4.571259e-02,8.599004e-02,3.886779e-01,4.297296e-04,8.405492e-03,8.553028e+02,8.619232e-01,0.000000e+00,9.800266e-01,1.104618e-01,0.000000e+00,1.958747e-02,1.028292e-03,6.926802e+02,2.985801e+05,funny
