@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_10 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_10 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_21 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_4 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_5 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_8 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_18 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_2 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_4 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_5 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_7 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Std_Mem40_LPCC_12 numeric
@attribute Std_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_6 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_21 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_5 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_8 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_20 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_3 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_6 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_18 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_8 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_5 numeric
@attribute BeatHistoHighBPM numeric
@attribute BeatHisto_MaxHPS numeric

@data

0.097058,0.504525,3.101107,0.547898,0.27901,0.653932,0.811796,1.256295,2.693909,0.502757,0.394213,0.202181,0.21118,0.18381,0.026693,3161.448071,0.019517,0.204887,0.236183,0.270013,0.408809,1.294906,0.119824,0.077729,0.056131,0.06304,0.118959,0.306291,0.116871,0.025462,0.031425,0.05263,128,1.004629
0.044802,0.913887,3.589925,0.42724,0.256492,0.605013,0.782005,1.204065,2.669077,0.55471,0.44085,0.223928,0.210626,0.186826,0.029681,3485.386714,0.00533,0.258844,0.280515,0.304523,0.442862,1.136113,0.076714,0.076174,0.055358,0.04965,0.109305,0.303847,0.097579,0.032154,0.029118,0.056739,145.5,1.003299
0.119591,0.370276,3.504682,0.451093,0.251016,0.646639,0.798987,1.212515,2.697833,1.092746,0.50081,0.212207,0.222237,0.212234,0.062541,11961.033883,0.022289,0.512371,0.342076,0.464125,0.555028,1.397611,0.094919,0.133159,0.061685,0.065145,0.112496,0.30611,0.129955,0.030626,0.039293,0.053335,103.25,1.012067
0.104607,0.347859,3.221426,0.511177,0.271862,0.635417,0.780329,1.220835,2.697382,0.57214,0.395357,0.203206,0.210057,0.201875,0.029777,8865.599709,0.012135,0.176709,0.182879,0.410831,0.468472,1.189599,0.109912,0.085353,0.058626,0.058998,0.106427,0.307212,0.205003,0.031096,0.032984,0.056804,133.5,1.005156
0.11416,-0.023595,3.216125,0.519047,0.25556,0.620181,0.748752,1.135202,2.689268,0.576614,0.4143,0.198365,0.198975,0.189808,0.024708,226441.277393,0.025175,0.319039,0.220904,0.475496,0.429082,1.90131,0.086139,0.086553,0.049063,0.062343,0.098254,0.305325,0.129668,0.03164,0.028531,0.057804,131.75,1.003923
0.10552,0.328673,3.324328,0.479717,0.239829,0.659103,0.810354,1.26494,2.680832,0.631441,0.409327,0.217285,0.20824,0.191602,0.029587,1521.144461,0.014435,0.199925,0.300587,0.352884,0.401925,1.40097,0.087154,0.077976,0.047757,0.066715,0.111431,0.305736,0.100277,0.036477,0.025802,0.060613,121.5,1.006473
0.093502,0.337558,3.954027,0.402951,0.264651,0.54483,0.755403,1.150036,2.695557,0.599874,0.433184,0.211895,0.214232,0.204217,0.028971,140310.427665,0.017267,0.486232,0.351754,0.420732,0.703635,1.954564,0.099776,0.107157,0.062782,0.055372,0.100447,0.305106,0.201601,0.033059,0.044895,0.056646,118.25,1.003002
0.123204,0.117071,3.274875,0.50072,0.293548,0.649004,0.810101,1.245689,2.705695,0.754643,0.442875,0.213799,0.21405,0.204558,0.033536,4599.344533,0.027152,0.29492,0.205723,0.455264,0.499561,1.202773,0.104264,0.098713,0.063135,0.071096,0.111285,0.308632,0.124836,0.035429,0.025931,0.060684,125,1.007242
0.091595,0.420659,3.351042,0.475874,0.285395,0.669165,0.806214,1.226728,2.691125,0.717634,0.443095,0.215431,0.232465,0.211906,0.035773,17102.47792,0.013206,0.301707,0.318485,0.341413,0.610343,1.126197,0.123173,0.102416,0.056559,0.065122,0.108966,0.306368,0.153559,0.0339,0.029406,0.059386,143.5,1.005173
0.069481,0.229486,3.40353,0.477791,0.309502,0.562515,0.74969,1.227308,2.700552,1.256174,0.448413,0.21305,0.22127,0.203391,0.034216,1573.871128,0.025439,0.340701,0.290938,0.408592,0.415972,1.202636,0.102071,0.087573,0.065346,0.063335,0.104151,0.306836,0.147347,0.03107,0.024515,0.054352,129.25,1.004588
0.095487,0.391872,3.09296,0.542437,0.242988,0.655741,0.817508,1.265249,2.703875,0.595917,0.4136,0.20181,0.20154,0.194506,0.044575,17861.981119,0.04846,0.236194,0.30321,0.385279,0.68755,2.068022,0.099759,0.109232,0.068361,0.073378,0.118022,0.307435,0.122715,0.032977,0.036698,0.054556,144,1.007462
0.131805,0.361179,3.19269,0.531138,0.20693,0.677047,0.819649,1.233837,2.665282,0.79531,0.455656,0.219752,0.219426,0.206577,0.051988,7949.366356,0.016906,0.247921,0.265089,0.334202,0.476401,1.015107,0.105988,0.086697,0.062351,0.067318,0.108644,0.303708,0.117004,0.039289,0.030172,0.059569,133.5,1.00543
0.080994,0.141833,3.44196,0.479839,0.253396,0.614226,0.752867,1.218458,2.698051,0.573698,0.430421,0.198317,0.209886,0.195472,0.025621,2474.822366,0.011425,0.27678,0.238797,0.431247,0.435187,1.489799,0.081487,0.085011,0.06669,0.055322,0.098907,0.308496,0.171382,0.035999,0.030081,0.058964,125.25,1.004682
0.056317,0.243165,3.80903,0.364629,0.337513,0.572269,0.737534,1.240879,2.694395,0.814423,0.423979,0.212632,0.203688,0.188878,0.027759,31488.017894,0.007885,0.213789,0.324964,0.535031,0.565589,1.34301,0.120285,0.139928,0.066954,0.060182,0.10894,0.304926,0.247934,0.038594,0.036804,0.048362,137,1.005754
0.09135,0.523831,4.145161,0.311998,0.232244,0.576756,0.764609,1.210713,2.68729,1.149066,0.439524,0.240976,0.236024,0.200454,0.039234,99925.41395,0.029209,0.47739,0.49835,0.528453,0.752638,3.138251,0.120678,0.130322,0.098985,0.072253,0.112165,0.302334,0.174331,0.039014,0.037637,0.052168,106,1.003204
0.135688,0.057926,3.734253,0.423886,0.1986,0.650955,0.790782,1.22579,2.683921,0.780499,0.442962,0.209131,0.22411,0.201864,0.035195,5919.200934,0.021698,0.191975,0.266461,0.440915,0.515169,1.430636,0.091233,0.104583,0.061495,0.065203,0.104809,0.305687,0.124663,0.033285,0.032861,0.061196,149.75,1.003626
0.123395,0.622213,3.36985,0.475932,0.291861,0.643266,0.784412,1.153859,2.681171,1.04685,0.406674,0.205237,0.224177,0.197919,0.033725,691803.735173,0.024307,0.356493,0.382278,0.343671,0.643112,1.3742,0.094235,0.088614,0.054781,0.058034,0.10735,0.305793,0.118264,0.031895,0.032932,0.060286,120,1.003342
0.057725,0.169401,3.427157,0.462808,0.33796,0.553108,0.745154,1.223491,2.698087,0.963051,0.44776,0.208443,0.22071,0.192997,0.023542,5782.663079,0.017199,0.513796,0.371251,0.37106,0.841976,1.433747,0.115276,0.128631,0.05639,0.067852,0.107783,0.31067,0.169802,0.037392,0.029368,0.059897,131,1.003184
0.153637,0.229512,3.272031,0.509462,0.242302,0.671535,0.795137,1.230042,2.690846,0.577163,0.445777,0.210638,0.21077,0.197358,0.035294,6173.029307,0.025965,0.214291,0.173764,0.376415,0.396745,1.309703,0.096238,0.07594,0.054428,0.066117,0.107408,0.306596,0.11781,0.035199,0.02827,0.061045,139,1.00349
0.104857,-0.018663,3.867526,0.393337,0.292902,0.566115,0.725777,1.149441,2.678196,0.9212,0.433795,0.206131,0.220271,0.195693,0.028667,101621.45354,0.033032,0.52974,0.549712,0.456637,0.600475,1.811039,0.121534,0.106074,0.060926,0.067153,0.103978,0.303291,0.101965,0.03776,0.030751,0.053161,154.25,1.004739
0.082361,0.254368,3.956807,0.324243,0.258842,0.561869,0.750141,1.18314,2.712611,0.785362,0.401494,0.211828,0.202835,0.191202,0.025898,26612.014318,0.016445,0.47327,0.244452,0.506708,0.60028,2.555757,0.120154,0.088114,0.072662,0.054897,0.104607,0.308758,0.12525,0.028771,0.032111,0.05732,129.25,1.003226
0.07516,0.462197,3.806013,0.400162,0.266464,0.588799,0.787043,1.214431,2.701398,0.997281,0.436526,0.223842,0.237673,0.217749,0.038812,13138.192248,0.015181,0.409626,0.310507,0.345984,0.544929,1.311195,0.130312,0.091682,0.056927,0.061398,0.106486,0.306629,0.193821,0.035572,0.034868,0.054816,146.5,1.008818
0.086977,0.184437,3.58916,0.45574,0.265077,0.639165,0.785103,1.25148,2.697008,0.776725,0.395047,0.223029,0.229873,0.214969,0.039822,6110.961209,0.012623,0.301073,0.179399,0.352148,0.668445,1.208416,0.097048,0.080221,0.076956,0.060075,0.112467,0.305729,0.136071,0.029025,0.03235,0.058216,140.75,1.003943
0.132549,0.314779,3.36607,0.504147,0.280589,0.654576,0.775408,1.180016,2.688742,0.805204,0.419013,0.202203,0.216205,0.200082,0.036764,30566.064796,0.027664,0.257437,0.167423,0.323868,0.421037,1.078562,0.094801,0.077709,0.051988,0.060858,0.108043,0.306576,0.103087,0.037697,0.029033,0.057383,151,1.005336
0.060011,-0.052227,3.617738,0.410179,0.354362,0.54708,0.704934,1.116904,2.688336,0.870081,0.423362,0.201436,0.213902,0.189842,0.024718,322845.310121,0.019419,0.427104,0.40665,0.369348,0.50822,2.002393,0.147003,0.104892,0.07981,0.059536,0.104191,0.309148,0.153955,0.034849,0.032174,0.052305,158,1.002854
0.101104,-0.288311,3.785964,0.441417,0.239036,0.637855,0.751244,1.16021,2.659187,0.659571,0.434016,0.206735,0.206495,0.194502,0.026846,25162.074423,0.012372,0.265148,0.314693,0.435003,0.517155,1.959245,0.109811,0.072968,0.059741,0.062538,0.09597,0.302342,0.128837,0.029566,0.027324,0.058176,131.5,1.004652
0.094434,-0.278951,3.1192,0.528152,0.232719,0.624413,0.724097,1.184727,2.713144,0.703224,0.490592,0.208624,0.231388,0.199438,0.03357,9977.856739,0.014256,0.248655,0.244065,0.341942,0.421289,1.123336,0.088835,0.082405,0.049738,0.06071,0.098099,0.307111,0.142457,0.031754,0.031012,0.055743,150.5,1.003278
0.054227,1.024925,4.210267,0.348274,0.310628,0.583849,0.755595,1.212828,2.70534,0.600946,0.382987,0.233812,0.22421,0.20647,0.035568,165072.643164,0.010664,0.341598,0.348541,0.451229,0.598193,1.156022,0.105921,0.109143,0.06803,0.055434,0.108425,0.306743,0.192794,0.034764,0.031777,0.055092,130,1.004492
0.071733,0.658981,3.698355,0.419946,0.309034,0.580393,0.755036,1.212958,2.702114,1.015911,0.511729,0.226486,0.23218,0.209519,0.036456,33279.205641,0.027777,0.412038,0.59682,0.532227,0.521754,1.633336,0.097093,0.081043,0.066789,0.071608,0.107362,0.30633,0.145051,0.034306,0.028332,0.049943,143.5,1.004375
0.104798,0.583797,3.730366,0.436487,0.304759,0.635463,0.794379,1.199779,2.725478,0.673768,0.374556,0.205423,0.178973,0.171788,0.039409,38810.798661,0.032504,0.485227,0.175401,0.530423,0.779896,1.629061,0.237952,0.196935,0.11548,0.070262,0.118593,0.322276,0.226725,0.040242,0.060923,0.064368,146.5,1.003997
0.057313,0.556488,3.703543,0.433056,0.319071,0.592717,0.737213,1.202775,2.685864,0.729778,0.429867,0.196083,0.212552,0.206407,0.030116,104472.357187,0.014078,0.467552,0.312653,0.395043,0.489126,1.640486,0.15469,0.105426,0.058736,0.057565,0.109782,0.305241,0.159279,0.045208,0.029807,0.048509,112,1.005632
0.124399,0.210203,3.472475,0.454096,0.209535,0.642265,0.806373,1.221899,2.719692,0.764186,0.435472,0.202854,0.208891,0.196299,0.028969,3686.652038,0.019782,0.220212,0.213774,0.321062,0.423273,2.035073,0.090373,0.068015,0.049126,0.059907,0.108839,0.30987,0.128826,0.031966,0.029914,0.057141,133.5,1.008483
0.103155,0.272227,3.826251,0.385621,0.270193,0.621854,0.754181,1.213331,2.692932,0.733945,0.413112,0.183785,0.203335,0.195493,0.031611,233987.009519,0.014452,0.304438,0.222405,0.339207,0.484945,1.832588,0.134419,0.084613,0.047522,0.056086,0.10341,0.306192,0.12148,0.034963,0.028939,0.059495,124.5,1.006941
0.075809,0.36478,3.763169,0.378004,0.291569,0.585206,0.760154,1.197055,2.675874,0.924766,0.418219,0.217154,0.218431,0.192134,0.041701,44891.912262,0.019009,0.36399,0.300214,0.38292,0.815795,1.533543,0.12588,0.101649,0.066264,0.064655,0.106279,0.30471,0.115166,0.03562,0.026179,0.05251,130.75,1.006888
