@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_skewness numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[2]_linregc1 numeric
@attribute mfcc_sma[5]_minPos numeric
@attribute mfcc_sma[7]_minPos numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[8]_kurtosis numeric
@attribute mfcc_sma[9]_amean numeric
@attribute mfcc_sma[9]_kurtosis numeric
@attribute mfcc_sma[10]_min numeric
@attribute mfcc_sma[10]_amean numeric
@attribute mfcc_sma[11]_kurtosis numeric
@attribute mfcc_sma[12]_linregerrQ numeric
@attribute mfcc_sma[12]_stddev numeric
@attribute mfcc_sma[12]_kurtosis numeric
@attribute pcm_zcr_sma_linregc2 numeric
@attribute pcm_RMSenergy_sma_de_skewness numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_kurtosis numeric
@attribute mfcc_sma_de[3]_kurtosis numeric
@attribute mfcc_sma_de[5]_amean numeric
@attribute mfcc_sma_de[5]_linregerrQ numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_minPos numeric
@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute pcm_zcr_sma_de_minPos numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute F0_sma_de_max numeric
@attribute output {funny,notfunny}

@data

0.508344,-9.908885,-10.89967,-0.001232,2630,2945,-1.299443,3.366045,3.675385,0.624181,2.847888,-11.97011,-0.138796,3.308499,11.30969,3.373117,3.835693,0.09223,1.486012,6.054761,4.074892,3.491788,-0.000029,0.799344,-0.265123,761,0.96611,2022,0.000085,127.1027,funny
0.776584,-6.878232,-6.963935,-0.00054,2828,249,-1.870156,3.353882,2.897716,-2.979215,3.379791,-20.39506,-2.582311,3.208527,12.55558,3.586866,3.059493,0.043796,0.905666,8.709136,5.135027,2.961974,0.005164,0.740118,-0.013867,1338,0.875332,184,0.000024,94.76994,funny
0.781292,-13.18362,-14.27678,-0.000391,1853,1801,0.655545,3.375888,3.621302,-0.804532,3.313812,-22.10441,-4.814181,4.481684,22.65669,4.789039,3.491559,0.121917,2.245075,11.89679,5.661993,5.535783,0.00128,1.322658,0.172813,1659,1.451125,1397,0.000233,125.0497,funny
0.715563,-11.41882,-11.01809,-0.001061,781,1466,0.508537,3.040195,3.032441,0.882985,3.234626,-9.423738,2.779688,3.084064,11.45405,3.387802,3.30091,0.104225,0.967815,7.690996,4.948459,3.260449,0.00033,0.697768,0.035053,1993,0.762763,2419,0.000084,107.8044,funny
-0.336713,-8.999552,-10.2888,0.000123,816,358,1.655715,2.99535,3.025018,0.762979,3.406798,-15.04785,-4.518922,4.078405,11.97024,3.485802,2.973063,0.113029,0.71311,3.926758,5.818647,3.370389,0.000461,0.605238,0.227432,2743,0.922248,1401,0.000064,109.4076,funny
1.149739,-10.63894,-10.11456,-0.00071,2787,453,-4.020935,3.090649,3.729111,-2.132392,3.492127,-16.04611,-3.25401,3.537415,12.80349,3.579452,3.111915,0.095303,1.346316,6.990093,7.308406,4.107872,0.001549,0.820876,0.025368,1039,0.927426,516,0.000135,125.0496,funny
3.648206,-7.583662,-7.420182,0.001105,2391,2058,-2.876268,2.793272,2.932821,-4.116961,3.089152,-27.85104,-7.991574,3.194137,42.744,6.602903,2.705819,0.095196,1.467721,42.87004,7.017185,3.83125,-0.002202,0.781622,0.206921,2834,0.964274,2622,0.000032,126.2023,funny
0.804371,-13.05013,-12.81827,-0.000056,1417,1346,1.467445,4.432251,4.1017,1.131532,4.302832,-15.03885,0.948232,3.283142,15.69215,3.962989,4.614153,0.122309,0.840017,5.94904,4.564167,4.049566,-0.001433,0.88331,0.289549,1421,1.068915,1437,0.000146,114.6138,funny
0.528273,-12.21524,-13.53523,0.001708,2970,2667,3.711435,3.53251,2.89489,3.744582,3.043466,-11.5956,1.868948,3.319343,12.55981,3.572535,3.059753,0.096341,0.612287,6.58584,6.320899,3.781842,-0.003947,0.741025,-0.280014,1389,0.789139,537,0.000119,107.9716,funny
2.922663,-5.582407,-5.553667,-0.000016,2203,1698,-9.250192,3.107666,3.071918,-7.510774,2.829048,-20.76642,-7.912119,2.632268,20.68086,4.554714,2.972038,0.063922,0.036659,13.21353,7.658062,6.323899,0.002275,1.172245,-0.360973,68,0.962011,1490,0.000163,118.9997,funny
0.937857,-11.28342,-11.02819,0.000285,748,1590,1.286648,3.963904,3.522888,-1.040884,3.414086,-17.66315,-0.271519,3.427353,23.92663,5.12238,3.744441,0.108756,1.420886,5.742496,5.418224,4.461285,-0.000867,0.761996,-0.231453,706,0.771798,360,0.000253,123.9085,funny
-0.059617,-14.01312,-14.08238,-0.000354,1806,1681,-0.257919,3.425864,3.756554,1.340932,5.589863,-20.24319,-1.894157,5.735044,16.73627,4.105315,4.22793,0.134349,1.165184,5.580342,5.475675,4.567059,-0.003439,1.192185,0.311086,1341,1.419751,661,0.000252,118.5556,funny
0.492675,-8.119664,-8.387425,-0.0003,2645,76,-2.045041,2.866942,3.432037,2.587548,2.722643,-10.98149,1.507261,3.129425,11.54388,3.397631,2.884757,0.081543,0.86421,6.21026,5.563791,4.135092,-0.00031,0.841976,-0.057368,2773,0.716921,2722,0.000045,101.0014,funny
1.877571,-5.042141,-5.523208,-0.000195,2738,2127,-2.173249,3.41247,3.219452,-1.341224,3.345542,-20.59887,0.345408,3.254544,19.85645,4.464588,3.200782,0.054074,1.414169,12.76767,5.80945,4.375922,0.00221,0.865129,-0.054413,679,0.929788,2349,0.000108,125.0497,funny
1.357115,-6.916499,-6.061767,-0.001211,977,56,-0.443839,3.390463,2.935852,-2.974102,3.680827,-21.29543,-2.289555,3.162021,47.0477,6.859437,3.136536,0.075284,1.317118,10.80626,6.967653,5.066764,-0.002428,1.629352,0.180471,496,1.586759,1229,0.000188,120.4147,funny
1.094146,-13.10797,-12.84598,-0.0002,1228,549,0.092146,3.184284,3.195247,0.69967,3.145691,-16.77595,-3.199731,2.852182,16.8022,4.102631,3.176324,0.128903,0.745108,14.25034,5.544968,3.630768,0.00141,0.905631,0.069881,308,1.07527,432,0.000128,123.2962,funny
1.100855,-9.407323,-9.372352,0.00035,1125,2663,-2.341066,4.488926,2.859863,-3.895707,4.248709,-18.10203,-4.287015,3.063303,19.89093,4.530146,3.542217,0.122293,1.114106,5.064239,5.743199,4.220334,-0.000016,0.984706,-0.213573,2568,1.238866,1163,0.000166,119.3978,funny
4.114319,-3.226483,-1.579124,-0.003367,2173,2414,-6.17383,3.138997,3.311913,-5.118868,3.047031,-19.86588,-5.460271,2.672124,29.4645,5.467363,2.713773,0.046235,0.339792,25.56441,10.37304,4.785894,0.00273,0.993978,0.046515,1039,0.972182,856,0.000106,126.4089,funny
0.202199,-14.4341,-15.06472,0.00044,1834,2129,1.800201,3.134077,3.049694,-0.269058,3.620384,-13.19814,0.738445,3.512312,14.02046,3.751437,3.254254,0.165469,0.662597,4.694589,4.18369,3.5044,-0.001217,0.769992,0.167325,667,0.991805,1630,0.000091,80.38864,funny
0.67601,-8.776065,-5.323184,-0.000582,1193,997,-5.510358,3.172662,3.171911,-4.694292,3.845993,-27.49614,-6.31804,3.606084,31.91,5.65725,3.054563,0.079138,1.015974,6.136264,6.401553,4.615241,0.002481,0.978557,-0.047269,1379,1.057863,2017,0.000071,119.8167,funny
0.75803,-7.377396,-6.972029,-0.000419,546,970,-5.080417,2.434788,4.774107,2.576443,2.966525,-18.40047,-2.226175,3.43479,32.83723,5.734624,4.838143,0.073552,1.736821,12.67788,5.62876,4.540654,0.001108,0.795065,0.116656,1403,0.950317,586,0.000064,118.4845,funny
1.172665,-8.933362,-7.830904,-0.000906,1728,1061,-2.645346,2.995574,3.206956,0.68062,3.678011,-25.27222,-2.092333,3.53089,20.86934,4.568999,3.684536,0.062951,1.155502,11.4454,6.194459,6.884387,0.003378,1.24356,0.285289,2098,1.335297,868,0.000106,123.5975,funny
0.636114,-11.10721,-10.6243,0.000133,271,932,2.547627,3.0063,3.625151,-1.838457,3.40451,-16.06283,-0.426717,3.111954,23.33663,4.854216,3.233928,0.090698,0.503179,4.864963,5.419886,3.856149,0.000941,1.051075,-0.079771,1089,1.357503,427,0.000094,97.54958,funny
