@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute std_Loudness numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute output {funny,notfunny}

@data

4.913857,0.898807,5.140584,funny
4.518088,0.905772,5.927185,funny
5.613026,0.891726,4.65158,funny
6.279514,0.903752,5.504524,funny
5.757523,0.899275,5.58566,funny
5.652032,0.905027,5.229299,funny
5.825669,0.877848,5.643479,funny
6.144676,0.897807,4.851101,funny
5.828441,0.897696,5.094082,funny
3.938178,0.884163,5.105354,funny
5.82746,0.895035,5.000367,funny
6.31897,0.888527,4.765681,funny
5.064769,0.9018,5.84912,funny
4.364539,0.895014,6.329473,funny
5.254313,0.881565,5.320552,funny
6.34178,0.898173,5.212067,funny
5.948122,0.892471,5.148375,funny
4.01021,0.876079,5.998884,funny
6.720378,0.895509,4.841096,funny
5.813616,0.88598,5.296993,funny
5.331811,0.895392,5.90332,funny
5.010701,0.889051,4.983839,funny
5.604956,0.902606,5.320388,funny
6.504932,0.894253,5.248395,funny
3.866236,0.882218,5.91695,funny
5.54055,0.889256,5.369901,funny
5.650819,0.885953,5.391555,funny
5.072819,0.896237,5.65962,funny
5.42534,0.890917,5.957115,funny
9.174748,0.881776,5.320913,funny
4.311891,0.89527,5.915483,funny
6.531293,0.900997,5.091096,funny
5.662326,0.901333,5.502689,funny
4.56921,0.892301,5.524994,funny
5.915154,0.893623,5.046587,funny
3.677443,0.880596,5.597157,funny
5.419966,0.899376,4.875345,funny
5.385904,0.891975,5.322289,funny
5.47561,0.894483,5.477852,funny
5.483634,0.898078,4.990685,funny
4.388993,0.877611,5.784667,funny
5.028087,0.893859,5.328708,funny
6.543449,0.892815,5.063385,funny
7.484141,0.90512,6.358264,funny
5.431744,0.890737,5.170051,funny
6.70867,0.894398,5.472219,funny
3.619567,0.874396,6.469869,funny
5.294391,0.904153,5.42981,funny
4.923666,0.889771,4.913999,funny
5.069181,0.901815,5.516979,funny
5.858604,0.89002,4.676983,funny
6.180583,0.884721,5.084526,funny
4.314391,0.897529,5.990944,funny
5.09645,0.896722,6.067569,funny
4.35071,0.875959,6.419752,funny
6.776028,0.897936,4.87368,funny
6.302074,0.897374,5.052284,funny
5.46728,0.896119,4.773904,funny
6.338788,0.900245,4.873022,funny
5.446147,0.899263,5.243873,funny
6.968339,0.886455,4.633863,funny
4.778518,0.8875,5.523455,funny
5.605342,0.894866,4.958092,funny
6.067632,0.906087,5.397476,funny
4.915347,0.891297,5.783996,funny
4.689738,0.896871,5.211188,funny
4.770781,0.894664,5.827564,funny
5.016072,0.88732,5.793717,funny
6.269574,0.903058,5.02668,funny
4.678347,0.89041,5.377218,funny
5.160676,0.889808,5.423,funny
4.91146,0.901004,5.854562,funny
6.098696,0.905204,5.380247,funny
6.465776,0.890828,5.022638,funny
7.084642,0.89537,5.010552,funny
4.95915,0.88143,4.785826,funny
3.503975,0.876874,6.541514,funny
6.580778,0.899903,5.444908,funny
5.443299,0.900197,6.07301,funny
5.144563,0.888635,4.589506,funny
4.605294,0.893749,5.160599,funny
6.520454,0.893695,4.969703,funny
5.770525,0.899652,5.098013,funny
4.233597,0.89717,5.535001,funny
4.873874,0.888745,5.879764,funny
5.947857,0.897286,5.165082,funny
5.627781,0.892616,5.010329,funny
6.070026,0.906667,5.640201,funny
5.345006,0.882735,5.317236,funny
4.590745,0.896215,5.063138,funny
5.079838,0.896228,5.008612,funny
4.515067,0.899233,5.864028,funny
4.586864,0.891823,5.937405,funny
6.745529,0.894539,5.247164,notfunny
6.372011,0.893295,5.22884,notfunny
4.586298,0.894943,5.231251,notfunny
3.989058,0.880362,5.362283,notfunny
5.991272,0.903073,5.64449,notfunny
5.178074,0.901192,6.030396,notfunny
4.15669,0.893843,6.114048,notfunny
5.969514,0.898451,5.390502,notfunny
4.460188,0.885763,5.408779,notfunny
