@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_2 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_3 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_8 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_20 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_9 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_10 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_11 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_10 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_PeakRatio_Chroma_C# numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_1 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_7 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_8 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_11 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_13 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_15 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_16 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_PeakRatio_Chroma_C numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_5 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_9 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_8 numeric
@attribute Std_Acc1000_Mean_Mem40_LPCC_1 numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Chroma_F# numeric
@attribute Std_Acc1000_Std_Mem40_SFM_11 numeric
@attribute BeatHisto_LowPeakAmp numeric
@attribute BeatHisto_MidPeakAmp numeric
@attribute BeatHisto_LowBPM numeric
@attribute BeatHisto_MeanACR numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_Std numeric
@attribute BeatHisto_PeriodicCentroid1 numeric

@data

0.223191,0.080373,2.681952,0.583797,1.876384,2.069739,2.859549,6.760716,0.45281,0.436487,0.403106,1.537431,0.827716,0.000007,0.264283,0.590718,0.769755,0.69624,0.196464,0.169869,0.149072,0.133147,0.122477,0.115347,0.039409,0.080968,0.011172,0.175401,0.168639,0.000009,0.386423,0.779896,0.201919,0.237952,0.202443,0.151424,0.526762,0.000006,0.04627,11.543695,8.11898,92.5,0.604949,1.003997,0.000999,0.510778
0.187119,0.114562,5.542699,0.489393,1.738923,1.795823,2.56,5.420942,0.506156,0.455619,0.476599,1.502901,1.527174,0.001292,0.284717,0.630676,0.76776,0.60655,0.195913,0.200805,0.184743,0.153994,0.150531,0.139935,0.053591,0.04584,0.017788,0.485719,0.171805,0.000103,0.252306,0.45302,0.106522,0.109009,0.068515,0.134458,0.309313,0.000166,0.033126,100.852682,80.45259,62.5,0.526115,1.01292,0.001717,0.373431
0.177697,0.097652,2.635685,0.819341,1.977663,1.894682,3.287001,7.375712,0.381043,0.441747,0.355785,1.537844,1.702433,0.000561,0.294451,0.603823,0.960603,1.041929,0.240251,0.229584,0.215153,0.204,0.195136,0.19311,0.068813,0.050607,0.011697,0.276536,0.319059,0.00008,0.269384,0.808953,0.110909,0.091114,0.11576,0.143105,0.31687,0.000089,0.036902,118.253032,82.586509,63,0.480737,1.016391,0.002047,0.362251
0.229123,0.080468,2.119914,0.449401,1.882685,1.876268,2.927779,6.163986,0.478928,0.476888,0.422491,1.515488,0.798277,0.00063,0.281465,0.592367,0.746595,0.94166,0.229382,0.204758,0.185936,0.166975,0.144998,0.125995,0.044287,0.053327,0.011256,0.288504,0.151062,0.000139,0.266268,0.515789,0.104508,0.102925,0.1036,0.144005,0.182084,0.000082,0.026465,73.041998,55.023087,60,0.580936,1.005504,0.000978,0.486755
0.113303,0.078119,3.459955,0.278949,1.828921,1.801195,2.733349,5.770417,0.474504,0.448928,0.425081,1.559792,0.881876,0.000775,0.293896,0.568554,0.748194,0.806383,0.217505,0.208316,0.174486,0.168982,0.136165,0.139258,0.048462,0.029183,0.009181,0.213582,0.127105,0.000194,0.255846,0.484229,0.098547,0.081597,0.084695,0.144408,0.157318,0.000127,0.028097,78.098764,81.86257,55,0.570442,1.005732,0.000997,0.52925
0.23206,0.09481,4.103536,0.32818,2.111608,2.10399,3.219763,8.161096,0.41411,0.345453,0.343649,1.52365,1.433132,0.0003,0.290829,0.735632,0.875639,0.954004,0.26171,0.222493,0.189468,0.178831,0.17437,0.174484,0.052621,0.130808,0.012058,0.542874,0.322234,0.000083,0.284474,0.501564,0.101449,0.11589,0.100333,0.141404,0.359072,0.000248,0.040174,52.51036,44.356594,52.5,0.569035,1.007092,0.001237,0.521359
0.122827,0.081229,3.644436,0.258678,1.882126,1.924968,2.801078,9.563118,0.444281,0.480203,0.442736,1.500372,0.641322,0.000318,0.283576,0.570846,0.839672,0.769674,0.206577,0.201616,0.15319,0.134012,0.135626,0.126408,0.032482,0.040152,0.010059,0.375243,0.202212,0.000282,0.23085,0.622115,0.103884,0.100978,0.102165,0.136743,0.251068,0.000329,0.026553,54.953702,77.757384,59,0.566988,1.005965,0.000984,0.490591
0.144259,0.083531,4.638278,0.664345,1.839091,1.936306,2.647448,5.956169,0.51684,0.468607,0.488782,1.533756,0.890652,0.000345,0.278786,0.535367,0.733123,0.782877,0.215178,0.202493,0.178548,0.152412,0.146841,0.15166,0.044404,0.070206,0.011121,0.351864,0.201827,0.000128,0.247209,0.493566,0.101534,0.086049,0.092239,0.148076,0.487913,0.000085,0.03197,56.816372,39.938851,69,0.510139,1.006995,0.001147,0.49655
0.126499,0.084446,6.055323,0.114555,1.909933,1.922394,2.986705,6.961145,0.430677,0.448253,0.405439,1.509028,1.214805,0.000066,0.293054,0.598916,0.789109,0.836267,0.22601,0.216866,0.186917,0.159648,0.152202,0.143371,0.036512,0.057901,0.010809,0.334995,0.284763,0.00005,0.252427,0.509799,0.098688,0.103945,0.084359,0.145411,0.365751,0.00006,0.034756,21.459591,25.190441,55.5,0.592438,1.005207,0.001005,0.529097
0.296762,0.079535,1.874096,0.529707,1.830309,1.84624,2.750057,6.41018,0.486936,0.494308,0.4876,1.508504,0.827441,0.000093,0.296297,0.546359,0.893903,0.756154,0.211512,0.204738,0.176055,0.150552,0.127844,0.120504,0.037254,0.050841,0.009131,0.242936,0.136066,0.000042,0.250886,0.442494,0.09359,0.096005,0.088641,0.13857,0.210242,0.000021,0.028547,35.355765,40.798028,71.25,0.594815,1.003699,0.000955,0.527257
0.133766,0.092329,4.951001,0.353786,1.890116,1.890752,3.137734,5.682232,0.35752,0.394148,0.392356,1.549162,0.912925,0.000155,0.285661,0.482038,0.839974,0.786032,0.212744,0.208471,0.200513,0.185172,0.144021,0.136545,0.032267,0.042559,0.012266,0.354639,0.297435,0.000052,0.213402,0.605295,0.116981,0.134833,0.06884,0.144055,0.168517,0.000127,0.026894,61.945121,63.223823,61,0.570129,1.008034,0.00135,0.446594
0.188062,0.079395,2.939509,-0.20444,1.713548,1.754595,2.7157,6.869168,0.493774,0.445659,0.425702,1.5369,0.75354,0.000816,0.289186,0.527395,0.982242,0.777469,0.210685,0.209021,0.185572,0.152149,0.133284,0.122497,0.034013,0.040358,0.010269,0.256375,0.167162,0.000165,0.215522,0.467832,0.093554,0.089762,0.0757,0.140457,0.161409,0.000118,0.023443,54.093752,63.653749,94.75,0.598468,1.0037,0.00091,0.491059
0.328097,0.095701,0.966587,0.00142,1.759711,1.72256,2.330028,5.736515,0.623094,0.607688,0.581482,1.558435,1.199599,0.000621,0.312128,0.544828,0.638549,0.610117,0.214376,0.243921,0.14849,0.136324,0.129739,0.132211,0.072957,0.047024,0.011546,0.117319,0.085565,0.000076,0.207899,0.328771,0.093451,0.063524,0.076794,0.144793,0.125596,0.00012,0.030344,132.60221,92.099352,65,0.521158,1.010278,0.001538,0.390466
0.163994,0.085311,3.979865,0.697018,1.914175,1.829131,2.883014,6.316273,0.47541,0.450052,0.427185,1.515468,0.717869,0.000645,0.284349,0.550735,0.771608,0.861167,0.232194,0.206878,0.176715,0.160418,0.149393,0.147672,0.033274,0.072513,0.013733,0.285753,0.296569,0.000246,0.262617,0.479136,0.109542,0.073531,0.074796,0.14776,0.468506,0.000194,0.022721,56.375738,54.795268,62.5,0.567285,1.005923,0.001031,0.457085
0.109527,0.093157,4.880194,0.6543,1.866014,1.854005,2.81318,6.840486,0.440207,0.443105,0.436229,1.535565,1.177434,0.000516,0.293315,0.565045,0.880909,0.835391,0.228657,0.22116,0.179514,0.164218,0.155868,0.15502,0.051054,0.04826,0.013586,0.28818,0.223589,0.000187,0.231307,0.490171,0.10031,0.088202,0.08595,0.144017,0.218149,0.000179,0.02634,50.133418,65.288353,53.5,0.539024,1.006447,0.001099,0.50312
0.29629,0.094692,3.276765,0.270264,2.104068,2.015057,3.139389,7.351863,0.380738,0.379549,0.268368,1.555108,1.189462,0.000821,0.304654,0.608578,0.89687,0.972613,0.257793,0.225757,0.197164,0.16555,0.168081,0.1704,0.055892,0.065853,0.012584,0.256822,0.237808,0.00022,0.298774,0.509952,0.114191,0.086754,0.074136,0.144252,0.208211,0.000591,0.026353,81.843191,108.323102,50,0.661577,1.012364,0.001649,0.595563
0.117835,0.088359,5.879458,0.376413,1.949571,2.188185,2.64323,6.365865,0.527583,0.535454,0.508572,1.558119,1.189965,0.001363,0.281227,0.559701,0.825448,0.869833,0.208968,0.211013,0.169005,0.162038,0.14937,0.142595,0.022835,0.076261,0.011718,0.274213,0.232145,0.000286,0.2836,0.523405,0.10571,0.10545,0.080264,0.147022,0.154214,0.000782,0.026694,75.513324,104.229294,55.5,0.537626,1.009512,0.001336,0.525305
0.162442,0.088254,5.482328,0.734186,1.844724,2.016604,2.736997,7.236912,0.455789,0.409406,0.416328,1.496454,1.139362,0.000542,0.297386,0.636601,0.876381,0.784597,0.209225,0.221274,0.167375,0.167923,0.151896,0.150796,0.030471,0.040479,0.011081,0.337522,0.294808,0.000181,0.241297,0.503821,0.102391,0.100824,0.103762,0.137928,0.267871,0.000235,0.029798,70.554099,59.381259,65,0.565338,1.007001,0.001047,0.455614
0.244035,0.089483,2.578285,0.29145,1.986318,1.902877,3.083042,9.764288,0.446522,0.474093,0.463842,1.434195,1.079013,0.00021,0.279669,0.518529,0.873535,0.970285,0.226933,0.201055,0.178952,0.183445,0.161764,0.164405,0.042362,0.05522,0.012448,0.398541,0.314325,0.00006,0.264221,0.493557,0.098152,0.117012,0.092896,0.137439,0.298022,0.000035,0.028186,71.617946,108.765388,60,0.534724,1.009147,0.001217,0.452748
0.068436,0.094788,6.298445,0.604393,2.005653,1.867073,3.085626,5.14046,0.377606,0.361552,0.323844,1.463767,1.300578,0.000734,0.279424,0.529112,0.777386,0.829528,0.227371,0.206853,0.190076,0.187138,0.186696,0.173127,0.032347,0.029407,0.01286,0.319477,0.261824,0.000197,0.383996,0.668219,0.140983,0.154853,0.112387,0.140823,0.377016,0.000176,0.0263,63.424674,103.805353,60,0.550155,1.010246,0.001453,0.449403
0.246168,0.081694,4.565924,0.400141,1.768153,1.828144,3.215554,6.715999,0.398988,0.378172,0.417635,1.495954,0.769724,0.000829,0.279792,0.524242,0.742898,0.607644,0.201519,0.204979,0.166401,0.153466,0.147356,0.146504,0.043969,0.058317,0.011406,0.345415,0.35179,0.000288,0.221662,0.492768,0.099295,0.117789,0.078692,0.158041,0.515641,0.000193,0.029867,29.789965,37.604166,61.5,0.570489,1.004332,0.000953,0.465775
0.210621,0.081796,4.355927,0.434976,1.885902,2.025232,2.726424,5.971982,0.475233,0.436772,0.38065,1.471911,1.290877,0.000983,0.283867,0.653135,0.59502,0.70892,0.228788,0.191208,0.186599,0.161949,0.154742,0.168081,0.03833,0.07331,0.010948,0.251394,0.193524,0.00017,0.243173,0.503714,0.115632,0.100411,0.069584,0.1371,0.287054,0.000223,0.031307,103.334252,53.836095,64,0.571895,1.007326,0.001111,0.417179
0.108767,0.085816,6.867065,0.176505,1.965197,1.786099,3.920564,5.908566,0.296878,0.300518,0.354446,1.449903,0.814874,0.000366,0.273409,0.536149,0.573169,0.903255,0.213168,0.194499,0.152549,0.127158,0.143684,0.138533,0.024602,0.019934,0.010916,0.497883,0.290377,0.000133,0.304626,0.560575,0.098681,0.092303,0.174635,0.128017,0.249788,0.000081,0.026837,40.178797,35.259541,65,0.563531,1.005066,0.000957,0.462146
0.165651,0.085758,4.865045,1.360034,1.796862,2.011835,2.744553,6.231208,0.543018,0.377031,0.287017,1.516532,1.081857,0.000011,0.295171,0.60411,0.876,0.844874,0.198084,0.183165,0.141584,0.139353,0.115602,0.114855,0.032685,0.067182,0.011933,0.585166,0.264549,0.00001,0.214405,0.477342,0.115988,0.107668,0.088016,0.140418,0.381355,0.000009,0.039268,25.062197,14.581897,72,0.5815,1.003399,0.00089,0.506267
0.217761,0.094247,3.919648,1.066947,2.049782,2.033557,2.610148,7.212464,0.441636,0.427483,0.380554,1.468297,0.849038,0.000215,0.287314,0.496732,1.003842,0.661127,0.225976,0.188595,0.167997,0.148474,0.144551,0.141067,0.049482,0.044687,0.012222,0.313654,0.23006,0.000022,0.259448,0.475762,0.099037,0.089594,0.076447,0.134759,0.230001,0.000125,0.021356,33.546612,56.537388,53.75,0.591978,1.015247,0.001818,0.563832
0.103686,0.086768,5.349895,0.503782,1.970552,1.935,3.008843,7.862408,0.39651,0.394785,0.396808,1.486333,1.089185,0.000033,0.28006,0.615468,0.884168,0.768292,0.247802,0.231964,0.187355,0.169724,0.164272,0.151652,0.038047,0.047977,0.010613,0.368499,0.324373,0.000008,0.335401,0.652231,0.130648,0.145969,0.109771,0.136815,0.298346,0.000012,0.032844,22.050265,24.668658,98.75,0.642091,1.006215,0.001279,0.577938
0.101383,0.085728,4.448668,0.620421,1.759981,1.687301,2.742496,6.222335,0.464951,0.4857,0.392175,1.583309,1.042853,0.000182,0.291811,0.562337,0.811458,0.769875,0.206148,0.20005,0.191,0.188436,0.17118,0.148133,0.033835,0.049218,0.010578,0.221622,0.129545,0.000037,0.23239,0.408756,0.09537,0.101113,0.070857,0.149478,0.12307,0.000043,0.023599,48.874399,83.846287,55,0.53275,1.006921,0.001136,0.534083
0.140995,0.080856,4.48004,0.618193,1.845319,1.880937,2.760941,6.1342,0.478358,0.453674,0.44327,1.529119,0.959663,0.000497,0.292048,0.560477,0.871545,0.798436,0.221204,0.206509,0.175484,0.158796,0.146232,0.145203,0.041173,0.059421,0.010429,0.29994,0.216579,0.000136,0.26233,0.523119,0.115337,0.097369,0.104277,0.140937,0.25925,0.000089,0.032406,36.928743,72.568291,66.25,0.632429,1.005332,0.001119,0.54011
0.158635,0.089357,4.789198,0.322576,1.965635,2.121561,3.209965,7.054403,0.347935,0.362852,0.353199,1.573553,1.318901,0.000482,0.290691,0.653668,1.154942,0.942244,0.235066,0.22747,0.203946,0.183213,0.174545,0.166882,0.054196,0.058009,0.011782,0.318327,0.225624,0.000312,0.282264,0.716812,0.107792,0.121361,0.099552,0.148641,0.332982,0.000421,0.03212,87.991494,110.752294,51,0.613315,1.015194,0.001771,0.615888
0.147617,0.081789,5.057323,0.09669,1.930022,1.92794,2.926984,8.257516,0.450227,0.349697,0.392867,1.511206,0.963219,0.000894,0.285555,0.647905,0.808639,0.883684,0.239025,0.215422,0.183601,0.164631,0.16869,0.163482,0.033818,0.053192,0.009607,0.422651,0.244271,0.000464,0.248519,0.590431,0.111668,0.117254,0.115348,0.14329,0.317817,0.000229,0.037576,72.118864,40.810712,90,0.621454,1.003948,0.001002,0.480694
0.195305,0.087998,3.734645,0.288791,1.971756,1.932695,2.762014,6.962126,0.472691,0.422042,0.400391,1.535282,1.208918,0.000189,0.284123,0.598087,0.858369,0.76558,0.234259,0.210534,0.185799,0.166814,0.155959,0.153928,0.05261,0.065236,0.011724,0.289406,0.254945,0.000035,0.263846,0.480942,0.102073,0.093633,0.079825,0.141044,0.245245,0.000084,0.023022,25.938268,37.107803,52.5,0.640418,1.00537,0.001009,0.519805
0.23206,0.09481,4.103536,0.32818,2.111608,2.10399,3.219763,8.161096,0.41411,0.345453,0.343649,1.52365,1.433132,0.0003,0.290829,0.735632,0.875639,0.954004,0.26171,0.222493,0.189468,0.178831,0.17437,0.174484,0.052621,0.130808,0.012058,0.542874,0.322234,0.000083,0.284474,0.501564,0.101449,0.11589,0.100333,0.141404,0.359072,0.000248,0.040174,52.51036,44.356594,52.5,0.569035,1.007092,0.001237,0.521359
0.155274,0.086438,4.080565,-0.05739,1.811678,1.923159,3.111248,6.497915,0.428017,0.414828,0.362969,1.557055,1.181375,0.00047,0.293198,0.545898,0.867833,0.924048,0.221594,0.206067,0.184481,0.178781,0.165726,0.158958,0.038928,0.070536,0.01212,0.334881,0.252926,0.000066,0.232707,0.581973,0.101848,0.082333,0.08512,0.145168,0.241977,0.000127,0.032089,40.875148,74.447432,74.75,0.550566,1.008575,0.001346,0.546497
0.212483,0.091286,2.673603,0.197668,1.934162,2.069853,2.730551,5.889925,0.397537,0.431147,0.428248,1.566739,1.326081,0.000816,0.298629,0.756334,0.901437,0.764446,0.220459,0.232597,0.199691,0.171282,0.160604,0.137415,0.045338,0.083836,0.011462,0.216392,0.187453,0.000137,0.261067,0.557764,0.105835,0.092702,0.070746,0.145779,0.161551,0.000113,0.025055,89.177485,84.769864,61.5,0.555365,1.010343,0.001413,0.446695
0.115615,0.084088,5.251597,0.905294,1.824043,1.854676,2.753635,6.819737,0.412309,0.33428,0.302317,1.539408,0.835482,0.000595,0.28644,0.563891,0.772226,0.739441,0.21446,0.190287,0.18726,0.165198,0.166246,0.163279,0.034106,0.046443,0.010255,0.351397,0.206034,0.000187,0.273015,0.626366,0.101884,0.094923,0.105289,0.143067,0.162501,0.000223,0.031205,25.946329,96.840442,60.25,0.608156,1.005865,0.001292,0.447653
0.351897,0.091005,0.806062,0.946434,2.037899,2.050824,2.63873,7.412195,0.422518,0.353875,0.33702,1.576033,0.947292,0.000727,0.297911,0.550474,0.769531,0.716169,0.230527,0.206353,0.184165,0.144656,0.149904,0.14006,0.069084,0.068726,0.011961,0.33861,0.441147,0.000076,0.260206,0.691278,0.096846,0.101482,0.146181,0.148509,0.151129,0.000105,0.050513,106.868549,40.210871,62,0.591386,1.007837,0.001229,0.471959
0.1701,0.08645,3.21628,0.345695,1.894118,1.874272,3.214822,7.33163,0.403502,0.390625,0.341623,1.488103,1.084853,0.000185,0.284513,0.644283,0.921578,0.993048,0.222587,0.229647,0.193126,0.179839,0.175188,0.172777,0.052866,0.041436,0.01058,0.30122,0.222181,0.000064,0.241219,0.705616,0.09268,0.090916,0.143476,0.133025,0.257544,0.000081,0.028469,42.913654,78.448804,57.25,0.535832,1.009598,0.001329,0.475205
0.202026,0.086162,3.276836,0.560054,1.789844,1.88228,2.625277,8.235601,0.480537,0.426935,0.408169,1.52998,0.910537,0.000124,0.289818,0.506983,0.689435,0.7331,0.243317,0.219186,0.181922,0.171598,0.163342,0.143946,0.050078,0.06605,0.010411,0.216091,0.168525,0.000019,0.240713,0.540861,0.112628,0.10299,0.117743,0.138568,0.193117,0.00004,0.027093,52.530282,44.87015,61.5,0.579899,1.009041,0.001191,0.456108
0.205507,0.090574,3.14093,0.444796,1.87072,1.984329,3.131437,6.132973,0.426908,0.455173,0.481947,1.532906,1.193542,0.000824,0.300448,0.696988,0.914603,1.063063,0.217093,0.229422,0.185756,0.170143,0.142482,0.142753,0.059696,0.090766,0.013748,0.323647,0.363808,0.000173,0.252201,0.620201,0.127666,0.101289,0.134465,0.139038,0.288546,0.000118,0.031477,114.33454,71.423941,60.25,0.399874,1.016891,0.002201,0.383885
