@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_linregc2 numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[5]_max numeric
@attribute mfcc_sma[5]_amean numeric
@attribute mfcc_sma[6]_amean numeric
@attribute mfcc_sma[7]_max numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[10]_linregc2 numeric
@attribute mfcc_sma[10]_kurtosis numeric
@attribute mfcc_sma[11]_max numeric
@attribute mfcc_sma[11]_kurtosis numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_linregerrQ numeric
@attribute pcm_zcr_sma_skewness numeric
@attribute pcm_zcr_sma_kurtosis numeric
@attribute voiceProb_sma_min numeric
@attribute voiceProb_sma_range numeric
@attribute voiceProb_sma_amean numeric
@attribute voiceProb_sma_stddev numeric
@attribute voiceProb_sma_skewness numeric
@attribute pcm_RMSenergy_sma_de_range numeric
@attribute pcm_RMSenergy_sma_de_linregc2 numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_linregc1 numeric
@attribute mfcc_sma_de[1]_kurtosis numeric
@attribute mfcc_sma_de[2]_min numeric
@attribute mfcc_sma_de[2]_range numeric
@attribute mfcc_sma_de[2]_amean numeric
@attribute mfcc_sma_de[2]_linregerrQ numeric
@attribute mfcc_sma_de[4]_max numeric
@attribute mfcc_sma_de[4]_maxPos numeric
@attribute mfcc_sma_de[4]_skewness numeric
@attribute mfcc_sma_de[5]_linregerrQ numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[9]_linregerrQ numeric
@attribute mfcc_sma_de[11]_linregerrQ numeric
@attribute voiceProb_sma_de_min numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_skewness numeric
@attribute F0_sma_de_linregc1 numeric
@attribute output {groovy,notgroovy}

@data

0.000676,-13.284,-0.752505,12.51474,-1.898094,0.273874,10.67345,3.954727,-5.913743,3.231793,10.79005,5.149829,0.140464,0.006008,2.102482,10.73661,0.130646,0.763596,0.375618,0.226919,1.077107,0.013498,-0.000002,7.726576,-0.000004,5.755716,-3.445231,7.853618,0.004658,0.583572,4.37996,2939,0.012012,0.836692,-0.152792,1.000185,1.158767,1.053514,-0.12295,0.000695,-0.106839,-0.000001,groovy
0.021452,-7.148533,0.669311,23.37572,0.875538,0.20108,17.09254,3.272586,-3.718918,3.145253,12.12588,2.92699,0.083052,0.003752,1.291175,4.483645,0.057215,0.700046,0.30301,0.108862,0.97915,0.065428,-0.000133,5.23156,-0.000014,6.25,-6.157877,13.7309,-0.002516,2.698157,7.556019,1905,0.648417,2.235048,0.29968,1.822179,1.391251,1.382135,-0.140478,0.000918,-0.5485,-0.000014,groovy
0.027447,-11.2797,0.416595,22.1099,4.968343,0.103182,21.58182,3.096562,0.965237,3.340796,25.94065,3.900262,0.087453,0.003476,1.196054,4.747002,0.11988,0.814822,0.428045,0.216209,0.578122,0.048316,0.000029,7.429142,0.000005,4.63676,-6.502744,11.57944,-0.008595,2.044841,4.270074,2101,0.179485,1.736753,-0.14768,1.724985,1.918833,2.059002,-0.189156,0.002837,-0.368435,0.000152,groovy
0.069561,-13.7728,-0.210072,18.61449,0.850364,-3.409698,21.73794,3.326757,-3.679822,3.252736,13.49603,2.717577,0.123098,0.003506,1.049257,5.99403,0.14859,0.695009,0.328605,0.150614,1.115816,0.07451,0.000019,6.714725,-0.000001,3.79869,-2.851707,7.259257,0.000879,0.83915,3.586161,2049,0.395135,0.910797,0.257282,1.218481,1.163068,1.092319,-0.14327,0.001126,-0.173972,-0.000052,groovy
0.051486,-9.872326,0.911012,16.9292,1.84002,5.846457,14.50182,3.277543,0.337329,2.916258,12.8954,3.429203,0.059027,0.001011,0.429297,2.62281,0.130119,0.658253,0.344877,0.14614,0.96711,0.032167,0.000042,6.162829,0.000001,5.156591,-3.55236,6.725099,-0.00291,0.583211,3.06149,2543,-0.210737,1.007696,-0.472761,1.134391,1.263953,1.127194,-0.136624,0.000766,-0.410054,-0.000061,groovy
0.018642,-11.81213,-0.217873,15.52874,-4.420683,0.53754,23.73246,2.579335,6.02299,3.621491,18.87962,2.872661,0.100068,0.005268,2.356535,11.8446,0.133172,0.802644,0.507123,0.2154,0.007414,0.029385,-0.00001,6.101134,-0.000002,4.440472,-5.841016,11.8171,0.002491,1.382908,6.740479,2,0.282502,1.862314,0.046523,2.156862,2.107378,1.807719,-0.173329,0.002097,-0.42317,0.000001,groovy
0.014899,-9.711113,-0.045917,12.16375,-0.23691,-0.009903,17.86657,3.500036,-3.555066,3.911492,12.34579,3.43773,0.082586,0.001702,1.24606,5.795423,0.130007,0.667865,0.359745,0.136876,0.833648,0.05244,0.000007,13.80949,-0.000001,4.475927,-3.467626,7.318093,-0.000572,0.636803,5.054254,250,0.242084,0.801153,0.017805,1.052626,1.317587,0.953857,-0.141173,0.000968,-0.157805,0.000075,groovy
0.028947,-8.860177,0.665634,16.68002,1.707132,0.981411,14.45237,3.108002,-1.602429,3.080015,14.59186,3.147176,0.090573,0.00437,1.494118,6.37263,0.118622,0.682051,0.283425,0.118491,1.417576,0.029849,-0.000031,7.884775,-0.000002,7.41365,-4.063245,7.939087,-0.000449,0.772708,4.171086,1679,0.169438,1.088942,-0.012341,1.172457,1.312295,1.039666,-0.14687,0.000589,-0.458569,-0.000018,groovy
0.011181,-5.574541,-1.032925,12.61897,-5.332346,-6.725397,17.63813,3.154078,-1.731339,3.316691,14.27486,3.88599,0.087789,0.006849,3.647265,17.19093,0.144598,0.748895,0.439733,0.166236,0.529337,0.032866,-0.000031,13.98211,-0.000004,8.101453,-4.727095,9.3049,0.001399,0.896563,4.601331,218,-0.048863,1.211032,-0.225095,1.209054,1.404411,1.186711,-0.14829,0.001233,-0.109253,0.000294,groovy
