@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_amean numeric
@attribute pcm_RMSenergy_sma_kurtosis numeric
@attribute mfcc_sma[1]_maxPos numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[5]_max numeric
@attribute mfcc_sma[6]_amean numeric
@attribute mfcc_sma[7]_max numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[9]_kurtosis numeric
@attribute mfcc_sma[10]_linregc2 numeric
@attribute mfcc_sma[10]_kurtosis numeric
@attribute mfcc_sma[11]_kurtosis numeric
@attribute mfcc_sma[12]_kurtosis numeric
@attribute pcm_zcr_sma_min numeric
@attribute pcm_zcr_sma_kurtosis numeric
@attribute voiceProb_sma_range numeric
@attribute voiceProb_sma_stddev numeric
@attribute voiceProb_sma_skewness numeric
@attribute pcm_RMSenergy_sma_de_linregc2 numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_linregc1 numeric
@attribute mfcc_sma_de[1]_kurtosis numeric
@attribute mfcc_sma_de[2]_range numeric
@attribute mfcc_sma_de[2]_amean numeric
@attribute mfcc_sma_de[2]_linregerrQ numeric
@attribute mfcc_sma_de[2]_stddev numeric
@attribute mfcc_sma_de[3]_linregerrQ numeric
@attribute mfcc_sma_de[4]_skewness numeric
@attribute mfcc_sma_de[5]_linregc1 numeric
@attribute mfcc_sma_de[5]_linregerrQ numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute mfcc_sma_de[9]_linregerrQ numeric
@attribute mfcc_sma_de[12]_linregc1 numeric
@attribute pcm_zcr_sma_de_stddev numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_min numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute F0_sma_de_linregc2 numeric
@attribute output {groovy,notgroovy}

@data

0.053553,5.577799,1829,-13.58808,0.013499,14.44523,-1.377897,19.30314,3.300885,7.155372,-2.677502,3.804375,2.933432,3.54089,0.005445,7.950893,0.723102,0.135971,1.14884,-0.000027,8.642941,-0.000002,4.992603,10.27325,0.000919,1.232293,1.110094,0.914326,0.716886,0.000014,1.511348,0.230235,1.624126,1.850573,0,0.016426,10.29984,-0.157582,0.00106,0.037165,groovy
0.032536,2.936489,819,-12.01969,-0.164849,12.43684,-2.409976,13.64149,3.454521,3.073639,-0.039655,3.949008,3.109098,3.248213,0.001815,5.386046,0.715495,0.139801,1.224522,0.000019,5.771035,0.000001,7.008546,9.560194,-0.002611,1.361148,1.166688,1.209055,0.076073,0.000002,1.655798,-0.105006,1.759726,2.204374,-0.000008,0.019373,9.20325,-0.165969,0.001692,0.053454,groovy
0.058849,2.901281,1478,-10.78699,0.82169,21.31574,1.057187,22.46055,2.842772,3.476053,-2.18788,3.089603,3.143397,3.312582,0.019964,8.742395,0.801363,0.187262,0.757655,0.000028,5.697526,0.000001,9.70388,9.625504,-0.003036,0.759418,0.871452,1.017697,0.49418,0.000005,1.678081,-0.115742,1.586537,1.703399,-0.000009,0.01162,9.65647,-0.171234,0.001525,-0.13139,groovy
0.019819,3.440563,560,-8.052955,0.213049,13.29582,0.455639,12.28927,2.737075,3.964219,-2.172405,4.486913,3.698513,3.342977,0.009679,4.237117,0.550595,0.094572,0.989269,0.000018,5.642019,0.000005,5.587796,9.904949,0.003404,1.379125,1.174363,0.8693,0.304844,-0.000003,0.948774,-0.178288,1.105697,1.231327,0.000003,0.00968,4.645741,-0.12276,0.000646,0.016842,groovy
0.029082,9.729561,2276,-5.727335,0.198165,17.11304,2.863924,9.824475,2.963242,2.806074,1.039958,2.637036,3.205179,3.809086,0.004235,22.09245,0.733302,0.179767,0.597515,0.000015,8.363413,0,4.573974,11.953,0.001661,2.396509,1.548067,2.063953,0.208665,0.000002,2.013972,0.302092,2.102722,2.021475,-0.000006,0.015309,17.71038,-0.166,0.00216,-0.001282,groovy
0.015889,2.710141,1085,-11.4276,0.356832,17.27591,-0.325494,18.18189,3.297864,4.242601,-2.508744,3.291659,3.650895,3.965003,0.005445,3.305835,0.731619,0.161688,1.214866,-0.000001,2.782033,0,2.818103,7.860712,-0.000934,0.90058,0.94899,2.683908,0.598353,0.000006,1.707198,0.216497,1.286081,1.359881,0.000002,0.016783,3.657815,-0.175419,0.002534,0.107575,groovy
0.020045,4.438881,350,-6.354247,-0.767421,11.43491,-0.885663,19.24809,3.182593,3.745053,-3.925689,3.370727,3.903493,3.858255,0.008469,25.69566,0.772589,0.179341,0.414006,0.000021,6.330547,0.000005,7.487949,9.026282,-0.00224,0.73857,0.859401,1.047185,-0.243582,-0.000003,1.283171,-0.39389,1.580896,1.669373,0.000006,0.008211,32.06002,-0.150789,0.001415,-0.021787,groovy
0.039638,3.685428,2774,-15.99706,-0.037256,32.60931,0.795821,15.32643,2.455862,2.779573,-2.138971,2.93692,2.827629,3.506589,0.005445,3.150323,0.680808,0.132132,1.334529,0.000006,4.503702,0,4.547141,7.330978,-0.001371,0.867795,0.931586,0.902788,-0.151355,-0.000004,1.325794,-0.05905,1.585058,1.675977,0,0.022749,4.535491,-0.16135,0.001478,-0.047065,groovy
0.016704,2.007531,1638,-10.89539,0.220375,19.01909,-5.612788,14.09659,2.622593,2.908241,-1.029008,2.852671,2.939509,4.421462,0.004235,4.756941,0.624874,0.114709,0.769549,0.000018,5.932905,0.000002,7.316216,7.817069,0.00195,0.904446,0.951024,1.204436,0.858228,0.000003,1.459566,0.53404,1.701705,1.895766,0.000001,0.013436,9.819985,-0.098731,0.000575,0.028437,groovy
