@relation arff_file/psysound.arff

@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {groovy,notgroovy}

@data

90.10412,6.216184,1.575467,0.61179,1.074547,0.898634,0.121135,46.18562,4.918321,253.3243,0.89175,0.025019,0.027177,0.367727,0.000191,0.017906,5077.009,0.883745,0,0.79028,0.098201,0,0.165848,0.004906,1161.706,763945.1,groovy
72.20177,5.441705,1.532963,0.682047,0.939345,0.895329,0.04978,7.151924,4.647788,382.8549,0.798601,0.025853,0.086919,0.572517,0.000199,0.008478,157.2162,1.278662,0,0.855526,0.117883,0,0.123684,0.003988,992.2092,729283.5,groovy
86.15426,5.763101,1.498627,0.62519,1.122203,0.891773,0.06363,18.96289,5.426343,113.5107,0.63242,0.019959,0.030966,0.271222,0.000273,0.016139,1555.94,0.844293,0,0.949401,0.114115,0,0.048071,0.00335,864.4428,296573,groovy
77.69524,5.129649,1.391549,0.819462,1.242195,0.899788,0.080458,41.56333,5.698377,281.2808,1.220808,0.023073,0.087088,0.289999,0.000142,0.006401,2172.547,0.537354,0,0.961385,0.121512,0,0.037149,0.003158,511.3748,122190.5,groovy
61.33011,4.616378,1.404465,0.789458,0.78643,0.897898,0.054912,22.49888,5.326287,155.7838,0.912084,0.037921,0.129973,0.428267,0.000215,0.005978,781.2474,0.888181,0,0.766977,0.086671,0,0.178842,0.004548,424.7563,280042,groovy
82.81907,5.980308,1.564251,0.568235,1.035126,0.894327,0.067865,26.01524,4.846744,161.3675,0.51338,0.010882,0.01437,0.475048,0.000227,0.010845,1397.586,0.497289,0,0.864181,0.107424,0,0.11745,0.004289,955.6519,277721,groovy
69.40418,4.41841,1.31556,0.759114,0.898016,0.889162,0.055715,24.53998,5.69412,479.806,0.971012,0.018228,0.111921,0.364257,0.000305,0.00931,1082.58,1.138054,0,0.900133,0.128877,0,0.089953,0.003658,520.2931,128318.3,groovy
69.95847,6.000194,1.648118,0.577198,0.810076,0.888326,0.074671,20.35709,4.165921,141.01,0.773132,0.022809,0.056465,0.306641,0.000177,0.013912,736.5915,0.435117,0,0.898802,0.11915,0,0.091018,0.003511,945.2235,720220.6,groovy
85.42066,5.659193,1.499398,0.672736,1.068611,0.883308,0.325558,277.168,5.00869,769.3374,1.706944,0.025882,0.036429,0.468001,0.000572,0.167366,216217.1,1.507155,0,0.795606,0.127739,0,0.162726,0.005322,1062.353,334414,groovy
