@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_SharpnessA numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute output {groovy,notgroovy}

@data

1.575467,0.898634,46.18562,0.367727,groovy
1.532963,0.895329,7.151924,0.572517,groovy
1.498627,0.891773,18.96289,0.271222,groovy
1.391549,0.899788,41.56333,0.289999,groovy
1.404465,0.897898,22.49888,0.428267,groovy
1.564251,0.894327,26.01524,0.475048,groovy
1.31556,0.889162,24.53998,0.364257,groovy
1.648118,0.888326,20.35709,0.306641,groovy
1.499398,0.883308,277.168,0.468001,groovy
1.45298,0.895577,38.39197,0.203941,groovy
1.152114,0.882239,32.57035,0.103786,groovy
1.398416,0.888173,19.70302,0.079262,groovy
1.40473,0.896865,46.71865,0.135424,groovy
1.254359,0.880075,41.69932,0.324531,groovy
1.34778,0.902097,88.58662,0.307983,groovy
1.153719,0.883183,39.79175,0.480344,groovy
1.39622,0.896343,55.41265,0.229735,groovy
1.600211,0.896778,52.52333,0.146952,groovy
1.421614,0.895956,15.54126,0.190964,groovy
1.458374,0.880833,28.77378,0.335474,groovy
1.320178,0.89719,12.22362,0.217355,groovy
1.441191,0.89555,64.36968,0.510033,groovy
1.48423,0.8947,41.15293,0.434722,groovy
1.153366,0.89168,150.3976,0.051737,groovy
1.397871,0.895428,39.07327,0.19939,groovy
1.365175,0.896146,39.84261,0.625929,groovy
1.364704,0.901192,96.6728,0.124978,groovy
1.482543,0.890124,37.30728,0.044598,groovy
1.614164,0.893345,68.08117,1.393104,groovy
1.401551,0.894024,22.55037,0.161264,groovy
1.43588,0.887924,39.50232,0.291252,groovy
1.181175,0.884077,36.19064,0.062005,groovy
1.471712,0.891312,70.72378,0.646037,groovy
1.399932,0.896464,54.33257,1.266253,groovy
1.497301,0.898151,36.04668,0.514823,groovy
1.329729,0.893445,43.49768,0.226602,groovy
1.570098,0.884866,25.71977,1.065016,groovy
1.493868,0.901375,35.0034,0.228989,groovy
1.272313,0.889042,127.7906,0.164694,groovy
1.313858,0.892746,98.63588,0.244593,groovy
