% Created by psymatrix_2_arff.pl
@relation arff_file/psysound.arff
@attribute mean_Loudness real
@attribute std_Loudness real
@attribute mean_SharpnessA real
@attribute std_SharpnessA real
@attribute mean_SharpnessZ real
@attribute std_SharpnessZ real
@attribute mean_Spectral_Dissonance(HK) real
@attribute std_Spectral_Dissonance(HK) real
@attribute mean_Spectral_Dissonance(S) real
@attribute std_Spectral_Dissonance(S) real
@attribute mean_Timbral_Width real
@attribute std_Timbral_Width real
@attribute mean_Tonal_Dissonance(HK) real
@attribute std_Tonal_Dissonance(HK) real
@attribute mean_Tonal_Dissonance(S) real
@attribute std_Tonal_Dissonance(S) real
@attribute mean_Volume real
@attribute std_Volume real
@attribute mean_Pure_Tonal real
@attribute std_Pure_Tonal real
@attribute mean_Complex_Tonal real
@attribute std_Complex_Tonal real
@attribute mean_Multiplicity real
@attribute std_Multiplicity real
@attribute mean_SpectralCentroid real
@attribute std_SpectralCentroid real
@attribute output {groovy,notgroovy}


@data
9.010412e+01,6.216184e+00,1.575467e+00,6.117896e-01,1.074547e+00,8.986342e-01,1.211348e-01,4.618562e+01,4.918321e+00,2.533243e+02,8.917496e-01,2.501859e-02,2.717699e-02,3.677267e-01,1.905295e-04,1.790598e-02,5.077009e+03,8.837451e-01,0.000000e+00,7.902796e-01,9.820089e-02,0.000000e+00,1.658482e-01,4.905501e-03,1.161706e+03,7.639451e+05,groovy
7.220177e+01,5.441705e+00,1.532963e+00,6.820466e-01,9.393445e-01,8.953293e-01,4.977976e-02,7.151924e+00,4.647788e+00,3.828549e+02,7.986011e-01,2.585322e-02,8.691865e-02,5.725174e-01,1.987858e-04,8.478335e-03,1.572162e+02,1.278662e+00,0.000000e+00,8.555260e-01,1.178825e-01,0.000000e+00,1.236836e-01,3.988383e-03,9.922092e+02,7.292835e+05,groovy
8.615426e+01,5.763101e+00,1.498627e+00,6.251901e-01,1.122203e+00,8.917730e-01,6.362996e-02,1.896289e+01,5.426343e+00,1.135107e+02,6.324195e-01,1.995857e-02,3.096580e-02,2.712217e-01,2.730949e-04,1.613931e-02,1.555940e+03,8.442931e-01,0.000000e+00,9.494008e-01,1.141150e-01,0.000000e+00,4.807093e-02,3.350337e-03,8.644428e+02,2.965730e+05,groovy
7.769524e+01,5.129649e+00,1.391549e+00,8.194618e-01,1.242195e+00,8.997876e-01,8.045777e-02,4.156333e+01,5.698377e+00,2.812808e+02,1.220808e+00,2.307321e-02,8.708815e-02,2.899986e-01,1.418248e-04,6.400675e-03,2.172547e+03,5.373541e-01,0.000000e+00,9.613848e-01,1.215119e-01,0.000000e+00,3.714878e-02,3.157709e-03,5.113748e+02,1.221905e+05,groovy
6.133011e+01,4.616378e+00,1.404465e+00,7.894582e-01,7.864295e-01,8.978980e-01,5.491159e-02,2.249888e+01,5.326287e+00,1.557838e+02,9.120840e-01,3.792079e-02,1.299727e-01,4.282671e-01,2.145903e-04,5.978106e-03,7.812474e+02,8.881809e-01,0.000000e+00,7.669774e-01,8.667099e-02,0.000000e+00,1.788422e-01,4.548499e-03,4.247563e+02,2.800420e+05,groovy
8.281907e+01,5.980308e+00,1.564251e+00,5.682345e-01,1.035126e+00,8.943274e-01,6.786477e-02,2.601524e+01,4.846744e+00,1.613675e+02,5.133802e-01,1.088249e-02,1.436983e-02,4.750479e-01,2.271968e-04,1.084522e-02,1.397586e+03,4.972888e-01,0.000000e+00,8.641811e-01,1.074240e-01,0.000000e+00,1.174503e-01,4.288955e-03,9.556519e+02,2.777210e+05,groovy
6.940418e+01,4.418410e+00,1.315560e+00,7.591135e-01,8.980155e-01,8.891624e-01,5.571511e-02,2.453998e+01,5.694120e+00,4.798060e+02,9.710118e-01,1.822753e-02,1.119207e-01,3.642572e-01,3.045205e-04,9.309876e-03,1.082580e+03,1.138054e+00,0.000000e+00,9.001332e-01,1.288773e-01,0.000000e+00,8.995335e-02,3.657871e-03,5.202931e+02,1.283183e+05,groovy
6.995847e+01,6.000194e+00,1.648118e+00,5.771978e-01,8.100760e-01,8.883262e-01,7.467139e-02,2.035709e+01,4.165921e+00,1.410100e+02,7.731317e-01,2.280949e-02,5.646540e-02,3.066408e-01,1.773667e-04,1.391184e-02,7.365915e+02,4.351166e-01,0.000000e+00,8.988016e-01,1.191499e-01,0.000000e+00,9.101788e-02,3.511398e-03,9.452235e+02,7.202206e+05,groovy
8.542066e+01,5.659193e+00,1.499398e+00,6.727356e-01,1.068611e+00,8.833080e-01,3.255580e-01,2.771680e+02,5.008690e+00,7.693374e+02,1.706944e+00,2.588175e-02,3.642868e-02,4.680005e-01,5.720423e-04,1.673658e-01,2.162171e+05,1.507155e+00,0.000000e+00,7.956059e-01,1.277388e-01,0.000000e+00,1.627255e-01,5.321537e-03,1.062353e+03,3.344140e+05,groovy
6.560885e+01,5.015622e+00,1.452980e+00,7.494346e-01,7.290110e-01,8.955771e-01,6.687277e-02,3.839197e+01,5.071299e+00,2.412347e+02,1.181491e+00,3.332749e-02,8.441152e-02,2.039412e-01,1.607102e-04,5.584725e-03,1.779397e+03,1.043248e+00,0.000000e+00,9.054594e-01,1.139876e-01,0.000000e+00,8.565972e-02,3.800115e-03,5.077664e+02,3.553003e+05,groovy
4.941284e+01,3.350961e+00,1.152114e+00,1.152544e+00,5.752560e-01,8.822394e-01,6.518733e-02,3.257035e+01,6.320726e+00,1.563651e+02,6.802372e-01,2.703528e-02,1.730657e-01,1.037859e-01,3.001353e-04,1.199092e-02,2.541393e+03,1.845228e+00,0.000000e+00,9.920107e-01,1.131077e-01,0.000000e+00,7.930798e-03,1.875642e-03,1.979192e+02,1.988713e+04,groovy
8.063784e+01,5.168942e+00,1.398416e+00,5.945761e-01,9.701826e-01,8.881727e-01,5.209064e-02,1.970302e+01,5.600823e+00,1.849922e+02,9.107964e-01,1.856739e-02,2.753531e-02,7.926196e-02,1.695751e-04,6.383964e-03,6.589834e+02,4.259799e-01,0.000000e+00,9.294274e-01,1.288134e-01,0.000000e+00,6.563578e-02,4.033064e-03,6.206680e+02,6.512148e+04,groovy
