@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_amean numeric
@attribute pcm_RMSenergy_sma_skewness numeric
@attribute mfcc_sma[1]_linregc1 numeric
@attribute mfcc_sma[5]_min numeric
@attribute mfcc_sma[9]_linregerrQ numeric
@attribute mfcc_sma[12]_linregerrQ numeric
@attribute pcm_zcr_sma_min numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_kurtosis numeric
@attribute voiceProb_sma_max numeric
@attribute voiceProb_sma_skewness numeric
@attribute pcm_RMSenergy_sma_de_stddev numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_kurtosis numeric
@attribute mfcc_sma_de[2]_linregc1 numeric
@attribute mfcc_sma_de[2]_kurtosis numeric
@attribute mfcc_sma_de[3]_kurtosis numeric
@attribute mfcc_sma_de[5]_kurtosis numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[9]_kurtosis numeric
@attribute mfcc_sma_de[12]_linregerrQ numeric
@attribute pcm_zcr_sma_de_amean numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_kurtosis numeric
@attribute output {happy,nothappy}

@data

0.016492,0.619178,0.000188,-15.00483,29.41662,23.21442,0.020569,0.125844,4.377537,0.869956,0.698392,0.001399,7.607391,4.911998,0.000001,4.808772,3.673026,3.391128,3.770637,3.486435,1.076603,0.000019,5.452879,5.035834,happy
0.01677,0.653241,-0.001211,-21.5282,22.52946,19.39523,0.018149,0.1061,10.4882,0.841895,0.53839,0.001669,7.322517,6.020887,-0.000003,5.474495,4.224307,3.578613,3.435593,3.204295,1.005456,0.000016,11.29352,4.4897,happy
0.030282,1.186357,0.001082,-21.22682,33.31885,28.17344,0.017544,0.097359,25.09516,0.910752,0.235189,0.004075,7.179066,8.859022,0.000003,6.005483,5.725695,4.498336,4.594323,4.19205,1.610294,0.000005,28.19267,4.669936,happy
0.028867,1.197203,-0.000577,-21.02699,20.47288,20.87101,0.005445,0.114517,10.04688,0.814584,1.113861,0.002977,5.52665,4.399053,-0.000001,3.309784,3.408985,3.356237,4.077636,3.564237,1.331315,-0.000018,11.01301,5.851543,happy
0.035577,0.913987,-0.00027,-15.28214,21.97846,18.31452,0.010284,0.122356,3.665023,0.878051,1.336818,0.003978,6.890339,6.625654,-0.000008,3.932873,4.964991,3.930716,3.879112,3.702396,1.093999,0.000034,5.01982,6.08211,happy
0.01728,2.352431,0.000718,-14.90372,12.9407,9.535849,0.024198,0.06553,9.224329,0.824733,1.058352,0.000667,14.30014,7.194674,-0.000001,5.682854,4.236729,3.242975,2.974672,3.45265,0.763947,-0.000005,4.405449,5.786651,happy
0.025886,0.80975,-0.000942,-18.34327,25.00697,14.59867,0.018754,0.078427,20.32289,0.894573,0.861324,0.002997,7.253739,5.287265,0,4.33698,4.271505,3.848258,4.380492,3.197482,1.070521,0.000001,18.06281,5.364615,happy
0.068511,0.765081,-0.000397,-15.77488,14.54916,11.96569,0.013914,0.109592,3.995838,0.601992,1.666083,0.005718,4.838207,4.392862,-0.000005,3.88418,3.473856,3.380682,3.36042,3.062836,0.958856,-0.000008,4.56409,5.622744,happy
0.059777,0.97773,-0.000015,-20.75203,23.0224,29.44261,0.016939,0.102746,9.275076,0.869439,0.343911,0.005184,9.633609,7.491667,0,4.721306,3.997966,3.842604,4.220788,3.541368,1.187483,-0.000001,10.56586,4.304674,happy
