@relation arff_file/psysound.arff

@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {happy,nothappy}

@data

96.91132,6.372011,1.547191,0.561277,1.185465,0.893295,0.092637,44.15475,5.22884,388.1315,1.176356,0.018766,0.02468,0.12293,0.000166,0.010084,2949.16,0.463364,0,0.980027,0.124271,0,0.019587,0.002757,1016.725,192355.3,happy
83.74501,5.277583,1.43301,0.584268,0.827507,0.889999,0.077858,32.69106,5.442389,334.258,1.096862,0.02251,0.025959,0.099286,0.000255,0.011958,1334.629,0.527093,0,0.653129,0.095457,0,0.226702,0.006439,901.7237,263793,happy
84.20902,5.659712,1.501331,0.560115,0.822803,0.886408,0.069916,29.06781,4.977053,679.8682,1.658495,0.024448,0.036647,0.181743,0.000302,0.008497,1403.763,0.890552,0,0.902131,0.123835,0,0.08835,0.003923,848.6944,207836.3,happy
113.9206,6.994181,1.566788,0.608914,1.541978,0.89625,0.085656,41.65143,5.773376,372.6974,1.395991,0.027535,0.018923,0.492825,0.000199,0.011948,3043.997,0.855818,0,0.690413,0.097831,0,0.213885,0.00632,864.686,372298.3,happy
85.78602,6.162499,1.563035,0.537867,1.019952,0.895411,0.059537,36.44381,5.035742,267.8861,1.115739,0.023049,0.020062,0.310308,0.000101,0.004701,1098.669,0.587928,0,0.851531,0.092649,0,0.12651,0.003874,884.0896,296684.3,happy
78.75242,4.518703,1.26888,0.757161,1.344403,0.899846,0.205353,141.5002,6.309238,74.94431,0.246575,0.005529,0.018766,0.060746,0.000079,0.013258,5919.586,0.199348,0,0.998668,0.146481,0,0.001331,0.003035,459.1787,15680.18,happy
78.77944,4.984188,1.375578,0.705113,1.009742,0.90012,0.068584,31.77673,5.773812,176.9989,0.418958,0.010696,0.037976,0.12796,0.000245,0.006578,1749.058,0.529794,0,0.861518,0.099615,0,0.119384,0.00371,567.0941,107895.9,happy
87.63715,5.947103,1.508461,0.674651,1.262068,0.905132,0.135931,68.49511,5.293146,94.53225,0.695824,0.016705,0.016439,0.10347,0.000047,0.013074,4643.668,0.311943,0,0.816245,0.120818,0,0.150089,0.00427,779.5727,231754.8,happy
82.1969,5.384498,1.445248,0.57093,0.844748,0.897052,0.062708,33.38163,5.39679,169.0699,0.68307,0.016371,0.02366,0.107062,0.000112,0.006877,1132.775,0.638539,0,0.921438,0.123609,0,0.072438,0.002838,826.5056,207474.4,happy
85.47682,6.023322,1.547129,0.585915,0.936294,0.902297,0.138683,84.89659,4.871505,323.6118,1.169085,0.019495,0.019467,0.236312,0.000131,0.022462,16670.97,0.612373,0,0.669774,0.080205,0,0.221324,0.005603,871.1768,471648,happy
103.9278,6.688516,1.55803,0.587914,1.361687,0.897203,0.061593,32.80141,5.638134,454.1705,2.351585,0.047693,0.029215,0.461929,0.000194,0.008051,2569.259,1.604256,0,0.83755,0.090126,0,0.136151,0.003903,896.3665,597847.5,happy
69.00363,4.619284,1.358485,0.794215,0.765707,0.893014,0.073218,40.1738,5.631554,185.9327,0.836244,0.030298,0.09607,0.065819,0.000207,0.008121,2071.095,0.707633,0,0.88016,0.099618,0,0.105549,0.003695,627.0856,480240.6,happy
82.12729,5.277956,1.423314,0.613421,0.745059,0.893567,0.120146,92.86875,5.356773,539.3817,1.189103,0.014111,0.016622,0.102907,0.000153,0.013811,8589.299,0.419667,0,0.984021,0.125763,0,0.015734,0.002477,734.483,98217.54,happy
92.35639,5.669014,1.435517,0.623439,1.187305,0.897389,0.091798,45.85458,5.718965,432.8226,1.236813,0.015525,0.024006,0.371955,0.000173,0.008683,2407.177,0.312004,0,0.95273,0.115199,0,0.045066,0.003213,792.8701,110932.9,happy
86.3398,5.585712,1.454907,0.565333,1.078958,0.894904,0.095194,61.28408,5.472442,202.5436,0.650195,0.012942,0.018145,0.218288,0.000131,0.007878,3147.965,0.451536,0,0.906125,0.095705,0,0.085119,0.003319,713.3983,136604.1,happy
85.3915,5.827516,1.51391,0.544036,0.884194,0.895697,0.122999,75.25483,5.169758,202.784,0.699166,0.012664,0.040632,0.13238,0.000186,0.010082,4044.281,0.348407,0,0.921438,0.10422,0,0.072438,0.003725,853.9513,214322.3,happy
81.29129,5.604956,1.481278,0.671284,1.219121,0.902606,0.053398,14.97585,5.320388,65.28521,0.419327,0.010651,0.030659,0.080989,0.000153,0.006194,368.6654,0.265979,0,0.858189,0.11572,0,0.121782,0.003781,560.2491,83106.24,happy
72.73536,4.579562,1.349085,0.688325,0.855253,0.886193,0.082235,32.13752,5.431404,378.4524,0.887155,0.01337,0.049119,0.323633,0.000294,0.010954,1083.165,0.796292,0,0.880826,0.132537,0,0.105042,0.003595,799.3024,113082,happy
88.36565,6.095342,1.537988,0.457025,0.85046,0.894304,0.089005,58.67558,5.127134,211.0402,0.916081,0.016805,0.037449,0.121354,0.000182,0.010222,4464.395,0.379314,0,0.942743,0.092522,0,0.054015,0.002108,863.5168,250877.9,happy
92.23584,5.648379,1.43808,0.571384,1.178042,0.897894,0.123508,113.6987,5.986101,199.7822,0.579031,0.014549,0.026243,0.207561,0.000169,0.009288,8789.647,0.61053,0,0.843542,0.102816,0,0.132067,0.004032,659.2725,140626,happy
98.10011,7.528346,1.761165,0.444463,0.897977,0.889426,0.126222,58.65832,4.361135,187.2642,1.183934,0.027922,0.006136,0.060567,0.000096,0.016474,3221.792,0.270535,0,0.906791,0.104269,0,0.084577,0.002771,2006.143,1118540,happy
67.81397,4.56921,1.352587,0.711054,0.796193,0.892301,0.064258,38.61522,5.524994,281.8281,0.96418,0.029865,0.103223,0.284463,0.000226,0.005774,2274.928,1.410874,0,0.942077,0.117484,0,0.054604,0.003157,584.8491,305391.4,happy
74.402,4.619607,1.32322,0.620764,0.649068,0.884558,0.052184,32.00993,5.921187,342.7104,0.917125,0.021116,0.07962,0.071646,0.000221,0.007985,1539.547,0.919741,0,0.924101,0.093511,0,0.070185,0.00257,570.6793,125980,happy
79.60206,4.773281,1.330122,0.517188,0.700027,0.886033,0.093312,112.5794,5.892704,344.4409,1.716666,0.03185,0.015488,0.069105,0.000184,0.004374,6202.387,0.399762,0,0.844874,0.126277,0,0.13115,0.004241,632.9392,88674.72,happy
69.8922,5.139794,1.47693,0.645748,0.867579,0.901298,0.049979,10.51903,4.922003,475.8058,0.952822,0.027626,0.040414,0.424766,0.000352,0.010264,320.5013,1.374014,0,0.835553,0.087686,0,0.137496,0.003788,670.7942,888646.4,happy
87.02626,6.620066,1.662785,0.517115,1.063864,0.897363,0.087384,31.1437,4.586812,286.3761,0.865503,0.019353,0.010996,0.363782,0.000177,0.010467,1228.166,0.54069,0,0.731025,0.089274,0,0.196758,0.005096,1059.274,648625.2,happy
83.06101,5.493717,1.442245,0.658748,1.193087,0.904674,0.113181,41.2703,5.477335,142.196,0.619005,0.011042,0.009391,0.184208,0.000066,0.012407,1758.82,0.216285,0,0.985353,0.102128,0,0.014442,0.002068,478.3214,64128.81,happy
