@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_2 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_10 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_21 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_3 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_7 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_17 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_8 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_8 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_10 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_11 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_PeakRatio_Chroma_B numeric
@attribute Std_Acc1000_Mean_Mem40_PeakRatio_Chroma_C numeric
@attribute Std_Acc1000_Mean_Mem40_PeakRatio_Average numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_8 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_12 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_21 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_8 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_11 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_14 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_15 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_4 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_5 numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Chroma_D numeric
@attribute Std_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_19 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_LowPeakAmp numeric
@attribute BeatHisto_MidPeakAmp numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_MaxHPS numeric

@data

0.053043,-45.228271,-0.046752,-0.022864,2.138137,0.394617,0.238998,0.152788,0.487659,1.081517,2.54677,0.482022,0.785643,0.239042,0.206121,0.199148,0.190347,5.258284,0.55732,0.305842,0.000129,0.000158,0.297554,0.446868,0.529869,0.887995,1.520032,0.110665,0.09021,0.09119,0.10473,0.110891,0.07569,0.092879,0.00011,0.106758,0.042332,0.045025,0.029619,0.212763,57.180484,50.560566,40.659246,1.006161
0.088535,-48.149226,0.692338,0.387225,1.928156,0.448706,0.264151,0.163897,0.488173,1.10451,2.574565,0.467929,0.886445,0.229889,0.200919,0.172367,0.176657,5.570181,0.363559,0.284631,0.000114,0.000127,0.352048,0.39368,0.400736,0.985366,3.258917,0.103655,0.070443,0.076326,0.084406,0.086208,0.076702,0.09339,0.000138,0.132058,0.031914,0.037924,0.023103,0.216032,77.531289,104.504064,32.68565,1.009157
0.062461,-48.745368,0.141736,-0.049272,1.911521,0.401013,0.258223,0.192457,0.482836,1.053326,2.558696,0.477728,0.803555,0.226963,0.205755,0.179974,0.165824,5.642946,0.378192,0.221116,0.000031,0.00003,0.256261,0.387109,0.468318,0.640041,1.137472,0.107114,0.097312,0.082292,0.063713,0.06959,0.071994,0.087518,0.000021,0.098755,0.036582,0.030885,0.027925,0.216303,25.915827,41.36591,39.50541,1.005257
0.049721,-45.793143,0.571964,0.164906,1.932558,0.49339,0.244596,0.152207,0.465592,1.043372,2.532556,0.417391,0.75284,0.211563,0.191289,0.163991,0.157325,5.197778,0.393936,0.144729,0.000221,0.000217,0.188517,0.409212,0.548757,0.856475,1.397355,0.130078,0.088663,0.085201,0.068679,0.064689,0.071246,0.087604,0.000192,0.090416,0.036897,0.030537,0.018003,0.211925,60.468619,38.10022,38.654988,1.005528
0.045432,-50.289225,0.497052,0.029281,1.753551,0.398154,0.480045,0.145297,0.413487,0.95101,2.555178,0.458835,0.711355,0.210682,0.177367,0.158672,0.165388,6.159435,0.62482,0.229577,0.000137,0.000138,0.317879,0.395001,0.538304,0.73909,1.626657,0.122036,0.078755,0.074212,0.065898,0.06463,0.068659,0.08995,0.000092,0.135569,0.037357,0.039862,0.051444,0.223078,26.104381,29.636916,40.091286,1.004505
0.076556,-45.047463,0.319854,0.367014,1.889443,0.382599,0.280769,0.186006,0.456929,1.085707,2.56674,0.491868,0.805733,0.214261,0.206773,0.173046,0.175233,5.584433,0.667179,0.279294,0.000129,0.000139,0.422693,0.394219,0.533991,0.966538,1.630403,0.099769,0.110152,0.074538,0.069992,0.081446,0.072003,0.091296,0.000119,0.124382,0.036016,0.029884,0.027074,0.215507,41.881372,43.787026,64.763219,1.004326
0.052013,-50.384865,0.136123,0.127065,1.864122,0.442916,0.316377,0.131182,0.456108,1.085976,2.589222,0.499197,0.736489,0.230453,0.197775,0.176071,0.171338,5.835535,0.542185,0.186803,0.000056,0.000056,0.336662,0.393511,0.446716,0.714075,1.522474,0.111204,0.095239,0.084922,0.064776,0.070071,0.068108,0.087093,0.000055,0.096734,0.035482,0.029702,0.028506,0.215314,22.942197,20.985397,21.644449,1.002851
0.031869,-52.878441,0.595712,0.622958,2.226646,0.43299,0.269859,0.124832,0.455261,1.070672,2.600518,0.465399,0.897385,0.214476,0.196669,0.171384,0.161147,6.04245,0.681896,0.202369,0.000031,0.000037,0.316357,0.514431,0.629821,0.815263,1.741334,0.120995,0.100158,0.092722,0.06622,0.072588,0.079238,0.090407,0.000016,0.163113,0.051203,0.041571,0.026391,0.214865,15.194401,22.424405,13.820752,1.003627
0.068199,-46.029543,0.558917,0.419346,1.928648,0.427674,0.207788,0.180313,0.467053,1.044723,2.54406,0.588277,0.993458,0.222111,0.21616,0.206381,0.203571,5.313328,0.499707,0.346831,0.00015,0.000199,0.386601,0.690037,0.567421,1.399299,1.749892,0.11377,0.102522,0.10683,0.136101,0.123246,0.073409,0.086718,0.000151,0.117203,0.029855,0.034596,0.037376,0.209613,95.684184,60.910951,124.687272,1.009124
0.063655,-44.635883,0.358678,0.217924,1.698601,0.469794,0.272682,0.178109,0.514047,1.084277,2.575541,0.439149,0.709555,0.205923,0.211594,0.178652,0.175706,5.097154,0.323362,0.226029,0.000163,0.00019,0.284604,0.423707,0.441981,0.743211,1.189504,0.104771,0.102048,0.079849,0.073402,0.06817,0.081957,0.095383,0.000173,0.09504,0.039561,0.032992,0.026105,0.216209,52.044291,77.80286,49.787671,1.005378
0.052703,-47.695027,0.53392,0.275441,1.937198,0.337054,0.304191,0.160254,0.44572,1.058473,2.586889,0.616139,0.850162,0.216722,0.222638,0.189024,0.195116,5.631273,0.564303,0.385899,0.000104,0.000095,0.364854,0.446331,0.906148,1.085668,1.421169,0.113592,0.095185,0.110453,0.101877,0.088735,0.074037,0.09185,0.000113,0.128894,0.039173,0.03647,0.029524,0.216109,69.30085,55.133437,72.472244,1.005972
0.027657,-48.438553,0.667278,0.348217,1.908353,0.457937,0.341546,0.131883,0.446114,1.035561,2.570524,0.439117,0.81355,0.221735,0.208378,0.169437,0.165733,5.766667,0.295708,0.287618,0.000147,0.000169,0.165335,0.510435,0.507561,1.028759,2.371015,0.103686,0.104146,0.079162,0.109873,0.123295,0.068291,0.093753,0.000158,0.111619,0.038843,0.036362,0.03908,0.216915,68.19349,50.723397,110.159808,1.008169
0.056009,-51.21985,0.363083,-0.053968,2.20233,0.350291,0.376407,0.13951,0.438221,0.980997,2.600915,0.496934,0.805401,0.210275,0.184336,0.188007,0.161354,6.651818,0.741133,0.508696,0.000065,0.000105,0.487999,0.654956,0.762957,0.875841,4.63604,0.143878,0.117816,0.085242,0.063458,0.085831,0.066867,0.084428,0.000066,0.113327,0.051172,0.048489,0.038545,0.213966,18.405001,19.900871,15.667438,1.003979
0.058642,-46.857318,-0.058329,0.05296,1.865488,0.500075,0.257557,0.174566,0.45401,1.089488,2.559896,0.402157,0.682293,0.220943,0.200427,0.185526,0.161342,5.283394,0.580686,0.228874,0.00008,0.000078,0.266968,0.362733,0.472938,0.655339,1.057559,0.09903,0.089484,0.071524,0.083193,0.069018,0.073977,0.092387,0.000238,0.134621,0.031135,0.033506,0.02619,0.213128,61.428227,96.68348,30.823141,1.009015
0.034743,-51.119963,1.030353,0.330244,1.929136,0.416934,0.263243,0.118766,0.443049,1.028943,2.554039,0.486054,0.873313,0.204616,0.187502,0.167756,0.156098,5.8932,0.438421,0.290096,0.00008,0.000077,0.250606,0.489201,0.461405,0.642933,1.89282,0.100957,0.100375,0.073311,0.068666,0.069278,0.072434,0.088365,0.000057,0.123744,0.0326,0.03503,0.020029,0.208997,28.904156,25.430886,46.876726,1.005859
0.048318,-55.102212,0.197584,-0.102456,2.001474,0.566513,0.324041,0.13287,0.440723,1.113466,2.600099,0.437343,0.735226,0.256908,0.216227,0.165175,0.178073,6.345235,0.552562,0.213952,0.000018,0.000018,0.307401,0.390692,0.706273,0.62949,1.381209,0.112959,0.094076,0.069431,0.075363,0.076243,0.073823,0.092698,0.000025,0.105804,0.039446,0.030097,0.025572,0.219263,25.959884,37.027567,26.984695,1.006745
0.082179,-48.190913,-0.172834,-0.124178,1.946197,0.451486,0.210245,0.20355,0.48365,1.098363,2.56659,0.500738,0.791691,0.233417,0.182375,0.178657,0.171893,5.899923,0.502056,0.231784,0.000181,0.000211,0.382853,0.436324,0.668674,0.779435,2.058152,0.120774,0.145849,0.11424,0.075483,0.107285,0.070182,0.093656,0.000321,0.100615,0.031543,0.034745,0.019526,0.213783,32.213017,69.232186,38.857277,1.007162
