@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_amean numeric
@attribute pcm_RMSenergy_sma_linregc2 numeric
@attribute pcm_RMSenergy_sma_skewness numeric
@attribute pcm_RMSenergy_sma_kurtosis numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[1]_stddev numeric
@attribute mfcc_sma[2]_amean numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[12]_linregerrQ numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_kurtosis numeric
@attribute voiceProb_sma_max numeric
@attribute F0_sma_skewness numeric
@attribute pcm_RMSenergy_sma_de_max numeric
@attribute pcm_RMSenergy_sma_de_stddev numeric
@attribute pcm_RMSenergy_sma_de_skewness numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_kurtosis numeric
@attribute mfcc_sma_de[2]_kurtosis numeric
@attribute mfcc_sma_de[3]_kurtosis numeric
@attribute mfcc_sma_de[5]_linregerrQ numeric
@attribute mfcc_sma_de[5]_kurtosis numeric
@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[9]_kurtosis numeric
@attribute pcm_zcr_sma_de_amean numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_kurtosis numeric
@attribute output {happy,nothappy}

@data

0.04581,0.037145,0.110487,2.559779,-9.274505,-8.084093,3.705077,-0.425011,3.016458,15.62342,0.08658,9.137809,0.844581,0.860226,0.027238,0.004579,1.00927,6.654261,7.396762,5.298047,4.719621,0.991689,3.929213,1.133349,3.614979,3.788246,0.00001,16.43318,0.001813,4.546978,happy
0.034471,0.031854,1.757423,6.181718,-10.91869,-12.49983,4.684323,-0.217974,-3.63742,16.89439,0.119383,7.700441,0.894663,3.336121,0.041371,0.007238,0.7564,6.620799,3.608689,3.636861,3.965194,1.468713,3.807543,1.35462,3.395747,3.671341,-0.00001,7.934882,0.000973,5.12416,happy
0.022318,0.018904,0.359365,2.632818,-11.31822,-10.94456,2.462806,-5.039376,2.363233,18.27094,0.09442,6.076939,0.866063,2.633261,0.010363,0.002203,0.864186,4.479947,5.501662,3.833181,3.850992,1.360639,4.337521,1.584627,3.696396,3.619724,-0.000004,5.942056,0.00112,4.678331,happy
0.031203,0.030532,1.876824,9.043374,-8.305559,-8.927793,2.924312,-3.922209,0.003461,12.72567,0.074365,10.16695,0.768882,4.34173,0.020301,0.003279,1.32537,9.672363,6.277289,4.929293,3.769373,0.882462,4.256475,1.004592,3.630346,3.544769,-0.000003,5.456979,0.000519,4.583698,happy
0.020094,0.008958,0.985711,3.237252,-1.347583,1.383369,4.78154,-9.642862,-0.043559,27.16869,0.05658,3.904778,0.822157,1.636753,0.013642,0.002202,0.615662,6.243138,4.475863,4.018018,4.592046,1.271796,3.610206,1.324947,3.380565,4.272054,0.000019,4.80478,0.000994,4.627708,happy
0.043622,0.029863,0.084386,3.181488,-10.0373,-9.453833,3.59101,-3.819055,-1.533422,19.45411,0.106337,16.81461,0.871545,1.922889,0.016254,0.003252,0.977948,6.086977,6.493161,5.07062,4.743369,0.961173,3.521682,1.225714,3.545475,3.449772,-0.000019,16.54385,0.001012,4.794029,happy
0.019757,0.012926,1.408982,5.8736,-6.588005,-4.399767,4.400311,-0.540339,-2.320287,21.16951,0.075516,27.63158,0.90853,1.69545,0.020581,0.00245,0.79643,11.01471,4.968553,5.285236,5.198549,1.10411,4.358062,1.476481,4.131769,4.533777,-0.000001,34.85889,0.001379,4.590829,happy
0.010656,0.008713,3.685519,21.23653,-5.362832,-6.652191,4.174406,0.124517,-0.652652,15.99219,0.053276,22.32177,0.823612,1.661543,0.013781,0.001444,0.788935,27.27909,7.983602,5.648525,3.98965,0.770044,3.50398,0.928604,3.358949,3.312621,0.000016,19.02628,0.000638,4.225785,happy
0.041834,0.031599,0.860705,3.971898,-10.01454,-7.904689,3.347466,-5.527824,1.217875,31.26615,0.106829,2.671058,0.916768,0.434775,0.025996,0.004009,1.875833,9.765664,5.527122,4.704679,3.633606,1.200666,4.06802,1.182043,3.989026,4.404521,0.000021,5.418896,0.001815,4.784238,happy
0.045831,0.051676,0.242227,2.164152,-11.64054,-12.06328,2.69658,-2.394969,1.293643,29.6843,0.095461,3.202198,0.888817,1.649991,0.020488,0.004089,0.669967,4.944693,4.260064,4.667892,3.82322,1.007698,4.122165,1.03941,3.640535,3.353289,0.000012,7.43406,0.001212,5.488178,happy
0.033499,0.020624,0.527611,2.673975,-6.643298,-5.559745,4.328846,-4.208451,-1.226626,32.07673,0.080315,9.425443,0.915646,0.452501,0.018125,0.003078,0.997419,7.73777,5.518126,5.091016,5.116382,1.197982,4.289764,1.464553,4.268402,3.829989,-0.000027,14.03832,0.001665,3.972588,happy
0.025431,0.01758,0.456199,2.091421,-6.207495,-3.927558,4.614238,-2.407443,0.909227,10.666,0.05102,3.634874,0.783069,2.220436,0.014205,0.002526,1.654948,8.827384,5.420627,5.819055,3.103971,0.802197,3.034093,1.027893,3.507648,3.210475,-0.000003,5.561328,0.001055,5.013337,happy
0.019566,0.013396,0.622106,2.764172,-4.422699,-2.35915,5.26407,-9.660905,-12.07688,51.45057,0.075958,5.675219,0.93445,-0.037048,0.012021,0.001681,1.494044,11.7709,10.53301,7.788911,5.488317,0.762471,4.516406,0.846897,3.654312,4.226932,0.00001,11.97038,0.000918,6.040421,happy
0.026988,0.024933,1.37954,5.370998,-7.827084,-7.234522,4.201989,-2.883885,1.360287,16.60473,0.083365,7.053819,0.819731,2.944288,0.019936,0.0032,1.823959,9.712382,7.414555,7.615284,5.005877,0.633761,3.558602,1.009392,3.920502,3.613942,-0.000014,11.83468,0.000812,6.630688,happy
0.014651,0.012734,1.805524,6.374081,-4.067922,-3.556501,4.494876,-1.696257,-8.30872,18.93886,0.054696,9.202234,0.7873,3.274796,0.014729,0.002138,1.654497,10.43487,5.985283,4.679293,5.301262,0.769771,3.57674,0.822075,3.632092,3.514219,0.000002,10.2275,0.000669,4.204791,happy
0.011216,0.007194,1.760961,6.716503,-7.809766,-6.945181,5.565559,4.595717,0.19021,23.85091,0.071429,15.32517,0.925178,2.015615,0.011112,0.001878,0.674379,9.408543,5.506876,4.700357,4.620039,1.305695,4.277256,1.236859,5.144692,3.555966,0.000011,16.47922,0.00111,6.728188,happy
