@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute std_Volume numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute output {happy,nothappy}

@data

1.441457,1.007752,0.898678,157.7042,0.013986,0.032365,0.007342,0.392417,0.001896,605.7947,happy
1.588883,1.482827,0.897245,551.2708,0.04113,0.032379,0.007587,1.067126,0.00747,939.5175,happy
1.463535,1.089442,0.899764,220.2597,0.00622,0.012733,0.009158,0.41711,0.004482,661.0922,happy
1.371893,1.751364,0.902115,218.8772,0.015428,0.112274,0.015508,0.729857,0.00783,506.2588,happy
1.279692,1.598648,0.893022,1145.736,0.020282,0.034186,0.0058,1.343194,0.002325,489.5382,happy
1.487941,1.199648,0.897966,267.3056,0.020351,0.028266,0.010731,0.753653,0.003916,832.5551,happy
1.358485,0.765707,0.893014,185.9327,0.030298,0.09607,0.008121,0.707633,0.003695,627.0856,happy
1.316106,0.728596,0.893534,140.4834,0.028494,0.031112,0.004278,0.858666,0.002004,377.5397,happy
1.456198,1.17297,0.889588,206.8227,0.016693,0.046799,0.009386,0.671886,0.003109,834.0644,happy
1.510839,1.170761,0.900607,203.3274,0.011529,0.031716,0.008252,0.261735,0.002943,673.8703,happy
1.368687,1.101382,0.89002,326.3804,0.017641,0.097115,0.010337,0.825481,0.00351,623.3481,happy
1.315153,1.063325,0.899341,147.0883,0.024996,0.087371,0.012476,0.492516,0.003152,324.4202,happy
1.36129,0.40702,0.875873,351.9246,0.035447,0.039466,0.005772,0.633068,0.005406,678.9999,happy
1.389359,0.908491,0.89352,324.9458,0.025168,0.027819,0.011861,0.776841,0.004496,655.9339,happy
1.312497,1.095694,0.900061,244.3274,0.027854,0.06113,0.006222,1.159797,0.003941,371.3107,happy
1.38602,0.964649,0.888265,403.4428,0.048442,0.090725,0.004935,1.43047,0.003731,531.2059,happy
1.547735,0.89737,0.895486,421.602,0.017186,0.040368,0.020097,0.863684,0.005266,858.6912,happy
1.49899,0.817419,0.889678,439.6125,0.02693,0.056147,0.016296,0.448128,0.002241,528.5102,happy
1.382722,1.075511,0.876344,224.6145,0.019332,0.030302,0.014487,0.491953,0.005761,493.8016,happy
1.449778,1.19373,0.902646,103.0039,0.013503,0.028451,0.012086,0.373466,0.003002,646.9201,happy
1.445248,0.844748,0.897052,169.0699,0.016371,0.02366,0.006877,0.638539,0.002838,826.5056,happy
1.599017,0.766191,0.88596,397.476,0.024458,0.087586,0.005418,1.219599,0.006068,918.0831,happy
1.389067,0.955749,0.900008,429.4656,0.021172,0.024777,0.012264,0.663562,0.003485,650.58,happy
1.313819,0.535759,0.869448,192.6394,0.019413,0.018597,0.007889,0.559305,0.005808,667.0574,happy
1.578177,1.003353,0.90377,278.5964,0.011267,0.02786,0.014291,0.234561,0.002963,881.4828,happy
1.254737,0.917578,0.893218,133.9765,0.013675,0.030723,0.005692,0.482207,0.003939,389.5745,happy
1.444557,0.996158,0.897093,143.3526,0.015428,0.018665,0.00714,0.329382,0.003851,757.2351,happy
1.339989,0.612613,0.877397,379.7756,0.033631,0.062754,0.005931,1.688552,0.00582,505.3196,happy
1.306007,0.458041,0.872767,584.9841,0.048572,0.229112,0.007002,2.223883,0.004054,588.9131,happy
1.448842,1.174125,0.893106,824.6009,0.032902,0.310623,0.0189,2.086313,0.004382,538.3116,happy
1.272482,0.915352,0.885338,398.1645,0.021057,0.081715,0.008451,1.383066,0.003791,627.3097,happy
1.462454,1.329826,0.901971,167.021,0.019584,0.035367,0.019992,0.24395,0.002621,595.5198,happy
1.496602,1.18746,0.89869,265.8532,0.010363,0.014359,0.010914,0.254498,0.003089,903.648,happy
1.394445,1.547423,0.898909,874.7892,0.028453,0.051646,0.00862,1.174168,0.004141,552.5174,happy
1.562142,1.069316,0.893668,161.651,0.013454,0.023045,0.012722,0.344554,0.003135,1023.429,happy
1.321386,0.471936,0.880315,816.3126,0.052001,0.073365,0.005878,0.770544,0.003102,585.7893,happy
1.260835,0.46856,0.877492,253.6683,0.030003,0.032625,0.004775,0.707322,0.004738,541.8513,happy
1.371583,1.03888,0.894432,191.5091,0.017087,0.073688,0.006125,0.346117,0.003163,466.2646,happy
1.447184,0.87366,0.889435,317.8333,0.032353,0.050206,0.007136,0.725673,0.003411,864.8926,happy
1.273104,1.05741,0.891481,296.1923,0.024951,0.111511,0.003977,0.91642,0.0033,399.2111,happy
1.246725,0.897561,0.884869,335.7114,0.037934,0.165446,0.006806,1.304596,0.004617,379.6465,happy
1.346586,0.815375,0.889343,353.6941,0.034741,0.268389,0.006231,1.63398,0.002701,503.9975,happy
1.352539,1.035793,0.897133,109.1271,0.017176,0.111448,0.008409,0.952278,0.004308,395.9019,happy
1.222616,0.731149,0.869572,131.2602,0.010463,0.015463,0.018203,0.300791,0.003469,888.9507,happy
1.252092,0.632431,0.879925,334.1771,0.051898,0.173882,0.001682,1.970208,0.002987,425.5361,happy
1.432917,0.929326,0.895852,255.9399,0.02227,0.035214,0.019015,0.579844,0.00459,798.5851,happy
1.325015,0.648833,0.877611,226.9056,0.040064,0.107312,0.003871,1.299162,0.005103,610.6095,happy
