% Created by psymatrix_2_arff.pl
@relation arff_file/psysound.arff
@attribute mean_Loudness real
@attribute std_Loudness real
@attribute mean_SharpnessA real
@attribute std_SharpnessA real
@attribute mean_SharpnessZ real
@attribute std_SharpnessZ real
@attribute mean_Spectral_Dissonance(HK) real
@attribute std_Spectral_Dissonance(HK) real
@attribute mean_Spectral_Dissonance(S) real
@attribute std_Spectral_Dissonance(S) real
@attribute mean_Timbral_Width real
@attribute std_Timbral_Width real
@attribute mean_Tonal_Dissonance(HK) real
@attribute std_Tonal_Dissonance(HK) real
@attribute mean_Tonal_Dissonance(S) real
@attribute std_Tonal_Dissonance(S) real
@attribute mean_Volume real
@attribute std_Volume real
@attribute mean_Pure_Tonal real
@attribute std_Pure_Tonal real
@attribute mean_Complex_Tonal real
@attribute std_Complex_Tonal real
@attribute mean_Multiplicity real
@attribute std_Multiplicity real
@attribute mean_SpectralCentroid real
@attribute std_SpectralCentroid real
@attribute output {happy,nothappy}


@data
8.502260e+01,5.537769e+00,1.441457e+00,5.946293e-01,1.007752e+00,8.986783e-01,8.023254e-02,4.803898e+01,5.638563e+00,1.577042e+02,6.405648e-01,1.398589e-02,3.236452e-02,1.916693e-01,1.545366e-04,7.342360e-03,2.375047e+03,3.924165e-01,0.000000e+00,9.826897e-01,1.074084e-01,0.000000e+00,1.702194e-02,1.895814e-03,6.057947e+02,1.028064e+05,happy
9.518302e+01,6.568524e+00,1.588883e+00,6.135588e-01,1.482827e+00,8.972451e-01,9.162037e-02,3.984885e+01,5.241667e+00,5.512708e+02,2.108532e+00,4.113023e-02,3.237927e-02,6.858571e-01,2.129681e-04,7.587159e-03,1.541996e+03,1.067126e+00,0.000000e+00,5.732357e-01,8.941651e-02,0.000000e+00,2.447995e-01,7.470207e-03,9.395175e+02,8.288348e+05,happy
8.659467e+01,5.628002e+00,1.463535e+00,5.816912e-01,1.089442e+00,8.997635e-01,6.694274e-02,2.142520e+01,5.411583e+00,2.202597e+02,4.130868e-01,6.220024e-03,1.273322e-02,2.300124e-01,8.041524e-05,9.157671e-03,7.284373e+02,4.171099e-01,0.000000e+00,7.829561e-01,9.252518e-02,0.000000e+00,1.700491e-01,4.482167e-03,6.610922e+02,1.098116e+05,happy
8.824155e+01,5.308982e+00,1.371893e+00,8.656787e-01,1.751364e+00,9.021149e-01,1.664334e-01,8.325368e+01,6.165030e+00,2.188772e+02,8.248862e-01,1.542795e-02,1.122738e-01,5.417800e-01,7.393843e-05,1.550842e-02,4.339324e+03,7.298569e-01,0.000000e+00,5.505992e-01,9.388872e-02,0.000000e+00,2.476046e-01,7.829680e-03,5.062588e+02,1.185888e+05,happy
1.083719e+02,5.328247e+00,1.279692e+00,6.869192e-01,1.598648e+00,8.930224e-01,8.742777e-02,8.691807e+01,7.583488e+00,1.145736e+03,1.987616e+00,2.028166e-02,3.418642e-02,6.994542e-01,1.909778e-04,5.799618e-03,9.240396e+03,1.343194e+00,0.000000e+00,9.181092e-01,9.203834e-02,0.000000e+00,7.523480e-02,2.324599e-03,4.895382e+02,4.873909e+04,happy
9.246194e+01,5.912740e+00,1.487941e+00,6.573884e-01,1.199648e+00,8.979660e-01,1.001871e-01,5.056997e+01,5.540437e+00,2.673056e+02,8.230849e-01,2.035097e-02,2.826621e-02,3.398949e-01,1.531450e-04,1.073060e-02,2.553625e+03,7.536532e-01,0.000000e+00,8.868176e-01,1.155052e-01,0.000000e+00,1.004390e-01,3.916465e-03,8.325551e+02,2.577181e+05,happy
6.900363e+01,4.619284e+00,1.358485e+00,7.942145e-01,7.657068e-01,8.930139e-01,7.321815e-02,4.017380e+01,5.631554e+00,1.859327e+02,8.362436e-01,3.029802e-02,9.607035e-02,6.581920e-02,2.069165e-04,8.121073e-03,2.071095e+03,7.076326e-01,0.000000e+00,8.801598e-01,9.961803e-02,0.000000e+00,1.055488e-01,3.695345e-03,6.270856e+02,4.802406e+05,happy
6.965746e+01,4.519667e+00,1.316106e+00,6.734004e-01,7.285963e-01,8.935340e-01,5.412503e-02,3.925617e+01,5.993918e+00,1.404834e+02,9.908927e-01,2.849425e-02,3.111208e-02,8.072190e-02,1.959391e-04,4.277635e-03,7.898529e+02,8.586657e-01,0.000000e+00,9.713715e-01,1.024069e-01,0.000000e+00,2.782743e-02,2.004304e-03,3.775397e+02,1.087908e+05,happy
8.538426e+01,5.561731e+00,1.456198e+00,5.698740e-01,1.172970e+00,8.895881e-01,6.794113e-02,1.991731e+01,5.430321e+00,2.068227e+02,7.983550e-01,1.669285e-02,4.679902e-02,3.235458e-01,2.335535e-04,9.385999e-03,4.649697e+02,6.718860e-01,0.000000e+00,9.274301e-01,1.294901e-01,0.000000e+00,6.734835e-02,3.109462e-03,8.340644e+02,2.418374e+05,happy
8.813813e+01,5.965422e+00,1.510839e+00,5.685263e-01,1.170761e+00,9.006073e-01,9.517316e-02,3.879978e+01,5.254861e+00,2.033274e+02,7.331400e-01,1.152924e-02,3.171604e-02,3.106933e-01,1.095072e-04,8.251778e-03,1.362820e+03,2.617348e-01,0.000000e+00,9.287617e-01,8.104520e-02,0.000000e+00,6.620753e-02,2.942530e-03,6.738703e+02,2.425703e+05,happy
