@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast_arff_file/psysound.arff-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_9 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_15 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_17 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_18 numeric
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_9 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_14 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_20 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_10 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_18 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_5 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_6 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_7 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_16 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_17 numeric
@attribute Std_Acc1000_Mean_Mem40_PeakRatio_Minimum numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_6 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_11 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_16 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_21 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_6 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_7 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_13 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_14 numeric
@attribute Std_Acc1000_Std_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_11 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_13 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_9 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_11 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_15 numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_MaxHPS numeric
@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.623898,0.361503,0.503791,3.043184,0.141195,2.290989,2.563543,2.695491,0.053259,0.9363,1.87748,2.606974,0.181057,0.130764,0.072619,0.069775,0.086387,0.076023,0.077723,0.482553,0.213147,0.331115,0.561119,0.710454,1.545325,0.103471,0.113986,0.132462,0.227539,0.24167,0.023624,0.054405,0.329762,0.133364,0.158851,0.117022,0.116282,0.065564,0.092707,0.152648,0.209919,0.372872,0.441372,0.03573,0.027307,0.023582,0.010045,0.180487,44.246322,1.004249,78.3846,5.907546,1.561373,0.561774,0.797585,0.899833,0.06829,38.99639,4.848812,401.6751,1.525429,0.028546,0.026522,0.151997,0.000192,0.007115,2104.462,0.390143,0,0.996005,0.095874,0,0.003981,0.0018,675.1852,417543.4
-0.818058,0.023915,-0.46662,3.802325,0.166063,2.203748,2.51348,2.686977,0.03975,1.038552,1.927497,3.798098,0.175257,0.116254,0.040629,0.047398,0.047948,0.068397,0.077087,0.466215,0.280608,0.305801,0.531342,1.551836,3.598405,0.10517,0.102365,0.118523,0.214701,0.233944,0.007239,0.024995,0.11577,0.117838,0.077809,0.065567,0.066455,0.095329,0.124425,0.157619,0.30375,0.222261,0.320134,0.03806,0.023695,0.017297,0.010939,0.174545,90.620116,1.007237,91.6123,6.450863,1.580178,0.553997,1.451475,0.888681,0.127674,38.95341,4.866436,106.1187,0.353013,0.00595,0.005989,0.210196,0.000072,0.028126,1972.055,0.200706,0,0.9747,0.16605,0,0.024676,0.00168,947.044,140920.9
-0.275601,-0.225459,0.081394,3.470366,0.164311,2.301876,2.59874,2.714011,0.026228,1.008094,1.74806,3.114243,0.178293,0.136597,0.050362,0.061818,0.073491,0.074074,0.083019,9.662316,0.280861,0.38801,0.86596,0.803451,1.688625,0.111059,0.106175,0.127213,0.230576,0.246218,0.011437,0.12418,0.402142,0.155472,0.105153,0.175494,0.127204,0.066913,0.11355,0.150432,0.24394,0.394736,0.362283,0.041927,0.033516,0.027194,0.013998,0.1802,51.532995,1.010132,72.05335,4.942126,1.424437,0.648713,0.846818,0.893905,0.081468,32.87048,5.255319,505.3004,0.883527,0.013102,0.058251,0.493595,0.000307,0.012555,2255.313,0.894213,0,0.822903,0.094202,0,0.145831,0.004647,455.7645,109422.3
-0.021489,0.465343,0.389691,3.190662,0.177961,2.290556,2.591107,2.728821,0.036891,0.988128,1.749081,4.270105,0.177524,0.12431,0.052396,0.067321,0.067391,0.064424,0.0683,1.055873,0.255152,0.354884,0.663308,0.74428,1.284146,0.102821,0.10727,0.129482,0.227174,0.242227,0.016328,0.04846,0.297924,0.169253,0.127338,0.136853,0.083901,0.098063,0.087483,0.123754,0.257797,0.247267,0.361705,0.034656,0.022231,0.022544,0.013115,0.181248,70.850354,1.007859,84.57114,5.538223,1.463249,0.704892,1.204821,0.900254,0.113248,37.26129,5.588673,373.0719,1.315564,0.025455,0.060103,0.365584,0.000183,0.017041,1872.634,0.824475,0,0.908788,0.107455,0,0.082947,0.003818,790.4742,194451
-1.452092,0.324214,0.234283,3.392441,0.1579,2.235238,2.538323,2.701196,0.017902,0.848995,2.360356,2.351999,0.160691,0.109179,0.044222,0.058539,0.054909,0.071767,0.081653,0.860298,0.302344,0.432967,0.636144,1.228397,1.802529,0.101098,0.104179,0.11745,0.233406,0.246087,0.010121,0.026057,0.477091,0.074785,0.068794,0.074221,0.094526,0.063484,0.120722,0.129219,0.166332,0.246325,0.285279,0.038573,0.02325,0.019011,0.008526,0.172295,44.581544,1.003838,83.81009,4.713961,1.293426,0.642786,1.183742,0.899079,0.149358,109.2106,6.30981,66.37022,0.455424,0.010876,0.025477,0.156178,0.000066,0.011574,6401.365,0.341738,0,0.978695,0.127616,0,0.020865,0.002761,573.3811,35274.34
-0.763257,0.062917,-0.15991,3.4258,0.163687,2.223122,2.519414,2.670539,0.037632,0.96762,1.808816,3.902816,0.193762,0.174183,0.080595,0.098661,0.098849,0.09227,0.095462,8.125402,0.334932,0.37387,0.876204,1.420865,1.302758,0.186135,0.104925,0.122932,0.221149,0.236629,0.012863,0.07043,0.509869,0.075731,0.121087,0.085106,0.107805,0.147625,0.112335,0.130716,0.233249,0.285063,0.279862,0.052738,0.029362,0.028865,0.021691,0.170908,147.042052,1.022581,52.80988,4.20214,1.388252,0.584776,0.496727,0.888371,0.052459,15.68091,4.549263,229.2985,1.171241,0.024517,0.028723,0.345451,0.000599,0.007533,410.4737,0.604221,0,0.665113,0.08111,0,0.222886,0.005186,544.3635,146232.8
-0.763257,0.062917,-0.15991,3.4258,0.163687,2.223122,2.519414,2.670539,0.037632,0.96762,1.808816,3.902816,0.193762,0.174183,0.080595,0.098661,0.098849,0.09227,0.095462,8.125402,0.334932,0.37387,0.876204,1.420865,1.302758,0.186135,0.104925,0.122932,0.221149,0.236629,0.012863,0.07043,0.509869,0.075731,0.121087,0.085106,0.107805,0.147625,0.112335,0.130716,0.233249,0.285063,0.279862,0.052738,0.029362,0.028865,0.021691,0.170908,147.042052,1.022581,52.80988,4.20214,1.388252,0.584776,0.496727,0.888371,0.052459,15.68091,4.549263,229.2985,1.171241,0.024517,0.028723,0.345451,0.000599,0.007533,410.4737,0.604221,0,0.665113,0.08111,0,0.222886,0.005186,544.3635,146232.8
-0.424825,-0.032901,0.161607,3.230107,0.171787,2.26488,2.564158,2.684625,0.022354,0.980393,1.699545,2.60518,0.168323,0.109929,0.042773,0.040148,0.060678,0.071005,0.072824,0.384175,0.213153,0.392318,0.771411,0.899642,2.003978,0.100855,0.103509,0.118979,0.224427,0.240635,0.00726,0.015778,0.204614,0.09433,0.100213,0.070381,0.101912,0.064639,0.11025,0.124788,0.276078,0.304886,0.291295,0.03439,0.036373,0.033532,0.011637,0.179923,40.66294,1.003173,85.34351,5.658774,1.466641,0.600017,1.162126,0.896975,0.137821,57.28097,5.360804,73.51125,0.273472,0.005621,0.009486,0.160561,0.000078,0.018609,3431.893,0.22094,0,0.825566,0.107488,0,0.144103,0.003763,549.744,56507.26
-0.585499,0.197208,-0.057577,3.673895,0.171756,2.240483,2.555799,2.676557,0.026604,1.070472,2.47992,2.284887,0.173677,0.120911,0.047348,0.042863,0.056761,0.072331,0.06513,3.968105,0.30179,0.49049,1.047028,1.182803,1.583661,0.101396,0.1023,0.119393,0.224497,0.23919,0.01234,0.019569,0.244523,0.06782,0.11729,0.080658,0.0786,0.170843,0.119118,0.160817,0.260251,0.425678,0.473946,0.034636,0.025264,0.032986,0.015191,0.1761,15.601617,1.004547,78.15637,5.078352,1.395138,0.565756,0.819067,0.89461,0.104248,49.06542,5.485018,124.015,0.447934,0.009097,0.027409,0.134917,0.000193,0.014129,1793.78,0.417821,0,0.950732,0.096438,0,0.046872,0.002713,604.2614,144047.4
