@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast_arff_file/psysound.arff-weka.filters.unsupervised.attribute.Remove-Rlast_wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_9 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_15 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_17 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_18 numeric
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_9 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_14 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_20 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_10 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_18 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_5 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_6 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_7 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_16 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_17 numeric
@attribute Std_Acc1000_Mean_Mem40_PeakRatio_Minimum numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_6 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_11 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_16 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_21 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_6 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_7 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_13 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_14 numeric
@attribute Std_Acc1000_Std_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_11 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_13 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_9 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_11 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_15 numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_MaxHPS numeric
@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute pcm_RMSenergy_sma_min numeric
@attribute pcm_RMSenergy_sma_linregc2 numeric
@attribute mfcc_sma[1]_min numeric
@attribute mfcc_sma[2]_max numeric
@attribute mfcc_sma[2]_linregc2 numeric
@attribute mfcc_sma[3]_min numeric
@attribute mfcc_sma[5]_range numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[8]_linregerrQ numeric
@attribute mfcc_sma[8]_skewness numeric
@attribute mfcc_sma[9]_min numeric
@attribute mfcc_sma[9]_stddev numeric
@attribute mfcc_sma[10]_max numeric
@attribute pcm_zcr_sma_min numeric
@attribute pcm_zcr_sma_range numeric
@attribute pcm_zcr_sma_maxPos numeric
@attribute pcm_zcr_sma_skewness numeric
@attribute pcm_zcr_sma_kurtosis numeric
@attribute voiceProb_sma_linregerrQ numeric
@attribute F0_sma_linregc2 numeric
@attribute pcm_RMSenergy_sma_de_minPos numeric
@attribute mfcc_sma_de[1]_kurtosis numeric
@attribute mfcc_sma_de[2]_linregc1 numeric
@attribute mfcc_sma_de[2]_linregerrQ numeric
@attribute mfcc_sma_de[2]_kurtosis numeric
@attribute mfcc_sma_de[3]_range numeric
@attribute mfcc_sma_de[3]_maxPos numeric
@attribute mfcc_sma_de[4]_kurtosis numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[8]_maxPos numeric
@attribute mfcc_sma_de[9]_skewness numeric
@attribute mfcc_sma_de[9]_kurtosis numeric
@attribute mfcc_sma_de[10]_max numeric
@attribute mfcc_sma_de[10]_range numeric
@attribute mfcc_sma_de[12]_max numeric
@attribute pcm_zcr_sma_de_min numeric
@attribute pcm_zcr_sma_de_amean numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_max numeric
@attribute voiceProb_sma_de_range numeric
@attribute voiceProb_sma_de_kurtosis numeric
@attribute output {high,nothigh}

@data
0.623898,0.361503,0.503791,3.043184,0.141195,2.290989,2.563543,2.695491,0.053259,0.9363,1.87748,2.606974,0.181057,0.130764,0.072619,0.069775,0.086387,0.076023,0.077723,0.482553,0.213147,0.331115,0.561119,0.710454,1.545325,0.103471,0.113986,0.132462,0.227539,0.24167,0.023624,0.054405,0.329762,0.133364,0.158851,0.117022,0.116282,0.065564,0.092707,0.152648,0.209919,0.372872,0.441372,0.03573,0.027307,0.023582,0.010045,0.180487,44.246322,1.004249,78.3846,5.907546,1.561373,0.561774,0.797585,0.899833,0.06829,38.99639,4.848812,401.6751,1.525429,0.028546,0.026522,0.151997,0.000192,0.007115,2104.462,0.390143,0,0.996005,0.095874,0,0.003981,0.0018,675.1852,417543.4,0.002572,0.029618,-26.47935,19.57154,4.546958,-19.54872,30.6062,5.64975,23.68339,0.328693,-13.57193,5.107327,17.49476,0.00726,0.489413,1299,1.728005,7.440664,0.022146,-34.28263,1098,6.223129,0.000005,0.933306,5.138978,8.806899,428,4.708759,4.745868,2535,0.244105,4.311298,5.554979,9.927518,4.103834,-0.077495,0.000004,7.102786,0.132542,0.308613,7.762371,high
-0.818058,0.023915,-0.46662,3.802325,0.166063,2.203748,2.51348,2.686977,0.03975,1.038552,1.927497,3.798098,0.175257,0.116254,0.040629,0.047398,0.047948,0.068397,0.077087,0.466215,0.280608,0.305801,0.531342,1.551836,3.598405,0.10517,0.102365,0.118523,0.214701,0.233944,0.007239,0.024995,0.11577,0.117838,0.077809,0.065567,0.066455,0.095329,0.124425,0.157619,0.30375,0.222261,0.320134,0.03806,0.023695,0.017297,0.010939,0.174545,90.620116,1.007237,91.6123,6.450863,1.580178,0.553997,1.451475,0.888681,0.127674,38.95341,4.866436,106.1187,0.353013,0.00595,0.005989,0.210196,0.000072,0.028126,1972.055,0.200706,0,0.9747,0.16605,0,0.024676,0.00168,947.044,140920.9,0.007759,0.034619,-16.28734,0.753129,-7.245767,-0.147283,31.95442,1.561319,16.53428,-0.072541,-17.39261,3.127787,11.74098,0.034483,0.22686,1262,0.102955,2.685768,0.016156,74.44818,1694,3.821787,-0.000005,0.594278,3.35916,6.889052,1540,3.278878,3.433745,73,0.104592,3.262712,4.048701,8.205614,4.563018,-0.044888,0.000023,3.558881,0.129953,0.289343,4.265424,high
-0.275601,-0.225459,0.081394,3.470366,0.164311,2.301876,2.59874,2.714011,0.026228,1.008094,1.74806,3.114243,0.178293,0.136597,0.050362,0.061818,0.073491,0.074074,0.083019,9.662316,0.280861,0.38801,0.86596,0.803451,1.688625,0.111059,0.106175,0.127213,0.230576,0.246218,0.011437,0.12418,0.402142,0.155472,0.105153,0.175494,0.127204,0.066913,0.11355,0.150432,0.24394,0.394736,0.362283,0.041927,0.033516,0.027194,0.013998,0.1802,51.532995,1.010132,72.05335,4.942126,1.424437,0.648713,0.846818,0.893905,0.081468,32.87048,5.255319,505.3004,0.883527,0.013102,0.058251,0.493595,0.000307,0.012555,2255.313,0.894213,0,0.822903,0.094202,0,0.145831,0.004647,455.7645,109422.3,0.001132,0.010266,-22.69739,19.28601,-2.361562,-25.15412,38.3586,0.829444,30.60862,-0.480194,-18.49147,5.320932,17.27183,0.00242,0.397459,331,2.045217,13.12538,0.028331,49.64146,2889,4.959137,0.000002,1.598525,4.758093,11.34765,936,4.088218,3.492791,1075,-0.014121,3.953317,5.685394,12.88133,4.919321,-0.070659,-0.000017,14.64577,0.151082,0.312991,5.989693,high
-0.021489,0.465343,0.389691,3.190662,0.177961,2.290556,2.591107,2.728821,0.036891,0.988128,1.749081,4.270105,0.177524,0.12431,0.052396,0.067321,0.067391,0.064424,0.0683,1.055873,0.255152,0.354884,0.663308,0.74428,1.284146,0.102821,0.10727,0.129482,0.227174,0.242227,0.016328,0.04846,0.297924,0.169253,0.127338,0.136853,0.083901,0.098063,0.087483,0.123754,0.257797,0.247267,0.361705,0.034656,0.022231,0.022544,0.013115,0.181248,70.850354,1.007859,84.57114,5.538223,1.463249,0.704892,1.204821,0.900254,0.113248,37.26129,5.588673,373.0719,1.315564,0.025455,0.060103,0.365584,0.000183,0.017041,1872.634,0.824475,0,0.908788,0.107455,0,0.082947,0.003818,790.4742,194451,0.002413,0.026293,-20.67735,12.13064,-2.566824,-21.13546,34.27653,-0.431732,24.09143,0.22355,-19.20753,4.680088,15.00866,0.013309,0.447671,2624,1.559651,7.162038,0.010919,7.409234,2756,5.139837,0.000006,1.038927,5.929992,7.70763,29,4.526587,4.109819,2895,-0.044934,3.475745,4.012951,8.77578,3.673006,-0.072232,-0.000068,8.549294,0.093776,0.208497,3.80432,high
-1.452092,0.324214,0.234283,3.392441,0.1579,2.235238,2.538323,2.701196,0.017902,0.848995,2.360356,2.351999,0.160691,0.109179,0.044222,0.058539,0.054909,0.071767,0.081653,0.860298,0.302344,0.432967,0.636144,1.228397,1.802529,0.101098,0.104179,0.11745,0.233406,0.246087,0.010121,0.026057,0.477091,0.074785,0.068794,0.074221,0.094526,0.063484,0.120722,0.129219,0.166332,0.246325,0.285279,0.038573,0.02325,0.019011,0.008526,0.172295,44.581544,1.003838,83.81009,4.713961,1.293426,0.642786,1.183742,0.899079,0.149358,109.2106,6.30981,66.37022,0.455424,0.010876,0.025477,0.156178,0.000066,0.011574,6401.365,0.341738,0,0.978695,0.127616,0,0.020865,0.002761,573.3811,35274.34,0.011005,0.021884,-18.13837,7.138173,-12.06339,-8.544998,29.9963,-1.869247,18.30598,-0.061824,-19.99213,4.409632,9.040847,0.019359,0.23775,1890,1.98706,10.82492,0.010961,36.35506,1893,6.637132,0.000001,0.631927,4.790657,6.90316,1376,3.572478,4.025936,717,0.166917,3.463016,3.643972,6.92768,3.323293,-0.033817,0.000008,8.251374,0.089264,0.206194,4.033147,high
-0.763257,0.062917,-0.15991,3.4258,0.163687,2.223122,2.519414,2.670539,0.037632,0.96762,1.808816,3.902816,0.193762,0.174183,0.080595,0.098661,0.098849,0.09227,0.095462,8.125402,0.334932,0.37387,0.876204,1.420865,1.302758,0.186135,0.104925,0.122932,0.221149,0.236629,0.012863,0.07043,0.509869,0.075731,0.121087,0.085106,0.107805,0.147625,0.112335,0.130716,0.233249,0.285063,0.279862,0.052738,0.029362,0.028865,0.021691,0.170908,147.042052,1.022581,52.80988,4.20214,1.388252,0.584776,0.496727,0.888371,0.052459,15.68091,4.549263,229.2985,1.171241,0.024517,0.028723,0.345451,0.000599,0.007533,410.4737,0.604221,0,0.665113,0.08111,0,0.222886,0.005186,544.3635,146232.8,0.002092,0.017675,-19.37508,19.54189,-0.693556,-22.7831,34.37147,-3.340973,34.71481,-0.415516,-17.28499,5.558836,18.41515,0.005445,0.206292,2025,0.885575,3.38577,0.036096,221.8784,2265,3.42517,0.000004,4.376017,5.497324,11.10741,37,4.076671,3.843933,665,0.054414,3.42857,5.558002,9.547161,5.291711,-0.029341,0.000008,4.650308,0.141493,0.319805,3.979166,high
-0.763257,0.062917,-0.15991,3.4258,0.163687,2.223122,2.519414,2.670539,0.037632,0.96762,1.808816,3.902816,0.193762,0.174183,0.080595,0.098661,0.098849,0.09227,0.095462,8.125402,0.334932,0.37387,0.876204,1.420865,1.302758,0.186135,0.104925,0.122932,0.221149,0.236629,0.012863,0.07043,0.509869,0.075731,0.121087,0.085106,0.107805,0.147625,0.112335,0.130716,0.233249,0.285063,0.279862,0.052738,0.029362,0.028865,0.021691,0.170908,147.042052,1.022581,52.80988,4.20214,1.388252,0.584776,0.496727,0.888371,0.052459,15.68091,4.549263,229.2985,1.171241,0.024517,0.028723,0.345451,0.000599,0.007533,410.4737,0.604221,0,0.665113,0.08111,0,0.222886,0.005186,544.3635,146232.8,0.002092,0.017675,-19.37508,19.54189,-0.693556,-22.7831,34.37147,-3.340973,34.71481,-0.415516,-17.28499,5.558836,18.41515,0.005445,0.206292,2025,0.885575,3.38577,0.036096,221.8784,2265,3.42517,0.000004,4.376017,5.497324,11.10741,37,4.076671,3.843933,665,0.054414,3.42857,5.558002,9.547161,5.291711,-0.029341,0.000008,4.650308,0.141493,0.319805,3.979166,high
-0.424825,-0.032901,0.161607,3.230107,0.171787,2.26488,2.564158,2.684625,0.022354,0.980393,1.699545,2.60518,0.168323,0.109929,0.042773,0.040148,0.060678,0.071005,0.072824,0.384175,0.213153,0.392318,0.771411,0.899642,2.003978,0.100855,0.103509,0.118979,0.224427,0.240635,0.00726,0.015778,0.204614,0.09433,0.100213,0.070381,0.101912,0.064639,0.11025,0.124788,0.276078,0.304886,0.291295,0.03439,0.036373,0.033532,0.011637,0.179923,40.66294,1.003173,85.34351,5.658774,1.466641,0.600017,1.162126,0.896975,0.137821,57.28097,5.360804,73.51125,0.273472,0.005621,0.009486,0.160561,0.000078,0.018609,3431.893,0.22094,0,0.825566,0.107488,0,0.144103,0.003763,549.744,56507.26,0.005466,0.043299,-17.21324,7.755761,-3.519564,-7.73117,24.10231,1.858981,12.85322,0.045892,-12.22423,3.735146,13.0313,0.022384,0.180278,44,0.856721,3.722861,0.010215,1.061432,1333,4.197541,-0.000002,0.37725,6.448279,6.153687,1107,3.747147,3.642646,882,-0.110757,3.039411,3.836544,7.701653,3.381288,-0.036419,0.000009,4.761833,0.105553,0.211595,4.770639,high
-0.585499,0.197208,-0.057577,3.673895,0.171756,2.240483,2.555799,2.676557,0.026604,1.070472,2.47992,2.284887,0.173677,0.120911,0.047348,0.042863,0.056761,0.072331,0.06513,3.968105,0.30179,0.49049,1.047028,1.182803,1.583661,0.101396,0.1023,0.119393,0.224497,0.23919,0.01234,0.019569,0.244523,0.06782,0.11729,0.080658,0.0786,0.170843,0.119118,0.160817,0.260251,0.425678,0.473946,0.034636,0.025264,0.032986,0.015191,0.1761,15.601617,1.004547,78.15637,5.078352,1.395138,0.565756,0.819067,0.89461,0.104248,49.06542,5.485018,124.015,0.447934,0.009097,0.027409,0.134917,0.000193,0.014129,1793.78,0.417821,0,0.950732,0.096438,0,0.046872,0.002713,604.2614,144047.4,0.004309,0.017609,-19.52035,7.602505,-4.776086,-5.048834,26.47294,4.287516,19.94821,-0.123061,-13.32983,4.183278,15.29792,0.010889,0.206292,84,0.604247,2.71208,0.030079,134.6513,640,5.656384,0,0.409795,4.793275,5.476532,1102,3.711479,3.235213,260,-0.179757,3.17308,3.952485,8.048048,3.705463,-0.032123,0.000003,5.864906,0.104026,0.284243,5.581084,high
0.41738,0.051186,0.121521,3.290907,0.149859,2.25517,2.557824,2.670851,0.013425,0.862594,1.543264,3.347209,0.145843,0.127945,0.049987,0.04886,0.055922,0.067779,0.077648,0.721249,0.255855,0.314804,1.147912,1.263094,2.339275,0.147335,0.101689,0.119588,0.220039,0.238427,0.013926,0.033257,0.523613,0.087663,0.09579,0.0917,0.085643,0.084254,0.154456,0.141931,0.157196,0.382761,0.401781,0.033084,0.02333,0.03149,0.010582,0.17793,33.36742,1.003536,79.92265,4.645403,1.291383,0.658341,1.039617,0.901131,0.139198,147.1848,6.37415,213.5952,0.388414,0.008461,0.034564,0.336888,0.000086,0.008037,8433.484,0.960538,0,0.989348,0.134118,0,0.010546,0.001637,442.6372,29549.92,0.00632,0.01191,-18.56394,7.898695,-1.648493,-9.327619,24.67877,-5.651293,14.18877,-0.082936,-16.30279,4.609024,7.625014,0.014519,0.276467,183,2.668143,17.47053,0.00801,11.58158,2217,4.115718,0.000001,0.407017,4.480145,4.189742,1384,3.456505,3.01482,2940,-0.067418,3.010501,4.202805,7.800261,3.076427,-0.03176,0.000002,9.804586,0.097278,0.18826,4.387194,high
