@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_min numeric
@attribute pcm_RMSenergy_sma_linregc2 numeric
@attribute mfcc_sma[1]_min numeric
@attribute mfcc_sma[2]_max numeric
@attribute mfcc_sma[2]_linregc2 numeric
@attribute mfcc_sma[3]_min numeric
@attribute mfcc_sma[5]_range numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[8]_linregerrQ numeric
@attribute mfcc_sma[8]_skewness numeric
@attribute mfcc_sma[9]_min numeric
@attribute mfcc_sma[9]_stddev numeric
@attribute mfcc_sma[10]_max numeric
@attribute pcm_zcr_sma_min numeric
@attribute pcm_zcr_sma_range numeric
@attribute pcm_zcr_sma_maxPos numeric
@attribute pcm_zcr_sma_skewness numeric
@attribute pcm_zcr_sma_kurtosis numeric
@attribute voiceProb_sma_linregerrQ numeric
@attribute F0_sma_linregc2 numeric
@attribute pcm_RMSenergy_sma_de_minPos numeric
@attribute mfcc_sma_de[1]_kurtosis numeric
@attribute mfcc_sma_de[2]_linregc1 numeric
@attribute mfcc_sma_de[2]_linregerrQ numeric
@attribute mfcc_sma_de[2]_kurtosis numeric
@attribute mfcc_sma_de[3]_range numeric
@attribute mfcc_sma_de[3]_maxPos numeric
@attribute mfcc_sma_de[4]_kurtosis numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[8]_maxPos numeric
@attribute mfcc_sma_de[9]_skewness numeric
@attribute mfcc_sma_de[9]_kurtosis numeric
@attribute mfcc_sma_de[10]_max numeric
@attribute mfcc_sma_de[10]_range numeric
@attribute mfcc_sma_de[12]_max numeric
@attribute pcm_zcr_sma_de_min numeric
@attribute pcm_zcr_sma_de_amean numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_max numeric
@attribute voiceProb_sma_de_range numeric
@attribute voiceProb_sma_de_kurtosis numeric
@attribute output {high,nothigh}

@data

0.002572,0.029618,-26.47935,19.57154,4.546958,-19.54872,30.6062,5.64975,23.68339,0.328693,-13.57193,5.107327,17.49476,0.00726,0.489413,1299,1.728005,7.440664,0.022146,-34.28263,1098,6.223129,0.000005,0.933306,5.138978,8.806899,428,4.708759,4.745868,2535,0.244105,4.311298,5.554979,9.927518,4.103834,-0.077495,0.000004,7.102786,0.132542,0.308613,7.762371,high
0.007759,0.034619,-16.28734,0.753129,-7.245767,-0.147283,31.95442,1.561319,16.53428,-0.072541,-17.39261,3.127787,11.74098,0.034483,0.22686,1262,0.102955,2.685768,0.016156,74.44818,1694,3.821787,-0.000005,0.594278,3.35916,6.889052,1540,3.278878,3.433745,73,0.104592,3.262712,4.048701,8.205614,4.563018,-0.044888,0.000023,3.558881,0.129953,0.289343,4.265424,high
0.001132,0.010266,-22.69739,19.28601,-2.361562,-25.15412,38.3586,0.829444,30.60862,-0.480194,-18.49147,5.320932,17.27183,0.00242,0.397459,331,2.045217,13.12538,0.028331,49.64146,2889,4.959137,0.000002,1.598525,4.758093,11.34765,936,4.088218,3.492791,1075,-0.014121,3.953317,5.685394,12.88133,4.919321,-0.070659,-0.000017,14.64577,0.151082,0.312991,5.989693,high
0.002413,0.026293,-20.67735,12.13064,-2.566824,-21.13546,34.27653,-0.431732,24.09143,0.22355,-19.20753,4.680088,15.00866,0.013309,0.447671,2624,1.559651,7.162038,0.010919,7.409234,2756,5.139837,0.000006,1.038927,5.929992,7.70763,29,4.526587,4.109819,2895,-0.044934,3.475745,4.012951,8.77578,3.673006,-0.072232,-0.000068,8.549294,0.093776,0.208497,3.80432,high
0.011005,0.021884,-18.13837,7.138173,-12.06339,-8.544998,29.9963,-1.869247,18.30598,-0.061824,-19.99213,4.409632,9.040847,0.019359,0.23775,1890,1.98706,10.82492,0.010961,36.35506,1893,6.637132,0.000001,0.631927,4.790657,6.90316,1376,3.572478,4.025936,717,0.166917,3.463016,3.643972,6.92768,3.323293,-0.033817,0.000008,8.251374,0.089264,0.206194,4.033147,high
0.002092,0.017675,-19.37508,19.54189,-0.693556,-22.7831,34.37147,-3.340973,34.71481,-0.415516,-17.28499,5.558836,18.41515,0.005445,0.206292,2025,0.885575,3.38577,0.036096,221.8784,2265,3.42517,0.000004,4.376017,5.497324,11.10741,37,4.076671,3.843933,665,0.054414,3.42857,5.558002,9.547161,5.291711,-0.029341,0.000008,4.650308,0.141493,0.319805,3.979166,high
0.002092,0.017675,-19.37508,19.54189,-0.693556,-22.7831,34.37147,-3.340973,34.71481,-0.415516,-17.28499,5.558836,18.41515,0.005445,0.206292,2025,0.885575,3.38577,0.036096,221.8784,2265,3.42517,0.000004,4.376017,5.497324,11.10741,37,4.076671,3.843933,665,0.054414,3.42857,5.558002,9.547161,5.291711,-0.029341,0.000008,4.650308,0.141493,0.319805,3.979166,high
0.005466,0.043299,-17.21324,7.755761,-3.519564,-7.73117,24.10231,1.858981,12.85322,0.045892,-12.22423,3.735146,13.0313,0.022384,0.180278,44,0.856721,3.722861,0.010215,1.061432,1333,4.197541,-0.000002,0.37725,6.448279,6.153687,1107,3.747147,3.642646,882,-0.110757,3.039411,3.836544,7.701653,3.381288,-0.036419,0.000009,4.761833,0.105553,0.211595,4.770639,high
0.004309,0.017609,-19.52035,7.602505,-4.776086,-5.048834,26.47294,4.287516,19.94821,-0.123061,-13.32983,4.183278,15.29792,0.010889,0.206292,84,0.604247,2.71208,0.030079,134.6513,640,5.656384,0,0.409795,4.793275,5.476532,1102,3.711479,3.235213,260,-0.179757,3.17308,3.952485,8.048048,3.705463,-0.032123,0.000003,5.864906,0.104026,0.284243,5.581084,high
