@relation arff_file/psysound.arff

@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {high,nothigh}

@data

78.3846,5.907546,1.561373,0.561774,0.797585,0.899833,0.06829,38.99639,4.848812,401.6751,1.525429,0.028546,0.026522,0.151997,0.000192,0.007115,2104.462,0.390143,0,0.996005,0.095874,0,0.003981,0.0018,675.1852,417543.4,high
91.6123,6.450863,1.580178,0.553997,1.451475,0.888681,0.127674,38.95341,4.866436,106.1187,0.353013,0.00595,0.005989,0.210196,0.000072,0.028126,1972.055,0.200706,0,0.9747,0.16605,0,0.024676,0.00168,947.044,140920.9,high
72.05335,4.942126,1.424437,0.648713,0.846818,0.893905,0.081468,32.87048,5.255319,505.3004,0.883527,0.013102,0.058251,0.493595,0.000307,0.012555,2255.313,0.894213,0,0.822903,0.094202,0,0.145831,0.004647,455.7645,109422.3,high
84.57114,5.538223,1.463249,0.704892,1.204821,0.900254,0.113248,37.26129,5.588673,373.0719,1.315564,0.025455,0.060103,0.365584,0.000183,0.017041,1872.634,0.824475,0,0.908788,0.107455,0,0.082947,0.003818,790.4742,194451,high
83.81009,4.713961,1.293426,0.642786,1.183742,0.899079,0.149358,109.2106,6.30981,66.37022,0.455424,0.010876,0.025477,0.156178,0.000066,0.011574,6401.365,0.341738,0,0.978695,0.127616,0,0.020865,0.002761,573.3811,35274.34,high
52.80988,4.20214,1.388252,0.584776,0.496727,0.888371,0.052459,15.68091,4.549263,229.2985,1.171241,0.024517,0.028723,0.345451,0.000599,0.007533,410.4737,0.604221,0,0.665113,0.08111,0,0.222886,0.005186,544.3635,146232.8,high
52.80988,4.20214,1.388252,0.584776,0.496727,0.888371,0.052459,15.68091,4.549263,229.2985,1.171241,0.024517,0.028723,0.345451,0.000599,0.007533,410.4737,0.604221,0,0.665113,0.08111,0,0.222886,0.005186,544.3635,146232.8,high
85.34351,5.658774,1.466641,0.600017,1.162126,0.896975,0.137821,57.28097,5.360804,73.51125,0.273472,0.005621,0.009486,0.160561,0.000078,0.018609,3431.893,0.22094,0,0.825566,0.107488,0,0.144103,0.003763,549.744,56507.26,high
78.15637,5.078352,1.395138,0.565756,0.819067,0.89461,0.104248,49.06542,5.485018,124.015,0.447934,0.009097,0.027409,0.134917,0.000193,0.014129,1793.78,0.417821,0,0.950732,0.096438,0,0.046872,0.002713,604.2614,144047.4,high
79.92265,4.645403,1.291383,0.658341,1.039617,0.901131,0.139198,147.1848,6.37415,213.5952,0.388414,0.008461,0.034564,0.336888,0.000086,0.008037,8433.484,0.960538,0,0.989348,0.134118,0,0.010546,0.001637,442.6372,29549.92,high
92.83834,6.154241,1.531225,0.492987,1.008522,0.889601,0.164038,85.68211,5.081115,118.3456,0.486221,0.007512,0.004668,0.082838,0.000098,0.018373,4055.372,0.126332,0,0.804927,0.114206,0,0.157124,0.0043,1159.8,106683.5,high
83.15606,5.78451,1.501275,0.538777,0.879343,0.89622,0.121334,87.55855,5.124471,339.9785,1.871077,0.04121,0.017928,0.278758,0.000142,0.00861,5272.99,0.717538,0,0.885486,0.103143,0,0.101468,0.003158,900.7963,718972.6,high
87.93056,5.607259,1.438104,0.712924,1.423545,0.909766,0.123235,61.14609,5.828939,77.02627,0.255627,0.006638,0.020389,0.187923,0.000069,0.00985,3117.359,0.277945,0,0.984021,0.127697,0,0.015734,0.002904,499.8288,71998.21,high
64.73019,3.418498,1.147057,0.686566,0.665852,0.864227,0.089689,48.5607,6.39171,366.3472,0.843268,0.016651,0.038432,0.194055,0.000607,0.006243,1531.398,2.530348,0,0.866844,0.147416,0,0.115502,0.004741,608.2863,28212.8,high
65.47381,3.855244,1.208001,0.741089,0.661727,0.884223,0.129155,103.8696,6.39699,116.2361,0.288755,0.008387,0.020662,0.084862,0.000322,0.008213,5971.584,0.701076,0,0.953396,0.100044,0,0.044462,0.002748,361.7135,17730.61,high
86.75408,5.115975,1.368375,0.564389,1.054562,0.893196,0.180846,94.59221,5.842427,108.4604,0.47496,0.007883,0.009359,0.145691,0.000077,0.016445,6069.617,0.176497,0,0.962716,0.103006,0,0.035917,0.003293,717.2686,66855.94,high
80.12381,5.590025,1.493605,0.625298,0.878378,0.896075,0.10089,42.61003,5.12039,121.2045,1.49107,0.042799,0.020089,0.112091,0.000112,0.010423,1520.067,0.803396,0,0.904794,0.095531,0,0.0862,0.003776,821.9623,650234.2,high
80.05903,5.328547,1.441402,0.608859,0.914192,0.896138,0.062582,21.76244,5.326988,461.7908,1.336989,0.026456,0.021261,0.225169,0.000254,0.008332,608.3487,0.717655,0,0.839547,0.106003,0,0.134797,0.003741,789.9421,506881.6,high
77.65915,4.982199,1.384926,0.673106,1.067624,0.896436,0.04988,28.02943,5.829895,94.45213,0.634248,0.019832,0.025522,0.172353,0.000155,0.004688,814.7746,0.58892,0,0.696405,0.097491,0,0.211566,0.006159,606.4371,155987.2,high
