% Created by psymatrix_2_arff.pl
@relation arff_file/psysound.arff
@attribute mean_Loudness real
@attribute std_Loudness real
@attribute mean_SharpnessA real
@attribute std_SharpnessA real
@attribute mean_SharpnessZ real
@attribute std_SharpnessZ real
@attribute mean_Spectral_Dissonance(HK) real
@attribute std_Spectral_Dissonance(HK) real
@attribute mean_Spectral_Dissonance(S) real
@attribute std_Spectral_Dissonance(S) real
@attribute mean_Timbral_Width real
@attribute std_Timbral_Width real
@attribute mean_Tonal_Dissonance(HK) real
@attribute std_Tonal_Dissonance(HK) real
@attribute mean_Tonal_Dissonance(S) real
@attribute std_Tonal_Dissonance(S) real
@attribute mean_Volume real
@attribute std_Volume real
@attribute mean_Pure_Tonal real
@attribute std_Pure_Tonal real
@attribute mean_Complex_Tonal real
@attribute std_Complex_Tonal real
@attribute mean_Multiplicity real
@attribute std_Multiplicity real
@attribute mean_SpectralCentroid real
@attribute std_SpectralCentroid real
@attribute output {high,nothigh}


@data
7.838460e+01,5.907546e+00,1.561373e+00,5.617740e-01,7.975845e-01,8.998332e-01,6.829010e-02,3.899639e+01,4.848812e+00,4.016751e+02,1.525429e+00,2.854616e-02,2.652196e-02,1.519973e-01,1.923152e-04,7.115407e-03,2.104462e+03,3.901426e-01,0.000000e+00,9.960053e-01,9.587422e-02,0.000000e+00,3.981367e-03,1.800360e-03,6.751852e+02,4.175434e+05,high
9.161230e+01,6.450863e+00,1.580178e+00,5.539965e-01,1.451475e+00,8.886807e-01,1.276740e-01,3.895341e+01,4.866436e+00,1.061187e+02,3.530126e-01,5.950444e-03,5.989051e-03,2.101958e-01,7.212043e-05,2.812642e-02,1.972055e+03,2.007061e-01,0.000000e+00,9.747004e-01,1.660498e-01,0.000000e+00,2.467596e-02,1.679826e-03,9.470440e+02,1.409209e+05,high
7.205335e+01,4.942126e+00,1.424437e+00,6.487133e-01,8.468177e-01,8.939054e-01,8.146808e-02,3.287048e+01,5.255319e+00,5.053004e+02,8.835271e-01,1.310177e-02,5.825081e-02,4.935947e-01,3.067547e-04,1.255495e-02,2.255313e+03,8.942127e-01,0.000000e+00,8.229028e-01,9.420230e-02,0.000000e+00,1.458309e-01,4.646645e-03,4.557645e+02,1.094223e+05,high
8.457114e+01,5.538223e+00,1.463249e+00,7.048920e-01,1.204821e+00,9.002536e-01,1.132484e-01,3.726129e+01,5.588673e+00,3.730719e+02,1.315564e+00,2.545502e-02,6.010294e-02,3.655843e-01,1.833883e-04,1.704051e-02,1.872634e+03,8.244745e-01,0.000000e+00,9.087883e-01,1.074549e-01,0.000000e+00,8.294736e-02,3.817565e-03,7.904742e+02,1.944510e+05,high
8.381009e+01,4.713961e+00,1.293426e+00,6.427861e-01,1.183742e+00,8.990791e-01,1.493576e-01,1.092106e+02,6.309810e+00,6.637022e+01,4.554236e-01,1.087573e-02,2.547652e-02,1.561780e-01,6.597673e-05,1.157400e-02,6.401365e+03,3.417376e-01,0.000000e+00,9.786951e-01,1.276157e-01,0.000000e+00,2.086492e-02,2.760654e-03,5.733811e+02,3.527434e+04,high
5.280988e+01,4.202140e+00,1.388252e+00,5.847757e-01,4.967267e-01,8.883710e-01,5.245936e-02,1.568091e+01,4.549263e+00,2.292985e+02,1.171241e+00,2.451675e-02,2.872273e-02,3.454513e-01,5.987052e-04,7.533080e-03,4.104737e+02,6.042209e-01,0.000000e+00,6.651132e-01,8.111023e-02,0.000000e+00,2.228860e-01,5.186295e-03,5.443635e+02,1.462328e+05,high
5.280988e+01,4.202140e+00,1.388252e+00,5.847757e-01,4.967267e-01,8.883710e-01,5.245936e-02,1.568091e+01,4.549263e+00,2.292985e+02,1.171241e+00,2.451675e-02,2.872273e-02,3.454513e-01,5.987052e-04,7.533080e-03,4.104737e+02,6.042209e-01,0.000000e+00,6.651132e-01,8.111023e-02,0.000000e+00,2.228860e-01,5.186295e-03,5.443635e+02,1.462328e+05,high
8.534351e+01,5.658774e+00,1.466641e+00,6.000172e-01,1.162126e+00,8.969745e-01,1.378213e-01,5.728097e+01,5.360804e+00,7.351125e+01,2.734719e-01,5.621268e-03,9.486064e-03,1.605607e-01,7.799206e-05,1.860947e-02,3.431893e+03,2.209400e-01,0.000000e+00,8.255659e-01,1.074879e-01,0.000000e+00,1.441028e-01,3.762913e-03,5.497440e+02,5.650726e+04,high
7.815637e+01,5.078352e+00,1.395138e+00,5.657557e-01,8.190668e-01,8.946099e-01,1.042479e-01,4.906542e+01,5.485018e+00,1.240150e+02,4.479342e-01,9.097415e-03,2.740927e-02,1.349165e-01,1.930300e-04,1.412894e-02,1.793780e+03,4.178210e-01,0.000000e+00,9.507324e-01,9.643818e-02,0.000000e+00,4.687155e-02,2.712750e-03,6.042614e+02,1.440474e+05,high
7.992265e+01,4.645403e+00,1.291383e+00,6.583406e-01,1.039617e+00,9.011314e-01,1.391980e-01,1.471848e+02,6.374150e+00,2.135952e+02,3.884136e-01,8.460671e-03,3.456413e-02,3.368877e-01,8.626252e-05,8.037481e-03,8.433484e+03,9.605379e-01,0.000000e+00,9.893475e-01,1.341180e-01,0.000000e+00,1.054601e-02,1.637096e-03,4.426372e+02,2.954992e+04,high
