@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_PeakRatio_Minimum numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_17 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_20 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_21 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_10 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_2 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_18 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_9 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_14 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_16 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_18 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_3 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_5 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_6 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_7 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_10 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_14 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_16 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_17 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_5 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_6 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_7 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_8 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_15 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_17 numeric
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Average numeric
@attribute Std_Acc1000_Std_Mem40_SCF_1 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_13 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_9 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_11 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_12 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_13 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_21 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_15 numeric
@attribute BeatHisto_LowPeakAmp numeric

@data

0.16765,0.644106,7.905989,7.803126,9.446959,12.749309,0.335314,0.168734,0.288666,2.671116,0.553788,0.940096,2.060586,2.756446,0.124218,0.05063,0.052719,0.058003,0.056725,0.064642,0.070252,0.07415,0.075851,0.376128,0.146707,0.139723,0.105354,0.108392,0.124179,0.141193,0.259831,0.291169,0.062943,0.121804,0.126544,0.156289,0.156446,0.176768,0.158294,0.383839,0.089279,0.135549,0.144522,0.411262,0.040734,0.028968,0.033657,0.027435,0.033752,0.034099,0.040026,0.17207,15.141512
0.039425,1.220512,1.806401,4.956645,5.664363,7.453876,0.578894,0.107062,0.268935,2.700532,0.542249,1.032453,1.350738,1.612925,0.119725,0.061699,0.077265,0.072709,0.074201,0.08854,0.068582,0.0693,0.07334,0.35614,0.102374,0.090168,0.109043,0.112872,0.127401,0.144973,0.260048,0.291645,0.065964,0.079195,0.079191,0.080815,0.079847,0.053255,0.044166,0.081166,0.085314,0.101116,0.111512,0.358389,0.030643,0.038306,0.029361,0.028305,0.027202,0.025258,0.045031,0.179347,22.791562
0.131641,-1.079728,3.500962,6.619929,5.926339,8.832226,0.531516,0.162022,0.31191,2.676999,0.534637,0.816661,1.764351,1.806272,0.13697,0.034013,0.040295,0.0507,0.051537,0.065685,0.066057,0.069188,0.076703,0.199305,0.101584,0.097336,0.103066,0.096723,0.115104,0.128358,0.255778,0.289872,0.009995,0.103153,0.090999,0.092473,0.105557,0.118227,0.079633,0.293303,0.078577,0.084398,0.147598,0.395247,0.031328,0.038372,0.029755,0.028751,0.029118,0.027291,0.021934,0.17578,30.550992
0.176732,-0.491048,4.546631,5.661181,7.086435,8.940199,0.398842,0.189339,0.347586,2.682251,0.639076,1.019386,1.841624,2.272773,0.115426,0.049143,0.058158,0.067798,0.066845,0.072622,0.076128,0.070911,0.080188,0.21197,0.104595,0.08899,0.107724,0.10779,0.125866,0.139767,0.260266,0.290587,0.033349,0.108811,0.12658,0.094524,0.094542,0.076853,0.067917,0.273855,0.082011,0.136668,0.128039,0.410859,0.042664,0.040064,0.027368,0.027124,0.025603,0.027101,0.033088,0.172776,51.673039
0.092742,-0.839525,4.084562,5.617924,5.868995,7.066141,0.469451,0.136739,0.267844,2.70369,0.586145,0.764915,1.731727,1.787794,0.113915,0.043854,0.053904,0.058306,0.075225,0.071881,0.066847,0.07271,0.076745,0.203651,0.099616,0.100015,0.106434,0.119221,0.134055,0.146496,0.252262,0.289859,0.047129,0.117016,0.0854,0.105025,0.084701,0.071859,0.068125,0.120615,0.084713,0.107192,0.135159,0.404599,0.040529,0.03301,0.022533,0.020212,0.016856,0.017855,0.062692,0.174651,24.894705
0.053274,1.677345,3.160063,7.094524,7.249473,9.320072,0.50093,0.130687,0.226857,2.676515,0.663526,1.097146,1.781156,2.264037,0.138016,0.062268,0.038324,0.074357,0.075313,0.083924,0.065858,0.066101,0.069829,0.203003,0.105665,0.090416,0.094019,0.102476,0.123999,0.14286,0.254792,0.28966,0.019882,0.102155,0.095829,0.130461,0.0869,0.087614,0.076621,0.103411,0.079307,0.115273,0.135777,0.226154,0.039013,0.037163,0.025165,0.026412,0.026129,0.019857,0.018659,0.182188,30.788872
0.115979,-0.985573,7.248108,9.119021,9.475752,10.40163,0.325587,0.149137,0.284826,2.753271,0.546893,0.864159,2.064354,2.91969,0.142505,0.049303,0.052902,0.058343,0.066327,0.074973,0.08303,0.08213,0.078135,0.637347,0.109148,0.12062,0.126553,0.095597,0.11233,0.127119,0.254443,0.292124,0.052669,0.164635,0.203481,0.121029,0.136279,0.128277,0.094439,0.209983,0.088454,0.159914,0.195406,0.445103,0.057024,0.037499,0.05327,0.031225,0.026786,0.031812,0.063225,0.184741,6.699844
0.226098,0.098675,3.263001,5.263723,5.682802,7.993859,0.531138,0.183215,0.366301,2.665282,0.667966,0.89956,1.637786,2.07135,0.125083,0.053543,0.050673,0.046754,0.062883,0.069976,0.079073,0.065173,0.068949,0.344642,0.096429,0.08866,0.105988,0.108644,0.125434,0.14374,0.259501,0.289748,0.03438,0.105887,0.121227,0.121978,0.097023,0.125732,0.101934,0.205762,0.073229,0.091901,0.117004,0.311314,0.037142,0.035629,0.037901,0.029945,0.030448,0.028755,0.014085,0.181408,80.545142
0.154235,0.12266,4.338677,5.185249,6.225745,8.466298,0.441788,0.179738,0.288304,2.64457,0.546887,0.949526,1.506752,1.796853,0.116215,0.054826,0.05082,0.059995,0.061433,0.07107,0.07346,0.070679,0.078014,0.339085,0.10691,0.114243,0.082729,0.105937,0.124827,0.141825,0.260831,0.29015,0.040685,0.143311,0.106766,0.072688,0.072084,0.087598,0.092574,0.188349,0.078115,0.1027,0.130644,0.36894,0.043123,0.03643,0.032218,0.022803,0.024557,0.033028,0.020479,0.174648,43.837193
