@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_linregc2 numeric
@attribute mfcc_sma[2]_amean numeric
@attribute mfcc_sma[2]_linregc2 numeric
@attribute mfcc_sma[3]_min numeric
@attribute mfcc_sma[3]_amean numeric
@attribute mfcc_sma[5]_range numeric
@attribute mfcc_sma[7]_min numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[8]_linregerrQ numeric
@attribute mfcc_sma[9]_range numeric
@attribute mfcc_sma[10]_range numeric
@attribute mfcc_sma[11]_min numeric
@attribute mfcc_sma[12]_min numeric
@attribute pcm_zcr_sma_min numeric
@attribute pcm_zcr_sma_linregc1 numeric
@attribute pcm_zcr_sma_linregc2 numeric
@attribute pcm_zcr_sma_skewness numeric
@attribute pcm_zcr_sma_kurtosis numeric
@attribute voiceProb_sma_range numeric
@attribute pcm_RMSenergy_sma_de_minPos numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_min numeric
@attribute mfcc_sma_de[2]_amean numeric
@attribute mfcc_sma_de[2]_linregerrQ numeric
@attribute mfcc_sma_de[2]_kurtosis numeric
@attribute mfcc_sma_de[3]_range numeric
@attribute mfcc_sma_de[3]_kurtosis numeric
@attribute mfcc_sma_de[8]_maxPos numeric
@attribute mfcc_sma_de[8]_kurtosis numeric
@attribute mfcc_sma_de[9]_max numeric
@attribute mfcc_sma_de[9]_kurtosis numeric
@attribute mfcc_sma_de[10]_max numeric
@attribute mfcc_sma_de[10]_range numeric
@attribute mfcc_sma_de[10]_kurtosis numeric
@attribute mfcc_sma_de[12]_maxPos numeric
@attribute mfcc_sma_de[12]_kurtosis numeric
@attribute pcm_zcr_sma_de_max numeric
@attribute pcm_zcr_sma_de_min numeric
@attribute pcm_zcr_sma_de_amean numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_max numeric
@attribute voiceProb_sma_de_kurtosis numeric
@attribute F0_sma_de_maxPos numeric
@attribute output {high,nothigh}

@data

0.028885,-1.075213,-6.269383,-6.13769,2.460711,31.66728,-16.58448,-1.366548,27.81296,35.92093,43.92482,-24.64281,-21.09969,0.008469,-0.000029,0.137432,0.386859,2.599142,0.738775,389,10.25605,-3.323199,0.003126,0.381976,3.901668,6.867693,4.16113,2362,3.895842,3.398801,3.777396,4.652684,9.688003,3.645273,1720,3.845006,0.053539,-0.042045,-0.000012,6.121942,0.148153,5.315879,1053,high
0.016515,4.325566,3.197076,-6.579494,4.174591,27.6498,-11.75107,2.454155,14.13946,31.90152,32.83154,-14.29121,-13.62381,0.00605,0.000008,0.036098,0.838906,3.420006,0.643262,2933,5.201257,-4.78622,-0.000925,0.75809,3.871998,8.015369,4.832093,618,3.616571,3.422562,3.001852,4.171094,8.01012,3.28503,102,3.179946,0.024682,-0.029825,0.000009,3.955266,0.090192,5.598269,128,high
0.038603,-7.39618,-9.757708,-9.126134,2.413139,33.16814,-22.17102,-3.8471,21.75346,27.12514,27.15,-16.99914,-17.56426,0.020569,-0.00001,0.091235,0.60302,3.525007,0.678684,546,5.828669,-3.146787,-0.000068,0.298748,3.909274,5.827594,4.128978,167,4.586134,4.299367,3.354067,3.698933,7.989121,3.140607,263,3.093488,0.026739,-0.022323,-0.000024,4.123145,0.123674,5.737349,160,high
0.038127,-4.029462,-3.954368,-17.23005,-1.089191,36.57654,-13.35818,3.147707,32.17385,35.14599,34.14302,-24.26856,-16.54663,0.010284,-0.000011,0.119502,1.211109,5.778065,0.691517,2834,5.730287,-3.527657,-0.00009,1.0679,4.044901,7.047873,3.98329,706,3.793026,4.967299,3.572357,4.127028,10.39493,4.193442,1732,3.297152,0.060012,-0.061343,0.000005,6.766547,0.135363,4.866654,2377,high
0.002748,-5.887886,-11.62165,-15.38118,-0.164044,31.87953,-21.23022,-1.622408,25.87273,29.73655,30.22289,-13.85456,-12.51304,0.009074,0.000019,0.040844,1.442433,6.067174,0.545041,1538,11.75647,-3.351132,0.002867,0.637986,6.179513,7.115231,4.709984,767,3.252156,3.811899,3.425996,3.159132,7.344599,3.24127,1758,2.99481,0.049425,-0.043981,0.000002,9.562809,0.07692,4.138854,1773,high
0.024489,3.426849,1.69258,-12.30536,0.475575,23.65709,-10.87307,6.375716,19.0974,32.73666,27.99011,-21.97178,-15.24478,0.018149,-0.000005,0.058321,1.507094,8.41286,0.52973,758,4.443358,-2.065204,0.00017,0.397268,3.54417,5.025651,3.491724,837,3.472236,3.694723,3.140125,3.013755,6.14054,2.875506,1986,2.90795,0.016092,-0.024138,0.000003,4.42007,0.094163,3.64502,2818,high
0.003792,-9.947953,-10.18069,-16.14564,3.325184,38.16176,-22.77789,-7.781094,71.31364,35.6835,35.70751,-19.28532,-24.86067,0.016939,0.000003,0.07168,4.778609,31.70399,0.730629,2591,71.95618,-4.423208,-0.004753,0.377509,8.932569,9.009142,6.366356,2,3.891896,4.857009,4.241361,3.912579,7.840809,4.022455,2932,3.517538,0.107986,-0.079371,0.000005,50.29634,0.130754,5.317557,2032,high
0.066036,-2.655344,-2.126554,-14.50518,3.144778,32.73892,-16.50601,-0.257919,22.58564,42.27715,36.71608,-27.05898,-21.05427,0.016334,-0.000001,0.134349,1.878415,11.07238,0.605753,816,5.580342,-3.166521,-0.000701,0.732393,4.750608,8.527394,4.567059,2670,3.694829,4.370996,3.8085,3.603653,7.920732,3.229136,84,3.613036,0.074955,-0.096007,0.000029,6.354033,0.102126,5.364226,2911,high
0.061091,-4.396737,-6.154998,-12.74436,-1.155355,28.96885,-16.47625,0.586413,21.47483,40.60289,30.75423,-16.54575,-11.90879,0.024198,-0.000016,0.121617,1.703019,6.442451,0.684949,843,14.21394,-3.178027,-0.001187,0.43847,4.473361,6.208771,4.166775,943,3.230309,4.604235,3.901535,3.761998,7.37327,3.349742,1398,3.513923,0.059952,-0.057774,0.000014,9.469709,0.127657,5.164649,2464,high
0.012865,-9.9203,-9.051433,-20.66451,-4.564771,34.12766,-30.13537,-5.510358,34.48338,42.06297,37.56147,-26.04202,-22.3035,0.028433,0.000024,0.079138,1.436329,7.619539,0.775273,1883,6.136264,-3.347025,0.00227,0.503243,6.525622,7.679676,4.615241,1610,3.53946,3.880403,3.118268,4.37106,8.595798,3.354435,2456,3.823693,0.077919,-0.073866,0.000031,16.41039,0.112757,4.333363,2968,high
0.03569,-4.27263,-2.530816,-13.07096,-0.864967,24.44704,-11.85349,0.059168,20.48671,28.67098,31.50178,-17.43302,-16.07023,0.019359,0.000003,0.100014,2.120981,10.2401,0.656225,1599,7.222817,-2.81104,-0.00297,0.483482,4.286544,7.458126,4.337113,1347,3.629156,5.051862,3.851303,4.617421,8.383581,3.752345,1814,3.688758,0.049425,-0.063702,-0.000011,8.814105,0.134202,5.441072,2976,high
0.077817,-5.869477,-6.629197,-14.32701,3.349282,29.69554,-13.9477,0.939657,18.54778,36.15471,25.8523,-15.89203,-20.74533,0.009679,-0.000021,0.175013,0.523852,3.113844,0.604216,1591,13.14407,-2.954461,0.00088,0.414208,7.18068,8.838888,5.804238,2944,3.254567,3.897407,3.405725,3.891627,7.194221,3.253098,2512,3.061391,0.047489,-0.044949,-0.000047,5.790078,0.078499,5.160182,1537,high
0.027116,-2.321144,-2.163726,-25.80085,-1.552525,50.22832,-20.60613,2.473054,52.49488,42.98228,48.74686,-22.37674,-18.91664,0.00363,0.000004,0.080161,2.460617,12.46413,0.775842,2124,6.198371,-4.68308,-0.004521,1.57233,4.396914,9.731549,4.655884,796,3.337636,4.98323,3.261255,5.733163,11.15841,3.452126,113,3.396749,0.098246,-0.103085,0.000011,12.39754,0.153374,4.035558,2459,high
0.01191,-3.200812,-1.648493,-9.327619,-0.897012,24.67877,-18.83535,-5.651293,14.18877,32.15949,24.06061,-14.52578,-21.98731,0.014519,-0.000004,0.067255,2.668143,17.47053,0.481169,2217,15.047,-1.995499,-0.002298,0.407017,4.480145,4.189742,3.496821,2940,3.004865,2.803279,3.010501,4.202805,7.800261,3.540612,173,3.173659,0.029159,-0.03176,0.000002,9.804586,0.097278,4.387194,2079,high
0.002384,-13.19416,-13.36404,-8.938338,2.622887,30.87651,-26.36191,-4.763715,38.74515,39.1682,26.08336,-24.79573,-15.48655,0.008469,-0.000008,0.070956,0.552796,3.168728,0.640359,1678,8.442339,-1.960497,0.000593,0.255895,5.116074,5.232714,3.834519,1954,3.496399,3.596653,3.535969,3.384746,7.079533,3.338815,859,3.086941,0.020266,-0.01833,-0.000015,4.444615,0.094086,4.141243,2331,high
0.033639,4.932407,3.841239,-8.698163,-0.914406,27.21085,-10.79531,3.254328,12.28188,28.02617,26.64194,-10.95425,-14.66134,0.007864,-0.000002,0.052044,1.066157,4.351773,0.488011,2620,4.747707,-1.977761,-0.000036,0.351871,5.086786,4.927932,3.652567,67,3.35631,4.045195,3.361645,2.880328,5.916315,2.890437,514,3.317124,0.024924,-0.028494,-0.000016,4.633831,0.080302,3.825677,2953,high
0.012785,1.578815,1.718116,-14.98631,3.530268,42.72906,-18.05659,1.517913,22.37452,31.87229,36.43066,-27.2868,-14.7675,0.00605,0.000005,0.023086,3.597443,30.28331,0.705457,1658,20.09352,-3.45676,0.000207,0.451213,4.907032,8.531129,5.698422,98,3.78934,3.246232,3.479885,4.747868,8.833488,3.724393,576,3.455455,0.056866,-0.048639,0.000008,39.65575,0.127579,5.935232,2661,high
0.004112,-10.76953,-10.47155,-12.90255,0.710245,29.82343,-17.27994,-5.190072,22.33673,29.26207,28.3999,-21.80192,-27.66119,0.020569,-0.000002,0.085593,1.315089,5.925943,0.736165,34,38.91693,-2.056169,0.001221,0.467159,3.684734,5.116679,3.41501,895,3.225262,4.093651,3.202473,4.469133,7.781996,3.084707,21,3.37236,0.03049,-0.0268,-0.000019,4.814002,0.125209,3.999866,177,high
0.025187,-6.629048,-7.113855,-13.07868,-1.334145,26.23599,-17.69317,-1.168036,32.08605,36.81483,42.93892,-25.93886,-24.4524,0.058681,0.000006,0.137026,-0.098589,2.537983,0.671967,1291,6.298459,-1.47094,-0.000047,0.303833,3.755573,5.715266,3.905134,187,3.821677,4.303799,3.807282,3.854115,8.290415,3.310545,112,5.015218,0.028978,-0.029704,-0.000012,3.643668,0.136307,4.917605,165,high
0.031479,2.041733,1.48141,-11.22688,5.059181,42.16323,-20.80022,-1.606718,28.67315,37.24218,45.86635,-31.1033,-18.63213,0.007864,-0.000002,0.08304,0.956903,3.445287,0.784446,434,7.676767,-3.420219,-0.0037,0.479356,5.592555,7.457543,5.141073,582,3.937654,4.36817,3.63495,5.579595,10.05298,3.639544,324,4.285293,0.03902,-0.045251,0.000028,6.193137,0.117931,5.245335,635,high
0.021181,-4.740038,-4.062213,-10.24076,2.51074,31.84578,-13.76566,-1.520848,14.20277,26.00058,34.2239,-16.41941,-13.99328,0.010284,0.000001,0.071938,0.419389,3.043165,0.725292,2620,6.664402,-2.692787,-0.002589,0.41137,5.504795,6.976317,5.386094,2938,3.224721,3.881379,3.383618,4.557715,8.574369,3.618054,1225,3.102396,0.027344,-0.030188,0.000002,4.817778,0.109279,5.904459,339,high
