@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Volume numeric
@attribute mean_SpectralCentroid numeric
@attribute output {high,nothigh}

@data

0.539423,0.703084,641.8428,2.283164,0.073364,0.761395,704.2466,high
0.971297,0.981899,85.37434,0.755599,0.132974,0.684892,238.7532,high
0.727605,1.135712,113.9764,0.29029,0.015877,0.278058,568.4548,high
0.564389,1.233892,400.1663,1.022237,0.02462,0.910102,754.8105,high
0.687672,0.987965,570.5234,2.420217,0.030903,0.606749,513.3583,high
0.795737,0.86704,54.64462,0.147169,0.016928,0.256203,350.1024,high
0.485255,0.336482,292.2392,1.098791,0.026089,1.401191,641.0833,high
0.574137,1.266773,187.3398,0.448916,0.015947,0.385665,937.958,high
0.595044,0.849626,156.1775,1.435609,0.013812,0.370831,785.1568,high
0.548453,0.894777,436.9148,1.820903,0.020678,0.488894,1031.201,high
0.619983,1.068066,158.5644,0.682228,0.017753,0.571823,801.6331,high
0.552724,1.146331,195.2569,1.352417,0.009248,0.36119,1169.098,high
0.570972,0.593174,542.4607,1.566897,0.026416,0.845332,714.8155,high
0.658341,1.039617,213.5952,0.388414,0.034564,0.960538,442.6372,high
0.659406,1.242725,1018.177,2.383695,0.019182,1.535202,516.4409,high
1.097047,1.106616,92.8941,0.36221,0.143117,0.331271,303.578,high
1.090758,0.537519,115.3152,0.509984,0.186659,1.091237,241.2055,high
0.650221,1.121084,211.2747,0.689885,0.021908,0.399883,664.5389,high
0.49118,0.927661,138.0802,0.505164,0.009279,0.185442,1248.873,high
0.71647,0.855096,299.6992,1.52581,0.176711,1.40365,568.3709,high
0.685453,0.758444,84.66231,0.349451,0.024168,0.404236,535.9121,high
0.576846,0.888143,302.4542,1.376834,0.052334,0.475332,617.1582,high
0.55659,1.2279,101.8035,0.455723,0.007555,0.31867,861.9868,high
0.656418,1.046286,82.1672,0.539756,0.01374,0.394103,499.6062,high
1.219496,0.677186,89.30558,0.256095,0.441035,2.542833,177.4109,high
0.497991,0.492737,238.8754,1.688831,0.057332,0.498035,836.6431,high
0.777333,1.721504,743.9301,2.232665,0.131285,2.493382,461.9515,high
0.718443,1.244334,328.4405,1.329889,0.040448,1.354931,487.8511,high
1.05241,0.595498,114.0767,1.034366,0.1127,1.65829,206.2124,high
0.98455,1.001183,145.8956,0.58403,0.080708,0.901652,255.1501,high
0.576495,1.109225,191.8736,1.648874,0.034808,0.417768,810.7557,high
0.56687,0.89193,102.0008,0.407119,0.012201,0.296247,905.1544,high
0.538777,0.879343,339.9785,1.871077,0.017928,0.717538,900.7963,high
0.554373,0.906052,55.17236,0.295499,0.005728,0.236448,759.9834,high
0.519235,0.853545,390.6265,2.916274,0.027439,0.558407,920.8191,high
0.704892,1.204821,373.0719,1.315564,0.060103,0.824475,790.4742,high
0.603897,0.953618,92.94338,0.279776,0.04,0.493051,485.8277,high
0.646977,0.915585,293.9717,0.866185,0.053897,0.867995,432.1723,high
0.852127,0.878919,135.2019,0.952163,0.020251,1.416894,457.7131,high
0.594576,0.970183,184.9922,0.910796,0.027535,0.42598,620.668,high
0.602865,1.230878,168.2139,0.60926,0.028422,0.39235,718.608,high
0.64878,0.697001,165.1071,1.159171,0.010264,0.654967,754.1871,high
0.817492,1.100731,96.46214,0.580039,0.040297,0.825067,340.278,high
0.829165,1.031445,18.81484,0.106513,0.014371,0.137872,309.7985,high
0.588013,1.34966,170.1414,0.763734,0.014085,0.266226,1302.51,high
0.67067,1.333261,116.0594,1.029273,0.009412,0.211156,805.0373,high
0.621986,0.819312,54.36649,0.283831,0.012848,0.25149,547.9808,high
0.701826,1.245418,119.0734,0.543701,0.024895,0.336657,654.9283,high
1.082533,0.500364,63.17964,0.78632,0.180912,2.307142,210.7153,high
0.6356,1.211769,206.9065,0.807253,0.027798,0.697009,892.9016,high
0.755768,0.839629,342.7804,2.070733,0.090362,1.614504,743.4842,high
0.767578,0.603102,398.8359,1.501928,0.032416,0.796782,377.1318,high
0.66426,0.641899,510.5927,1.741064,0.098713,1.887053,457.6899,high
0.582763,0.958015,207.1684,0.657491,0.031417,0.424991,659.7693,high
0.718524,0.955749,429.4656,1.429323,0.024777,0.663562,650.58,high
0.547374,1.07804,28.41136,0.108919,0.001214,0.085907,1248.118,high
0.462972,0.355204,474.6548,1.326727,0.022651,0.42261,684.6783,high
0.584776,0.496727,229.2985,1.171241,0.028723,0.604221,544.3635,high
0.605145,1.409722,38.21201,0.262439,0.002785,0.124807,738.6747,high
0.758181,0.79957,122.8296,0.244096,0.064192,0.241757,444.2423,high
0.695493,1.165902,104.8713,0.672044,0.024741,0.550962,552.4757,high
0.562583,1.005554,162.9418,0.507051,0.010831,0.522139,812.4108,high
0.587648,0.96403,234.5766,0.722348,0.022868,0.971201,1062.665,high
0.666773,1.308721,209.5108,0.795596,0.024657,0.94116,654.8829,high
0.611456,1.037122,184.8532,1.023543,0.020533,0.487598,701.7576,high
0.776409,0.572869,116.2774,1.061143,0.096102,1.196846,503.3384,high
0.514034,1.433559,503.6048,1.90735,0.007429,0.390098,1145.916,high
0.662141,0.976598,382.2982,1.195829,0.084249,1.272415,910.2132,high
0.720684,0.695533,87.16301,0.360236,0.051325,0.581387,223.1218,high
0.552453,0.939049,215.5287,1.068867,0.022975,0.477859,1046.236,high
0.846136,0.659182,130.5234,0.580055,0.050606,0.412454,285.7746,high
0.718283,1.336298,143.8608,0.455474,0.044966,0.535804,529.992,high
0.611442,1.166113,62.73981,0.243991,0.019629,0.217673,588.4475,high
0.710585,1.012627,62.8291,0.147139,0.009262,0.18834,722.2082,high
0.449003,0.875919,167.9538,0.473908,0.017844,0.69681,786.5424,high
0.486633,1.09339,45.54233,0.185764,0.000328,0.08926,1918.108,high
0.669986,1.032055,589.6779,1.529155,0.093355,1.426797,642.0856,high
0.516443,1.085432,135.0754,0.595289,0.01135,0.479984,595.1123,high
1.019213,0.548788,43.69148,0.416338,0.165577,0.641592,162.0736,high
0.577014,1.039092,676.3798,2.289928,0.111834,2.006233,772.0347,high
0.596515,1.403817,670.9296,2.555828,0.009186,0.352686,843.0191,high
0.846397,0.646215,109.1324,0.670098,0.119206,1.41799,363.7179,high
0.57093,0.844748,169.0699,0.68307,0.02366,0.638539,826.5056,high
0.565055,0.877041,311.2442,1.356885,0.087452,1.869363,702.5452,high
0.82965,0.920467,2771.444,7.742378,0.069645,4.942109,375.4302,high
0.419241,0.860858,183.8068,0.588692,0.019875,0.172649,588.7673,high
0.54376,0.681941,218.1881,0.983118,0.021162,0.463598,600.4045,high
0.754437,0.568333,473.8091,0.989307,0.113873,3.057828,310.9625,high
0.622871,0.987032,193.6866,0.665911,0.042792,0.409983,628.0969,high
0.442828,1.313022,730.3002,1.725436,0.029437,1.388189,1009.605,high
0.509727,0.776406,58.61796,0.392642,0.008255,0.122684,1172.87,high
0.517127,1.273948,29.47961,0.174904,0.005286,0.128227,918.8404,high
0.583286,0.659669,339.4245,1.983152,0.036165,0.797628,604.5674,high
0.610025,0.425021,195.6898,0.582637,0.043366,0.997668,416.6789,high
0.537867,1.019952,267.8861,1.115739,0.020062,0.587928,884.0896,high
0.62822,0.31633,345.5881,1.645562,0.094979,2.697834,405.784,high
0.581606,0.950206,131.1126,0.634478,0.026247,0.297682,533.3324,high
0.562184,0.789613,430.4563,3.924668,0.033685,1.433139,997.6295,high
0.711057,0.968473,367.841,1.305773,0.015997,0.868141,580.9897,high
0.573359,0.77581,222.5744,1.354212,0.013477,0.359051,712.4848,high
0.697574,1.165233,158.469,0.416022,0.013164,0.758088,462.6294,high
0.550094,1.303576,76.72094,0.41713,0.004605,0.08316,840.4328,high
0.600537,0.82421,209.9204,1.055604,0.040503,0.441933,648.0649,high
0.702724,1.047047,229.1962,0.908228,0.055876,0.285858,673.4006,high
0.712924,1.423545,77.02627,0.255627,0.020389,0.277945,499.8288,high
0.54637,0.903505,314.7236,1.151587,0.011992,0.452997,1058.086,high
0.727319,0.571175,123.9371,0.758691,0.035216,0.377504,227.8568,high
0.49402,1.060527,356.0236,1.931331,0.03095,0.548489,867.1839,high
0.565756,0.819067,124.015,0.447934,0.027409,0.417821,604.2614,high
