@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_19 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_8 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_20 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_13 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_14 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_16 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_21 numeric
@attribute output {jazzy,notjazzy}

@data

-0.103901,8.69009,3.112107,0.640689,0.934199,0.029076,0.066415,0.066009,0.101869,0.104881,jazzy
0.928147,6.438026,3.896465,0.44859,0.847364,0.121479,0.079725,0.074533,0.077443,0.040279,jazzy
0.171115,7.620174,2.191528,0.444043,0.842947,0.115944,0.071509,0.06952,0.110987,0.069452,jazzy
1.747092,5.646268,5.177714,0.492379,0.804679,0.14897,0.074593,0.069845,0.106494,0.130424,jazzy
2.505092,4.876461,3.31324,0.410371,0.854053,0.098485,0.064187,0.060869,0.060226,0.034761,jazzy
2.176627,5.810825,3.458716,0.507384,1.019191,0.103077,0.05909,0.062022,0.07967,0.038511,jazzy
-0.392148,7.601086,2.967965,0.449499,0.781006,0.118819,0.077112,0.070236,0.059911,0.064393,jazzy
0.948469,6.319336,5.009832,0.529296,0.745507,0.151592,0.067734,0.068979,0.118481,0.092367,jazzy
0.246645,5.495012,4.317724,0.494755,0.810789,0.124356,0.064464,0.06691,0.145257,0.099226,jazzy
0.921848,5.617657,2.492835,0.452933,0.862991,0.094848,0.072243,0.076123,0.059432,0.046924,jazzy
0.633099,5.385364,2.510037,0.479422,0.872397,0.113733,0.06603,0.071048,0.08754,0.073465,jazzy
0.293358,8.619341,2.018312,0.481452,0.86064,0.115097,0.081253,0.076587,0.127365,0.093447,jazzy
0.982948,6.976995,4.28477,0.524865,0.712865,0.114434,0.066916,0.069331,0.10365,0.067018,jazzy
1.475932,5.516184,2.399213,0.434775,0.697787,0.091956,0.063267,0.0587,0.076171,0.044577,jazzy
0.595631,7.17151,2.126733,0.434137,0.784653,0.108411,0.079675,0.078548,0.090777,0.044894,jazzy
0.107127,5.980109,3.378767,0.503177,0.971377,0.149318,0.07767,0.072058,0.065553,0.070938,jazzy
0.537885,9.251053,3.167037,0.420834,0.938619,0.116145,0.074978,0.076959,0.071719,0.081766,jazzy
-0.02488,7.52713,4.12475,0.505141,0.996987,0.145175,0.067545,0.075988,0.073562,0.064512,jazzy
-0.469977,6.311065,2.921955,0.425399,0.756208,0.095709,0.06622,0.066971,0.080585,0.049422,jazzy
1.567793,4.926178,3.592768,0.36861,0.627822,0.110208,0.06374,0.066451,0.104588,0.107978,jazzy
1.375545,5.904294,4.080751,0.576178,1.026156,0.126947,0.082214,0.083839,0.076578,0.055052,jazzy
1.066127,5.918506,3.315017,0.460563,0.893364,0.11558,0.072657,0.07359,0.086413,0.068514,jazzy
-0.554521,6.262722,2.828641,0.45215,0.847463,0.131106,0.069102,0.072179,0.074651,0.042578,jazzy
0.751776,5.714169,3.779293,0.480835,0.770469,0.116845,0.075543,0.074574,0.072022,0.07485,jazzy
-1.317457,6.544437,3.386896,0.408844,0.800708,0.136407,0.066291,0.070831,0.10347,0.046552,jazzy
-0.380129,8.845086,2.991082,0.597221,0.958987,0.124673,0.070802,0.077988,0.118858,0.044836,jazzy
-0.769308,8.923231,3.065782,0.61663,0.864761,0.114264,0.071432,0.076939,0.094321,0.090123,jazzy
-1.317457,6.544437,3.386896,0.408844,0.800708,0.136407,0.066291,0.070831,0.10347,0.046552,jazzy
