@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mfcc_sma[2]_linregc2 numeric
@attribute mfcc_sma[2]_skewness numeric
@attribute mfcc_sma[2]_kurtosis numeric
@attribute mfcc_sma[5]_maxPos numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[10]_skewness numeric
@attribute mfcc_sma[10]_kurtosis numeric
@attribute pcm_zcr_sma_minPos numeric
@attribute pcm_zcr_sma_linregc1 numeric
@attribute mfcc_sma_de[3]_min numeric
@attribute mfcc_sma_de[3]_linregc1 numeric
@attribute mfcc_sma_de[5]_max numeric
@attribute mfcc_sma_de[5]_linregc2 numeric
@attribute mfcc_sma_de[8]_skewness numeric
@attribute mfcc_sma_de[9]_linregc1 numeric
@attribute pcm_zcr_sma_de_skewness numeric
@attribute output {jazzy,notjazzy}

@data

-10.70727,0.340735,2.696129,1235,3.037865,-0.700012,4.071138,2306,-0.000015,-3.566173,-0.000006,5.006955,0.002959,-0.021335,0.000003,0.549829,jazzy
2.925677,0.288603,2.84603,153,3.313575,-0.43314,3.626613,2368,0.000005,-3.275262,0,3.29634,-0.008823,-0.049404,-0.000001,0.236622,jazzy
-7.491571,0.762519,4.676112,2330,3.234491,0.498148,3.385852,2888,-0.000003,-3.104476,-0.000004,4.085567,0.018029,0.262577,-0.000001,1.369015,jazzy
6.296246,-0.134366,3.28689,1623,3.865005,0.050298,4.389174,227,0.000019,-5.092482,0.000006,4.219852,-0.002641,-0.038702,0.000002,0.479575,jazzy
8.772498,-1.443685,5.327465,2820,3.336632,-0.215893,3.034333,2825,-0.00001,-3.856129,0.000007,3.568336,-0.001896,0.168868,0,0.536682,jazzy
3.888774,-0.029317,2.585257,2614,2.977096,-0.200381,3.214458,2293,0.000001,-3.456676,0.000002,4.14774,0.003876,-0.152476,-0.000004,0.803184,jazzy
-7.662165,0.589382,3.657116,637,3.204434,-0.179306,2.9653,2901,0.000016,-5.324916,0,4.527741,0.003878,-0.126932,0.000004,-0.055034,jazzy
1.678415,0.018782,3.674185,77,3.527477,-0.242356,4.515655,768,-0.000002,-4.741153,-0.000009,4.933057,-0.005794,-0.398302,0.000005,-0.062309,jazzy
-1.008375,-0.363937,2.742509,703,3.703571,0.777482,5.276232,2928,0.000002,-3.523265,-0.000003,5.120056,-0.000475,0.274798,0.000006,0.377522,jazzy
3.765486,-0.271803,3.204069,2022,3.087619,0.020916,3.112982,2626,-0.000002,-4.484214,-0.000005,3.354185,0.00948,0.099847,0.000008,0.155565,jazzy
-0.359149,-0.082349,3.336231,599,3.359388,-0.310744,2.95657,1801,0.000004,-3.158526,-0.000007,3.419198,-0.004575,-0.114744,0.000006,2.028355,jazzy
-3.352973,-0.685395,3.676607,1567,3.046055,0.783155,4.295319,1229,0.000011,-2.764317,-0.000004,3.622962,-0.016969,-0.035557,0.000006,0.400533,jazzy
3.806356,0.467924,2.757116,2940,3.544237,0.447838,4.300096,698,0.000021,-4.14071,0.000005,4.071435,0.002573,0.265005,-0.000006,-0.250584,jazzy
2.483629,-0.173826,2.736831,2102,2.904366,-0.00137,2.95493,1281,-0.000003,-2.952945,0.000001,3.908262,-0.001902,-0.217706,0,0.411368,jazzy
-2.623055,0.306325,2.731091,2051,3.412386,-0.097461,2.789017,1761,-0.000002,-4.305504,0.000004,2.697945,-0.008502,0.101769,0.000002,0.213792,jazzy
-3.187797,0.287719,3.439873,1281,3.187964,-0.083851,2.738793,2963,0.000009,-4.690883,0.000004,4.59195,-0.008639,-0.174818,0.000007,0.304747,jazzy
-5.083708,0.418317,4.318187,2896,3.454795,-0.468217,3.083868,2441,0.000011,-4.881619,0.000007,4.203502,0.004176,0.215595,0.000008,0.508904,jazzy
-8.974176,-0.180459,3.050239,2646,3.479108,0.171674,2.903533,1775,-0.000001,-4.269369,0,4.115962,-0.001675,-0.037598,0.000007,0.481132,jazzy
-4.2739,-0.914153,4.233088,2294,3.333384,-0.388699,3.664206,2219,0.000003,-3.347679,-0.000001,3.16942,0.010113,-0.041405,0.000003,0.434154,jazzy
-0.86921,-0.666755,2.350689,2963,3.829243,0.443185,4.469983,72,-0.000003,-5.378832,-0.000004,3.525783,0.00468,0.016715,-0.000004,-0.146906,jazzy
1.971501,-0.603739,2.736585,548,3.434297,-0.067151,3.594949,2113,-0.000001,-3.425611,-0.000002,4.437667,0.002522,0.203223,-0.000003,0.593479,jazzy
3.868911,-0.27915,2.936893,848,3.381993,-0.237706,2.803129,713,0.000017,-3.330014,0.000007,3.89915,-0.00258,0.064714,-0.000001,0.416784,jazzy
-4.263486,-0.092903,3.06649,1729,3.510839,0.214852,3.263377,912,-0.000003,-2.741985,0.000002,4.389885,-0.002856,-0.264107,0.000008,-0.152792,jazzy
1.043417,0.12882,3.99529,531,3.341485,-0.018671,2.876796,901,-0.000002,-4.683098,0,4.649515,0.000151,-0.035904,0.000011,0.015556,jazzy
-6.131784,0.276887,2.784492,696,2.694255,0.10396,2.828352,2916,0.000001,-4.143525,-0.000002,5.76043,0.001841,0.120985,-0.000001,-0.446036,jazzy
-9.291711,-0.059704,2.850653,1662,3.013447,0.038944,2.8533,1549,-0.000022,-4.474784,0.000001,4.207204,0.008601,0.050218,-0.000001,-0.430344,jazzy
-11.51213,0.19564,2.480913,2287,2.821844,-0.051621,3.284931,2099,-0.000013,-3.216832,0.000002,4.043769,-0.01603,0.251418,0.000005,-0.095271,jazzy
-6.131784,0.276887,2.784492,696,2.694255,0.10396,2.828352,2916,0.000001,-4.143525,-0.000002,5.76043,0.001841,0.120985,-0.000001,-0.446036,jazzy
-2.300912,0.117074,1.506247,2310,2.815365,0.13857,2.784633,0,0.000002,-2.890902,0.000015,4.933131,-0.003827,0.367999,0.000003,0.254779,jazzy
0.495655,0.731987,4.856883,1036,3.001552,-0.330879,3.024864,816,0.00002,-2.897196,0.000004,3.102631,0.009453,0.266289,-0.000003,-0.129954,jazzy
-13.04703,-0.039011,2.297605,1698,4.076616,0.110964,3.679576,2424,0.000014,-3.964983,0,3.927116,-0.005788,-0.055945,-0.000001,-0.038677,jazzy
-4.055043,-0.537139,2.622466,905,3.448385,0.358267,3.401845,654,0.000003,-5.451232,0.000007,4.996699,-0.003425,0.181331,-0.000001,-0.167858,jazzy
14.75403,-0.760221,2.599864,2880,3.125989,0.158237,3.302325,1280,0.000022,-5.08958,0,4.427059,-0.013569,0.225581,0,-0.670895,jazzy
1.002667,0.100411,3.318033,494,2.963112,0.354992,3.006931,733,-0.000011,-2.99026,0.000007,4.072711,-0.003525,0.292838,-0.000006,-0.152009,jazzy
3.792191,-0.182967,2.962676,927,3.563581,0.483247,3.51018,419,0.000015,-4.378998,0.000002,3.483866,0.000255,0.136747,-0.000002,-0.350165,jazzy
0.137608,-0.497272,2.689518,1798,3.239914,-0.226786,3.590915,2291,-0.000003,-3.479844,0,3.869564,0.009803,-0.183121,0.000015,0.280872,jazzy
-17.5148,0.212506,2.608089,703,2.874146,-0.151482,2.908991,1078,-0.000001,-3.860313,-0.000002,3.883461,0.001675,-0.032008,0.000002,0.710192,jazzy
2.719094,-0.089719,2.493346,1078,3.052776,-0.207228,3.23681,318,0.000004,-4.316924,0.000005,6.286355,0.005228,-0.105895,0.000002,-0.057019,jazzy
3.197076,-0.54782,2.803284,97,2.652746,-0.193774,2.619536,2405,0.000008,-4.663562,-0.000002,3.573832,0.005371,-0.381014,-0.000003,0.213079,jazzy
-2.523155,0.126824,2.932526,1835,3.883998,0.057111,3.181667,2980,-0.000013,-4.345284,0.000004,4.48113,-0.001613,0.44524,0.000002,0.660958,jazzy
-2.578306,-0.165079,3.40191,2353,2.911643,-0.662878,3.348404,2565,0.00001,-3.023314,0.000001,4.488887,0.002759,0.120189,-0.000008,-0.442199,jazzy
-4.728538,0.192132,2.480266,2779,3.145314,1.001849,5.39901,1695,0.00001,-5.494813,-0.000006,4.180028,-0.003908,0.178785,-0.000008,0.619103,jazzy
1.47609,-0.22359,2.798578,707,3.04163,-0.186839,2.717867,2748,0.000001,-4.545408,-0.000004,3.560277,0.005147,-0.050592,-0.000004,0.361898,jazzy
-4.263958,-0.73284,3.799139,2411,3.24905,-0.22962,4.403344,2518,-0.000008,-5.859445,0.000007,5.248218,-0.000848,0.380891,0.000009,0.425584,jazzy
4.646093,-0.462658,3.407713,334,4.102172,0.412986,3.666485,1815,-0.000014,-4.713789,-0.000006,4.907059,-0.006076,0.12829,0.000001,-0.697151,jazzy
-3.418177,-0.629469,3.558726,2281,3.107625,-0.091454,3.129437,2381,0.000026,-3.795442,0.000007,3.59534,0.009368,-0.243951,-0.000003,-0.452347,jazzy
-11.20472,-0.41757,2.971562,2428,2.99824,0.082016,2.600001,2885,0.000003,-4.174946,0,3.870852,-0.000056,0.099064,0.000004,-0.029816,jazzy
