% Created by psymatrix_2_arff.pl
@relation arff_file/psysound.arff
@attribute mean_Loudness real
@attribute std_Loudness real
@attribute mean_SharpnessA real
@attribute std_SharpnessA real
@attribute mean_SharpnessZ real
@attribute std_SharpnessZ real
@attribute mean_Spectral_Dissonance(HK) real
@attribute std_Spectral_Dissonance(HK) real
@attribute mean_Spectral_Dissonance(S) real
@attribute std_Spectral_Dissonance(S) real
@attribute mean_Timbral_Width real
@attribute std_Timbral_Width real
@attribute mean_Tonal_Dissonance(HK) real
@attribute std_Tonal_Dissonance(HK) real
@attribute mean_Tonal_Dissonance(S) real
@attribute std_Tonal_Dissonance(S) real
@attribute mean_Volume real
@attribute std_Volume real
@attribute mean_Pure_Tonal real
@attribute std_Pure_Tonal real
@attribute mean_Complex_Tonal real
@attribute std_Complex_Tonal real
@attribute mean_Multiplicity real
@attribute std_Multiplicity real
@attribute mean_SpectralCentroid real
@attribute std_SpectralCentroid real
@attribute output {jazzy,notjazzy}


@data
8.112255e+01,6.178005e+00,1.612316e+00,4.115304e-01,5.240694e-01,8.840746e-01,1.063620e-01,4.978186e+01,4.280085e+00,5.867565e+02,2.299809e+00,3.743126e-02,2.783535e-02,8.047983e-02,1.640294e-04,2.109263e-02,4.095241e+03,4.051237e-01,0.000000e+00,8.701731e-01,8.783351e-02,0.000000e+00,1.130471e-01,3.371400e-03,1.435583e+03,5.727182e+05,jazzy
8.071830e+01,4.875517e+00,1.333104e+00,8.103400e-01,1.241190e+00,8.977431e-01,1.415866e-01,1.203442e+02,6.284940e+00,8.409202e+02,1.640119e+00,1.731921e-02,6.101765e-02,6.405340e-01,2.612224e-04,1.633314e-02,1.496435e+04,9.417817e-01,0.000000e+00,9.713715e-01,1.618616e-01,0.000000e+00,2.782743e-02,2.142659e-03,4.525185e+02,4.718526e+04,jazzy
6.312561e+01,4.131831e+00,1.277160e+00,6.964420e-01,5.335040e-01,8.848828e-01,8.236962e-02,6.260399e+01,5.744202e+00,2.694789e+02,1.190951e+00,3.543526e-02,8.990998e-02,8.220153e-02,3.307002e-04,6.886950e-03,2.593409e+03,7.694883e-01,0.000000e+00,8.368842e-01,8.280523e-02,0.000000e+00,1.366000e-01,2.864277e-03,5.158002e+02,1.942374e+05,jazzy
5.555565e+01,3.947788e+00,1.246872e+00,1.185350e+00,6.856872e-01,8.761169e-01,3.137132e-02,3.267950e+01,6.016758e+00,3.855137e+02,1.710988e+00,5.398820e-02,4.652437e-01,2.803946e-01,8.042797e-04,1.848066e-03,1.719571e+03,2.325371e+00,0.000000e+00,9.174434e-01,1.021548e-01,0.000000e+00,7.579146e-02,2.261118e-03,3.649553e+02,1.924253e+05,jazzy
1.066838e+02,7.137543e+00,1.619931e+00,6.128240e-01,1.761069e+00,8.971929e-01,5.520422e-02,1.363463e+01,5.425002e+00,6.492035e+02,1.236365e+00,1.460273e-02,2.279925e-02,9.169859e-01,1.391416e-04,8.754014e-03,4.021283e+02,9.755897e-01,0.000000e+00,9.813582e-01,1.548323e-01,0.000000e+00,1.830648e-02,2.526419e-03,8.949139e+02,1.802519e+05,jazzy
7.304100e+01,5.425224e+00,1.492333e+00,8.470378e-01,1.030367e+00,9.007264e-01,5.574909e-02,2.403410e+01,5.141596e+00,3.663555e+02,1.265338e+00,1.541589e-02,7.038671e-02,3.566187e-01,1.906266e-04,7.293441e-03,5.610351e+02,4.713700e-01,0.000000e+00,8.501997e-01,1.109046e-01,0.000000e+00,1.274450e-01,4.266219e-03,5.463430e+02,1.347635e+05,jazzy
8.731121e+01,5.017959e+00,1.340294e+00,7.518071e-01,1.176837e+00,8.940449e-01,6.581264e-02,2.858073e+01,6.350960e+00,3.404670e+02,1.094909e+00,2.267650e-02,2.715665e-02,1.812271e-01,2.161373e-04,8.448398e-03,2.142010e+03,6.461135e-01,0.000000e+00,8.941411e-01,1.181000e-01,0.000000e+00,9.471582e-02,3.596100e-03,7.297290e+02,4.520864e+05,jazzy
5.754395e+01,3.574767e+00,1.153719e+00,1.171584e+00,8.535556e-01,8.831833e-01,4.290437e-02,3.979175e+01,6.750889e+00,4.290712e+02,8.631014e-01,1.936622e-02,2.921117e-01,4.803444e-01,4.554962e-04,4.965711e-03,3.694256e+03,1.578773e+00,0.000000e+00,9.260985e-01,9.382488e-02,0.000000e+00,6.848563e-02,2.377874e-03,2.322376e+02,2.133633e+04,jazzy
6.332812e+01,3.755793e+00,1.175680e+00,8.747794e-01,7.689926e-01,8.809320e-01,5.378974e-02,4.262820e+01,6.730330e+00,5.422685e+02,1.669501e+00,3.817032e-02,1.966837e-01,2.752627e-01,3.498330e-04,3.880109e-03,2.102440e+03,1.905747e+00,0.000000e+00,8.568575e-01,1.004624e-01,0.000000e+00,1.227344e-01,4.296558e-03,4.016248e+02,8.797068e+04,jazzy
5.559410e+01,4.112012e+00,1.326152e+00,7.988608e-01,5.490124e-01,8.926518e-01,7.762804e-02,4.328670e+01,5.430584e+00,9.373229e+01,4.918851e-01,2.247889e-02,1.430388e-01,1.903679e-01,2.431614e-04,5.731763e-03,1.631575e+03,7.210300e-01,0.000000e+00,7.969374e-01,9.135140e-02,0.000000e+00,1.619360e-01,3.804482e-03,2.541572e+02,4.949929e+04,jazzy
