@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_13 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_14 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_14 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_21 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_15 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_16 numeric
@attribute output {jazzy,notjazzy}

@data

0.210633,0.438545,3.907336,0.378873,0.449945,0.067633,0.068958,0.158055,0.103835,0.043213,0.184543,0.194648,jazzy
0.537885,0.437753,3.167037,0.420834,0.625984,0.074978,0.076959,0.071067,0.081766,0.034079,0.176317,0.188559,jazzy
2.176627,0.565806,3.458716,0.507384,0.589517,0.05909,0.062022,0.063721,0.038511,0.022708,0.179573,0.187858,jazzy
0.423983,0.516672,3.693553,0.409349,0.501384,0.071275,0.074216,0.106182,0.079196,0.022157,0.173795,0.186924,jazzy
2.482706,0.4353,2.866634,0.401274,0.60817,0.060796,0.063503,0.095938,0.079321,0.040781,0.183242,0.194173,jazzy
1.100105,0.581873,2.952507,0.422509,0.543551,0.063493,0.061467,0.061132,0.077467,0.03286,0.176504,0.190365,jazzy
1.747092,0.374655,5.177714,0.492379,0.718795,0.074593,0.069845,0.093548,0.130424,0.024641,0.179193,0.190527,jazzy
0.595631,0.577766,2.126733,0.434137,0.549321,0.079675,0.078548,0.099826,0.044894,0.025764,0.177882,0.189682,jazzy
1.066127,0.529945,3.315017,0.460563,0.619814,0.072657,0.07359,0.090022,0.068514,0.034367,0.183405,0.191515,jazzy
0.740823,0.552161,6.357143,0.633757,0.629803,0.082154,0.07361,0.102364,0.112425,0.039211,0.182474,0.193134,jazzy
1.028975,0.528565,4.288822,0.475123,0.633043,0.076857,0.074669,0.098281,0.110544,0.030341,0.179994,0.190125,jazzy
0.293358,0.507814,2.018312,0.481452,0.608282,0.081253,0.076587,0.11664,0.093447,0.051846,0.18643,0.195652,jazzy
0.26427,0.617371,3.65399,0.498001,0.579324,0.076774,0.076617,0.087376,0.062845,0.03409,0.172702,0.185606,jazzy
1.375545,0.425278,4.080751,0.576178,0.70245,0.082214,0.083839,0.077715,0.055052,0.023944,0.179588,0.190838,jazzy
0.964649,0.525636,2.976071,0.360945,0.580013,0.073969,0.078604,0.075306,0.045798,0.027984,0.177252,0.190368,jazzy
0.948469,0.525972,5.009832,0.529296,0.669128,0.067734,0.068979,0.103068,0.092367,0.0249,0.181541,0.192667,jazzy
-1.317457,0.535875,3.386896,0.408844,0.552079,0.066291,0.070831,0.100057,0.046552,0.031109,0.180062,0.190828,jazzy
1.78283,0.552681,4.977484,0.521238,0.520367,0.072233,0.075283,0.067056,0.048572,0.02192,0.178285,0.188071,jazzy
-0.769308,0.526876,3.065782,0.61663,0.595826,0.071432,0.076939,0.099586,0.090123,0.038336,0.167358,0.17611,jazzy
-0.338982,0.4497,3.782129,0.414842,0.56335,0.068907,0.068493,0.090146,0.107857,0.027665,0.17101,0.186712,jazzy
1.567793,0.440632,3.592768,0.36861,0.617388,0.06374,0.066451,0.090463,0.107978,0.05722,0.183576,0.193717,jazzy
-0.110529,0.555989,3.428899,0.41007,0.567359,0.064601,0.064986,0.068696,0.054765,0.028806,0.175302,0.186946,jazzy
2.903182,0.505149,3.276226,0.400198,0.44592,0.055671,0.056906,0.150771,0.204033,0.039134,0.186079,0.197737,jazzy
-0.380129,0.479727,2.991082,0.597221,0.543344,0.070802,0.077988,0.106557,0.044836,0.048107,0.174487,0.186083,jazzy
2.505092,0.642696,3.31324,0.410371,0.55722,0.064187,0.060869,0.059923,0.034761,0.024804,0.183913,0.193449,jazzy
0.199817,0.52403,3.300681,0.487233,0.541947,0.074994,0.077927,0.072109,0.083045,0.023007,0.173453,0.183517,jazzy
0.982948,0.51567,4.28477,0.524865,0.585515,0.066916,0.069331,0.127754,0.067018,0.035768,0.180672,0.191943,jazzy
-0.421504,0.670115,2.534623,0.459886,0.418976,0.082702,0.084337,0.102142,0.098279,0.023863,0.176711,0.194142,jazzy
-0.469977,0.625933,2.921955,0.425399,0.602922,0.06622,0.066971,0.06598,0.049422,0.045906,0.171082,0.178491,jazzy
0.928147,0.5199,3.896465,0.44859,0.504221,0.079725,0.074533,0.091563,0.040279,0.028046,0.177246,0.187882,jazzy
-0.554521,0.608141,2.828641,0.45215,0.575629,0.069102,0.072179,0.071323,0.042578,0.033975,0.181235,0.192891,jazzy
0.683591,0.518051,3.722328,0.515356,0.614869,0.070026,0.079579,0.073945,0.037036,0.028643,0.180314,0.187616,jazzy
0.633099,0.579932,2.510037,0.479422,0.459331,0.06603,0.071048,0.101309,0.073465,0.021251,0.179918,0.19075,jazzy
0.734852,0.413951,3.916408,0.655021,0.640682,0.063882,0.063917,0.115395,0.051646,0.022843,0.179096,0.191156,jazzy
0.107127,0.54881,3.378767,0.503177,0.627157,0.07767,0.072058,0.067894,0.070938,0.028139,0.177794,0.191123,jazzy
0.246645,0.502329,4.317724,0.494755,0.557846,0.064464,0.06691,0.142718,0.099226,0.027701,0.178786,0.189904,jazzy
0.751776,0.507644,3.779293,0.480835,0.543308,0.075543,0.074574,0.076865,0.07485,0.032159,0.178596,0.188745,jazzy
-0.413263,0.600797,2.354835,0.458515,0.617472,0.058234,0.064776,0.066896,0.061783,0.032765,0.183502,0.195272,jazzy
0.375058,0.47788,4.598681,0.488362,0.584058,0.078915,0.083769,0.090878,0.068835,0.026175,0.172666,0.186513,jazzy
1.475932,0.625573,2.399213,0.434775,0.553061,0.063267,0.0587,0.080806,0.044577,0.015658,0.184298,0.193617,jazzy
-3.175468,0.632676,2.955461,0.471395,0.49664,0.073814,0.069816,0.06495,0.101457,0.02512,0.176745,0.189882,jazzy
-0.103901,0.53842,3.112107,0.640689,0.549392,0.066415,0.066009,0.119738,0.104881,0.041646,0.154585,0.158202,jazzy
-1.317457,0.535875,3.386896,0.408844,0.552079,0.066291,0.070831,0.100057,0.046552,0.031109,0.180062,0.190828,jazzy
-0.02488,0.294568,4.12475,0.505141,0.683277,0.067545,0.075988,0.079061,0.064512,0.032165,0.179118,0.191015,jazzy
-0.392148,0.617575,2.967965,0.449499,0.500603,0.077112,0.070236,0.061219,0.064393,0.023952,0.174026,0.187505,jazzy
0.171115,0.464772,2.191528,0.444043,0.511746,0.071509,0.06952,0.089919,0.069452,0.029074,0.173991,0.189107,jazzy
1.387412,0.567903,4.209131,0.453031,0.571953,0.073714,0.07199,0.069182,0.054566,0.025731,0.182056,0.190399,jazzy
1.033517,0.492024,4.39222,0.569406,0.646467,0.06733,0.067277,0.077366,0.073424,0.026035,0.180408,0.190862,jazzy
1.920479,0.495647,4.278014,0.436121,0.676187,0.068861,0.069657,0.077179,0.057567,0.022196,0.179214,0.191971,jazzy
-0.368969,0.605063,1.592731,0.466424,0.550203,0.07433,0.07432,0.085455,0.045792,0.030746,0.178773,0.189365,notjazzy
-0.619199,0.5934,2.80601,0.508029,0.610902,0.070372,0.06618,0.07119,0.033594,0.039015,0.175698,0.186656,notjazzy
-0.310468,0.552277,4.862696,0.459749,0.610323,0.104237,0.100632,0.080044,0.047674,0.04667,0.180614,0.187633,notjazzy
2.307057,0.556805,5.05597,0.40047,0.554556,0.067069,0.070148,0.092642,0.064279,0.021463,0.180712,0.19093,notjazzy
0.775202,0.590083,2.649229,0.483688,0.543139,0.070415,0.066963,0.080646,0.032404,0.028843,0.179578,0.188456,notjazzy
-0.36915,0.573128,2.069749,0.381241,0.513543,0.081029,0.071776,0.06445,0.043693,0.023228,0.176933,0.186562,notjazzy
0.705233,0.508139,3.952994,0.471203,0.569982,0.077568,0.072833,0.06044,0.044086,0.018694,0.179427,0.192564,notjazzy
0.992871,0.515707,4.676874,0.47987,0.650652,0.079078,0.071921,0.088434,0.08288,0.023361,0.179579,0.19016,notjazzy
-0.491048,0.531301,3.083358,0.46148,0.617087,0.076302,0.076128,0.084469,0.037411,0.032094,0.172776,0.186213,notjazzy
-0.491048,0.531301,3.083358,0.46148,0.617087,0.076302,0.076128,0.084469,0.037411,0.032094,0.172776,0.186213,notjazzy
0.363504,0.519254,3.236902,0.467205,0.606698,0.083478,0.087308,0.055716,0.051659,0.021404,0.181374,0.192992,notjazzy
0.363504,0.519254,3.236902,0.467205,0.606698,0.083478,0.087308,0.055716,0.051659,0.021404,0.181374,0.192992,notjazzy
-1.330406,0.561096,3.930524,0.487382,0.571466,0.072686,0.073592,0.077312,0.043873,0.031271,0.174052,0.18466,notjazzy
0.255145,0.613097,3.452236,0.397783,0.556668,0.06717,0.066822,0.075721,0.075529,0.018268,0.180389,0.19161,notjazzy
0.00361,0.633374,2.86779,0.435679,0.506983,0.086555,0.084525,0.064905,0.039039,0.034259,0.177486,0.185069,notjazzy
0.00361,0.633374,2.86779,0.435679,0.506983,0.086555,0.084525,0.064905,0.039039,0.034259,0.177486,0.185069,notjazzy
0.694084,0.518196,3.122766,0.40733,0.56521,0.075094,0.087778,0.064775,0.039264,0.019142,0.176608,0.190359,notjazzy
-0.637377,0.529232,4.369531,0.419261,0.454587,0.073827,0.071754,0.070403,0.057961,0.039441,0.181608,0.191504,notjazzy
-0.637377,0.529232,4.369531,0.419261,0.454587,0.073827,0.071754,0.070403,0.057961,0.039441,0.181608,0.191504,notjazzy
-1.75124,0.578638,2.472647,0.476946,0.551467,0.076207,0.070359,0.082697,0.178124,0.042168,0.170128,0.185912,notjazzy
0.777338,0.499822,2.42137,0.389907,0.521665,0.072681,0.069506,0.056975,0.05255,0.026354,0.178077,0.186133,notjazzy
0.777338,0.499822,2.42137,0.389907,0.521665,0.072681,0.069506,0.056975,0.05255,0.026354,0.178077,0.186133,notjazzy
-0.51674,0.61926,2.368073,0.475752,0.514682,0.076687,0.070462,0.082665,0.049893,0.033933,0.179456,0.188803,notjazzy
-0.51674,0.61926,2.368073,0.475752,0.514682,0.076687,0.070462,0.082665,0.049893,0.033933,0.179456,0.188803,notjazzy
-0.51674,0.61926,2.368073,0.475752,0.514682,0.076687,0.070462,0.082665,0.049893,0.033933,0.179456,0.188803,notjazzy
-0.113014,0.597308,1.459419,0.365988,0.482053,0.059346,0.056846,0.077407,0.094899,0.016868,0.169802,0.189072,notjazzy
0.691982,0.513991,3.707199,0.417924,0.526385,0.072256,0.072059,0.08546,0.142951,0.025589,0.181042,0.18918,notjazzy
0.919007,0.529276,2.842946,0.414134,0.403487,0.075714,0.065454,0.077265,0.143233,0.021554,0.181739,0.190825,notjazzy
-0.138577,0.528512,1.919484,0.453836,0.580946,0.077895,0.074416,0.063251,0.045135,0.02077,0.181937,0.193311,notjazzy
0.554596,0.507275,3.570577,0.482706,0.47705,0.089011,0.085701,0.087801,0.285514,0.037078,0.177738,0.183695,notjazzy
0.554596,0.507275,3.570577,0.482706,0.47705,0.089011,0.085701,0.087801,0.285514,0.037078,0.177738,0.183695,notjazzy
0.554596,0.507275,3.570577,0.482706,0.47705,0.089011,0.085701,0.087801,0.285514,0.037078,0.177738,0.183695,notjazzy
0.753521,0.569539,2.434194,0.455223,0.55175,0.073527,0.074029,0.084805,0.048453,0.026477,0.178575,0.18932,notjazzy
-0.397619,0.609954,4.789478,0.524798,0.563759,0.080901,0.084008,0.095786,0.038612,0.038951,0.176621,0.188233,notjazzy
0.424226,0.502124,2.502251,0.500376,0.434385,0.076442,0.081913,0.06885,0.068804,0.019596,0.180883,0.191051,notjazzy
0.424226,0.502124,2.502251,0.500376,0.434385,0.076442,0.081913,0.06885,0.068804,0.019596,0.180883,0.191051,notjazzy
0.424226,0.502124,2.502251,0.500376,0.434385,0.076442,0.081913,0.06885,0.068804,0.019596,0.180883,0.191051,notjazzy
-0.452295,0.536707,2.794302,0.506484,0.551652,0.07608,0.075257,0.063544,0.050495,0.034503,0.177458,0.187759,notjazzy
-0.076535,0.599728,2.542908,0.400128,0.409332,0.076166,0.064168,0.08863,0.150933,0.018731,0.176771,0.189981,notjazzy
-0.076535,0.599728,2.542908,0.400128,0.409332,0.076166,0.064168,0.08863,0.150933,0.018731,0.176771,0.189981,notjazzy
-0.076535,0.599728,2.542908,0.400128,0.409332,0.076166,0.064168,0.08863,0.150933,0.018731,0.176771,0.189981,notjazzy
-1.317457,0.535875,3.386896,0.408844,0.552079,0.066291,0.070831,0.100057,0.046552,0.031109,0.180062,0.190828,notjazzy
-1.317457,0.535875,3.386896,0.408844,0.552079,0.066291,0.070831,0.100057,0.046552,0.031109,0.180062,0.190828,notjazzy
-0.963616,0.460344,2.636006,0.489293,0.612066,0.086861,0.088968,0.083197,0.144253,0.029262,0.170797,0.184283,notjazzy
-0.963616,0.460344,2.636006,0.489293,0.612066,0.086861,0.088968,0.083197,0.144253,0.029262,0.170797,0.184283,notjazzy
-0.216116,0.463842,2.340021,0.510862,0.529088,0.066144,0.062766,0.052246,0.139868,0.02712,0.175866,0.191134,notjazzy
0.563285,0.56844,2.530807,0.440199,0.47437,0.069869,0.07277,0.10228,0.107311,0.049968,0.17532,0.185672,notjazzy
0.563285,0.56844,2.530807,0.440199,0.47437,0.069869,0.07277,0.10228,0.107311,0.049968,0.17532,0.185672,notjazzy
-0.351955,0.585406,3.028668,0.371932,0.54324,0.068701,0.066377,0.093536,0.160361,0.020022,0.179112,0.188294,notjazzy
