@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast_arff_file/psysound.arff'

@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_13 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_14 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_14 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_21 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_15 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_16 numeric
@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {jazzy,notjazzy}

@data
0.210633,0.438545,3.907336,0.378873,0.449945,0.067633,0.068958,0.158055,0.103835,0.043213,0.184543,0.194648,56.70247,2.724938,0.982214,0.728427,0.434024,0.851869,0.040456,59.24251,8.028365,693.5154,0.917911,0.022222,0.238653,0.076077,0.000449,0.001716,2385.576,1.042009,0,0.892144,0.108636,0,0.096287,0.002958,433.8612,48483.68,jazzy
0.537885,0.437753,3.167037,0.420834,0.625984,0.074978,0.076959,0.071067,0.081766,0.034079,0.176317,0.188559,53.09016,4.535868,1.48717,0.478236,0.248377,0.8704,0.059267,65.53266,3.839292,326.5884,1.623843,0.036011,0.015829,0.02388,0.00035,0.003312,2369.08,0.346651,0,0.639814,0.082652,0,0.230606,0.005744,853.1522,595165.1,jazzy
2.176627,0.565806,3.458716,0.507384,0.589517,0.05909,0.062022,0.063721,0.038511,0.022708,0.179573,0.187858,73.041,5.425224,1.492333,0.847038,1.030367,0.900726,0.055749,24.0341,5.141596,366.3555,1.265338,0.015416,0.070387,0.356619,0.000191,0.007293,561.0351,0.47137,0,0.8502,0.110905,0,0.127445,0.004266,546.343,134763.5,jazzy
0.423983,0.516672,3.693553,0.409349,0.501384,0.071275,0.074216,0.106182,0.079196,0.022157,0.173795,0.186924,90.90984,5.552406,1.377686,0.766716,1.136349,0.898897,0.161693,153.8654,6.262597,1347.985,5.289197,0.06829,0.083299,0.317196,0.000106,0.014484,14911.47,0.548247,0,0.838216,0.097315,0,0.135701,0.003828,538.899,141981.1,jazzy
2.482706,0.4353,2.866634,0.401274,0.60817,0.060796,0.063503,0.095938,0.079321,0.040781,0.183242,0.194173,56.77335,3.905362,1.247836,0.848575,0.364448,0.863674,0.04601,53.62759,5.964696,942.1707,2.075688,0.039561,0.221515,0.102926,0.000697,0.00388,1668.015,2.047451,0,0.843542,0.077018,0,0.132067,0.002221,377.0502,173065.5,jazzy
1.100105,0.581873,2.952507,0.422509,0.543551,0.063493,0.061467,0.061132,0.077467,0.03286,0.176504,0.190365,73.31422,4.656441,1.334273,0.809647,0.741037,0.890487,0.080763,32.08258,5.772159,549.4745,1.523862,0.028263,0.086187,0.112329,0.000144,0.009976,943.7415,0.971549,0,0.908123,0.116255,0,0.083492,0.003699,572.6045,141362,jazzy
1.747092,0.374655,5.177714,0.492379,0.718795,0.074593,0.069845,0.093548,0.130424,0.024641,0.179193,0.190527,55.55565,3.947788,1.246872,1.18535,0.685687,0.876117,0.031371,32.6795,6.016758,385.5137,1.710988,0.053988,0.465244,0.280395,0.000804,0.001848,1719.571,2.325371,0,0.917443,0.102155,0,0.075791,0.002261,364.9553,192425.3,jazzy
0.595631,0.577766,2.126733,0.434137,0.549321,0.079675,0.078548,0.099826,0.044894,0.025764,0.177882,0.189682,81.41171,5.039143,1.354981,0.664062,1.150942,0.899754,0.110382,74.69828,5.985539,67.17412,0.180799,0.003991,0.024358,0.165902,0.000101,0.009304,4342.626,0.173105,0,0.978695,0.12649,0,0.020865,0.002197,415.0356,15189.37,jazzy
1.066127,0.529945,3.315017,0.460563,0.619814,0.072657,0.07359,0.090022,0.068514,0.034367,0.183405,0.191515,67.09276,4.558291,1.341389,0.755269,0.797101,0.894024,0.069037,55.6042,5.74728,450.9565,1.417234,0.031701,0.149291,0.377612,0.000192,0.005448,3334.976,1.039514,0,0.86751,0.106211,0,0.115013,0.004463,424.8607,188710.1,jazzy
0.740823,0.552161,6.357143,0.633757,0.629803,0.082154,0.07361,0.102364,0.112425,0.039211,0.182474,0.193134,152.9257,8.243353,1.52051,0.779904,3.036085,0.884619,0.050245,30.30431,7.424224,5975.598,15.16677,0.079583,0.195109,3.539508,0.000913,0.006288,2341.251,5.581272,0,0.890147,0.125903,0,0.097851,0.003647,598.2125,297266.8,jazzy
