@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_maxPos numeric
@attribute mfcc_sma[1]_kurtosis numeric
@attribute mfcc_sma[2]_linregc2 numeric
@attribute mfcc_sma[2]_skewness numeric
@attribute mfcc_sma[2]_kurtosis numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[8]_amean numeric
@attribute mfcc_sma[10]_skewness numeric
@attribute pcm_zcr_sma_linregc1 numeric
@attribute voiceProb_sma_linregc1 numeric
@attribute voiceProb_sma_linregerrQ numeric
@attribute mfcc_sma_de[3]_linregc1 numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[8]_range numeric
@attribute mfcc_sma_de[8]_skewness numeric
@attribute output {jazzy,notjazzy}

@data

2296,4.497036,-2.300912,0.117074,1.506247,2.815365,-1.456373,0.13857,0.000002,-0.000001,0.031871,0.000015,4.029398,8.600372,0.367999,jazzy
2216,4.266455,-5.083708,0.418317,4.318187,3.454795,-8.226195,-0.468217,0.000011,-0.000013,0.032652,0.000007,4.775012,9.764397,0.215595,jazzy
1950,2.563129,3.888774,-0.029317,2.585257,2.977096,-3.678061,-0.200381,0.000001,-0.000028,0.005851,0.000002,3.015124,7.680286,-0.152476,jazzy
436,1.72464,-2.578306,-0.165079,3.40191,2.911643,-4.977676,-0.662878,0.00001,-0.000006,0.012868,0.000001,4.880867,7.408286,0.120189,jazzy
2170,4.390822,14.75403,-0.760221,2.599864,3.125989,0.289955,0.158237,0.000022,0.000128,0.043246,0,4.516989,7.573736,0.225581,jazzy
2323,3.262489,0.495655,0.731987,4.856883,3.001552,-7.398184,-0.330879,0.00002,-0.000021,0.010174,0.000004,3.316899,9.386104,0.266289,jazzy
2326,3.010977,6.296246,-0.134366,3.28689,3.865005,-0.948343,0.050298,0.000019,0.000021,0.028419,0.000006,4.053093,11.56757,-0.038702,jazzy
1468,2.524276,-2.623055,0.306325,2.731091,3.412386,-4.289308,-0.097461,-0.000002,0.000016,0.03062,0.000004,3.780783,6.50584,0.101769,jazzy
2546,2.361154,3.868911,-0.27915,2.936893,3.381993,1.627797,-0.237706,0.000017,-0.00001,0.033002,0.000007,3.83571,12.2279,0.064714,jazzy
2716,2.801556,-4.263958,-0.73284,3.799139,3.24905,-2.591688,-0.22962,-0.000008,-0.000018,0.040409,0.000007,5.455279,12.23863,0.380891,jazzy
2827,2.791501,2.719094,-0.089719,2.493346,3.052776,-0.370616,-0.207228,0.000004,-0.000006,0.036505,0.000005,4.020799,9.545801,-0.105895,jazzy
2984,2.641004,-3.352973,-0.685395,3.676607,3.046055,2.037781,0.783155,0.000011,0.000029,0.040221,-0.000004,3.595691,9.083888,-0.035557,jazzy
2854,3.481326,-2.523155,0.126824,2.932526,3.883998,-1.668474,0.057111,-0.000013,0,0.040824,0.000004,4.882536,12.07642,0.44524,jazzy
733,2.646302,1.971501,-0.603739,2.736585,3.434297,-9.741761,-0.067151,-0.000001,0.000016,0.037285,-0.000002,3.602634,11.21461,0.203223,jazzy
299,3.023516,1.002667,0.100411,3.318033,2.963112,-1.680428,0.354992,-0.000011,-0.000057,0.028425,0.000007,3.876918,9.621191,0.292838,jazzy
1861,2.877047,1.678415,0.018782,3.674185,3.527477,0.184054,-0.242356,-0.000002,-0.000038,0.042617,-0.000009,4.378574,12.20972,-0.398302,jazzy
2515,3.257377,-6.131784,0.276887,2.784492,2.694255,0.373228,0.10396,0.000001,0.000045,0.033234,-0.000002,4.415298,9.167118,0.120985,jazzy
1160,2.445592,3.601168,0.071158,2.238685,2.698272,-5.753661,0.062273,-0.000005,-0.000001,0.017366,-0.000001,4.294756,13.1857,0.093833,jazzy
559,2.906369,-11.51213,0.19564,2.480913,2.821844,-2.29768,-0.051621,-0.000013,-0.000025,0.053436,0.000002,3.542614,11.07136,0.251418,jazzy
1293,3.689538,-13.04703,-0.039011,2.297605,4.076616,-4.085551,0.110964,0.000014,0.00001,0.028756,0,3.713192,7.553725,-0.055945,jazzy
2761,2.448009,-0.86921,-0.666755,2.350689,3.829243,0.851272,0.443185,-0.000003,-0.000086,0.009582,-0.000004,3.34857,8.054362,0.016715,jazzy
1261,2.303573,-1.644415,0.254302,2.326515,2.949007,1.460718,0.090766,0.000011,-0.000008,0.010201,0.000003,3.57376,8.630116,0.002137,jazzy
1865,1.634222,16.98043,-1.001674,3.838789,2.971419,7.32704,0.165176,0.000024,-0.000137,0.031491,0.000008,2.953616,10.14762,-0.255594,jazzy
530,2.226605,-9.291711,-0.059704,2.850653,3.013447,-0.954866,0.038944,-0.000022,-0.000099,0.037,0.000001,4.285999,9.735773,0.050218,jazzy
2885,8.686703,8.772498,-1.443685,5.327465,3.336632,-2.584055,-0.215893,-0.00001,0.000026,0.015453,0.000007,3.286102,8.5118,0.168868,jazzy
2238,2.487536,-5.0002,0.769373,3.730903,2.887183,-6.776667,0.42661,-0.000003,-0.000041,0.029007,-0.000004,3.533582,8.805519,0.291805,jazzy
2629,2.825116,3.806356,0.467924,2.757116,3.544237,-6.306619,0.447838,0.000021,-0.000037,0.043967,0.000005,5.365745,9.632286,0.265005,jazzy
2543,4.258387,-3.933151,0.567968,2.827063,3.460172,0.253366,0.764372,-0.000009,-0.000062,0.024282,0.000003,3.650347,7.84642,-0.095524,jazzy
359,2.626113,-4.2739,-0.914153,4.233088,3.333384,-7.457415,-0.388699,0.000003,0.000002,0.014019,-0.000001,5.014404,7.853981,-0.041405,jazzy
2628,2.882414,2.925677,0.288603,2.84603,3.313575,-5.306828,-0.43314,0.000005,-0.000048,0.020322,0,4.612391,11.12955,-0.049404,jazzy
68,2.570909,-4.263486,-0.092903,3.06649,3.510839,2.211225,0.214852,-0.000003,0.000003,0.033373,0.000002,3.200639,9.395885,-0.264107,jazzy
1611,3.845361,3.792191,-0.182967,2.962676,3.563581,-0.040971,0.483247,0.000015,-0.000001,0.01103,0.000002,4.898006,7.927853,0.136747,jazzy
1172,4.936302,-0.359149,-0.082349,3.336231,3.359388,-2.244768,-0.310744,0.000004,0.000007,0.019496,-0.000007,3.891133,10.04698,-0.114744,jazzy
2837,2.786371,0.137608,-0.497272,2.689518,3.239914,-7.2799,-0.226786,-0.000003,-0.000023,0.046678,0,3.781187,10.46665,-0.183121,jazzy
2523,5.484829,-3.187797,0.287719,3.439873,3.187964,0.260725,-0.083851,0.000009,0.000007,0.033987,0.000004,3.483942,7.868765,-0.174818,jazzy
2628,2.179259,-1.008375,-0.363937,2.742509,3.703571,-4.661692,0.777482,0.000002,0,0.037665,-0.000003,5.656057,12.51106,0.274798,jazzy
636,3.348096,1.043417,0.12882,3.99529,3.341485,0.523591,-0.018671,-0.000002,0.000004,0.028534,0,4.252955,9.004983,-0.035904,jazzy
2674,3.360494,-3.418177,-0.629469,3.558726,3.107625,1.584317,-0.091454,0.000026,0.000006,0.015161,0.000007,3.647869,9.063387,-0.243951,jazzy
2028,2.532619,-4.055043,-0.537139,2.622466,3.448385,-8.499982,0.358267,0.000003,-0.000004,0.029548,0.000007,3.622467,12.07733,0.181331,jazzy
681,5.482929,2.483629,-0.173826,2.736831,2.904366,1.356623,-0.00137,-0.000003,0.000002,0.01109,0.000001,3.340955,8.20623,-0.217706,jazzy
1604,3.34002,-17.5148,0.212506,2.608089,2.874146,-2.048263,-0.151482,-0.000001,0.000013,0.015361,-0.000002,4.090499,8.348894,-0.032008,jazzy
2902,3.320712,-10.70727,0.340735,2.696129,3.037865,-2.585706,-0.700012,-0.000015,-0.000008,0.037979,-0.000006,4.045876,8.76045,-0.021335,jazzy
2515,3.257377,-6.131784,0.276887,2.784492,2.694255,0.373228,0.10396,0.000001,0.000045,0.033234,-0.000002,4.415298,9.167118,0.120985,jazzy
2475,3.680538,-8.974176,-0.180459,3.050239,3.479108,-4.861164,0.171674,-0.000001,-0.000007,0.047587,0,5.540951,11.74175,-0.037598,jazzy
2118,3.933256,-7.662165,0.589382,3.657116,3.204434,-0.686649,-0.179306,0.000016,0,0.012873,0,3.339523,8.919441,-0.126932,jazzy
2419,5.082109,-7.491571,0.762519,4.676112,3.234491,-3.911671,0.498148,-0.000003,-0.000027,0.025176,-0.000004,4.204212,11.44769,0.262577,jazzy
2436,3.667552,4.347251,-0.292821,2.750968,2.970339,-1.441446,0.275398,0.000002,0.000045,0.042387,0.000004,4.074234,12.47786,0.148966,jazzy
2825,2.609985,2.613867,0.16753,2.691053,3.097227,0.308622,0.341068,-0.000002,0.000005,0.028733,0.000004,5.026414,9.255018,-0.20646,jazzy
380,3.269436,4.646093,-0.462658,3.407713,4.102172,-1.443605,0.412986,-0.000014,-0.000034,0.028459,-0.000006,5.220522,8.752045,0.12829,jazzy
434,4.01722,-2.390993,0.270183,3.544645,3.021268,1.218188,0.067019,0.000009,0.000045,0.006962,0.000002,3.489116,6.476678,0.001938,notjazzy
1425,3.070674,-6.097003,-0.105892,2.422077,2.644611,1.212185,-0.215021,-0.000001,-0.00002,0.026107,0.000001,3.770637,10.56046,-0.062374,notjazzy
876,3.339885,-5.043816,-0.949196,5.131385,3.31,1.102471,-0.081072,-0.000008,-0.000024,0.01493,0.000004,4.055307,10.52066,-0.116259,notjazzy
1907,4.277267,7.174468,-0.837234,4.447561,2.801357,-1.641535,-0.490931,0,0.000032,0.025748,-0.000004,3.693075,10.70922,0.116729,notjazzy
2344,3.22956,-1.696051,-0.707246,3.492435,3.328796,-1.673092,0.309218,-0.000003,0.000016,0.023629,0.000005,3.812253,9.879854,0.159722,notjazzy
1983,2.490816,-3.842684,0.106545,2.854267,2.647996,-3.246008,0.213191,-0.000002,0.00004,0.013812,-0.000003,3.504433,6.309323,0.129598,notjazzy
893,8.807372,-2.047504,0.55953,4.940887,3.107666,-9.711082,0.205848,-0.000001,0.000018,0.019853,-0.000001,3.647298,9.45096,0.10074,notjazzy
1832,2.836837,2.446285,0.287572,3.579068,3.248742,-0.652639,-0.173853,0.000001,0.000015,0.030137,-0.000002,3.670996,10.16085,0.026671,notjazzy
2401,3.483085,-3.954368,0.43407,5.981363,2.584547,3.088574,-0.028557,-0.000011,0.000004,0.026734,0.000003,3.260605,10.45944,-0.036219,notjazzy
2401,3.483085,-3.954368,0.43407,5.981363,2.584547,3.088574,-0.028557,-0.000011,0.000004,0.026734,0.000003,3.260605,10.45944,-0.036219,notjazzy
2621,5.108,-5.597293,0.450072,3.531836,2.802546,-9.062325,-0.038875,0.00001,-0.000035,0.017053,0.000005,3.686633,8.559256,-0.138278,notjazzy
2621,5.108,-5.597293,0.450072,3.531836,2.802546,-9.062325,-0.038875,0.00001,-0.000035,0.017053,0.000005,3.686633,8.559256,-0.138278,notjazzy
1089,3.264723,-4.655708,0.634466,3.289158,3.282468,-1.164788,-0.393078,0.000004,0.000025,0.017893,0.000005,3.906416,8.770981,0.036171,notjazzy
2167,2.884068,-0.10008,0.453877,3.355424,3.058179,1.028313,0.145608,0.000002,-0.000017,0.013745,0.000009,3.177183,7.814015,-0.083286,notjazzy
821,4.606447,-0.71524,-0.365057,3.029593,3.722619,0.269177,0.339116,-0.000005,0.000022,0.014654,-0.000003,4.06406,9.294396,-0.102503,notjazzy
821,4.606447,-0.71524,-0.365057,3.029593,3.722619,0.269177,0.339116,-0.000005,0.000022,0.014654,-0.000003,4.06406,9.294396,-0.102503,notjazzy
2011,3.935148,-0.272589,0.141955,3.3054,2.617434,-1.014169,-0.115903,0.000004,0.000005,0.020024,0,4.034453,7.600701,-0.125553,notjazzy
738,3.594167,-4.386868,0.036316,3.029082,2.455632,3.61461,-0.189051,-0.000004,0.000004,0.018148,-0.000002,4.513761,11.66312,0.086919,notjazzy
738,3.594167,-4.386868,0.036316,3.029082,2.455632,3.61461,-0.189051,-0.000004,0.000004,0.018148,-0.000002,4.513761,11.66312,0.086919,notjazzy
1420,3.3329,-10.30414,1.190971,4.925101,4.030111,2.375896,0.200501,-0.000015,-0.000026,0.033233,0.000003,4.3749,9.302358,-0.003315,notjazzy
919,2.945356,-1.003475,0.022558,3.743844,3.045564,-3.321582,-0.135855,-0.000005,-0.000004,0.018337,-0.000004,4.013698,8.095562,0.136951,notjazzy
919,2.945356,-1.003475,0.022558,3.743844,3.045564,-3.321582,-0.135855,-0.000005,-0.000004,0.018337,-0.000004,4.013698,8.095562,0.136951,notjazzy
2077,3.834136,-7.228828,0.397519,3.131262,2.651528,3.969009,0.033189,-0.000014,-0.000005,0.041892,0.000002,3.19937,8.679211,0.01572,notjazzy
2077,3.834136,-7.228828,0.397519,3.131262,2.651528,3.969009,0.033189,-0.000014,-0.000005,0.041892,0.000002,3.19937,8.679211,0.01572,notjazzy
2077,3.834136,-7.228828,0.397519,3.131262,2.651528,3.969009,0.033189,-0.000014,-0.000005,0.041892,0.000002,3.19937,8.679211,0.01572,notjazzy
1731,5.405993,-8.822045,1.072666,3.565534,4.520105,-0.644039,-0.378794,-0.000011,0.000126,0.017575,-0.000001,3.280634,7.051246,0.043243,notjazzy
516,2.858531,-3.608697,0.84471,3.26082,2.818356,-5.572009,0.367367,-0.000004,0.000009,0.026415,-0.000012,4.54072,8.471275,-0.082472,notjazzy
725,4.188633,-5.812531,0.053721,2.54181,2.607605,-7.577711,0.045668,-0.000007,-0.000027,0.018078,0.000002,4.69505,11.64029,0.09373,notjazzy
1633,2.950397,-2.94243,0.217532,3.628674,2.778466,-0.696468,-0.102206,-0.000002,0.000017,0.016131,-0.000001,4.049454,7.537832,0.103027,notjazzy
2210,2.512837,-4.812574,0.175868,3.457412,2.566194,-3.798614,-0.318876,0.000002,0.000008,0.031533,-0.000012,4.150721,10.76336,-0.149398,notjazzy
2210,2.512837,-4.812574,0.175868,3.457412,2.566194,-3.798614,-0.318876,0.000002,0.000008,0.031533,-0.000012,4.150721,10.76336,-0.149398,notjazzy
2210,2.512837,-4.812574,0.175868,3.457412,2.566194,-3.798614,-0.318876,0.000002,0.000008,0.031533,-0.000012,4.150721,10.76336,-0.149398,notjazzy
2604,3.639793,-1.574112,0.234828,3.840066,3.149863,-2.515323,-0.052347,0.000007,-0.000014,0.01868,-0.000003,3.876305,8.721694,0.19153,notjazzy
497,3.262567,-3.275273,-0.065547,2.854403,3.375888,0.240267,-0.150211,-0.000004,-0.000011,0.028312,-0.000014,4.226706,10.21447,0.028339,notjazzy
2434,3.416381,-1.244572,0.331622,3.253504,2.503488,5.912946,-0.085713,0.000003,-0.000026,0.017978,-0.000007,3.811481,7.264065,-0.065338,notjazzy
2434,3.416381,-1.244572,0.331622,3.253504,2.503488,5.912946,-0.085713,0.000003,-0.000026,0.017978,-0.000007,3.811481,7.264065,-0.065338,notjazzy
