@relation arff_file/psysound.arff

@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {jazzy,notjazzy}

@data

56.70247,2.724938,0.982214,0.728427,0.434024,0.851869,0.040456,59.24251,8.028365,693.5154,0.917911,0.022222,0.238653,0.076077,0.000449,0.001716,2385.576,1.042009,0,0.892144,0.108636,0,0.096287,0.002958,433.8612,48483.68,jazzy
53.09016,4.535868,1.48717,0.478236,0.248377,0.8704,0.059267,65.53266,3.839292,326.5884,1.623843,0.036011,0.015829,0.02388,0.00035,0.003312,2369.08,0.346651,0,0.639814,0.082652,0,0.230606,0.005744,853.1522,595165.1,jazzy
73.041,5.425224,1.492333,0.847038,1.030367,0.900726,0.055749,24.0341,5.141596,366.3555,1.265338,0.015416,0.070387,0.356619,0.000191,0.007293,561.0351,0.47137,0,0.8502,0.110905,0,0.127445,0.004266,546.343,134763.5,jazzy
90.90984,5.552406,1.377686,0.766716,1.136349,0.898897,0.161693,153.8654,6.262597,1347.985,5.289197,0.06829,0.083299,0.317196,0.000106,0.014484,14911.47,0.548247,0,0.838216,0.097315,0,0.135701,0.003828,538.899,141981.1,jazzy
56.77335,3.905362,1.247836,0.848575,0.364448,0.863674,0.04601,53.62759,5.964696,942.1707,2.075688,0.039561,0.221515,0.102926,0.000697,0.00388,1668.015,2.047451,0,0.843542,0.077018,0,0.132067,0.002221,377.0502,173065.5,jazzy
73.31422,4.656441,1.334273,0.809647,0.741037,0.890487,0.080763,32.08258,5.772159,549.4745,1.523862,0.028263,0.086187,0.112329,0.000144,0.009976,943.7415,0.971549,0,0.908123,0.116255,0,0.083492,0.003699,572.6045,141362,jazzy
55.55565,3.947788,1.246872,1.18535,0.685687,0.876117,0.031371,32.6795,6.016758,385.5137,1.710988,0.053988,0.465244,0.280395,0.000804,0.001848,1719.571,2.325371,0,0.917443,0.102155,0,0.075791,0.002261,364.9553,192425.3,jazzy
81.41171,5.039143,1.354981,0.664062,1.150942,0.899754,0.110382,74.69828,5.985539,67.17412,0.180799,0.003991,0.024358,0.165902,0.000101,0.009304,4342.626,0.173105,0,0.978695,0.12649,0,0.020865,0.002197,415.0356,15189.37,jazzy
67.09276,4.558291,1.341389,0.755269,0.797101,0.894024,0.069037,55.6042,5.74728,450.9565,1.417234,0.031701,0.149291,0.377612,0.000192,0.005448,3334.976,1.039514,0,0.86751,0.106211,0,0.115013,0.004463,424.8607,188710.1,jazzy
152.9257,8.243353,1.52051,0.779904,3.036085,0.884619,0.050245,30.30431,7.424224,5975.598,15.16677,0.079583,0.195109,3.539508,0.000913,0.006288,2341.251,5.581272,0,0.890147,0.125903,0,0.097851,0.003647,598.2125,297266.8,jazzy
56.62342,3.931272,1.275663,0.791387,0.536748,0.886532,0.108764,82.97818,5.63043,353.4616,1.283737,0.037826,0.080086,0.132069,0.000335,0.011666,9684.064,0.84823,0,0.750999,0.085891,0,0.187124,0.00457,415.3201,270145.6,jazzy
88.26042,5.771839,1.475545,0.533343,0.748805,0.893182,0.090053,62.01995,5.379165,483.715,2.07466,0.032695,0.029774,0.075115,0.000171,0.006339,2251.866,0.634344,0,0.922104,0.09851,0,0.071876,0.002525,695.1059,224446.4,jazzy
85.66546,5.785919,1.489267,0.615371,1.128513,0.896201,0.118527,72.29633,5.353416,435.8444,1.875137,0.035729,0.060538,0.381852,0.000205,0.012854,5170.808,0.647986,0,0.860186,0.116003,0,0.120346,0.00401,812.6103,319349.7,jazzy
79.18851,5.072819,1.388145,0.630852,0.878758,0.896237,0.069751,53.15044,5.65962,441.3963,1.142148,0.016905,0.073834,0.220415,0.000244,0.008871,3873.598,0.565803,0,0.832224,0.100274,0,0.13972,0.004766,468.8406,54332.68,jazzy
62.70412,4.071407,1.267113,0.91254,0.905616,0.891621,0.086081,67.27771,6.253234,155.0617,0.79933,0.025985,0.151445,0.337151,0.000234,0.005811,4526.26,1.229141,0,0.766977,0.104484,0,0.178842,0.005377,354.6911,86430.86,jazzy
57.54395,3.574767,1.153719,1.171584,0.853556,0.883183,0.042904,39.79175,6.750889,429.0712,0.863101,0.019366,0.292112,0.480344,0.000455,0.004966,3694.256,1.578773,0,0.926099,0.093825,0,0.068486,0.002378,232.2376,21336.33,jazzy
79.13048,4.736278,1.334113,0.669986,1.032055,0.889492,0.069013,39.45985,5.954416,589.6779,1.529155,0.024325,0.093355,0.498293,0.000162,0.006647,2284.232,1.426797,0,0.890147,0.122009,0,0.097851,0.003847,642.0856,134177.3,jazzy
65.0683,4.614803,1.373332,0.952909,0.899693,0.888559,0.102981,27.23244,5.405639,498.1113,1.6605,0.04395,0.392211,0.585096,0.000276,0.013868,858.6157,2.112787,0,0.94474,0.134266,0,0.052241,0.002826,567.0136,173105,jazzy
87.71217,6.239972,1.579423,0.429121,0.65406,0.879883,0.091331,49.30366,4.613521,671.281,3.736615,0.051963,0.027639,0.063472,0.000353,0.008529,2811.484,0.411655,0,0.904128,0.110389,0,0.086738,0.003334,1190.961,459319.4,jazzy
72.45953,4.75121,1.337425,0.650604,0.699084,0.877503,0.076639,49.44928,5.624558,559.5868,3.271689,0.066993,0.110349,0.095423,0.000273,0.008478,2757.345,1.128221,0,0.945406,0.122022,0,0.051648,0.003056,684.2174,294671.5,jazzy
53.23156,4.081171,1.305867,1.071415,0.726195,0.878297,0.028438,27.12163,5.974398,149.2392,1.147943,0.051616,0.222472,0.157673,0.000338,0.001907,1130.398,2.755362,0,0.926764,0.091476,0,0.067917,0.00238,291.1035,233025.5,jazzy
83.94033,5.689605,1.468593,0.661194,1.174467,0.897619,0.114773,54.57651,5.382962,393.1897,1.990806,0.037852,0.047985,0.280312,0.00013,0.014196,4045.616,0.746514,0,0.972703,0.108007,0,0.02657,0.002502,687.0414,257269,jazzy
68.94804,3.947284,1.116138,0.82965,0.920467,0.839763,0.103303,68.4449,7.595104,2771.444,7.742378,0.110413,0.069645,1.162801,0.002242,0.010278,2981.626,4.942109,0,0.873502,0.107823,0,0.11057,0.004025,375.4302,69983.49,jazzy
72.06974,5.121593,1.459994,0.539863,0.576348,0.885515,0.101819,77.91722,4.81791,429.6544,1.577786,0.031036,0.084058,0.114181,0.000361,0.011022,7265.684,1.014652,0,0.89747,0.101232,0,0.092079,0.003215,1013.918,380354.5,jazzy
