@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute std_SharpnessA numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute output {jazzy,notjazzy}

@data

0.728427,59.24251,0.238653,jazzy
0.478236,65.53266,0.015829,jazzy
0.847038,24.0341,0.070387,jazzy
0.766716,153.8654,0.083299,jazzy
0.848575,53.62759,0.221515,jazzy
0.809647,32.08258,0.086187,jazzy
1.18535,32.6795,0.465244,jazzy
0.664062,74.69828,0.024358,jazzy
0.755269,55.6042,0.149291,jazzy
0.779904,30.30431,0.195109,jazzy
0.791387,82.97818,0.080086,jazzy
0.533343,62.01995,0.029774,jazzy
0.615371,72.29633,0.060538,jazzy
0.630852,53.15044,0.073834,jazzy
0.91254,67.27771,0.151445,jazzy
1.171584,39.79175,0.292112,jazzy
0.669986,39.45985,0.093355,jazzy
0.952909,27.23244,0.392211,jazzy
0.429121,49.30366,0.027639,jazzy
0.650604,49.44928,0.110349,jazzy
1.071415,27.12163,0.222472,jazzy
0.661194,54.57651,0.047985,jazzy
0.82965,68.4449,0.069645,jazzy
0.539863,77.91722,0.084058,jazzy
0.612824,13.63463,0.022799,jazzy
0.722523,34.50455,0.078874,jazzy
0.654998,41.1044,0.086641,jazzy
0.718443,48.23072,0.040448,jazzy
0.584615,33.36593,0.030268,jazzy
0.81034,120.3442,0.061018,jazzy
0.599662,43.33709,0.025252,jazzy
0.878565,31.21806,0.140511,jazzy
0.688228,74.00348,0.026446,jazzy
0.597433,66.78295,0.084752,jazzy
0.662422,25.66266,0.042373,jazzy
0.874779,42.6282,0.196684,jazzy
0.782292,47.04501,0.083349,jazzy
0.535577,53.48871,0.015492,jazzy
0.817076,5.038738,0.161616,jazzy
0.901968,166.1819,0.159458,jazzy
0.632537,186.7383,0.015463,jazzy
0.41153,49.78186,0.027835,jazzy
0.669986,39.45985,0.093355,jazzy
0.438909,63.58064,0.029058,jazzy
0.751807,28.58073,0.027157,jazzy
0.696442,62.60399,0.08991,jazzy
0.738333,63.70254,0.097677,jazzy
1.067395,27.99628,0.385465,jazzy
0.87414,52.25584,0.108141,jazzy
0.57937,37.66644,0.00568,notjazzy
0.561277,44.15475,0.02468,notjazzy
0.904676,14.96793,0.135163,notjazzy
1.018827,33.43679,0.2855,notjazzy
0.667035,19.76825,0.030287,notjazzy
0.652828,96.6728,0.019052,notjazzy
0.713913,24.13971,0.0508,notjazzy
0.849902,21.97851,0.09876,notjazzy
0.564389,50.13089,0.02462,notjazzy
0.564389,50.13089,0.02462,notjazzy
0.688877,62.36436,0.033899,notjazzy
0.688877,62.36436,0.033899,notjazzy
0.635584,15.54126,0.026491,notjazzy
0.94968,28.58048,0.13324,notjazzy
0.570868,134.4754,0.014182,notjazzy
0.570868,134.4754,0.014182,notjazzy
0.673835,91.45646,0.044816,notjazzy
0.524445,16.89071,0.016456,notjazzy
0.524445,16.89071,0.016456,notjazzy
0.584468,194.6522,0.072378,notjazzy
0.592196,72.52674,0.020828,notjazzy
0.592196,72.52674,0.020828,notjazzy
0.524865,42.70353,0.046676,notjazzy
0.524865,42.70353,0.046676,notjazzy
0.524865,42.70353,0.046676,notjazzy
0.81673,102.7687,0.067407,notjazzy
0.677861,79.75022,0.091187,notjazzy
0.65412,148.7198,0.051342,notjazzy
0.541677,70.85562,0.010469,notjazzy
0.732322,170.6964,0.132639,notjazzy
0.732322,170.6964,0.132639,notjazzy
0.732322,170.6964,0.132639,notjazzy
0.611456,48.97509,0.020533,notjazzy
0.634031,22.26867,0.043126,notjazzy
0.525862,84.52229,0.045404,notjazzy
0.525862,84.52229,0.045404,notjazzy
0.525862,84.52229,0.045404,notjazzy
0.64882,34.56361,0.065257,notjazzy
0.602024,101.0439,0.026463,notjazzy
0.602024,101.0439,0.026463,notjazzy
0.602024,101.0439,0.026463,notjazzy
0.669986,39.45985,0.093355,notjazzy
0.669986,39.45985,0.093355,notjazzy
0.57045,85.31716,0.030078,notjazzy
0.57045,85.31716,0.030078,notjazzy
0.585946,86.04478,0.015978,notjazzy
0.516186,64.39119,0.02949,notjazzy
0.516186,64.39119,0.02949,notjazzy
0.736626,169.8052,0.055865,notjazzy
