@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_PeakRatio_Chroma_A numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_5 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_7 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_3 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_4 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_13 numeric
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_PeakRatio_Chroma_G numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_1 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_19 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_PeakRatio_Chroma_D# numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_19 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_5 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_15 numeric
@attribute Std_Acc1000_Mean_Mem40_LPCC_2 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_2 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_8 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_5 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_20 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_7 numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHistoHighBPM numeric
@attribute BeatHisto_MaxHPS numeric

@data

0.152146,0.000537,2.194874,2.79167,0.677962,0.544552,0.107476,0.468639,0.604246,1.978011,0.016362,0.000535,0.294608,0.49575,0.158259,0.032617,0.035937,1.114453,0.428467,0.274117,0.000378,0.194145,0.476331,1.359923,0.117523,0.119603,0.257349,1.19284,0.390554,0.145847,0.145088,0.15107,0.193621,0.041697,0.037863,0.041578,0.042404,0.039152,0.082174,41.700556,137.5,1.003887
0.075754,0.000187,2.533578,3.209686,0.700287,0.360681,0.103149,0.47711,0.606928,2.032261,0.041208,0.000145,0.2441,0.427736,0.117824,0.022342,0.023288,1.209556,0.698469,0.227184,0.000081,0.205865,0.607569,1.120433,0.15277,0.116095,0.259499,0.301853,0.583443,0.177329,0.190351,0.253717,0.21215,0.064872,0.061444,0.050203,0.059951,0.022456,0.09056,26.758754,139.75,1.003515
0.085733,0.000083,2.19763,2.979267,0.771925,0.489741,0.157106,0.389253,0.500893,2.017945,0.017952,0.000085,0.277891,0.379415,0.181642,0.030125,0.017504,1.232972,0.580666,0.294449,0.000041,0.189784,0.619622,2.036228,0.129655,0.128586,0.261251,1.13593,0.596134,0.108607,0.182886,0.278779,0.228781,0.047124,0.041723,0.049336,0.039192,0.032516,0.06896,16.214432,139.5,1.003076
0.09248,0.000156,2.597301,3.38887,0.694989,0.353684,0.143742,0.424997,0.566196,2.015215,0.04919,0.000107,0.303991,0.455051,0.143409,0.039535,0.023568,1.561319,0.733796,0.31474,0.000091,0.197508,0.715708,2.152174,0.141869,0.123177,0.266772,0.590063,0.778683,0.098317,0.188388,0.189886,0.345658,0.044736,0.052991,0.045421,0.044557,0.024357,0.085476,43.075259,151,1.0054
0.192785,0.000518,2.086747,2.814555,0.764593,0.543917,0.207203,0.48122,0.604625,2.019087,0.032264,0.000318,0.292743,0.448576,0.102716,0.028776,0.010681,0.625868,0.372266,0.173233,0.000133,0.188138,0.505894,0.686409,0.113987,0.092568,0.259774,0.464969,0.244305,0.106442,0.107176,0.140159,0.196785,0.043952,0.043798,0.038277,0.032207,0.029687,0.091567,55.082643,142.5,1.003012
0.042178,0.000119,2.358519,3.088269,0.803114,0.455349,0.105394,0.431421,0.555759,1.956961,0.010197,0.000115,0.260888,0.428455,0.155893,0.021088,0.009049,1.16683,1.013173,0.427327,0.000099,0.186469,0.529781,1.559698,0.099339,0.115561,0.261249,0.766779,0.516753,0.129076,0.187163,0.177105,0.22781,0.069313,0.039611,0.051285,0.029824,0.049924,0.076331,11.995348,146.5,1.003161
0.037228,0.000392,2.168455,2.938164,0.654563,0.471343,0.104682,0.440905,0.576489,1.987994,0.01061,0.000263,0.241647,0.399761,0.10794,0.025174,0.004936,0.84939,0.355764,0.313657,0.000097,0.254746,0.537595,0.846706,0.129457,0.091794,0.257137,0.489743,0.281639,0.130829,0.129856,0.192771,0.175735,0.06706,0.028261,0.041597,0.038637,0.025947,0.077272,43.40916,136.5,1.00572
0.133511,0.000403,2.079354,2.485178,0.661508,0.666174,0.061787,0.444305,0.587342,2.0076,0.002751,0.000287,0.285216,0.438002,0.144609,0.015615,0.002467,0.973864,0.448867,0.280668,0.000414,0.204419,0.537808,2.670204,0.118915,0.085613,0.2612,0.514711,0.384371,0.100153,0.135233,0.150674,0.220063,0.041963,0.034505,0.036601,0.035974,0.031442,0.077595,11.380364,124,1.002827
0.04846,0.000008,2.227793,2.990319,0.779818,0.545418,0.107569,0.42811,0.584055,1.981472,0.020555,0.000006,0.261572,0.392779,0.108194,0.018469,0.015318,1.131076,0.562713,0.492315,0.000007,0.178808,0.413589,1.120016,0.132134,0.113391,0.258574,0.555381,0.646857,0.128063,0.126007,0.218613,0.228545,0.061888,0.037645,0.051999,0.037721,0.032507,0.068488,4.600777,150,1.003418
0.180018,0.000154,2.024465,2.8922,0.758902,0.504161,0.192038,0.4689,0.583676,1.985236,0.024287,0.000104,0.262216,0.405045,0.146555,0.021997,0.024691,0.961963,0.44859,0.431454,0.000062,0.201637,0.604836,1.620772,0.118359,0.124245,0.266685,0.830484,0.398519,0.130841,0.11404,0.134569,0.169752,0.060636,0.033184,0.034202,0.041288,0.024505,0.074752,33.976714,159,1.002814
0.058861,0.000062,2.355959,2.958227,0.840373,0.349589,0.111495,0.352998,0.553487,1.946869,0.01504,0.000077,0.246049,0.431745,0.13314,0.026693,0.011893,1.657897,1.2171,0.884341,0.00009,0.204398,0.537977,1.199924,0.142249,0.093784,0.25704,1.129167,0.674337,0.162786,0.162745,0.250128,0.232001,0.064804,0.042233,0.049806,0.037744,0.042124,0.073181,7.799348,154.25,1.003009
0.242375,0.00001,2.229627,2.991467,0.76718,0.449723,0.184724,0.486025,0.637829,2.006399,0.072717,0.000005,0.283766,0.443441,0.127487,0.029049,0.037407,0.797318,0.456957,0.27265,0.000004,0.201923,0.4995,1.272926,0.105494,0.109248,0.26336,0.382597,0.393376,0.125932,0.171525,0.164461,0.200152,0.049873,0.036686,0.038453,0.041194,0.018224,0.08351,10.418605,139,1.003022
0.05216,0.00027,2.250804,3.18453,0.788712,0.430458,0.130946,0.423868,0.539706,2.016983,0.006595,0.000187,0.271161,0.422886,0.147473,0.019588,0.005538,1.111939,0.436007,0.347039,0.0001,0.18039,0.542922,2.486894,0.109865,0.108202,0.260366,1.229615,0.484786,0.112847,0.154366,0.246924,0.291777,0.050092,0.046478,0.045916,0.029494,0.026738,0.073331,35.205204,147,1.003587
0.138225,0.000002,2.457239,2.93415,0.754217,0.540482,0.151198,0.461671,0.592204,2.000645,0.037716,0.000002,0.260663,0.438652,0.129245,0.030406,0.033437,1.165329,0.970021,0.542663,0.000003,0.219477,0.642647,1.530209,0.106094,0.120765,0.258794,0.594959,0.647892,0.121364,0.188831,0.181958,0.203034,0.054041,0.039234,0.039016,0.033766,0.030813,0.079105,5.23356,142.5,1.003074
0.037029,0.000042,2.867213,3.364603,0.592733,0.429803,0.097884,0.372216,0.522215,2.050609,0.007008,0.000029,0.235981,0.38769,0.176379,0.019845,0.012801,1.207243,0.860618,0.63907,0.000029,0.265703,0.993929,2.540582,0.205904,0.1358,0.275847,1.002083,0.664677,0.139382,0.176385,0.208368,0.346699,0.069653,0.064118,0.04587,0.049119,0.049286,0.072269,4.857293,159,1.003241
0.153177,0.000208,2.206897,2.842659,0.744534,0.518465,0.166039,0.467922,0.603726,1.996849,0.043184,0.000137,0.297404,0.46375,0.136812,0.028992,0.026076,0.825829,0.387549,0.254528,0.000069,0.193349,0.513937,1.574072,0.109668,0.131947,0.258548,0.540445,0.482904,0.124717,0.117318,0.183879,0.203725,0.044679,0.042997,0.037984,0.039066,0.021276,0.07758,32.421093,154.25,1.002995
0.043151,0.000056,2.361139,3.469463,0.640961,0.374657,0.111975,0.402105,0.544794,1.977931,0.008468,0.00005,0.219671,0.356048,0.159463,0.021613,0.006437,1.475501,0.93281,0.55312,0.000031,0.254432,0.711963,1.418912,0.145969,0.12487,0.260195,0.702867,0.607204,0.159526,0.174925,0.301197,0.261128,0.080929,0.042849,0.047177,0.056727,0.031364,0.076834,7.123937,134,1.004454
0.094279,0.000257,2.226917,3.108387,0.77648,0.401926,0.165324,0.420409,0.524546,1.846553,0.015429,0.000099,0.293517,0.422196,0.116246,0.02632,0.024865,1.498046,1.06474,0.614883,0.000061,0.186479,0.636845,2.017319,0.1069,0.127266,0.242651,1.170649,0.625152,0.09052,0.154962,0.28592,0.273625,0.051598,0.044823,0.045934,0.043579,0.040647,0.066158,27.853732,134,1.003855
0.126885,0.000049,2.116311,2.840071,0.797226,0.508275,0.177173,0.44184,0.562551,1.995738,0.032913,0.000055,0.283931,0.419173,0.128463,0.03043,0.015852,0.767101,0.408728,0.229462,0.000013,0.173108,0.527956,1.435599,0.089328,0.104452,0.261464,0.401862,0.473406,0.10064,0.107911,0.18206,0.182107,0.044148,0.03338,0.042123,0.036702,0.026732,0.076249,33.085157,158,1.00478
0.131545,0.00025,2.216934,3.177913,0.775405,0.411645,0.171035,0.438114,0.592799,1.994462,0.04367,0.000166,0.291591,0.436358,0.12966,0.033239,0.028795,0.898068,0.719428,0.514621,0.000104,0.172947,0.585437,1.389432,0.105546,0.114268,0.262712,0.319513,0.429721,0.093347,0.156814,0.208187,0.177544,0.047288,0.039987,0.046406,0.049886,0.022816,0.081656,49.737255,120.25,1.004984
0.170916,0.000255,2.000101,2.694999,0.739068,0.583788,0.235026,0.450272,0.576204,1.935878,0.021693,0.000269,0.249791,0.327849,0.110665,0.032229,0.012302,0.661467,0.199354,0.19899,0.000063,0.201127,0.446295,0.836972,0.113018,0.098599,0.256251,0.45724,0.160096,0.129431,0.142682,0.1714,0.187758,0.049352,0.028382,0.041955,0.035271,0.022081,0.069527,56.08934,134,1.005717
