@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast_arff_file/psysound.arff-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_PeakRatio_Chroma_A numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_5 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_7 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_3 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_4 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_13 numeric
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_PeakRatio_Chroma_G numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_1 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_19 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_PeakRatio_Chroma_D# numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_19 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_5 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_15 numeric
@attribute Std_Acc1000_Mean_Mem40_LPCC_2 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_2 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_8 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_5 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_20 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_7 numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHistoHighBPM numeric
@attribute BeatHisto_MaxHPS numeric
@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.152146,0.000537,2.194874,2.79167,0.677962,0.544552,0.107476,0.468639,0.604246,1.978011,0.016362,0.000535,0.294608,0.49575,0.158259,0.032617,0.035937,1.114453,0.428467,0.274117,0.000378,0.194145,0.476331,1.359923,0.117523,0.119603,0.257349,1.19284,0.390554,0.145847,0.145088,0.15107,0.193621,0.041697,0.037863,0.041578,0.042404,0.039152,0.082174,41.700556,137.5,1.003887,58.14157,4.109714,1.276398,0.965898,0.743772,0.884049,0.092027,49.91409,5.686059,333.5941,1.287965,0.039329,0.27325,0.254858,0.000826,0.015265,3501.27,1.207641,0,0.934754,0.097955,0,0.06103,0.002341,346.8327,157739.8
0.075754,0.000187,2.533578,3.209686,0.700287,0.360681,0.103149,0.47711,0.606928,2.032261,0.041208,0.000145,0.2441,0.427736,0.117824,0.022342,0.023288,1.209556,0.698469,0.227184,0.000081,0.205865,0.607569,1.120433,0.15277,0.116095,0.259499,0.301853,0.583443,0.177329,0.190351,0.253717,0.21215,0.064872,0.061444,0.050203,0.059951,0.022456,0.09056,26.758754,139.75,1.003515,61.631,4.332186,1.31915,0.838019,0.759165,0.887478,0.073475,79.63881,5.910367,139.9172,1.382603,0.050744,0.147728,0.220206,0.000226,0.006212,4939.115,1.215834,0,0.934088,0.131757,0,0.061609,0.002733,415.5815,413839.1
0.085733,0.000083,2.19763,2.979267,0.771925,0.489741,0.157106,0.389253,0.500893,2.017945,0.017952,0.000085,0.277891,0.379415,0.181642,0.030125,0.017504,1.232972,0.580666,0.294449,0.000041,0.189784,0.619622,2.036228,0.129655,0.128586,0.261251,1.13593,0.596134,0.108607,0.182886,0.278779,0.228781,0.047124,0.041723,0.049336,0.039192,0.032516,0.06896,16.214432,139.5,1.003076,80.57826,4.300582,1.236469,0.643155,0.751653,0.877376,0.173029,194.3668,6.838033,649.8423,1.875812,0.032956,0.059404,0.117503,0.000232,0.021373,24381.75,1.25334,0,0.710386,0.088041,0,0.205875,0.004425,555.1334,65692.3
0.09248,0.000156,2.597301,3.38887,0.694989,0.353684,0.143742,0.424997,0.566196,2.015215,0.04919,0.000107,0.303991,0.455051,0.143409,0.039535,0.023568,1.561319,0.733796,0.31474,0.000091,0.197508,0.715708,2.152174,0.141869,0.123177,0.266772,0.590063,0.778683,0.098317,0.188388,0.189886,0.345658,0.044736,0.052991,0.045421,0.044557,0.024357,0.085476,43.075259,151,1.0054,68.79725,4.388993,1.325015,0.663292,0.648833,0.877611,0.042843,31.39178,5.784667,226.9056,1.151841,0.040064,0.107312,0.133827,0.000278,0.003871,1807.48,1.299162,0,0.740346,0.105712,0,0.192362,0.005103,610.6095,488611.9
0.192785,0.000518,2.086747,2.814555,0.764593,0.543917,0.207203,0.48122,0.604625,2.019087,0.032264,0.000318,0.292743,0.448576,0.102716,0.028776,0.010681,0.625868,0.372266,0.173233,0.000133,0.188138,0.505894,0.686409,0.113987,0.092568,0.259774,0.464969,0.244305,0.106442,0.107176,0.140159,0.196785,0.043952,0.043798,0.038277,0.032207,0.029687,0.091567,55.082643,142.5,1.003012,93.75712,5.903367,1.480899,0.622463,1.129208,0.904039,0.187661,94.20367,5.500811,92.15277,0.450884,0.009062,0.006547,0.08162,0.000078,0.019899,8070.297,0.168013,0,0.922104,0.112723,0,0.071876,0.002614,918.1073,118871.7
0.042178,0.000119,2.358519,3.088269,0.803114,0.455349,0.105394,0.431421,0.555759,1.956961,0.010197,0.000115,0.260888,0.428455,0.155893,0.021088,0.009049,1.16683,1.013173,0.427327,0.000099,0.186469,0.529781,1.559698,0.099339,0.115561,0.261249,0.766779,0.516753,0.129076,0.187163,0.177105,0.22781,0.069313,0.039611,0.051285,0.029824,0.049924,0.076331,11.995348,146.5,1.003161,51.80926,3.311112,1.146065,1.007969,0.5274,0.876026,0.052213,75.81034,6.151463,314.7426,0.597739,0.016261,0.127378,0.123339,0.000273,0.002925,4794.357,1.221237,0,0.932756,0.133877,0,0.062764,0.002495,326.3267,22438.6
0.037228,0.000392,2.168455,2.938164,0.654563,0.471343,0.104682,0.440905,0.576489,1.987994,0.01061,0.000263,0.241647,0.399761,0.10794,0.025174,0.004936,0.84939,0.355764,0.313657,0.000097,0.254746,0.537595,0.846706,0.129457,0.091794,0.257137,0.489743,0.281639,0.130829,0.129856,0.192771,0.175735,0.06706,0.028261,0.041597,0.038637,0.025947,0.077272,43.40916,136.5,1.00572,68.83015,4.480021,1.308212,0.918405,0.955,0.893537,0.042339,59.02267,6.141321,138.312,0.535826,0.013049,0.122516,0.345526,0.000207,0.002338,2397.659,0.496531,0,0.918775,0.127513,0,0.074677,0.002467,290.0979,13763.57
0.133511,0.000403,2.079354,2.485178,0.661508,0.666174,0.061787,0.444305,0.587342,2.0076,0.002751,0.000287,0.285216,0.438002,0.144609,0.015615,0.002467,0.973864,0.448867,0.280668,0.000414,0.204419,0.537808,2.670204,0.118915,0.085613,0.2612,0.514711,0.384371,0.100153,0.135233,0.150674,0.220063,0.041963,0.034505,0.036601,0.035974,0.031442,0.077595,11.380364,124,1.002827,46.72827,3.12111,1.104575,1.289617,0.663568,0.873301,0.117008,194.8171,6.789313,117.2829,0.160799,0.008975,0.100372,0.235517,0.000462,0.00792,12614.16,1.755585,0,0.979361,0.107115,0,0.020227,0.002288,118.3386,1288.759
0.04846,0.000008,2.227793,2.990319,0.779818,0.545418,0.107569,0.42811,0.584055,1.981472,0.020555,0.000006,0.261572,0.392779,0.108194,0.018469,0.015318,1.131076,0.562713,0.492315,0.000007,0.178808,0.413589,1.120016,0.132134,0.113391,0.258574,0.555381,0.646857,0.128063,0.126007,0.218613,0.228545,0.061888,0.037645,0.051999,0.037721,0.032507,0.068488,4.600777,150,1.003418,80.29394,4.470264,1.232452,0.85527,1.129512,0.886174,0.087725,125.6861,7.177057,1283.541,2.939899,0.043567,0.052338,0.563808,0.000361,0.006159,13318.29,2.311722,0,0.943409,0.140677,0,0.053424,0.002248,380.2016,188484.6
