@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast_arff_file/psysound.arff-weka.filters.unsupervised.attribute.Remove-Rlast_wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_PeakRatio_Chroma_A numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_5 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_7 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_3 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_4 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_13 numeric
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_PeakRatio_Chroma_G numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_1 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_19 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_PeakRatio_Chroma_D# numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_19 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_5 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_15 numeric
@attribute Std_Acc1000_Mean_Mem40_LPCC_2 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_2 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_8 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_5 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_20 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_7 numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHistoHighBPM numeric
@attribute BeatHisto_MaxHPS numeric
@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute pcm_RMSenergy_sma_max numeric
@attribute mfcc_sma[1]_max numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[3]_linregerrQ numeric
@attribute mfcc_sma[5]_linregc2 numeric
@attribute mfcc_sma[6]_min numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[9]_minPos numeric
@attribute mfcc_sma[9]_linregc2 numeric
@attribute mfcc_sma[9]_stddev numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute pcm_zcr_sma_max numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_linregc1 numeric
@attribute voiceProb_sma_amean numeric
@attribute voiceProb_sma_skewness numeric
@attribute pcm_RMSenergy_sma_de_max numeric
@attribute pcm_RMSenergy_sma_de_stddev numeric
@attribute mfcc_sma_de[1]_linregc1 numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[4]_kurtosis numeric
@attribute mfcc_sma_de[7]_minPos numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[8]_amean numeric
@attribute mfcc_sma_de[8]_kurtosis numeric
@attribute mfcc_sma_de[9]_min numeric
@attribute mfcc_sma_de[9]_skewness numeric
@attribute mfcc_sma_de[11]_linregerrQ numeric
@attribute mfcc_sma_de[11]_kurtosis numeric
@attribute pcm_zcr_sma_de_max numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_skewness numeric
@attribute output {lonely,notlonely}

@data
0.152146,0.000537,2.194874,2.79167,0.677962,0.544552,0.107476,0.468639,0.604246,1.978011,0.016362,0.000535,0.294608,0.49575,0.158259,0.032617,0.035937,1.114453,0.428467,0.274117,0.000378,0.194145,0.476331,1.359923,0.117523,0.119603,0.257349,1.19284,0.390554,0.145847,0.145088,0.15107,0.193621,0.041697,0.037863,0.041578,0.042404,0.039152,0.082174,41.700556,137.5,1.003887,58.14157,4.109714,1.276398,0.965898,0.743772,0.884049,0.092027,49.91409,5.686059,333.5941,1.287965,0.039329,0.27325,0.254858,0.000826,0.015265,3501.27,1.207641,0,0.934754,0.097955,0,0.06103,0.002341,346.8327,157739.8,0.085072,8.32605,-6.237522,25.53018,5.887562,-17.85023,-0.306051,693,-3.400656,4.49616,-5.322803,0.280097,0.047002,0.000013,0.408795,0.610824,0.021259,0.002627,-0.000001,-0.356622,4.973995,678,1.267173,-0.000033,3.63078,-5.486076,-0.048856,1.326228,4.187991,0.054507,0.000048,12.47155,-0.18545,lonely
0.075754,0.000187,2.533578,3.209686,0.700287,0.360681,0.103149,0.47711,0.606928,2.032261,0.041208,0.000145,0.2441,0.427736,0.117824,0.022342,0.023288,1.209556,0.698469,0.227184,0.000081,0.205865,0.607569,1.120433,0.15277,0.116095,0.259499,0.301853,0.583443,0.177329,0.190351,0.253717,0.21215,0.064872,0.061444,0.050203,0.059951,0.022456,0.09056,26.758754,139.75,1.003515,61.631,4.332186,1.31915,0.838019,0.759165,0.887478,0.073475,79.63881,5.910367,139.9172,1.382603,0.050744,0.147728,0.220206,0.000226,0.006212,4939.115,1.215834,0,0.934088,0.131757,0,0.061609,0.002733,415.5815,413839.1,0.126377,2.742048,-5.728661,18.90263,-5.260624,-18.25076,-1.624166,229,-6.557511,4.325598,-4.397347,0.509377,0.0536,-0.000011,0.410077,0.598052,0.032754,0.003029,-0.000005,-0.656223,4.108562,2967,1.163627,-0.000463,4.138006,-3.576082,0.132258,0.887747,3.580932,0.092801,0.000175,19.2795,-0.314528,lonely
0.085733,0.000083,2.19763,2.979267,0.771925,0.489741,0.157106,0.389253,0.500893,2.017945,0.017952,0.000085,0.277891,0.379415,0.181642,0.030125,0.017504,1.232972,0.580666,0.294449,0.000041,0.189784,0.619622,2.036228,0.129655,0.128586,0.261251,1.13593,0.596134,0.108607,0.182886,0.278779,0.228781,0.047124,0.041723,0.049336,0.039192,0.032516,0.06896,16.214432,139.5,1.003076,80.57826,4.300582,1.236469,0.643155,0.751653,0.877376,0.173029,194.3668,6.838033,649.8423,1.875812,0.032956,0.059404,0.117503,0.000232,0.021373,24381.75,1.25334,0,0.710386,0.088041,0,0.205875,0.004425,555.1334,65692.3,0.076479,12.8993,1.206689,22.73023,-7.687859,-27.57378,-7.713626,871,-8.121228,5.201609,-7.580473,0.23049,0.061148,-0.000002,0.511947,0.356128,0.010806,0.001441,0,0.082917,4.773668,1219,1.122887,0.000901,4.594922,-4.759458,0.164528,1.102043,4.42075,0.022021,0.000023,12.17068,0.722122,lonely
0.09248,0.000156,2.597301,3.38887,0.694989,0.353684,0.143742,0.424997,0.566196,2.015215,0.04919,0.000107,0.303991,0.455051,0.143409,0.039535,0.023568,1.561319,0.733796,0.31474,0.000091,0.197508,0.715708,2.152174,0.141869,0.123177,0.266772,0.590063,0.778683,0.098317,0.188388,0.189886,0.345658,0.044736,0.052991,0.045421,0.044557,0.024357,0.085476,43.075259,151,1.0054,68.79725,4.388993,1.325015,0.663292,0.648833,0.877611,0.042843,31.39178,5.784667,226.9056,1.151841,0.040064,0.107312,0.133827,0.000278,0.003871,1807.48,1.299162,0,0.740346,0.105712,0,0.192362,0.005103,610.6095,488611.9,0.109277,7.483577,-3.839333,40.0759,-6.04521,-26.04292,-6.425911,683,-4.735421,6.123889,-7.626528,0.598306,0.064158,-0.00001,0.538296,-0.053636,0.023244,0.003078,0.000003,-0.094432,4.560119,2321,1.25582,0.001175,4.340881,-4.307228,-0.035407,1.488977,4.870762,0.109498,0.000212,28.54423,-0.039792,lonely
0.192785,0.000518,2.086747,2.814555,0.764593,0.543917,0.207203,0.48122,0.604625,2.019087,0.032264,0.000318,0.292743,0.448576,0.102716,0.028776,0.010681,0.625868,0.372266,0.173233,0.000133,0.188138,0.505894,0.686409,0.113987,0.092568,0.259774,0.464969,0.244305,0.106442,0.107176,0.140159,0.196785,0.043952,0.043798,0.038277,0.032207,0.029687,0.091567,55.082643,142.5,1.003012,93.75712,5.903367,1.480899,0.622463,1.129208,0.904039,0.187661,94.20367,5.500811,92.15277,0.450884,0.009062,0.006547,0.08162,0.000078,0.019899,8070.297,0.168013,0,0.922104,0.112723,0,0.071876,0.002614,918.1073,118871.7,0.164567,1.215887,-10.36237,10.51793,-2.616682,-13.88511,-2.042612,2707,-1.591359,3.9236,-5.089947,0.38294,0.118044,-0.000014,0.293396,1.368336,0.023883,0.003688,0,-1.325396,3.707861,157,0.968251,-0.001547,4.961051,-4.265684,0.042817,0.970281,3.236826,0.0536,0.000074,11.98154,-0.381261,lonely
0.042178,0.000119,2.358519,3.088269,0.803114,0.455349,0.105394,0.431421,0.555759,1.956961,0.010197,0.000115,0.260888,0.428455,0.155893,0.021088,0.009049,1.16683,1.013173,0.427327,0.000099,0.186469,0.529781,1.559698,0.099339,0.115561,0.261249,0.766779,0.516753,0.129076,0.187163,0.177105,0.22781,0.069313,0.039611,0.051285,0.029824,0.049924,0.076331,11.995348,146.5,1.003161,51.80926,3.311112,1.146065,1.007969,0.5274,0.876026,0.052213,75.81034,6.151463,314.7426,0.597739,0.016261,0.127378,0.123339,0.000273,0.002925,4794.357,1.221237,0,0.932756,0.133877,0,0.062764,0.002495,326.3267,22438.6,0.04352,8.113177,0.01555,45.72604,-8.181612,-24.73446,-5.786126,1090,-12.49663,6.567099,-4.366473,0.303085,0.035379,-0.000002,0.516852,-0.106572,0.007304,0.000936,0.000003,-0.44299,4.956913,169,0.995471,0.002363,4.304952,-4.337695,0.333276,1.140428,4.310657,0.046098,0.000016,42.56612,0.097497,lonely
0.037228,0.000392,2.168455,2.938164,0.654563,0.471343,0.104682,0.440905,0.576489,1.987994,0.01061,0.000263,0.241647,0.399761,0.10794,0.025174,0.004936,0.84939,0.355764,0.313657,0.000097,0.254746,0.537595,0.846706,0.129457,0.091794,0.257137,0.489743,0.281639,0.130829,0.129856,0.192771,0.175735,0.06706,0.028261,0.041597,0.038637,0.025947,0.077272,43.40916,136.5,1.00572,68.83015,4.480021,1.308212,0.918405,0.955,0.893537,0.042339,59.02267,6.141321,138.312,0.535826,0.013049,0.122516,0.345526,0.000207,0.002338,2397.659,0.496531,0,0.918775,0.127513,0,0.074677,0.002467,290.0979,13763.57,0.061127,2.713087,-5.505928,13.28148,-2.262073,-19.83875,-4.218543,1824,-3.630541,4.030924,-6.566167,0.179068,0.037102,0.000002,0.373871,0.59697,0.012744,0.002322,0,-0.518963,4.168311,2761,0.922991,-0.001062,3.589793,-4.089514,0.146221,0.998739,3.613554,0.034301,0.000031,7.068111,-0.578346,lonely
0.133511,0.000403,2.079354,2.485178,0.661508,0.666174,0.061787,0.444305,0.587342,2.0076,0.002751,0.000287,0.285216,0.438002,0.144609,0.015615,0.002467,0.973864,0.448867,0.280668,0.000414,0.204419,0.537808,2.670204,0.118915,0.085613,0.2612,0.514711,0.384371,0.100153,0.135233,0.150674,0.220063,0.041963,0.034505,0.036601,0.035974,0.031442,0.077595,11.380364,124,1.002827,46.72827,3.12111,1.104575,1.289617,0.663568,0.873301,0.117008,194.8171,6.789313,117.2829,0.160799,0.008975,0.100372,0.235517,0.000462,0.00792,12614.16,1.755585,0,0.979361,0.107115,0,0.020227,0.002288,118.3386,1288.759,0.018585,5.632789,-1.949064,8.139439,3.612478,-11.02754,5.207154,2621,-3.611626,3.73028,-1.575299,0.108288,0.01552,0,0.387826,0.545006,0.002738,0.000314,0.000001,-1.55277,3.475929,2276,0.825915,-0.000799,3.701569,-3.613517,0.026308,0.68604,4.596077,0.021658,0.000005,10.88641,-0.248666,lonely
0.04846,0.000008,2.227793,2.990319,0.779818,0.545418,0.107569,0.42811,0.584055,1.981472,0.020555,0.000006,0.261572,0.392779,0.108194,0.018469,0.015318,1.131076,0.562713,0.492315,0.000007,0.178808,0.413589,1.120016,0.132134,0.113391,0.258574,0.555381,0.646857,0.128063,0.126007,0.218613,0.228545,0.061888,0.037645,0.051999,0.037721,0.032507,0.068488,4.600777,150,1.003418,80.29394,4.470264,1.232452,0.85527,1.129512,0.886174,0.087725,125.6861,7.177057,1283.541,2.939899,0.043567,0.052338,0.563808,0.000361,0.006159,13318.29,2.311722,0,0.943409,0.140677,0,0.053424,0.002248,380.2016,188484.6,0.025034,5.814237,-1.83776,20.98649,-9.405317,-24.60211,-6.125893,1499,-6.199081,4.126725,-0.734336,0.4634,0.044531,0.000007,0.365565,0.528953,0.005462,0.000487,0.000002,-0.469363,4.922731,497,0.989044,-0.001847,4.67838,-3.698376,0.019283,0.792755,4.466705,0.084453,0.000099,33.3125,0.445891,lonely
0.180018,0.000154,2.024465,2.8922,0.758902,0.504161,0.192038,0.4689,0.583676,1.985236,0.024287,0.000104,0.262216,0.405045,0.146555,0.021997,0.024691,0.961963,0.44859,0.431454,0.000062,0.201637,0.604836,1.620772,0.118359,0.124245,0.266685,0.830484,0.398519,0.130841,0.11404,0.134569,0.169752,0.060636,0.033184,0.034202,0.041288,0.024505,0.074752,33.976714,159,1.002814,89.26302,5.585697,1.448705,0.619909,0.910876,0.89501,0.163608,132.8681,5.564986,184.5447,0.837402,0.017289,0.019947,0.033803,0.000097,0.011108,11429.45,0.445245,0,0.848202,0.126741,0,0.128841,0.004131,828.3172,153567.9,0.11025,1.02,-7.82462,23.6314,-8.36883,-18.92666,-1.461639,1259,-1.069173,4.096141,-8.28324,0.349062,0.101072,-0.000022,0.354786,0.526321,0.02263,0.002347,0.000004,-0.729537,3.966237,2462,1.01735,0.001312,3.527587,-4.525912,0.082929,1.063815,3.267928,0.065941,0.000063,10.31905,-0.281475,lonely
