@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_max numeric
@attribute mfcc_sma[1]_max numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[3]_linregerrQ numeric
@attribute mfcc_sma[5]_linregc2 numeric
@attribute mfcc_sma[6]_min numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[9]_minPos numeric
@attribute mfcc_sma[9]_linregc2 numeric
@attribute mfcc_sma[9]_stddev numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute pcm_zcr_sma_max numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_linregc1 numeric
@attribute voiceProb_sma_amean numeric
@attribute voiceProb_sma_skewness numeric
@attribute pcm_RMSenergy_sma_de_max numeric
@attribute pcm_RMSenergy_sma_de_stddev numeric
@attribute mfcc_sma_de[1]_linregc1 numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[4]_kurtosis numeric
@attribute mfcc_sma_de[7]_minPos numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[8]_amean numeric
@attribute mfcc_sma_de[8]_kurtosis numeric
@attribute mfcc_sma_de[9]_min numeric
@attribute mfcc_sma_de[9]_skewness numeric
@attribute mfcc_sma_de[11]_linregerrQ numeric
@attribute mfcc_sma_de[11]_kurtosis numeric
@attribute pcm_zcr_sma_de_max numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_skewness numeric
@attribute output {lonely,notlonely}

@data

0.085072,8.32605,-6.237522,25.53018,5.887562,-17.85023,-0.306051,693,-3.400656,4.49616,-5.322803,0.280097,0.047002,0.000013,0.408795,0.610824,0.021259,0.002627,-0.000001,-0.356622,4.973995,678,1.267173,-0.000033,3.63078,-5.486076,-0.048856,1.326228,4.187991,0.054507,0.000048,12.47155,-0.18545,lonely
0.126377,2.742048,-5.728661,18.90263,-5.260624,-18.25076,-1.624166,229,-6.557511,4.325598,-4.397347,0.509377,0.0536,-0.000011,0.410077,0.598052,0.032754,0.003029,-0.000005,-0.656223,4.108562,2967,1.163627,-0.000463,4.138006,-3.576082,0.132258,0.887747,3.580932,0.092801,0.000175,19.2795,-0.314528,lonely
0.076479,12.8993,1.206689,22.73023,-7.687859,-27.57378,-7.713626,871,-8.121228,5.201609,-7.580473,0.23049,0.061148,-0.000002,0.511947,0.356128,0.010806,0.001441,0,0.082917,4.773668,1219,1.122887,0.000901,4.594922,-4.759458,0.164528,1.102043,4.42075,0.022021,0.000023,12.17068,0.722122,lonely
0.109277,7.483577,-3.839333,40.0759,-6.04521,-26.04292,-6.425911,683,-4.735421,6.123889,-7.626528,0.598306,0.064158,-0.00001,0.538296,-0.053636,0.023244,0.003078,0.000003,-0.094432,4.560119,2321,1.25582,0.001175,4.340881,-4.307228,-0.035407,1.488977,4.870762,0.109498,0.000212,28.54423,-0.039792,lonely
0.164567,1.215887,-10.36237,10.51793,-2.616682,-13.88511,-2.042612,2707,-1.591359,3.9236,-5.089947,0.38294,0.118044,-0.000014,0.293396,1.368336,0.023883,0.003688,0,-1.325396,3.707861,157,0.968251,-0.001547,4.961051,-4.265684,0.042817,0.970281,3.236826,0.0536,0.000074,11.98154,-0.381261,lonely
0.04352,8.113177,0.01555,45.72604,-8.181612,-24.73446,-5.786126,1090,-12.49663,6.567099,-4.366473,0.303085,0.035379,-0.000002,0.516852,-0.106572,0.007304,0.000936,0.000003,-0.44299,4.956913,169,0.995471,0.002363,4.304952,-4.337695,0.333276,1.140428,4.310657,0.046098,0.000016,42.56612,0.097497,lonely
0.061127,2.713087,-5.505928,13.28148,-2.262073,-19.83875,-4.218543,1824,-3.630541,4.030924,-6.566167,0.179068,0.037102,0.000002,0.373871,0.59697,0.012744,0.002322,0,-0.518963,4.168311,2761,0.922991,-0.001062,3.589793,-4.089514,0.146221,0.998739,3.613554,0.034301,0.000031,7.068111,-0.578346,lonely
0.018585,5.632789,-1.949064,8.139439,3.612478,-11.02754,5.207154,2621,-3.611626,3.73028,-1.575299,0.108288,0.01552,0,0.387826,0.545006,0.002738,0.000314,0.000001,-1.55277,3.475929,2276,0.825915,-0.000799,3.701569,-3.613517,0.026308,0.68604,4.596077,0.021658,0.000005,10.88641,-0.248666,lonely
0.025034,5.814237,-1.83776,20.98649,-9.405317,-24.60211,-6.125893,1499,-6.199081,4.126725,-0.734336,0.4634,0.044531,0.000007,0.365565,0.528953,0.005462,0.000487,0.000002,-0.469363,4.922731,497,0.989044,-0.001847,4.67838,-3.698376,0.019283,0.792755,4.466705,0.084453,0.000099,33.3125,0.445891,lonely
0.11025,1.02,-7.82462,23.6314,-8.36883,-18.92666,-1.461639,1259,-1.069173,4.096141,-8.28324,0.349062,0.101072,-0.000022,0.354786,0.526321,0.02263,0.002347,0.000004,-0.729537,3.966237,2462,1.01735,0.001312,3.527587,-4.525912,0.082929,1.063815,3.267928,0.065941,0.000063,10.31905,-0.281475,lonely
0.050655,9.69053,-1.028846,28.82989,-7.909254,-20.30719,-2.376825,2257,-6.531992,7.538918,-4.41142,0.498488,0.036825,0.000007,0.503681,-0.082854,0.008317,0.000662,-0.000002,-0.592337,4.192574,2013,1.011856,-0.002358,4.41036,-4.588886,0.227988,0.97681,3.45627,0.103267,0.000062,57.15869,-0.242331,lonely
0.037772,1.012517,-11.51412,16.21685,-6.83115,-21.76348,-5.357447,384,-3.29666,4.615061,-4.147188,0.522686,0.143162,-0.00002,0.344216,1.05912,0.006235,0.00105,0.000001,-0.462033,4.449578,2925,1.077588,-0.000978,4.888239,-4.423045,-0.090287,0.967723,3.746357,0.10121,0.000254,10.50279,-0.278551,lonely
0.043533,14.10445,-0.750832,12.66916,0.762319,-23.04503,-2.213439,1769,-5.045005,5.583021,-6.231703,0.204477,0.043542,-0.000004,0.412859,0.373922,0.007054,0.00082,-0.000004,-1.986944,4.352204,2389,0.735674,0.000731,3.686569,-4.008887,-0.082955,0.778368,3.606592,0.031458,0.000011,19.50875,-0.375346,lonely
0.009181,6.683428,-5.96367,41.13321,-20.13975,-20.68363,-6.467523,1083,-10.20085,6.594635,-2.205995,0.514217,0.076213,-0.000033,0.437838,0.690244,0.001628,0.000188,0.000006,0.064079,5.320757,499,1.113397,0.003022,4.012822,-4.033732,-0.045535,1.105381,3.789578,0.08778,0.00012,29.20864,0.074931,lonely
0.028779,11.69512,2.646569,34.45276,-1.188298,-25.71218,-4.772494,1605,-10.8313,5.753155,-8.918164,0.104053,0.028493,-0.000007,0.65293,-0.10115,0.005314,0.00038,0.000001,-0.96708,4.593983,499,0.880694,-0.002987,4.16012,-3.468653,0.188764,0.79406,4.407215,0.018633,0.000004,14.92836,0.137431,lonely
0.164585,3.416569,-8.072475,11.43723,-4.833138,-19.26604,-4.777866,261,-6.026035,4.556834,-0.812973,0.502117,0.09897,0.000001,0.372653,0.965055,0.034321,0.004213,0.000004,-1.04798,4.355476,1537,0.732302,-0.000962,3.785558,-3.532837,0.049184,0.801778,4.155357,0.09147,0.00015,17.30422,-0.521763,lonely
0.042513,9.15034,-0.452574,33.10638,-2.823043,-20.54109,0.531661,206,-11.2103,5.7041,-6.743464,0.239564,0.032527,-0.000003,0.484163,0.228248,0.006482,0.000608,-0.000002,-0.146858,6.158189,554,0.72007,0.002575,4.005549,-5.486514,-0.211585,0.780718,5.231003,0.043255,0.000016,29.42294,-0.192323,lonely
