@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_PeakRatio_Chroma_F# numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_6 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_8 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_21 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_16 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_20 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_2 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_3 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_13 numeric
@attribute Mean_Acc1000_Std_Mem40_PeakRatio_Chroma_G numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_1 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_16 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_17 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_12 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_17 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_PeakRatio_Chroma_D# numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_5 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_19 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_5 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_6 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_15 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_1 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_2 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_6 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_7 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_8 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_5 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_7 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_19 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_20 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_21 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_4 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_6 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_7 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_10 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute Std_Acc1000_Std_Mem40_LPCC_1 numeric
@attribute BeatHisto_LowPeakAmp numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHistoHighBPM numeric
@attribute BeatHisto_MaxHPS numeric
@attribute output {lonely,notlonely}

@data

0.077341,0.000203,2.629923,3.299219,13.693543,0.454032,0.327407,0.291083,0.279443,0.389025,1.982421,0.00014,0.279318,0.113967,0.112515,0.02945,0.067203,0.078673,0.966863,0.485019,0.443158,0.355064,0.485934,0.000073,0.222831,0.314525,0.401903,0.761649,2.464342,0.134875,0.139686,0.144403,0.110944,0.251574,0.389221,0.165656,0.086575,0.133653,0.121234,0.204043,0.170175,0.288085,0.289278,0.051663,0.041746,0.039782,0.025739,0.026332,0.023465,0.032995,0.042536,0.068822,0.081281,0.109969,0.214033,0.132466,17.649045,22.91778,152,1.002506,lonely
0.024559,0.000157,2.428904,2.913342,5.995348,0.591176,0.5422,0.565375,0.189912,0.368023,1.993455,0.000269,0.275732,0.12807,0.139117,0.016106,0.069059,0.076241,1.532166,0.360161,0.208256,0.336036,0.268403,0.000087,0.191562,0.254632,0.421142,0.559851,1.096464,0.102687,0.106689,0.119932,0.098805,0.259872,0.677338,0.17987,0.077153,0.091124,0.11814,0.146318,0.142449,0.156438,0.182305,0.050117,0.046973,0.038058,0.023682,0.033883,0.030971,0.039802,0.036001,0.066304,0.078363,0.11746,0.214673,0.150166,46.418032,59.977705,114.25,1.010912,lonely
0.047644,0.000295,2.97652,2.739077,7.915157,0.406778,0.377686,0.388141,0.222114,0.402291,1.953494,0.000196,0.275493,0.127434,0.110038,0.014801,0.056063,0.078092,1.085792,0.68447,0.852041,0.403836,0.262038,0.00027,0.170371,0.27964,0.390324,0.508406,0.807017,0.101346,0.10588,0.104614,0.103042,0.256599,0.465351,0.229036,0.082062,0.106783,0.124082,0.241907,0.183855,0.229419,0.180766,0.048829,0.042686,0.033167,0.030664,0.0253,0.024472,0.026524,0.039686,0.071809,0.087297,0.112732,0.214831,0.123643,18.763567,22.26078,158.5,1.002607,lonely
0.1081,0.000211,2.505231,2.740945,10.077889,0.55374,0.44547,0.392232,0.353789,0.495289,1.993455,0.000128,0.285564,0.129912,0.116433,0.042732,0.067269,0.075058,1.086571,0.371181,0.492509,0.280158,0.212843,0.000107,0.186676,0.286854,0.321639,0.453507,1.601645,0.101938,0.106851,0.132415,0.114744,0.260025,0.437529,0.284227,0.08676,0.118648,0.115458,0.187446,0.128793,0.138691,0.147762,0.046283,0.044352,0.04148,0.033655,0.031738,0.030402,0.018034,0.045792,0.064036,0.078847,0.118495,0.21602,0.112626,31.599744,36.531896,146.5,1.005485,lonely
0.047009,0.000099,2.700229,2.841108,7.959275,0.440616,0.363104,0.39186,0.221402,0.446702,1.943003,0.000089,0.248269,0.128486,0.14286,0.023404,0.075177,0.077655,1.024394,0.727901,0.530375,0.607621,0.241042,0.000089,0.189394,0.436518,0.491878,0.511192,0.996485,0.124181,0.146872,0.174798,0.097632,0.256121,0.435163,0.284218,0.094907,0.125658,0.134935,0.172923,0.170999,0.121872,0.187507,0.070292,0.038643,0.051731,0.036425,0.027359,0.043853,0.057564,0.040109,0.062,0.072836,0.108358,0.214585,0.172445,11.551275,16.142632,157,1.002569,lonely
0.075247,0.000078,2.86516,3.840697,8.223948,0.320856,0.266936,0.367188,0.235404,0.40822,2.038424,0.000048,0.284517,0.130378,0.11263,0.032886,0.102168,0.075497,0.929886,0.855249,0.52101,0.406761,0.333439,0.000044,0.185546,0.350554,0.374586,0.743905,1.8491,0.119694,0.164891,0.140216,0.111087,0.275922,0.575597,0.570842,0.090736,0.153346,0.204573,0.174792,0.281042,0.3008,0.551528,0.058799,0.039521,0.048602,0.049952,0.042696,0.030484,0.024361,0.041247,0.070997,0.081942,0.11004,0.218781,0.215191,0,13.119939,143,1.002316,lonely
0.098034,0.000007,3.102685,3.027184,7.712113,0.304564,0.404525,0.342562,0.282793,0.493065,2.006011,0.000012,0.318784,0.152032,0.141719,0.059714,0.112205,0.079128,1.318632,0.751667,0.419512,0.37977,0.245171,0.000016,0.236184,0.357457,0.338108,0.62393,2.130371,0.165708,0.150732,0.109586,0.111715,0.275597,0.791583,0.374546,0.080865,0.173866,0.180964,0.194333,0.223514,0.168604,0.236348,0.073772,0.044767,0.040288,0.040421,0.037297,0.04125,0.026746,0.052265,0.073582,0.0854,0.115754,0.211529,0.226381,3.939916,7.303824,130,1.003015,lonely
0.07997,0.000359,2.901447,3.534184,10.58032,0.458982,0.290581,0.326008,0.291564,0.454075,1.981531,0.000264,0.28446,0.147293,0.157217,0.033657,0.071248,0.081747,0.88409,0.736974,0.472601,0.436879,0.359696,0.000109,0.187431,0.284474,0.308259,0.624605,1.491025,0.109043,0.100219,0.095635,0.109956,0.260585,0.342436,0.184088,0.082667,0.104291,0.129588,0.171575,0.268979,0.215052,0.244666,0.048522,0.038555,0.038962,0.041338,0.024706,0.023882,0.028548,0.040916,0.067604,0.080008,0.121305,0.213313,0.131261,32.817394,50.115196,126,1.004819,lonely
0.084703,0.000176,2.805369,2.864186,8.264234,0.460258,0.311699,0.348623,0.274093,0.454609,1.919859,0.000236,0.285341,0.146777,0.138894,0.030203,0.091284,0.079711,1.021656,0.810663,0.485724,0.357582,0.219066,0.000086,0.195845,0.256818,0.320835,0.514222,2.389335,0.113979,0.110942,0.113404,0.112726,0.256043,0.363493,0.199006,0.091337,0.121225,0.142723,0.225979,0.193264,0.191892,0.20808,0.034406,0.040708,0.036758,0.033604,0.033605,0.020836,0.029706,0.043202,0.06844,0.079313,0.10934,0.214341,0.190023,29.635399,42.943324,140.75,1.004839,lonely
