@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_linregc1 numeric
@attribute pcm_RMSenergy_sma_skewness numeric
@attribute mfcc_sma[1]_max numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[2]_max numeric
@attribute mfcc_sma[2]_range numeric
@attribute mfcc_sma[3]_linregerrQ numeric
@attribute mfcc_sma[4]_stddev numeric
@attribute mfcc_sma[5]_min numeric
@attribute mfcc_sma[5]_linregc2 numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[7]_linregc1 numeric
@attribute mfcc_sma[7]_linregc2 numeric
@attribute mfcc_sma[8]_linregc2 numeric
@attribute mfcc_sma[9]_min numeric
@attribute mfcc_sma[9]_amean numeric
@attribute mfcc_sma[11]_amean numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute mfcc_sma[12]_max numeric
@attribute pcm_zcr_sma_max numeric
@attribute pcm_zcr_sma_range numeric
@attribute voiceProb_sma_amean numeric
@attribute voiceProb_sma_linregc2 numeric
@attribute voiceProb_sma_skewness numeric
@attribute pcm_RMSenergy_sma_de_max numeric
@attribute pcm_RMSenergy_sma_de_stddev numeric
@attribute mfcc_sma_de[1]_linregc1 numeric
@attribute mfcc_sma_de[1]_linregc2 numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[4]_kurtosis numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[9]_skewness numeric
@attribute mfcc_sma_de[11]_kurtosis numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute output {lonely,notlonely}

@data

0.000002,1.757514,0.31817,-6.587448,-7.465629,9.2009,19.86891,12.16246,3.882024,-12.78611,2.759357,-3.842147,0.000881,-5.158036,-4.561899,-26.79455,-8.240482,-2.866268,-1.468143,18.56409,0.256503,0.237145,0.429686,0.485015,0.5946,0.022231,0.001384,0.000002,-0.003692,-0.391174,3.856564,3.435009,0.917996,-0.081599,3.597344,0.000026,11.42601,lonely
0.000001,2.483447,12.60179,2.878579,6.339404,22.55209,28.21831,19.89537,3.103798,-19.57493,0.735682,-5.633813,0.001278,-7.543117,-0.719692,-17.9394,-0.57994,-1.625219,0.7874,18.73637,0.180883,0.176649,0.473921,0.466932,-0.374134,0.00951,0.001076,-0.000012,0.02159,-1.525134,3.885826,4.10082,1.180324,-0.19439,3.636766,0.000015,28.59584,lonely
-0.000005,1.35408,4.113032,-3.551198,-3.680179,10.62813,21.6451,13.6325,5.282156,-22.57456,-7.852838,-9.437085,0.00036,-9.974817,-5.569422,-19.28086,-5.074724,-0.647157,-0.07624,7.071085,0.262553,0.244404,0.408966,0.397172,0.367764,0.008857,0.001027,-0.000002,0.001529,-0.750661,3.342288,3.817686,0.577613,-0.078296,3.747864,0.000018,24.84733,lonely
-0.000007,1.199402,-2.543015,-10.92642,-12.30754,14.28049,28.09249,14.04861,4.197712,-18.34373,-2.373663,0.768446,0.000348,0.248723,-2.908495,-14.16329,-0.060728,-0.540892,-0.930847,12.49454,0.436782,0.428917,0.309942,0.269239,1.254184,0.023341,0.003486,0,-0.000786,-0.616942,5.189357,3.701869,0.98035,-0.027569,4.035885,0.000164,9.893148,lonely
0.000001,2.272261,6.960589,-2.652569,-2.205538,10.30762,29.91428,22.32327,5.416687,-23.41317,-5.852828,-7.290929,-0.000397,-6.698125,-9.666161,-28.17689,-13.43706,-5.038056,-5.164656,10.40662,0.181488,0.164549,0.515728,0.512655,0.117152,0.011583,0.001354,-0.000001,0.001744,-1.375643,4.82831,4.065977,1.105329,0.024361,4.42617,0.000015,9.072508,lonely
0.000001,2.572309,8.346164,-3.669633,-4.359513,26.4634,44.47926,40.51255,6.02422,-23.99952,-4.53124,1.260323,0.001763,-1.372717,-7.313433,-26.30628,-6.620425,-4.776536,-6.439601,20.33365,0.484574,0.46945,0.638831,0.672078,-0.468123,0.024964,0.001807,-0.000007,0.004882,-0.16767,5.997946,6.406104,0.947683,-0.081719,5.061878,0.000106,35.90199,lonely
0,1.483526,3.212711,-12.39104,-12.69307,22.28252,45.08592,41.9184,9.909596,-28.43483,-5.056746,2.863609,-0.001026,4.396485,-5.333047,-30.41377,-1.842682,-6.888534,-5.790212,15.32941,0.646098,0.646098,0.454038,0.452769,0.354681,0.009067,0.001339,0.000002,-0.000398,-0.067024,4.942036,4.635672,2.505312,0.110459,4.321908,0.00062,10.20845,lonely
-0.000005,0.711836,-0.408852,-7.208983,-8.640593,10.75255,26.348,18.20702,4.248188,-23.89587,3.58727,-4.587663,0.001599,-6.97648,6.995159,-16.27309,-1.497064,1.033167,2.455648,14.33381,0.364791,0.355717,0.507513,0.611412,0.195125,0.011762,0.00227,0.000004,-0.005494,-0.375832,4.461703,3.263406,1.309896,0.035295,3.48535,0.000057,13.6941,lonely
-0.000002,1.303567,2.695023,-6.59911,-7.745096,13.65573,25.26049,23.3464,6.426137,-16.9835,3.562186,2.204244,-0.001779,4.860939,-1.52685,-21.75454,-1.386809,-1.137977,1.96835,11.05893,0.359347,0.347247,0.397677,0.472762,0.60668,0.014309,0.002166,-0.000002,0.001227,-1.333277,6.33683,4.835173,0.983423,-0.025123,3.65281,0.000056,10.90862,lonely
