@relation arff_file/psysound.arff

@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {lonely,notlonely}

@data

95.96818,5.397415,1.362613,0.615855,1.154518,0.887998,0.122208,158.9579,6.658392,201.0756,0.714434,0.010025,0.028445,0.098211,0.000366,0.007606,8174.057,0.41712,0,0.894141,0.125152,0,0.094716,0.003063,593.6802,36942.72,lonely
49.43534,2.916795,1.029173,1.189697,0.711678,0.871266,0.103664,43.09696,7.721388,281.7262,1.356423,0.042362,0.163358,0.438502,0.000504,0.00843,1732.907,2.176315,0,0.65779,0.069833,0,0.225252,0.003246,213.4919,7851.891,lonely
55.41522,3.677443,1.232006,0.61102,0.401107,0.880596,0.089892,108.6698,5.597157,218.2157,0.486363,0.011978,0.035152,0.05299,0.000399,0.006737,7124.032,0.629586,0,0.82024,0.110428,0,0.147545,0.003838,442.0042,21096.05,lonely
69.84406,5.107245,1.469589,0.656076,0.709294,0.898188,0.147066,56.3568,4.813898,277.4491,0.816469,0.019422,0.031602,0.150891,0.000137,0.024103,3908.735,0.613525,0,0.868842,0.08985,0,0.114032,0.003055,807.277,266430.2,lonely
76.45585,4.623536,1.294729,0.709245,0.87951,0.891927,0.071396,98.1832,6.05868,893.9521,2.191755,0.027602,0.056085,0.175613,0.000169,0.003182,6010.627,0.713503,0,0.858855,0.134538,0,0.121304,0.003693,405.3238,49247.78,lonely
85.4277,5.142762,1.388999,0.324111,0.536407,0.872665,0.066728,89.01416,6.124912,427.018,1.28717,0.030838,0.033426,0.060698,0.000297,0.004382,4801.637,0.802645,0,0.902131,0.11084,0,0.08835,0.002141,656.3946,335149,lonely
72.84509,5.781724,1.639037,0.505814,0.453296,0.875409,0.028048,5.615953,4.044072,1234.626,2.999555,0.057465,0.045853,0.080194,0.000362,0.006635,95.73032,2.19819,0,0.123169,0.019681,0,0.10807,0.002865,1042.109,1654919,lonely
76.60232,5.069802,1.415578,0.556211,0.641178,0.893834,0.090764,54.31625,5.356807,168.2104,0.643566,0.014788,0.028936,0.043221,0.000172,0.007982,2477.041,0.365818,0,0.94008,0.087777,0,0.056367,0.001973,606.3603,94478.76,lonely
83.09131,5.31517,1.401555,0.670022,1.008321,0.896299,0.110057,87.41462,5.806885,375.3056,1.614855,0.031277,0.069037,0.265374,0.000136,0.008472,6144.404,0.758759,0,0.792277,0.110625,0,0.164684,0.005328,587.2982,124415.2,lonely
